RICHMOND	richmond	RICHMOND
,	,	,
Va	va	Va
.	.	.
Reuters	reuter	Reuters
-	-	-
Virginia	virginia	Virginia
Governor	governor	Governor
Terry	terri	Terry
McAuliffe	mcauliff	McAuliffe
signed	sign	signed
an	an	an
order	order	order
on	on	on
Friday	friday	Friday
restoring	restor	restoring
the	the	the
voting	vote	voting
rights	right	right
of	of	of
more	more	more
than	than	than
200	200	200
,	,	,
000	000	000
convicted	convict	convicted
felons	felon	felon
who	who	who
have	have	have
completed	complet	completed
their	their	their
sentences	sentenc	sentence
,	,	,
in	in	in
a	a	a
move	move	move
that	that	that
could	could	could
help	help	help
the	the	the
Democratic	democrat	Democratic
nominee	nomine	nominee
in	in	in
November	novemb	November
s	s	s
presidential	presidenti	presidential
election	elect	election
.	.	.

By	by	By
using	use	using
his	his	his
executive	execut	executive
powers	power	power
,	,	,
the	the	the
Democratic	democrat	Democratic
governor	governor	governor
is	is	is
circumventing	circumv	circumventing
the	the	the
Republican	republican	Republican
majority	major	majority
in	in	in
the	the	the
state	state	state
General	general	General
Assembly	assembl	Assembly
.	.	.

Many	mani	Many
of	of	of
the	the	the
convicts	convict	convict
affected	affect	affected
by	by	by
the	the	the
order	order	order
are	are	are
African	african	African
-Americans	-american	-Americans
or	or	or
Latinos	latino	Latinos
,	,	,
two	two	two
groups	group	group
that	that	that
have	have	have
voted	vote	voted
overwhelmingly	overwhelm	overwhelmingly
for	for	for
Democratic	democrat	Democratic
candidates	candid	candidate
in	in	in
the	the	the
past	past	past
.	.	.

Virginia	virginia	Virginia
will	will	will
no	no	no
longer	longer	longer
build	build	build
walls	wall	wall
and	and	and
barriers	barrier	barrier
to	to	to
the	the	the
ballot	ballot	ballot
box	box	box
-	-	-
we	we	we
will	will	will
break	break	break
them	them	them
down	down	down
,	,	,
McAuliffe	mcauliff	McAuliffe
said	said	said
in	in	in
a	a	a
message	messag	message
on	on	on
his	his	his
Twitter	twitter	Twitter
account	account	account
.	.	.

Advocates	advoc	Advocates
of	of	of
restoring	restor	restoring
voting	vote	voting
rights	right	right
say	say	say
it	it	it
is	is	is
a	a	a
way	way	way
of	of	of
promoting	promot	promoting
racial	racial	racial
justice	justic	justice
,	,	,
as	as	a
African	african	African
-Americans	-american	-Americans
are	are	are
convicted	convict	convicted
of	of	of
crimes	crime	crime
and	and	and
sent	sent	sent
to	to	to
prison	prison	prison
at	at	at
about	about	about
twice	twice	twice
the	the	the
rate	rate	rate
of	of	of
the	the	the
overall	overal	overall
U	u	U
.	.	.
S	s	S
.	.	.
population	popul	population
.	.	.

Stephen	stephen	Stephen
J	j	J
.	.	.

Farnsworth	farnsworth	Farnsworth
,	,	,
a	a	a
political	polit	political
analyst	analyst	analyst
at	at	at
the	the	the
University	univers	University
of	of	of
Mary	mari	Mary
Washington	washington	Washington
in	in	in
Fredericksburg	fredericksburg	Fredericksburg
,	,	,
said	said	said
a	a	a
majority	major	majority
of	of	of
the	the	the
convicted	convict	convicted
felons	felon	felon
who	who	who
regained	regain	regained
their	their	their
voting	vote	voting
rights	right	right
were	were	were
likely	like	likely
members	member	member
of	of	of
minority	minor	minority
groups	group	group
.	.	.

Of	of	Of
the	the	the
5	5	5
.	.	.
8	8	8
million	million	million
Americans	american	Americans
banned	ban	banned
from	from	from
voting	vote	voting
,	,	,
2	2	2
.	.	.
2	2	2
million	million	million
are	are	are
African	african	African
-American	-american	-American
,	,	,
according	accord	according
to	to	to
the	the	the
Sentencing	sentenc	Sentencing
Project	project	Project
,	,	,
a	a	a
prison	prison	prison
reform	reform	reform
advocacy	advocaci	advocacy
group	group	group
.	.	.

In	in	In
three	three	three
states	state	state
-	-	-
Virginia	virginia	Virginia
,	,	,
Florida	florida	Florida
and	and	and
Kentucky	kentucki	Kentucky
-	-	-
more	more	more
than	than	than
a	a	a
fifth	fifth	fifth
of	of	of
black	black	black
residents	resid	resident
outside	outsid	outside
of	of	of
prison	prison	prison
are	are	are
barred	bar	barred
from	from	from
voting	vote	voting
.	.	.

About	about	About
13	13	13
percent	percent	percent
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
population	popul	population
is	is	is
African	african	African
-American	-american	-American
.	.	.

McAuliffe	mcauliff	McAuliffe
s	s	s
order	order	order
drew	drew	drew
immediate	immedi	immediate
criticism	critic	criticism
from	from	from
John	john	John
Whitbeck	whitbeck	Whitbeck
,	,	,
chairman	chairman	chairman
of	of	of
the	the	the
Republican	republican	Republican
Party	parti	Party
of	of	of
Virginia	virginia	Virginia
,	,	,
who	who	who
said	said	said
the	the	the
governor	governor	governor
should	should	should
have	have	have
excluded	exclud	excluded
those	those	those
convicted	convict	convicted
of	of	of
violent	violent	violent
crimes	crime	crime
.	.	.

His	his	His
decision	decis	decision
to	to	to
issue	issu	issue
a	a	a
blanket	blanket	blanket
restoration	restor	restoration
,	,	,
without	without	without
regard	regard	regard
to	to	to
the	the	the
nature	natur	nature
of	of	of
the	the	the
crimes	crime	crime
committed	commit	committed
doesn	doesn	doesn
t	t	t
speak	speak	speak
of	of	of
mercy	merci	mercy
.	.	.

Rather	rather	Rather
,	,	,
it	it	it
speaks	speak	speaks
of	of	of
political	polit	political
opportunism	opportun	opportunism
,	,	,
Whitbeck	whitbeck	Whitbeck
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

Nationwide	nationwid	Nationwide
,	,	,
restoration	restor	restoration
of	of	of
voting	vote	voting
rights	right	right
is	is	is
an	an	an
issue	issu	issue
that	that	that
has	has	ha
drawn	drawn	drawn
support	support	support
from	from	from
both	both	both
Democrats	democrat	Democrats
and	and	and
Republicans	republican	Republicans
as	as	a
a	a	a
way	way	way
to	to	to
improve	improv	improve
reintegration	reintegr	reintegration
of	of	of
prisoners	prison	prisoner
into	into	into
society	societi	society
.	.	.

About	about	About
two	two	two
dozen	dozen	dozen
states	state	state
have	have	have
eased	eas	eased
restrictions	restrict	restriction
on	on	on
felons	felon	felon
casting	cast	casting
ballots	ballot	ballot
over	over	over
the	the	the
past	past	past
two	two	two
decades	decad	decade
,	,	,
according	accord	according
to	to	to
the	the	the
Sentencing	sentenc	Sentencing
Project	project	Project
.	.	.

But	but	But
the	the	the
move	move	move
carries	carri	carry
political	polit	political
implications	implic	implication
as	as	a
well	well	well
.	.	.

Virginia	virginia	Virginia
is	is	is
considered	consid	considered
a	a	a
key	key	key
swing	swing	swing
state	state	state
in	in	in
the	the	the
2016	2016	2016
election	elect	election
,	,	,
and	and	and
the	the	the
governor	governor	governor
s	s	s
order	order	order
could	could	could
tip	tip	tip
the	the	the
balance	balanc	balance
in	in	in
favor	favor	favor
of	of	of
the	the	the
Democratic	democrat	Democratic
candidate	candid	candidate
who	who	who
wins	win	win
the	the	the
party	parti	party
s	s	s
nomination	nomin	nomination
.	.	.

While	while	While
Democrat	democrat	Democrat
Barack	barack	Barack
Obama	obama	Obama
took	took	took
Virginia	virginia	Virginia
both	both	both
in	in	in
the	the	the
2008	2008	2008
and	and	and
2012	2012	2012
elections	elect	election
,	,	,
