AMSTERDAM	amsterdam	AMSTERDAM
Reuters	reuter	Reuters
-	-	-
The	the	The
International	intern	International
Criminal	crimin	Criminal
Court	court	Court
ICC	icc	ICC
said	said	said
on	on	on
Monday	monday	Monday
it	it	it
would	would	would
refer	refer	refer
Jordan	jordan	Jordan
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
for	for	for
failing	fail	failing
to	to	to
arrest	arrest	arrest
Sudanese	sudanes	Sudanese
President	presid	President
Omar	omar	Omar
al	al	al
-Bashir	-bashir	-Bashir
when	when	when
he	he	he
visited	visit	visited
Amman	amman	Amman
in	in	in
March	march	March
.	.	.

The	the	The
court	court	court
issued	issu	issued
arrest	arrest	arrest
warrants	warrant	warrant
for	for	for
Bashir	bashir	Bashir
in	in	in
2009	2009	2009
and	and	and
2010	2010	2010
over	over	over
his	his	his
alleged	alleg	alleged
role	role	role
in	in	in
war	war	war
crimes	crime	crime
including	includ	including
genocide	genocid	genocide
in	in	in
Sudan	sudan	Sudan
s	s	s
Darfur	darfur	Darfur
province	provinc	province
.	.	.

Jordan	jordan	Jordan
,	,	,
as	as	a
a	a	a
member	member	member
of	of	of
the	the	the
ICC	icc	ICC
,	,	,
is	is	is
obliged	oblig	obliged
to	to	to
carry	carri	carry
out	out	out
its	it	it
arrest	arrest	arrest
warrants	warrant	warrant
.	.	.

Sudan	sudan	Sudan
is	is	is
not	not	not
a	a	a
member	member	member
of	of	of
the	the	the
Hague	hagu	Hague
-based	-base	-based
permanent	perman	permanent
international	intern	international
war	war	war
crimes	crime	crime
court	court	court
,	,	,
and	and	and
the	the	the
ICC	icc	ICC
therefore	therefor	therefore
does	doe	doe
not	not	not
have	have	have
automatic	automat	automatic
jurisdiction	jurisdict	jurisdiction
to	to	to
investigate	investig	investigate
alleged	alleg	alleged
war	war	war
crimes	crime	crime
there	there	there
.	.	.

However	howev	However
,	,	,
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
referred	refer	referred
the	the	the
case	case	case
to	to	to
the	the	the
international	intern	international
court	court	court
in	in	in
March	march	March
2005	2005	2005
.	.	.

The	the	The
Security	secur	Security
Council	council	Council
has	has	ha
the	the	the
power	power	power
to	to	to
impose	impos	impose
sanctions	sanction	sanction
for	for	for
a	a	a
failure	failur	failure
to	to	to
cooperate	cooper	cooperate
with	with	with
the	the	the
ICC	icc	ICC
,	,	,
but	but	but
has	has	ha
so	so	so
far	far	far
not	not	not
acted	act	acted
on	on	on
court	court	court
referrals	referr	referral
.	.	.

A	a	A
diplomatic	diplomat	diplomatic
row	row	row
broke	broke	broke
out	out	out
when	when	when
Bashir	bashir	Bashir
visited	visit	visited
South	south	South
Africa	africa	Africa
in	in	in
2015	2015	2015
and	and	and
Pretoria	pretoria	Pretoria
failed	fail	failed
to	to	to
arrest	arrest	arrest
him	him	him
.	.	.

South	south	South
Africa	africa	Africa
s	s	s
government	govern	government
argued	argu	argued
that	that	that
doing	do	doing
so	so	so
would	would	would
have	have	have
been	been	been
a	a	a
violation	violat	violation
of	of	of
the	the	the
immunity	immun	immunity
Bashir	bashir	Bashir
enjoys	enjoy	enjoys
as	as	a
a	a	a
head	head	head
of	of	of
state	state	state
.	.	.

That	that	That
argument	argument	argument
was	was	wa
rejected	reject	rejected
by	by	by
South	south	South
African	african	African
courts	court	court
as	as	a
well	well	well
as	as	a
the	the	the
ICC	icc	ICC
.	.	.

The	the	The
ICC	icc	ICC
ultimately	ultim	ultimately
did	did	did
not	not	not
refer	refer	refer
South	south	South
Africa	africa	Africa
to	to	to
the	the	the
Security	secur	Security
Council	council	Council
,	,	,
however	howev	however
,	,	,
saying	say	saying
it	it	it
was	was	wa
not	not	not
clear	clear	clear
that	that	that
doing	do	doing
so	so	so
would	would	would
have	have	have
any	ani	any
effect	effect	effect
.	.	.

Kenya	kenya	Kenya
and	and	and
South	south	South
Africa	africa	Africa
have	have	have
threatened	threaten	threatened
to	to	to
withdraw	withdraw	withdraw
from	from	from
the	the	the
ICC	icc	ICC
over	over	over
perceived	perceiv	perceived
bias	bias	bias
against	against	against
African	african	African
countries	countri	country
.	.	.

Burundi	burundi	Burundi
,	,	,
which	which	which
is	is	is
under	under	under
ICC	icc	ICC
investigation	investig	investigation
,	,	,
has	has	ha
actually	actual	actually
withdrawn	withdrawn	withdrawn
.	.	.

Bashir	bashir	Bashir
is	is	is
accused	accus	accused
by	by	by
ICC	icc	ICC
prosecutors	prosecutor	prosecutor
of	of	of
five	five	five
counts	count	count
of	of	of
crimes	crime	crime
against	against	against
humanity	human	humanity
including	includ	including
murder	murder	murder
,	,	,
extermination	extermin	extermination
,	,	,
forcible	forcibl	forcible
transfer	transfer	transfer
,	,	,
torture	tortur	torture
and	and	and
rape	rape	rape
,	,	,
as	as	a
well	well	well
as	as	a
two	two	two
counts	count	count
of	of	of
war	war	war
crimes	crime	crime
for	for	for
attacking	attack	attacking
civilians	civilian	civilian
and	and	and
pillaging	pillag	pillaging
.	.	.

He	he	He
faces	face	face
three	three	three
counts	count	count
of	of	of
genocide	genocid	genocide
allegedly	alleg	allegedly
committed	commit	committed
against	against	against
the	the	the
Fur	fur	Fur
,	,	,
Masalit	masalit	Masalit
and	and	and
Zaghawa	zaghawa	Zaghawa
ethnic	ethnic	ethnic
groups	group	group
in	in	in
Darfur	darfur	Darfur
,	,	,
Sudan	sudan	Sudan
,	,	,
from	from	from
2003	2003	2003
to	to	to
2008	2008	2008
.	.	.

