NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
Democratic	democrat	Democratic
presidential	presidenti	presidential
nominee	nomine	nominee
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
probability	probabl	probability
of	of	of
winning	win	winning
the	the	the
White	white	White
House	hous	House
gained	gain	gained
in	in	in
online	onlin	online
betting	bet	betting
markets	market	market
following	follow	following
the	the	the
first	first	first
debate	debat	debate
of	of	of
the	the	the
campaign	campaign	campaign
on	on	on
Monday	monday	Monday
night	night	night
between	between	between
her	her	her
and	and	and
Republican	republican	Republican
Donald	donald	Donald
Trump	trump	Trump
.	.	.
A	a	A
Clinton	clinton	Clinton
contract	contract	contract
on	on	on
the	the	the
popular	popular	popular
PredictIt	predictit	PredictIt
betting	bet	betting
market	market	market
gained	gain	gained
6	6	6
cents	cent	cent
from	from	from
the	the	the
previous	previous	previous
day	day	day
s	s	s
level	level	level
to	to	to
69	69	69
cents	cent	cent
,	,	,
while	while	while
a	a	a
contract	contract	contract
favoring	favor	favoring
Donald	donald	Donald
Trump	trump	Trump
s	s	s
prospects	prospect	prospect
for	for	for
victory	victori	victory
tumbled	tumbl	tumbled
7	7	7
cents	cent	cent
to	to	to
31	31	31
cents	cent	cent
.	.	.
Contracts	contract	Contracts
are	are	are
priced	price	priced
from	from	from
0	0	0
cents	cent	cent
to	to	to
100	100	100
cents	cent	cent
,	,	,
with	with	with
the	the	the
contract	contract	contract
price	price	price
equating	equat	equating
to	to	to
a	a	a
probability	probabl	probability
of	of	of
whether	whether	whether
that	that	that
candidate	candid	candidate
will	will	will
win	win	win
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
election	elect	election
.	.	.
The	the	The
price	price	price
swings	swing	swing
for	for	for
both	both	both
candidates	candid	candidate
were	were	were
the	the	the
largest	largest	largest
since	sinc	since
early	earli	early
August	august	August
,	,	,
and	and	and
placed	place	placed
Clinton	clinton	Clinton
s	s	s
lead	lead	lead
in	in	in
that	that	that
market	market	market
at	at	at
the	the	the
widest	widest	widest
in	in	in
about	about	about
two	two	two
weeks	week	week
.	.	.
Clinton	clinton	Clinton
s	s	s
prospects	prospect	prospect
also	also	also
improved	improv	improved
on	on	on
the	the	the
Irish	irish	Irish
betting	bet	betting
site	site	site
Paddy	paddi	Paddy
Power	power	Power
.	.	.
About	about	About
halfway	halfway	halfway
through	through	through
Monday	monday	Monday
s	s	s
debate	debat	debate
,	,	,
she	she	she
was	was	wa
shown	shown	shown
as	as	a
a	a	a
1	1	1
-to-2	-to-2	-to-2
favorite	favorit	favorite
,	,	,
and	and	and
those	those	those
odds	odd	odds
shortened	shorten	shortened
to	to	to
4	4	4
-to-9	-to-9	-to-9
in	in	in
the	the	the
moments	moment	moment
after	after	after
the	the	the
debate	debat	debate
ended	end	ended
.	.	.
Trump	trump	Trump
s	s	s
odds	odd	odds
lengthened	lengthen	lengthened
to	to	to
23	23	23
-to-10	-to-10	-to-10
from	from	from
9	9	9
-to-4	-to-4	-to-4
.	.	.
The	the	The
swing	swing	swing
following	follow	following
the	the	the
debate	debat	debate
put	put	put
the	the	the
brakes	brake	brake
on	on	on
a	a	a
big	big	big
Trump	trump	Trump
price	price	price
rally	ralli	rally
on	on	on
PredictIt	predictit	PredictIt
that	that	that
coincided	coincid	coincided
with	with	with
a	a	a
tightening	tighten	tightening
in	in	in
most	most	most
public	public	public
opinion	opinion	opinion
polls	poll	poll
.	.	.
The	the	The
implied	impli	implied
probability	probabl	probability
of	of	of
him	him	him
winning	win	winning
had	had	had
risen	risen	risen
to	to	to
38	38	38
cents	cent	cent
on	on	on
Sunday	sunday	Sunday
from	from	from
just	just	just
28	28	28
cents	cent	cent
at	at	at
the	the	the
end	end	end
of	of	of
August	august	August
.	.	.
Bets	bet	Bets
on	on	on
Trump	trump	Trump
fell	fell	fell
as	as	a
low	low	low
as	as	a
5	5	5
cents	cent	cent
on	on	on
February	februari	February
but	but	but
went	went	went
up	up	up
as	as	a
high	high	high
as	as	a
44	44	44
cents	cent	cent
in	in	in
May	may	May
.	.	.
Bets	bet	Bets
on	on	on
Clinton	clinton	Clinton
,	,	,
the	the	the
persistent	persist	persistent
favorite	favorit	favorite
in	in	in
most	most	most
wagering	wager	wagering
markets	market	market
,	,	,
went	went	went
as	as	a
low	low	low
as	as	a
37	37	37
cents	cent	cent
in	in	in
January	januari	January
and	and	and
as	as	a
high	high	high
as	as	a
79	79	79
cents	cent	cent
in	in	in
August	august	August
.	.	.
The	the	The
debate	debat	debate
on	on	on
Monday	monday	Monday
was	was	wa
the	the	the
first	first	first
of	of	of
three	three	three
scheduled	schedul	scheduled
face	face	face
-offs	-off	-offs
between	between	between
the	the	the
two	two	two
candidates	candid	candidate
before	befor	before
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
election	elect	election
.	.	.
