BANGKOK	bangkok	BANGKOK
Reuters	reuter	Reuters
-	-	-
Shares	share	Shares
worth	worth	worth
over	over	over
500	500	500
million	million	million
in	in	in
Thailand	thailand	Thailand
s	s	s
Siam	siam	Siam
Commercial	commerci	Commercial
Bank	bank	Bank
have	have	have
been	been	been
transferred	transfer	transferred
on	on	on
behalf	behalf	behalf
of	of	of
King	king	King
Maha	maha	Maha
Vajiralongkorn	vajiralongkorn	Vajiralongkorn
from	from	from
the	the	the
Crown	crown	Crown
Property	properti	Property
Bureau	bureau	Bureau
,	,	,
which	which	which
manages	manag	manages
palace	palac	palace
assets	asset	asset
,	,	,
a	a	a
filing	file	filing
with	with	with
Thailand	thailand	Thailand
s	s	s
Securities	secur	Securities
and	and	and
Exchange	exchang	Exchange
Commission	commiss	Commission
SEC	sec	SEC
said	said	said
on	on	on
Friday	friday	Friday
.	.	.
The	the	The
filing	file	filing
by	by	by
the	the	the
Crown	crown	Crown
Property	properti	Property
Bureau	bureau	Bureau
did	did	did
not	not	not
identify	identifi	identify
the	the	the
ultimate	ultim	ultimate
beneficiary	beneficiari	beneficiary
of	of	of
the	the	the
shares	share	share
,	,	,
nor	nor	nor
did	did	did
it	it	it
indicate	indic	indicate
if	if	if
any	ani	any
money	money	money
had	had	had
been	been	been
paid	paid	paid
for	for	for
the	the	the
shares	share	share
.	.	.
The	the	The
transfer	transfer	transfer
took	took	took
place	place	place
on	on	on
Oct	oct	Oct
2	2	2
,	,	,
the	the	the
filing	file	filing
said	said	said
.	.	.
The	the	The
law	law	law
was	was	wa
changed	chang	changed
in	in	in
July	juli	July
to	to	to
formally	formal	formally
give	give	give
the	the	the
king	king	king
control	control	control
of	of	of
the	the	the
Crown	crown	Crown
Property	properti	Property
Bureau	bureau	Bureau
.	.	.
Details	detail	Details
of	of	of
its	it	it
assets	asset	asset
are	are	are
not	not	not
made	made	made
public	public	public
,	,	,
but	but	but
they	they	they
are	are	are
estimated	estim	estimated
to	to	to
be	be	be
worth	worth	worth
more	more	more
than	than	than
30	30	30
billion	billion	billion
.	.	.
The	the	The
Crown	crown	Crown
Property	properti	Property
Bureau	bureau	Bureau
confirmed	confirm	confirmed
the	the	the
transaction	transact	transaction
but	but	but
declined	declin	declined
comment	comment	comment
on	on	on
how	how	how
the	the	the
transfer	transfer	transfer
fitted	fit	fitted
with	with	with
changes	chang	change
to	to	to
the	the	the
way	way	way
palace	palac	palace
finances	financ	finance
are	are	are
run	run	run
since	sinc	since
the	the	the
king	king	king
took	took	took
the	the	the
throne	throne	throne
late	late	late
last	last	last
year	year	year
after	after	after
the	the	the
death	death	death
of	of	of
his	his	his
revered	rever	revered
father	father	father
.	.	.
It	it	It
is	is	is
his	his	his
majesty	majesti	majesty
s	s	s
private	privat	private
affair	affair	affair
so	so	so
I	i	I
cannot	cannot	cannot
comment	comment	comment
further	further	further
,	,	,
said	said	said
an	an	an
official	offici	official
of	of	of
the	the	the
Crown	crown	Crown
Property	properti	Property
Bureau	bureau	Bureau
who	who	who
declined	declin	declined
to	to	to
be	be	be
named	name	named
because	becaus	because
of	of	of
the	the	the
sensitivity	sensit	sensitivity
of	of	of
anything	anyth	anything
to	to	to
do	do	do
with	with	with
Thailand	thailand	Thailand
s	s	s
palace	palac	palace
.	.	.
The	the	The
king	king	king
has	has	ha
put	put	put
an	an	an
increasingly	increas	increasingly
assertive	assert	assertive
stamp	stamp	stamp
on	on	on
the	the	the
monarchy	monarchi	monarchy
since	sinc	since
succeeding	succeed	succeeding
his	his	his
father	father	father
King	king	King
Bhumibol	bhumibol	Bhumibol
Adulyadej	adulyadej	Adulyadej
,	,	,
who	who	who
will	will	will
be	be	be
cremated	cremat	cremated
on	on	on
Oct	oct	Oct
.	.	.
26	26	26
in	in	in
a	a	a
ceremony	ceremoni	ceremony
that	that	that
marks	mark	mark
an	an	an
end	end	end
to	to	to
more	more	more
than	than	than
a	a	a
year	year	year
of	of	of
mourning	mourn	mourning
in	in	in
Thailand	thailand	Thailand
.	.	.
Siam	siam	Siam
Commercial	commerci	Commercial
Bank	bank	Bank
,	,	,
Thailand	thailand	Thailand
s	s	s
third	third	third
-largest	-largest	-largest
bank	bank	bank
by	by	by
assets	asset	asset
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
the	the	the
transaction	transact	transaction
in	in	in
its	it	it
shares	share	share
.	.	.
The	the	The
filing	file	filing
said	said	said
that	that	that
the	the	the
shares	share	share
transferred	transfer	transferred
amounted	amount	amounted
to	to	to
3	3	3
.	.	.
33	33	33
percent	percent	percent
of	of	of
the	the	the
total	total	total
value	valu	value
of	of	of
the	the	the
bank	bank	bank
.	.	.
After	after	After
the	the	the
transfer	transfer	transfer
,	,	,
the	the	the
Crown	crown	Crown
Property	properti	Property
Bureau	bureau	Bureau
still	still	still
had	had	had
a	a	a
holding	hold	holding
of	of	of
18	18	18
.	.	.
14	14	14
percent	percent	percent
,	,	,
it	it	it
said	said	said
.	.	.
Based	base	Based
on	on	on
the	the	the
latest	latest	latest
share	share	share
price	price	price
,	,	,
the	the	the
shares	share	share
had	had	had
a	a	a
value	valu	value
of	of	of
16	16	16
.	.	.
9	9	9
billion	billion	billion
baht	baht	baht
505	505	505
million	million	million
.	.	.
At	at	At
the	the	the
latest	latest	latest
dividend	dividend	dividend
yield	yield	yield
of	of	of
3	3	3
.	.	.
62	62	62
percent	percent	percent
,	,	,
the	the	the
shares	share	share
would	would	would
give	give	give
a	a	a
payout	payout	payout
of	of	of
around	around	around
18	18	18
million	million	million
a	a	a
year	year	year
.	.	.
Shares	share	Shares
in	in	in
SCB	scb	SCB
closed	close	closed
0	0	0
.	.	.
66	66	66
percent	percent	percent
down	down	down
on	on	on
Friday	friday	Friday
compared	compar	compared
to	to	to
a	a	a
0	0	0
.	.	.
22	22	22
percent	percent	percent
fall	fall	fall
in	in	in
the	the	the
banking	bank	banking
index	index	index
.	.	.
The	the	The
Crown	crown	Crown
Property	properti	Property
Bureau	bureau	Bureau
s	s	s
stakes	stake	stake
in	in	in
SCB	scb	SCB
and	and	and
Siam	siam	Siam
Cement	cement	Cement
PCL	pcl	PCL
are	are	are
together	togeth	together
worth	worth	worth
around	around	around
8	8	8
.	.	.
3	3	3
billion	billion	billion
.	.	.
According	accord	According
to	to	to
a	a	a
former	former	former
official	offici	official
within	within	within
the	the	the
Crown	crown	Crown
Property	properti	Property
Bureau	bureau	Bureau
,	,	,
they	they	they
have	have	have
accounted	account	accounted
for	for	for
up	up	up
to	to	to
80	80	80
percent	percent	percent
of	of	of
the	the	the
agency	agenc	agency
s	s	s
income	incom	income
in	in	in
recent	recent	recent
years	year	year
.	.	.
Although	although	Although
its	it	it
real	real	real
estate	estat	estate
holdings	hold	holding
are	are	are
bigger	bigger	bigger
,	,	,
the	the	the
returns	return	return
from	from	from
those	those	those
are	are	are
much	much	much
lower	lower	lower
.	.	.
