YAOUNDE	yaound	YAOUNDE
Reuters	reuter	Reuters
-	-	-
Separatists	separatist	Separatists
from	from	from
Cameroon	cameroon	Cameroon
s	s	s
Anglophone	anglophon	Anglophone
region	region	region
have	have	have
killed	kill	killed
four	four	four
security	secur	security
forces	forc	force
in	in	in
several	sever	several
attacks	attack	attack
over	over	over
the	the	the
past	past	past
few	few	few
days	day	day
,	,	,
the	the	the
government	govern	government
said	said	said
on	on	on
Saturday	saturday	Saturday
,	,	,
an	an	an
unprecedented	unpreced	unprecedented
violent	violent	violent
turn	turn	turn
to	to	to
a	a	a
movement	movement	movement
that	that	that
risks	risk	risk
morphing	morph	morphing
into	into	into
a	a	a
full	full	full
blown	blown	blown
insurgency	insurg	insurgency
.	.	.

A	a	A
government	govern	government
crackdown	crackdown	crackdown
on	on	on
the	the	the
separatists	separatist	separatist
has	has	ha
killed	kill	killed
dozens	dozen	dozen
of	of	of
people	peopl	people
since	sinc	since
October	octob	October
and	and	and
driven	driven	driven
many	mani	many
into	into	into
the	the	the
arms	arm	arm
of	of	of
a	a	a
once	onc	once
-fringe	-fring	-fringe
separatist	separatist	separatist
movement	movement	movement
ahead	ahead	ahead
of	of	of
presidential	presidenti	presidential
elections	elect	election
in	in	in
2018	2018	2018
.	.	.

It	it	It
followed	follow	followed
on	on	on
from	from	from
demonstrations	demonstr	demonstration
a	a	a
year	year	year
ago	ago	ago
by	by	by
English	english	English
-speakers	-speaker	-speakers
in	in	in
the	the	the
western	western	western
region	region	region
bordering	border	bordering
Nigeria	nigeria	Nigeria
against	against	against
what	what	what
they	they	they
see	see	see
as	as	a
a	a	a
marginalization	margin	marginalization
by	by	by
the	the	the
mostly	most	mostly
French	french	French
-speaking	-speak	-speaking
government	govern	government
of	of	of
President	presid	President
Paul	paul	Paul
Biya	biya	Biya
,	,	,
who	who	who
has	has	ha
been	been	been
in	in	in
power	power	power
for	for	for
35	35	35
years	year	year
.	.	.

Only	onli	Only
a	a	a
minority	minor	minority
want	want	want
to	to	to
secede	seced	secede
,	,	,
however	howev	however
.	.	.

The	the	The
secessionists	secessionist	secessionist
have	have	have
been	been	been
around	around	around
for	for	for
decades	decad	decade
,	,	,
but	but	but
operated	oper	operated
underground	underground	underground
and	and	and
had	had	had
been	been	been
largely	larg	largely
non	non	non
-violent	-violent	-violent
until	until	until
a	a	a
few	few	few
weeks	week	week
ago	ago	ago
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
separatists	separatist	separatist
acknowledged	acknowledg	acknowledged
the	the	the
latest	latest	latest
attacks	attack	attack
but	but	but
disputed	disput	disputed
details	detail	detail
of	of	of
the	the	the
government	govern	government
account	account	account
,	,	,
and	and	and
said	said	said
five	five	five
security	secur	security
forces	forc	force
had	had	had
been	been	been
killed	kill	killed
.	.	.

In	in	In
Saturday	saturday	Saturday
s	s	s
statement	statement	statement
,	,	,
Communications	communic	Communications
Minister	minist	Minister
Issa	issa	Issa
Tchiroma	tchiroma	Tchiroma
gave	gave	gave
more	more	more
details	detail	detail
of	of	of
the	the	the
killing	kill	killing
of	of	of
two	two	two
gendarmes	gendarm	gendarme
reported	report	reported
on	on	on
Tuesday	tuesday	Tuesday
and	and	and
Wednesday	wednesday	Wednesday
,	,	,
and	and	and
said	said	said
two	two	two
further	further	further
attacks	attack	attack
on	on	on
Thursday	thursday	Thursday
night	night	night
had	had	had
killed	kill	killed
two	two	two
soldiers	soldier	soldier
.	.	.

Referring	refer	Referring
to	to	to
attacks	attack	attack
earlier	earlier	earlier
in	in	in
the	the	the
week	week	week
,	,	,
Tchiroma	tchiroma	Tchiroma
said	said	said
assailants	assail	assailant
armed	arm	armed
with	with	with
machetes	machet	machete
stormed	storm	stormed
a	a	a
high	high	high
school	school	school
in	in	in
the	the	the
town	town	town
of	of	of
Jakiri	jakiri	Jakiri
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

The	the	The
separatists	separatist	separatist
are	are	are
disrupting	disrupt	disrupting
schools	school	school
that	that	that
teach	teach	teach
in	in	in
French	french	French
.	.	.

Gendarmes	gendarm	Gendarmes
arrived	arriv	arrived
on	on	on
the	the	the
scene	scene	scene
to	to	to
stop	stop	stop
them	them	them
,	,	,
but	but	but
one	one	one
was	was	wa
killed	kill	killed
in	in	in
the	the	the
resultant	result	resultant
scuffle	scuffl	scuffle
.	.	.

Tchiroma	tchiroma	Tchiroma
said	said	said
he	he	he
was	was	wa
executed	execut	executed
,	,	,
but	but	but
Cho	cho	Cho
Ayaba	ayaba	Ayaba
,	,	,
a	a	a
leading	lead	leading
member	member	member
of	of	of
the	the	the
political	polit	political
wing	wing	wing
of	of	of
the	the	the
separatist	separatist	separatist
movement	movement	movement
who	who	who
lives	live	life
abroad	abroad	abroad
told	told	told
Reuters	reuter	Reuters
in	in	in
Dakar	dakar	Dakar
by	by	by
telephone	telephon	telephone
that	that	that
he	he	he
was	was	wa
killed	kill	killed
in	in	in
a	a	a
firefight	firefight	firefight
.	.	.

Then	then	Then
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
in	in	in
the	the	the
restive	restiv	restive
city	citi	city
of	of	of
Bamenda	bamenda	Bamenda
,	,	,
another	anoth	another
attack	attack	attack
left	left	left
a	a	a
gendarme	gendarm	gendarme
dead	dead	dead
,	,	,
Tchiroma	tchiroma	Tchiroma
said	said	said
.	.	.

Ayaba	ayaba	Ayaba
reported	report	reported
two	two	two
deaths	death	death
of	of	of
security	secur	security
forces	forc	force
in	in	in
that	that	that
attack	attack	attack
.	.	.

On	on	On
Thursday	thursday	Thursday
night	night	night
,	,	,
insurgents	insurg	insurgent
killed	kill	killed
a	a	a
soldier	soldier	soldier
in	in	in
Bamenda	bamenda	Bamenda
by	by	by
slitting	slit	slitting
his	his	his
throat	throat	throat
,	,	,
Tchiroma	tchiroma	Tchiroma
said	said	said
,	,	,
and	and	and
another	anoth	another
female	femal	female
soldier	soldier	soldier
guarding	guard	guarding
a	a	a
bridge	bridg	bridge
.	.	.

As	as	As
I	i	I
speak	speak	speak
,	,	,
four	four	four
members	member	member
of	of	of
the	the	the
Defense	defens	Defense
and	and	and
Security	secur	Security
Forces	forc	Forces
on	on	on
duty	duti	duty
have	have	have
been	been	been
killed	kill	killed
,	,	,
murdered	murder	murdered
by	by	by
terrorists	terrorist	terrorist
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
secessionist	secessionist	secessionist
movement	movement	movement
,	,	,
Tchiroma	tchiroma	Tchiroma
said	said	said
.	.	.

Ayaba	ayaba	Ayaba
contradicted	contradict	contradicted
that	that	that
,	,	,
saying	say	saying
that	that	that
all	all	all
of	of	of
the	the	the
deaths	death	death
had	had	had
occurred	occur	occurred
in	in	in
shootouts	shootout	shootout
,	,	,
and	and	and
that	that	that
no	no	no
one	one	one
had	had	had
their	their	their
throat	throat	throat
slit	slit	slit
.	.	.

That	that	That
s	s	s
absolute	absolut	absolute
nonsense	nonsens	nonsense
,	,	,
he	he	he
said	said	said
.	.	.

There	there	There
was	was	wa
no	no	no
physical	physic	physical
contact	contact	contact
.	.	.

Cameroon	cameroon	Cameroon
s	s	s
language	languag	language
divide	divid	divide
is	is	is
a	a	a
legacy	legaci	legacy
of	of	of
World	world	World
War	war	War
One	one	One
,	,	,
when	when	when
the	the	the
League	leagu	League
of	of	of
Nations	nation	Nations
split	split	split
the	the	the
former	former	former
German	german	German
colony	coloni	colony
of	of	of
Kamerun	kamerun	Kamerun
between	between	between
allied	alli	allied
French	french	French
and	and	and
British	british	British
victors	victor	victor
.	.	.

Hundreds	hundr	Hundreds
of	of	of
Anglophone	anglophon	Anglophone
Cameroonians	cameroonian	Cameroonians
were	were	were
swept	swept	swept
up	up	up
in	in	in
mass	mass	mass
arrests	arrest	arrest
following	follow	following
demonstrations	demonstr	demonstration
on	on	on
Oct	oct	Oct
.	.	.

1	1	1
,	,	,
and	and	and
at	at	at
least	least	least
5	5	5
,	,	,
000	000	000
have	have	have
fled	fled	fled
the	the	the
crisis	crisi	crisis
for	for	for
neighboring	neighbor	neighboring
Nigeria	nigeria	Nigeria
.	.	.

The	the	The
crackdown	crackdown	crackdown
,	,	,
which	which	which
included	includ	included
cutting	cut	cutting
the	the	the
Internet	internet	Internet
,	,	,
locking	lock	locking
up	up	up
opponents	oppon	opponent
and	and	and
using	use	using
helicopter	helicopt	helicopter
gunships	gunship	gunships
to	to	to
fire	fire	fire
on	on	on
civilians	civilian	civilian
,	,	,
and	and	and
a	a	a
lack	lack	lack
of	of	of
any	ani	any
political	polit	political
solution	solut	solution
is	is	is
fast	fast	fast
transforming	transform	transforming
a	a	a
protest	protest	protest
movement	movement	movement
into	into	into
an	an	an
armed	arm	armed
rebellion	rebellion	rebellion
.	.	.

Cameroon	cameroon	Cameroon
soldiers	soldier	soldier
are	are	are
enforcing	enforc	enforcing
an	an	an
occupation	occup	occupation
,	,	,
Ayaba	ayaba	Ayaba
said	said	said
.	.	.

The	the	The
only	onli	only
thing	thing	thing
that	that	that
will	will	will
make	make	make
us	us	u
stop	stop	stop
these	these	these
attacks	attack	attack
is	is	is
if	if	if
the	the	the
regime	regim	regime
withdraws	withdraw	withdraws
.	.	.
.	.	.
.	.	.

if	if	if
they	they	they
stop	stop	stop
using	use	using
the	the	the
military	militari	military
to	to	to
impose	impos	impose
political	polit	political
exclusion	exclus	exclusion
and	and	and
systematic	systemat	systematic
terror	terror	terror
on	on	on
our	our	our
people	peopl	people
.	.	.

