GENEVA	geneva	GENEVA
Reuters	reuter	Reuters
-	-	-
A	a	A
United	unit	United
Nations	nation	Nations
women	women	woman
s	s	s
rights	right	right
panel	panel	panel
called	call	called
on	on	on
Myanmar	myanmar	Myanmar
on	on	on
Tuesday	tuesday	Tuesday
to	to	to
report	report	report
within	within	within
six	six	six
months	month	month
on	on	on
rapes	rape	rape
and	and	and
sexual	sexual	sexual
violence	violenc	violence
against	against	against
Rohingya	rohingya	Rohingya
women	women	woman
and	and	and
girls	girl	girl
by	by	by
its	it	it
security	secur	security
forces	forc	force
in	in	in
northern	northern	northern
Rakhine	rakhin	Rakhine
state	state	state
and	and	and
measures	measur	measure
taken	taken	taken
to	to	to
punish	punish	punish
soldiers	soldier	soldier
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
Committee	committe	Committee
on	on	on
the	the	the
Elimination	elimin	Elimination
of	of	of
Discrimination	discrimin	Discrimination
against	against	against
Women	women	Women
CEDAW	cedaw	CEDAW
also	also	also
asked	ask	asked
authorities	author	authority
to	to	to
provide	provid	provide
details	detail	detail
on	on	on
women	women	woman
and	and	and
girls	girl	girl
killed	kill	killed
in	in	in
the	the	the
violence	violenc	violence
since	sinc	since
the	the	the
army	armi	army
crackdown	crackdown	crackdown
began	began	began
in	in	in
late	late	late
August	august	August
.	.	.
The	the	The
campaign	campaign	campaign
,	,	,
which	which	which
followed	follow	followed
attacks	attack	attack
on	on	on
police	polic	police
posts	post	post
by	by	by
Rohingya	rohingya	Rohingya
insurgents	insurg	insurgent
,	,	,
has	has	ha
driven	driven	driven
more	more	more
than	than	than
600	600	600
,	,	,
000	000	000
Rohingya	rohingya	Rohingya
to	to	to
flee	flee	flee
to	to	to
Bangladesh	bangladesh	Bangladesh
and	and	and
left	left	left
their	their	their
villages	villag	village
burned	burn	burned
to	to	to
the	the	the
ground	ground	ground
.	.	.
The	the	The
rare	rare	rare
request	request	request
for	for	for
an	an	an
exceptional	except	exceptional
report	report	report
from	from	from
a	a	a
country	countri	country
was	was	wa
only	onli	only
the	the	the
panel	panel	panel
s	s	s
fourth	fourth	fourth
since	sinc	since
1982	1982	1982
.	.	.
We	we	We
request	request	request
an	an	an
exceptional	except	exceptional
report	report	report
from	from	from
a	a	a
state	state	state
when	when	when
a	a	a
situation	situat	situation
of	of	of
grave	grave	grave
,	,	,
massive	massiv	massive
and	and	and
systematic	systemat	systematic
violations	violat	violation
occur	occur	occur
and	and	and
these	these	these
issues	issu	issue
are	are	are
relevant	relev	relevant
to	to	to
mandate	mandat	mandate
of	of	of
the	the	the
Committee	committe	Committee
,	,	,
panel	panel	panel
member	member	member
Nahla	nahla	Nahla
Haidar	haidar	Haidar
told	told	told
Reuters	reuter	Reuters
.	.	.
The	the	The
exceptional	except	exceptional
report	report	report
is	is	is
also	also	also
like	like	like
a	a	a
red	red	red
flag	flag	flag
,	,	,
she	she	she
said	said	said
.	.	.
The	the	The
move	move	move
aimed	aim	aimed
to	to	to
help	help	help
Myanmar	myanmar	Myanmar
authorities	author	authority
get	get	get
out	out	out
of	of	of
the	the	the
tunnel	tunnel	tunnel
of	of	of
this	this	this
recent	recent	recent
conflict	conflict	conflict
which	which	which
has	has	ha
really	realli	really
set	set	set
back	back	back
Myanmar	myanmar	Myanmar
which	which	which
was	was	wa
going	go	going
on	on	on
the	the	the
right	right	right
foot	foot	foot
to	to	to
democratisation	democratis	democratisation
,	,	,
she	she	she
said	said	said
.	.	.
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
watchdog	watchdog	watchdog
panel	panel	panel
,	,	,
composed	compos	composed
of	of	of
23	23	23
independent	independ	independent
experts	expert	expert
,	,	,
set	set	set
a	a	a
six	six	six
-month	-month	-month
deadline	deadlin	deadline
for	for	for
the	the	the
government	govern	government
to	to	to
submit	submit	submit
the	the	the
report	report	report
to	to	to
U	u	U
.	.	.
N	n	N
.	.	.
Secretary	secretari	Secretary
-General	-gener	-General
Antonio	antonio	Antonio
Guterres	guterr	Guterres
.	.	.
The	the	The
Committee	committe	Committee
requested	request	requested
information	inform	information
concerning	concern	concerning
cases	case	case
of	of	of
sexual	sexual	sexual
violence	violenc	violence
,	,	,
including	includ	including
rape	rape	rape
,	,	,
against	against	against
Rohingya	rohingya	Rohingya
women	women	woman
and	and	and
girls	girl	girl
by	by	by
State	state	State
security	secur	security
forces	forc	force
;	;	;
and	and	and
to	to	to
provide	provid	provide
details	detail	detail
on	on	on
the	the	the
number	number	number
of	of	of
women	women	woman
and	and	and
girls	girl	girl
who	who	who
have	have	have
been	been	been
killed	kill	killed
or	or	or
have	have	have
died	die	died
due	due	due
to	to	to
other	other	other
non	non	non
-natural	-natur	-natural
causes	caus	cause
during	dure	during
the	the	the
latest	latest	latest
outbreak	outbreak	outbreak
of	of	of
violence	violenc	violence
,	,	,
it	it	it
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Haider	haider	Haider
said	said	said
Essentially	essenti	Essentially
it	it	it
s	s	s
rape	rape	rape
,	,	,
sexual	sexual	sexual
violence	violenc	violence
which	which	which
amounts	amount	amount
to	to	to
torture	tortur	torture
in	in	in
certain	certain	certain
cases	case	case
for	for	for
girls	girl	girl
and	and	and
women	women	woman
.	.	.
And	and	And
gang	gang	gang
-raping	-rape	-raping
also	also	also
was	was	wa
documented	document	documented
.	.	.
.	.	.
.	.	.
And	and	And
yes	yes	yes
,	,	,
torture	tortur	torture
-	-	-
rapes	rape	rape
used	use	used
as	as	a
a	a	a
systematic	systemat	systematic
weapon	weapon	weapon
of	of	of
war	war	war
.	.	.
The	the	The
experts	expert	expert
requested	request	requested
information	inform	information
on	on	on
investigations	investig	investigation
,	,	,
arrests	arrest	arrest
,	,	,
prosecutions	prosecut	prosecution
,	,	,
convictions	convict	conviction
and	and	and
sentences	sentenc	sentence
or	or	or
disciplinary	disciplinari	disciplinary
measures	measur	measure
imposed	impos	imposed
on	on	on
perpetrators	perpetr	perpetrator
,	,	,
including	includ	including
members	member	member
of	of	of
the	the	the
armed	arm	armed
forces	forc	force
,	,	,
found	found	found
guilty	guilti	guilty
of	of	of
such	such	such
crimes	crime	crime
.	.	.
Specifically	specif	Specifically
,	,	,
they	they	they
sought	sought	sought
information	inform	information
on	on	on
the	the	the
battalions	battalion	battalion
that	that	that
have	have	have
undertaken	undertaken	undertaken
the	the	the
clearance	clearanc	clearance
operations	oper	operation
in	in	in
northern	northern	northern
Rakhine	rakhin	Rakhine
state	state	state
since	sinc	since
August	august	August
25	25	25
and	and	and
under	under	under
whose	whose	whose
command	command	command
.	.	.
They	they	They
asked	ask	asked
whether	whether	whether
instructions	instruct	instruction
have	have	have
been	been	been
given	given	given
or	or	or
are	are	are
being	be	being
issued	issu	issued
to	to	to
all	all	all
branches	branch	branch
of	of	of
state	state	state
security	secur	security
forces	forc	force
that	that	that
torture	tortur	torture
,	,	,
sexual	sexual	sexual
violence	violenc	violence
and	and	and
expulsions	expuls	expulsion
are	are	are
banned	ban	banned
and	and	and
that	that	that
those	those	those
responsible	respons	responsible
will	will	will
be	be	be
prosecuted	prosecut	prosecuted
and	and	and
punished	punish	punished
.	.	.
The	the	The
panel	panel	panel
said	said	said
it	it	it
wanted	want	wanted
to	to	to
know	know	know
how	how	how
many	mani	many
Rohingya	rohingya	Rohingya
women	women	woman
and	and	and
girls	girl	girl
are	are	are
being	be	being
detained	detain	detained
by	by	by
security	secur	security
forces	forc	force
.	.	.
Pope	pope	Pope
Francis	franci	Francis
on	on	on
Tuesday	tuesday	Tuesday
urged	urg	urged
the	the	the
leaders	leader	leader
of	of	of
majority	major	majority
-Buddhist	-buddhist	-Buddhist
Myanmar	myanmar	Myanmar
,	,	,
mired	mire	mired
in	in	in
a	a	a
crisis	crisi	crisis
over	over	over
the	the	the
fate	fate	fate
of	of	of
Muslim	muslim	Muslim
Rohingya	rohingya	Rohingya
people	peopl	people
,	,	,
to	to	to
commit	commit	commit
themselves	themselv	themselves
to	to	to
justice	justic	justice
,	,	,
human	human	human
rights	right	right
and	and	and
respect	respect	respect
for	for	for
each	each	each
ethnic	ethnic	ethnic
group	group	group
and	and	and
its	it	it
identity	ident	identity
.	.	.
