ISTANBUL	istanbul	ISTANBUL
Reuters	reuter	Reuters
-	-	-
Turkish	turkish	Turkish
police	polic	police
have	have	have
detained	detain	detained
17	17	17
people	peopl	people
as	as	a
part	part	part
of	of	of
an	an	an
investigation	investig	investigation
related	relat	related
to	to	to
gold	gold	gold
trader	trader	trader
Reza	reza	Reza
Zarrab	zarrab	Zarrab
,	,	,
who	who	who
is	is	is
cooperating	cooper	cooperating
with	with	with
prosecutors	prosecutor	prosecutor
in	in	in
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
trial	trial	trial
,	,	,
state	state	state
-run	-run	-run
Anadolu	anadolu	Anadolu
news	news	news
agency	agenc	agency
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Police	polic	Police
detained	detain	detained
three	three	three
of	of	of
Zarrab	zarrab	Zarrab
s	s	s
employees	employe	employee
on	on	on
suspicion	suspicion	suspicion
of	of	of
delivering	deliv	delivering
documents	document	document
from	from	from
the	the	the
network	network	network
of	of	of
Muslim	muslim	Muslim
cleric	cleric	cleric
Fethullah	fethullah	Fethullah
Gulen	gulen	Gulen
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
prosecutors	prosecutor	prosecutor
,	,	,
Anadolu	anadolu	Anadolu
said	said	said
.	.	.
Ankara	ankara	Ankara
says	say	say
U	u	U
.	.	.
S	s	S
.	.	.
prosecutors	prosecutor	prosecutor
have	have	have
based	base	based
their	their	their
case	case	case
on	on	on
documents	document	document
fabricated	fabric	fabricated
by	by	by
Gulen	gulen	Gulen
s	s	s
followers	follow	follower
,	,	,
who	who	who
it	it	it
also	also	also
blames	blame	blame
for	for	for
orchestrating	orchestr	orchestrating
last	last	last
year	year	year
s	s	s
failed	fail	failed
coup	coup	coup
in	in	in
Turkey	turkey	Turkey
.	.	.
Zarrab	zarrab	Zarrab
,	,	,
a	a	a
Turkish	turkish	Turkish
and	and	and
Iranian	iranian	Iranian
national	nation	national
,	,	,
has	has	ha
pleaded	plead	pleaded
guilty	guilti	guilty
to	to	to
charges	charg	charge
that	that	that
he	he	he
schemed	scheme	schemed
to	to	to
help	help	help
Iran	iran	Iran
evade	evad	evade
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
,	,	,
and	and	and
is	is	is
testifying	testifi	testifying
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
prosecutors	prosecutor	prosecutor
against	against	against
an	an	an
executive	execut	executive
from	from	from
a	a	a
Turkish	turkish	Turkish
state	state	state
-owned	-own	-owned
bank	bank	bank
for	for	for
related	relat	related
charges	charg	charge
.	.	.
The	the	The
executive	execut	executive
has	has	ha
pleaded	plead	pleaded
innocent	innoc	innocent
and	and	and
the	the	the
bank	bank	bank
has	has	ha
said	said	said
all	all	all
of	of	of
its	it	it
transactions	transact	transaction
complied	compli	complied
with	with	with
international	intern	international
regulations	regul	regulation
.	.	.
The	the	The
case	case	case
has	has	ha
strained	strain	strained
ties	tie	tie
between	between	between
the	the	the
United	unit	United
States	state	States
and	and	and
Turkey	turkey	Turkey
,	,	,
both	both	both
members	member	member
of	of	of
the	the	the
NATO	nato	NATO
military	militari	military
alliance	allianc	alliance
.	.	.
It	it	It
has	has	ha
infuriated	infuri	infuriated
President	presid	President
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
,	,	,
who	who	who
has	has	ha
cast	cast	cast
the	the	the
trial	trial	trial
as	as	a
an	an	an
attempt	attempt	attempt
to	to	to
undermine	undermin	undermine
Turkey	turkey	Turkey
and	and	and
its	it	it
economy	economi	economy
.	.	.
It	it	It
is	is	is
right	right	right
that	that	that
there	there	there
is	is	is
a	a	a
plot	plot	plot
allegation	alleg	allegation
in	in	in
the	the	the
trial	trial	trial
s	s	s
indictment	indict	indictment
,	,	,
but	but	but
it	it	it
is	is	is
a	a	a
plot	plot	plot
against	against	against
Turkey	turkey	Turkey
,	,	,
not	not	not
against	against	against
the	the	the
United	unit	United
States	state	States
,	,	,
Erdogan	erdogan	Erdogan
told	told	told
members	member	member
of	of	of
his	his	his
ruling	rule	ruling
AK	ak	AK
Party	parti	Party
in	in	in
parliament	parliament	parliament
.	.	.
This	this	This
trial	trial	trial
is	is	is
an	an	an
international	intern	international
coup	coup	coup
attempt	attempt	attempt
,	,	,
a	a	a
process	process	process
at	at	at
the	the	the
center	center	center
of	of	of
which	which	which
is	is	is
FETO	feto	FETO
,	,	,
he	he	he
said	said	said
,	,	,
using	use	using
the	the	the
Turkish	turkish	Turkish
government	govern	government
s	s	s
term	term	term
for	for	for
Gulen	gulen	Gulen
s	s	s
network	network	network
.	.	.
Gulen	gulen	Gulen
,	,	,
who	who	who
has	has	ha
lived	live	lived
in	in	in
the	the	the
United	unit	United
States	state	States
since	sinc	since
1999	1999	1999
,	,	,
has	has	ha
denied	deni	denied
charges	charg	charge
he	he	he
was	was	wa
behind	behind	behind
the	the	the
coup	coup	coup
,	,	,
and	and	and
condemned	condemn	condemned
the	the	the
military	militari	military
intervention	intervent	intervention
.	.	.
Police	polic	Police
searched	search	searched
the	the	the
houses	hous	house
of	of	of
the	the	the
three	three	three
employees	employe	employee
and	and	and
found	found	found
electronic	electron	electronic
copies	copi	copy
of	of	of
documents	document	document
,	,	,
Anadolu	anadolu	Anadolu
said	said	said
.	.	.
It	it	It
said	said	said
fourteen	fourteen	fourteen
more	more	more
people	peopl	people
had	had	had
been	been	been
detained	detain	detained
as	as	a
part	part	part
of	of	of
the	the	the
investigation	investig	investigation
.	.	.
No	no	No
one	one	one
was	was	wa
immediately	immedi	immediately
available	avail	available
for	for	for
comment	comment	comment
at	at	at
Istanbul	istanbul	Istanbul
police	polic	police
headquarters	headquart	headquarters
.	.	.
Last	last	Last
week	week	week
the	the	the
Istanbul	istanbul	Istanbul
prosecutor	prosecutor	prosecutor
s	s	s
office	offic	office
decided	decid	decided
to	to	to
seize	seiz	seize
the	the	the
assets	asset	asset
of	of	of
Zarrab	zarrab	Zarrab
and	and	and
those	those	those
of	of	of
his	his	his
acquaintances	acquaint	acquaintance
as	as	a
part	part	part
of	of	of
the	the	the
investigation	investig	investigation
,	,	,
Anadolu	anadolu	Anadolu
reported	report	reported
.	.	.
