HANOI	hanoi	HANOI
Reuters	reuter	Reuters
-	-	-
In	in	In
a	a	a
telephone	telephon	telephone
call	call	call
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
-elect	-elect	-elect
Donald	donald	Donald
Trump	trump	Trump
told	told	told
Vietnam	vietnam	Vietnam
s	s	s
prime	prime	prime
minister	minist	minister
he	he	he
wanted	want	wanted
to	to	to
further	further	further
strengthen	strengthen	strengthen
fast	fast	fast
-warming	-warm	-warming
ties	tie	tie
between	between	between
the	the	the
two	two	two
countries	countri	country
,	,	,
the	the	the
government	govern	government
of	of	of
the	the	the
Southeast	southeast	Southeast
Asian	asian	Asian
nation	nation	nation
said	said	said
on	on	on
Thursday	thursday	Thursday
.	.	.
Vietnam	vietnam	Vietnam
has	has	ha
advanced	advanc	advanced
ties	tie	tie
with	with	with
the	the	the
United	unit	United
States	state	States
to	to	to
a	a	a
new	new	new
level	level	level
under	under	under
the	the	the
Obama	obama	Obama
administration	administr	administration
as	as	a
it	it	it
faces	face	face
down	down	down
communist	communist	communist
neighbor	neighbor	neighbor
China	china	China
s	s	s
challenge	challeng	challenge
to	to	to
its	it	it
territorial	territori	territorial
claims	claim	claim
in	in	in
the	the	the
busy	busi	busy
waterway	waterway	waterway
of	of	of
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
.	.	.
During	dure	During
Wednesday	wednesday	Wednesday
s	s	s
conversation	convers	conversation
,	,	,
Vietnamese	vietnames	Vietnamese
premier	premier	premier
Nguyen	nguyen	Nguyen
Xuan	xuan	Xuan
Phuc	phuc	Phuc
congratulated	congratul	congratulated
Trump	trump	Trump
on	on	on
his	his	his
election	elect	election
win	win	win
and	and	and
stressed	stress	stressed
the	the	the
importance	import	importance
of	of	of
maintaining	maintain	maintaining
friendship	friendship	friendship
and	and	and
cooperation	cooper	cooperation
.	.	.
President	presid	President
-elect	-elect	-elect
Trump	trump	Trump
spoke	spoke	spoke
highly	high	highly
of	of	of
the	the	the
achievements	achiev	achievement
of	of	of
Vietnam	vietnam	Vietnam
,	,	,
as	as	a
well	well	well
as	as	a
the	the	the
positive	posit	positive
developments	develop	development
in	in	in
bilateral	bilater	bilateral
ties	tie	tie
,	,	,
Vietnam	vietnam	Vietnam
s	s	s
government	govern	government
said	said	said
on	on	on
its	it	it
news	news	news
website	websit	website
.	.	.
He	he	He
also	also	also
asserted	assert	asserted
his	his	his
wish	wish	wish
to	to	to
cooperate	cooper	cooperate
with	with	with
Vietnam	vietnam	Vietnam
to	to	to
accelerate	acceler	accelerate
the	the	the
relationship	relationship	relationship
between	between	between
the	the	the
two	two	two
countries	countri	country
.	.	.
Trump	trump	Trump
has	has	ha
had	had	had
conversations	convers	conversation
with	with	with
several	sever	several
leaders	leader	leader
of	of	of
countries	countri	country
locked	lock	locked
in	in	in
maritime	maritim	maritime
disputes	disput	dispute
with	with	with
China	china	China
,	,	,
among	among	among
them	them	them
Japan	japan	Japan
,	,	,
the	the	the
Philippines	philippin	Philippines
and	and	and
Taiwan	taiwan	Taiwan
.	.	.
His	his	His
trade	trade	trade
platform	platform	platform
runs	run	run
counter	counter	counter
to	to	to
Vietnam	vietnam	Vietnam
s	s	s
interests	interest	interest
,	,	,
however	howev	however
,	,	,
with	with	with
his	his	his
opposition	opposit	opposition
to	to	to
a	a	a
Trans	tran	Trans
-Pacific	-pacif	-Pacific
Partnership	partnership	Partnership
proving	prove	proving
a	a	a
major	major	major
setback	setback	setback
for	for	for
Southeast	southeast	Southeast
Asia	asia	Asia
s	s	s
biggest	biggest	biggest
exporter	export	exporter
to	to	to
the	the	the
United	unit	United
States	state	States
.	.	.
Trump	trump	Trump
and	and	and
Phuc	phuc	Phuc
discussed	discuss	discussed
ways	way	way
to	to	to
promote	promot	promote
economic	econom	economic
ties	tie	tie
,	,	,
trade	trade	trade
and	and	and
investment	invest	investment
,	,	,
the	the	the
government	govern	government
added	ad	added
.	.	.
In	in	In
a	a	a
statement	statement	statement
,	,	,
Trump	trump	Trump
s	s	s
transition	transit	transition
team	team	team
confirmed	confirm	confirmed
the	the	the
conversation	convers	conversation
,	,	,
saying	say	saying
the	the	the
two	two	two
men	men	men
discussed	discuss	discussed
a	a	a
range	rang	range
of	of	of
shared	share	shared
interests	interest	interest
and	and	and
agreed	agre	agreed
to	to	to
work	work	work
together	togeth	together
to	to	to
continue	continu	continue
strengthening	strengthen	strengthening
the	the	the
relationship	relationship	relationship
between	between	between
the	the	the
two	two	two
nations	nation	nation
.	.	.
Just	just	Just
days	day	day
after	after	after
Trump	trump	Trump
s	s	s
win	win	win
,	,	,
Phuc	phuc	Phuc
told	told	told
parliament	parliament	parliament
that	that	that
ratification	ratif	ratification
of	of	of
the	the	the
TPP	tpp	TPP
would	would	would
be	be	be
shelved	shelv	shelved
because	becaus	because
of	of	of
political	polit	political
changes	chang	change
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
but	but	but
Vietnam	vietnam	Vietnam
still	still	still
wanted	want	wanted
good	good	good
relations	relat	relation
with	with	with
Washington	washington	Washington
.	.	.
In	in	In
a	a	a
separate	separ	separate
development	develop	development
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
guided	guid	guided
-missile	-missil	-missile
destroyer	destroy	destroyer
,	,	,
the	the	the
Mustin	mustin	Mustin
,	,	,
visited	visit	visited
Cam	cam	Cam
Ranh	ranh	Ranh
international	intern	international
port	port	port
on	on	on
Thursday	thursday	Thursday
in	in	in
a	a	a
routine	routin	routine
technical	technic	technical
stop	stop	stop
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
embassy	embassi	embassy
said	said	said
.	.	.
The	the	The
ship	ship	ship
s	s	s
visit	visit	visit
was	was	wa
an	an	an
example	exampl	example
of	of	of
the	the	the
depth	depth	depth
of	of	of
our	our	our
comprehensive	comprehens	comprehensive
partnership	partnership	partnership
and	and	and
the	the	the
importance	import	importance
of	of	of
strengthening	strengthen	strengthening
our	our	our
civilian	civilian	civilian
and	and	and
military	militari	military
ties	tie	tie
,	,	,
said	said	said
U	u	U
.	.	.
S	s	S
.	.	.
Ambassador	ambassador	Ambassador
Ted	ted	Ted
Osius	osius	Osius
.	.	.
Vietnam	vietnam	Vietnam
has	has	ha
expressed	express	expressed
support	support	support
for	for	for
the	the	the
United	unit	United
States	state	States
to	to	to
maintain	maintain	maintain
its	it	it
security	secur	security
presence	presenc	presence
in	in	in
Asia	asia	Asia
.	.	.
Washington	washington	Washington
fully	fulli	fully
lifted	lift	lifted
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
lethal	lethal	lethal
arms	arm	arm
embargo	embargo	embargo
on	on	on
Vietnam	vietnam	Vietnam
in	in	in
May	may	May
,	,	,
allowing	allow	allowing
closer	closer	closer
defense	defens	defense
links	link	link
and	and	and
some	some	some
joint	joint	joint
military	militari	military
exercises	exercis	exercise
.	.	.
