Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
proposed	propos	proposed
budget	budget	budget
estimates	estim	estimate
that	that	that
the	the	the
federal	feder	federal
government	govern	government
could	could	could
save	save	save
35	35	35
billion	billion	billion
over	over	over
the	the	the
next	next	next
decade	decad	decade
by	by	by
rolling	roll	rolling
back	back	back
regulations	regul	regulation
governing	govern	governing
Wall	wall	Wall
Street	street	Street
.	.	.

The	the	The
White	white	White
House	hous	House
does	doe	doe
not	not	not
detail	detail	detail
how	how	how
those	those	those
savings	save	saving
,	,	,
which	which	which
are	are	are
equivalent	equival	equivalent
to	to	to
the	the	the
annual	annual	annual
economic	econom	economic
output	output	output
of	of	of
the	the	the
Democratic	democrat	Democratic
Republic	republ	Republic
of	of	of
Congo	congo	Congo
,	,	,
would	would	would
be	be	be
realized	realiz	realized
.	.	.

But	but	But
the	the	the
administration	administr	administration
said	said	said
an	an	an
ongoing	ongo	ongoing
review	review	review
of	of	of
existing	exist	existing
financial	financi	financial
rules	rule	rule
will	will	will
likely	like	likely
result	result	result
in	in	in
proposals	propos	proposal
that	that	that
will	will	will
provide	provid	provide
significant	signific	significant
savings	save	saving
to	to	to
the	the	the
federal	feder	federal
government	govern	government
.	.	.
While	while	While
it	it	it
is	is	is
not	not	not
expected	expect	expected
to	to	to
be	be	be
passed	pass	passed
by	by	by
Congress	congress	Congress
,	,	,
the	the	the
fiscal	fiscal	fiscal
2018	2018	2018
budget	budget	budget
unveiled	unveil	unveiled
by	by	by
the	the	the
White	white	White
House	hous	House
on	on	on
Tuesday	tuesday	Tuesday
hews	hew	hews
closely	close	closely
to	to	to
Trump	trump	Trump
s	s	s
view	view	view
that	that	that
slashing	slash	slashing
financial	financi	financial
regulations	regul	regulation
would	would	would
boost	boost	boost
the	the	the
economy	economi	economy
.	.	.

Treasury	treasuri	Treasury
Secretary	secretari	Secretary
Steven	steven	Steven
Mnuchin	mnuchin	Mnuchin
is	is	is
currently	current	currently
conducting	conduct	conducting
a	a	a
comprehensive	comprehens	comprehensive
review	review	review
of	of	of
the	the	the
impact	impact	impact
of	of	of
the	the	the
2010	2010	2010
Dodd	dodd	Dodd
-Frank	-frank	-Frank
financial	financi	financial
reform	reform	reform
legislation	legisl	legislation
.	.	.

An	an	An
initial	initi	initial
report	report	report
recommending	recommend	recommending
policy	polici	policy
changes	chang	change
is	is	is
expected	expect	expected
to	to	to
come	come	come
at	at	at
the	the	the
beginning	begin	beginning
of	of	of
June	june	June
.	.	.

The	the	The
White	white	White
House	hous	House
s	s	s
projected	project	projected
savings	save	saving
from	from	from
easing	eas	easing
financial	financi	financial
rules	rule	rule
exceed	exceed	exceed
estimates	estim	estimate
offered	offer	offered
by	by	by
the	the	the
Congressional	congression	Congressional
Budget	budget	Budget
Office	offic	Office
.	.	.

That	that	That
policy	polici	policy
scorekeeper	scorekeep	scorekeeper
calculated	calcul	calculated
that	that	that
24	24	24
billion	billion	billion
would	would	would
be	be	be
saved	save	saved
over	over	over
a	a	a
decade	decad	decade
if	if	if
a	a	a
broad	broad	broad
Dodd	dodd	Dodd
-Frank	-frank	-Frank
rollback	rollback	rollback
bill	bill	bill
currently	current	currently
in	in	in
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
were	were	were
passed	pass	passed
.	.	.

Most	most	Most
of	of	of
those	those	those
savings	save	saving
identified	identifi	identified
by	by	by
CBO	cbo	CBO
come	come	come
from	from	from
eliminating	elimin	eliminating
a	a	a
Dodd	dodd	Dodd
-Frank	-frank	-Frank
provision	provis	provision
allowing	allow	allowing
the	the	the
government	govern	government
to	to	to
step	step	step
in	in	in
and	and	and
wind	wind	wind
down	down	down
failing	fail	failing
financial	financi	financial
institutions	institut	institution
,	,	,
and	and	and
by	by	by
placing	place	placing
tighter	tighter	tighter
control	control	control
over	over	over
the	the	the
funding	fund	funding
of	of	of
the	the	the
Consumer	consum	Consumer
Financial	financi	Financial
Protection	protect	Protection
Bureau	bureau	Bureau
CFPB	cfpb	CFPB
,	,	,
which	which	which
was	was	wa
set	set	set
up	up	up
to	to	to
protect	protect	protect
consumers	consum	consumer
from	from	from
predatory	predatori	predatory
lending	lend	lending
.	.	.

Trump	trump	Trump
s	s	s
budget	budget	budget
would	would	would
give	give	give
control	control	control
of	of	of
funding	fund	funding
that	that	that
agency	agenc	agency
to	to	to
Congress	congress	Congress
,	,	,
a	a	a
policy	polici	policy
change	chang	change
sought	sought	sought
by	by	by
Republicans	republican	Republicans
eager	eager	eager
to	to	to
rein	rein	rein
it	it	it
in	in	in
.	.	.

Currently	current	Currently
,	,	,
the	the	the
CFPB	cfpb	CFPB
gets	get	get
its	it	it
funding	fund	funding
from	from	from
the	the	the
Federal	feder	Federal
Reserve	reserv	Reserve
.	.	.

The	the	The
White	white	White
House	hous	House
estimates	estim	estimate
that	that	that
moving	move	moving
oversight	oversight	oversight
of	of	of
the	the	the
CFPB	cfpb	CFPB
to	to	to
Congress	congress	Congress
would	would	would
save	save	save
the	the	the
federal	feder	federal
government	govern	government
6	6	6
.	.	.
8	8	8
billion	billion	billion
over	over	over
a	a	a
decade	decad	decade
.	.	.

However	howev	However
,	,	,
the	the	the
budget	budget	budget
proposal	propos	proposal
does	doe	doe
not	not	not
account	account	account
for	for	for
any	ani	any
funds	fund	fund
appropriated	appropri	appropriated
to	to	to
the	the	the
CFPB	cfpb	CFPB
beyond	beyond	beyond
fiscal	fiscal	fiscal
2018	2018	2018
.	.	.

The	the	The
Office	offic	Office
of	of	of
Financial	financi	Financial
Research	research	Research
,	,	,
also	also	also
created	creat	created
by	by	by
Dodd	dodd	Dodd
-Frank	-frank	-Frank
to	to	to
gather	gather	gather
data	data	data
on	on	on
financial	financi	financial
markets	market	market
,	,	,
is	is	is
facing	face	facing
a	a	a
28	28	28
percent	percent	percent
budget	budget	budget
cut	cut	cut
under	under	under
the	the	the
new	new	new
plan	plan	plan
.	.	.

The	the	The
Commodity	commod	Commodity
Futures	futur	Futures
Trading	trade	Trading
Commission	commiss	Commission
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
Securities	secur	Securities
and	and	and
Exchange	exchang	Exchange
Commission	commiss	Commission
would	would	would
see	see	see
their	their	their
budgets	budget	budget
hold	hold	hold
steady	steadi	steady
at	at	at
250	250	250
million	million	million
and	and	and
1	1	1
.	.	.
6	6	6
billion	billion	billion
,	,	,
respectively	respect	respectively
,	,	,
under	under	under
the	the	the
new	new	new
budget	budget	budget
.	.	.

The	the	The
CFTC	cftc	CFTC
is	is	is
pushing	push	pushing
for	for	for
an	an	an
additional	addit	additional
31	31	31
million	million	million
in	in	in
funding	fund	funding
in	in	in
its	it	it
own	own	own
budget	budget	budget
request	request	request
.	.	.

