HARARE	harar	HARARE
Reuters	reuter	Reuters
-	-	-
Zimbabwe	zimbabw	Zimbabwe
s	s	s
top	top	top
general	general	general
warned	warn	warned
on	on	on
Monday	monday	Monday
that	that	that
the	the	the
military	militari	military
would	would	would
not	not	not
hesitate	hesit	hesitate
to	to	to
step	step	step
in	in	in
to	to	to
end	end	end
purges	purg	purge
against	against	against
former	former	former
liberation	liber	liberation
war	war	war
fighters	fighter	fighter
in	in	in
President	presid	President
Robert	robert	Robert
Mugabe	mugab	Mugabe
s	s	s
ruling	rule	ruling
party	parti	party
after	after	after
Emmerson	emmerson	Emmerson
Mnangagwa	mnangagwa	Mnangagwa
was	was	wa
stripped	strip	stripped
of	of	of
his	his	his
vice	vice	vice
president	presid	president
s	s	s
post	post	post
.	.	.

General	general	General
Constantino	constantino	Constantino
Chiwenga	chiwenga	Chiwenga
,	,	,
commander	command	commander
of	of	of
Zimbabwe	zimbabw	Zimbabwe
Defence	defenc	Defence
Forces	forc	Forces
and	and	and
a	a	a
political	polit	political
ally	alli	ally
of	of	of
Mnangagwa	mnangagwa	Mnangagwa
who	who	who
was	was	wa
also	also	also
expelled	expel	expelled
from	from	from
the	the	the
ruling	rule	ruling
ZANU	zanu	ZANU
-PF	-pf	-PF
,	,	,
said	said	said
instability	instabl	instability
in	in	in
the	the	the
party	parti	party
was	was	wa
causing	caus	causing
anxiety	anxieti	anxiety
in	in	in
Zimbabwe	zimbabw	Zimbabwe
.	.	.

Chiwenga	chiwenga	Chiwenga
s	s	s
statement	statement	statement
,	,	,
read	read	read
out	out	out
at	at	at
a	a	a
news	news	news
conference	confer	conference
packed	pack	packed
with	with	with
army	armi	army
top	top	top
brass	brass	brass
,	,	,
comes	come	come
at	at	at
a	a	a
time	time	time
of	of	of
a	a	a
deepening	deepen	deepening
rift	rift	rift
within	within	within
ZANU	zanu	ZANU
-PF	-pf	-PF
over	over	over
who	who	who
will	will	will
eventually	eventu	eventually
lead	lead	lead
the	the	the
party	parti	party
after	after	after
the	the	the
93	93	93
-year-old	-year-old	-year-old
Mugabe	mugab	Mugabe
goes	goe	go
.	.	.

Mnangagwa	mnangagwa	Mnangagwa
s	s	s
removal	remov	removal
provides	provid	provides
a	a	a
boost	boost	boost
for	for	for
Grace	grace	Grace
Mugabe	mugab	Mugabe
,	,	,
the	the	the
wife	wife	wife
of	of	of
the	the	the
president	presid	president
,	,	,
who	who	who
is	is	is
supported	support	supported
by	by	by
the	the	the
largely	larg	largely
youthful	youth	youthful
G40	g40	G40
faction	faction	faction
of	of	of
ZANU	zanu	ZANU
-PF	-pf	-PF
to	to	to
succeed	succeed	succeed
her	her	her
husband	husband	husband
.	.	.

Chiwenga	chiwenga	Chiwenga
said	said	said
ZANU	zanu	ZANU
-PF	-pf	-PF
had	had	had
been	been	been
hijacked	hijack	hijacked
by	by	by
people	peopl	people
who	who	who
did	did	did
not	not	not
fight	fight	fight
in	in	in
the	the	the
1970s	1970s	1970s
liberation	liber	liberation
war	war	war
,	,	,
a	a	a
clear	clear	clear
shot	shot	shot
at	at	at
G40	g40	G40
wing	wing	wing
and	and	and
Grace	grace	Grace
Mugabe	mugab	Mugabe
who	who	who
is	is	is
a	a	a
vocal	vocal	vocal
critic	critic	critic
of	of	of
Mnangagwa	mnangagwa	Mnangagwa
.	.	.

We	we	We
must	must	must
remind	remind	remind
those	those	those
behind	behind	behind
the	the	the
current	current	current
treacherous	treacher	treacherous
shenanigans	shenanigan	shenanigan
that	that	that
,	,	,
when	when	when
it	it	it
comes	come	come
to	to	to
matters	matter	matter
of	of	of
protecting	protect	protecting
our	our	our
revolution	revolut	revolution
,	,	,
the	the	the
military	militari	military
will	will	will
not	not	not
hesitate	hesit	hesitate
to	to	to
step	step	step
in	in	in
,	,	,
Chiwenga	chiwenga	Chiwenga
said	said	said
in	in	in
a	a	a
statement	statement	statement
read	read	read
to	to	to
reporters	report	reporter
at	at	at
the	the	the
news	news	news
conference	confer	conference
.	.	.

The	the	The
current	current	current
purging	purg	purging
.	.	.
.	.	.
.	.	.

targeting	target	targeting
members	member	member
of	of	of
the	the	the
party	parti	party
with	with	with
a	a	a
liberation	liber	liberation
background	background	background
must	must	must
stop	stop	stop
forthwith	forthwith	forthwith
,	,	,
he	he	he
said	said	said
.	.	.

Mugabe	mugab	Mugabe
s	s	s
37	37	37
years	year	year
in	in	in
power	power	power
has	has	ha
been	been	been
anchored	anchor	anchored
by	by	by
support	support	support
from	from	from
the	the	the
military	militari	military
,	,	,
which	which	which
has	has	ha
always	alway	always
said	said	said
it	it	it
will	will	will
not	not	not
back	back	back
anyone	anyon	anyone
for	for	for
president	presid	president
who	who	who
did	did	did
not	not	not
fight	fight	fight
in	in	in
the	the	the
liberation	liber	liberation
war	war	war
.	.	.

But	but	But
the	the	the
aging	age	aging
leader	leader	leader
has	has	ha
been	been	been
accusing	accus	accusing
the	the	the
generals	general	general
of	of	of
taking	take	taking
sides	side	side
in	in	in
the	the	the
succession	success	succession
race	race	race
.	.	.

It	it	It
is	is	is
rare	rare	rare
for	for	for
the	the	the
defense	defens	defense
forces	forc	force
to	to	to
publicly	public	publicly
take	take	take
sides	side	side
in	in	in
the	the	the
affairs	affair	affair
of	of	of
ZANU	zanu	ZANU
-PF	-pf	-PF
.	.	.

When	when	When
Joice	joic	Joice
Mujuru	mujuru	Mujuru
,	,	,
a	a	a
war	war	war
veteran	veteran	veteran
and	and	and
Mugabe	mugab	Mugabe
s	s	s
deputy	deputi	deputy
of	of	of
10	10	10
years	year	year
,	,	,
was	was	wa
sacked	sack	sacked
from	from	from
the	the	the
ruling	rule	ruling
party	parti	party
in	in	in
2014	2014	2014
,	,	,
the	the	the
military	militari	military
remained	remain	remained
quiet	quiet	quiet
.	.	.

Political	polit	Political
analysts	analyst	analyst
however	howev	however
say	say	say
the	the	the
military	militari	military
stayed	stay	stayed
quiet	quiet	quiet
then	then	then
because	becaus	because
the	the	the
beneficiary	beneficiari	beneficiary
of	of	of
Mujuru	mujuru	Mujuru
s	s	s
downfall	downfal	downfall
was	was	wa
the	the	the
75	75	75
-year-old	-year-old	-year-old
Mnangagwa	mnangagwa	Mnangagwa
,	,	,
a	a	a
war	war	war
veteran	veteran	veteran
.	.	.

Grace	grace	Grace
,	,	,
now	now	now
poised	pois	poised
to	to	to
become	becom	become
a	a	a
vice	vice	vice
president	presid	president
,	,	,
did	did	did
not	not	not
fight	fight	fight
in	in	in
the	the	the
liberation	liber	liberation
war	war	war
.	.	.

The	the	The
party	parti	party
appears	appear	appears
split	split	split
over	over	over
the	the	the
succession	success	succession
with	with	with
the	the	the
G40	g40	G40
faction	faction	faction
supporting	support	supporting
Grace	grace	Grace
and	and	and
another	anoth	another
faction	faction	faction
,	,	,
that	that	that
includes	includ	includes
war	war	war
veterans	veteran	veteran
,	,	,
rooting	root	rooting
for	for	for
the	the	the
ousted	oust	ousted
Mnangagwa	mnangagwa	Mnangagwa
.	.	.

Chiwenga	chiwenga	Chiwenga
said	said	said
ZANU	zanu	ZANU
-PF	-pf	-PF
had	had	had
since	sinc	since
2015	2015	2015
been	been	been
rocked	rock	rocked
by	by	by
infighting	infight	infighting
,	,	,
which	which	which
had	had	had
afflicted	afflict	afflicted
the	the	the
economy	economi	economy
,	,	,
causing	caus	causing
serious	serious	serious
cash	cash	cash
shortages	shortag	shortage
and	and	and
soaring	soar	soaring
prices	price	price
of	of	of
basic	basic	basic
commodities	commod	commodity
-	-	-
rare	rare	rare
criticism	critic	criticism
of	of	of
those	those	those
in	in	in
government	govern	government
by	by	by
the	the	the
military	militari	military
.	.	.

Analysts	analyst	Analysts
said	said	said
if	if	if
Mugabe	mugab	Mugabe
responded	respond	responded
to	to	to
Chiwenga	chiwenga	Chiwenga
s	s	s
statement	statement	statement
,	,	,
he	he	he
would	would	would
be	be	be
compelled	compel	compelled
to	to	to
choose	choos	choose
sides	side	side
between	between	between
war	war	war
veterans	veteran	veteran
and	and	and
the	the	the
young	young	young
turks	turk	turk
rallying	ralli	rallying
behind	behind	behind
his	his	his
wife	wife	wife
.	.	.

He	he	He
is	is	is
in	in	in
a	a	a
corner	corner	corner
.	.	.

He	he	He
has	has	ha
to	to	to
declare	declar	declare
his	his	his
allegiance	allegi	allegiance
.	.	.

If	if	If
he	he	he
condemns	condemn	condemns
that	that	that
statement	statement	statement
,	,	,
then	then	then
he	he	he
is	is	is
saying	say	saying
therefore	therefor	therefore
I	i	I
am	am	am
for	for	for
the	the	the
young	young	young
turks	turk	turk
against	against	against
the	the	the
war	war	war
veterans	veteran	veteran
,	,	,
said	said	said
Eldred	eldr	Eldred
Masunugure	masunugur	Masunugure
,	,	,
a	a	a
political	polit	political
science	scienc	science
lecturer	lectur	lecturer
at	at	at
the	the	the
University	univers	University
of	of	of
Zimbabwe	zimbabw	Zimbabwe
.	.	.

What	what	What
we	we	we
are	are	are
witnessing	wit	witnessing
is	is	is
the	the	the
military	militari	military
saying	say	saying
We	we	We
are	are	are
willing	will	willing
to	to	to
intervene	interven	intervene
if	if	if
the	the	the
red	red	red
line	line	line
is	is	is
crossed	cross	crossed
.	.	.

It	it	It
is	is	is
a	a	a
warning	warn	warning
that	that	that
the	the	the
political	polit	political
class	class	class
in	in	in
ZANU	zanu	ZANU
-PF	-pf	-PF
is	is	is
about	about	about
to	to	to
cross	cross	cross
that	that	that
red	red	red
line	line	line
.	.	.

