WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Republican	republican	Republican
officials	offici	official
from	from	from
16	16	16
U	u	U
.	.	.
S	s	S
.	.	.
states	state	state
led	led	led
by	by	by
Texas	texa	Texas
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
they	they	they
have	have	have
come	come	come
to	to	to
the	the	the
defense	defens	defense
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
ban	ban	ban
on	on	on
travelers	travel	traveler
from	from	from
six	six	six
Muslim	muslim	Muslim
-majority	-major	-majority
nations	nation	nation
,	,	,
telling	tell	telling
the	the	the
Supreme	suprem	Supreme
Court	court	Court
the	the	the
order	order	order
did	did	did
not	not	not
unconstitutionally	unconstitut	unconstitutionally
single	singl	single
out	out	out
Muslims	muslim	Muslims
and	and	and
was	was	wa
needed	need	needed
to	to	to
protect	protect	protect
national	nation	national
security	secur	security
.	.	.

The	the	The
officials	offici	official
filed	file	filed
a	a	a
legal	legal	legal
brief	brief	brief
with	with	with
the	the	the
Supreme	suprem	Supreme
Court	court	Court
as	as	a
it	it	it
mulls	mull	mull
whether	whether	whether
to	to	to
take	take	take
up	up	up
the	the	the
Trump	trump	Trump
administration	administr	administration
s	s	s
appeal	appeal	appeal
of	of	of
lower	lower	lower
court	court	court
rulings	rule	ruling
blocking	block	blocking
the	the	the
travel	travel	travel
ban	ban	ban
signed	sign	signed
by	by	by
the	the	the
Republican	republican	Republican
president	presid	president
on	on	on
March	march	March
6	6	6
and	and	and
let	let	let
it	it	it
go	go	go
into	into	into
effect	effect	effect
.	.	.

In	in	In
the	the	the
states	state	state
brief	brief	brief
,	,	,
filed	file	filed
on	on	on
Monday	monday	Monday
,	,	,
Texas	texa	Texas
Solicitor	solicitor	Solicitor
General	general	General
Scott	scott	Scott
Keller	keller	Keller
wrote	wrote	wrote
that	that	that
the	the	the
executive	execut	executive
order	order	order
does	doe	doe
not	not	not
mention	mention	mention
religion	religion	religion
at	at	at
all	all	all
and	and	and
distinguishes	distinguish	distinguishes
people	peopl	people
based	base	based
only	onli	only
on	on	on
nationality	nation	nationality
.	.	.

The	the	The
executive	execut	executive
order	order	order
therefore	therefor	therefore
is	is	is
emphatically	emphat	emphatically
not	not	not
a	a	a
Muslim	muslim	Muslim
ban	ban	ban
,	,	,
Keller	keller	Keller
wrote	wrote	wrote
.	.	.

Keller	keller	Keller
added	ad	added
that	that	that
courts	court	court
should	should	should
be	be	be
careful	care	careful
when	when	when
second	second	second
-guessing	-guess	-guessing
a	a	a
president	presid	president
s	s	s
national	nation	national
security	secur	security
determinations	determin	determination
,	,	,
an	an	an
argument	argument	argument
that	that	that
echoes	echo	echo
the	the	the
administration	administr	administration
s	s	s
view	view	view
that	that	that
the	the	the
judiciary	judiciari	judiciary
should	should	should
defer	defer	defer
to	to	to
the	the	the
president	presid	president
on	on	on
such	such	such
matters	matter	matter
.	.	.

The	the	The
brief	brief	brief
said	said	said
the	the	the
order	order	order
did	did	did
not	not	not
violation	violat	violation
the	the	the
Constitution	constitut	Constitution
s	s	s
ban	ban	ban
on	on	on
the	the	the
government	govern	government
favoring	favor	favoring
or	or	or
disfavoring	disfavor	disfavoring
any	ani	any
particular	particular	particular
religion	religion	religion
or	or	or
its	it	it
guarantee	guarante	guarantee
of	of	of
due	due	due
process	process	process
.	.	.

The	the	The
filing	file	filing
came	came	came
after	after	after
the	the	the
administration	administr	administration
asked	ask	asked
the	the	the
high	high	high
court	court	court
last	last	last
Thursday	thursday	Thursday
to	to	to
allow	allow	allow
the	the	the
order	order	order
to	to	to
take	take	take
effect	effect	effect
.	.	.

nL1N1IZ03Q	nl1n1iz03q	nL1N1IZ03Q
Aside	asid	Aside
from	from	from
Texas	texa	Texas
,	,	,
the	the	the
officials	offici	official
were	were	were
Republican	republican	Republican
state	state	state
attorneys	attorney	attorney
general	general	general
from	from	from
Alabama	alabama	Alabama
,	,	,
Arizona	arizona	Arizona
,	,	,
Arkansas	arkansa	Arkansas
,	,	,
Florida	florida	Florida
,	,	,
Kansas	kansa	Kansas
,	,	,
Louisiana	louisiana	Louisiana
,	,	,
Montana	montana	Montana
,	,	,
North	north	North
Dakota	dakota	Dakota
,	,	,
Ohio	ohio	Ohio
,	,	,
Oklahoma	oklahoma	Oklahoma
,	,	,
South	south	South
Carolina	carolina	Carolina
,	,	,
South	south	South
Dakota	dakota	Dakota
,	,	,
Tennessee	tennesse	Tennessee
and	and	and
West	west	West
Virginia	virginia	Virginia
,	,	,
as	as	a
well	well	well
as	as	a
Mississippi	mississippi	Mississippi
s	s	s
Republican	republican	Republican
governor	governor	governor
.	.	.

Three	three	Three
Republican	republican	Republican
attorneys	attorney	attorney
general	general	general
came	came	came
from	from	from
states	state	state
with	with	with
Democratic	democrat	Democratic
governors	governor	governor
Louisiana	louisiana	Louisiana
,	,	,
Montana	montana	Montana
and	and	and
West	west	West
Virginia	virginia	Virginia
.	.	.

Most	most	Most
of	of	of
the	the	the
states	state	state
had	had	had
also	also	also
backed	back	backed
Trump	trump	Trump
earlier	earlier	earlier
in	in	in
the	the	the
litigation	litig	litigation
.	.	.

Many	mani	Many
Democratic	democrat	Democratic
state	state	state
officials	offici	official
have	have	have
opposed	oppos	opposed
the	the	the
ban	ban	ban
in	in	in
lower	lower	lower
courts	court	court
.	.	.

The	the	The
high	high	high
court	court	court
is	is	is
due	due	due
to	to	to
review	review	review
legal	legal	legal
papers	paper	paper
filed	file	filed
by	by	by
the	the	the
ban	ban	ban
s	s	s
challengers	challeng	challenger
,	,	,
backed	back	backed
by	by	by
the	the	the
American	american	American
Civil	civil	Civil
Liberties	liberti	Liberties
Union	union	Union
,	,	,
before	befor	before
acting	act	acting
.	.	.

The	the	The
briefs	brief	brief
are	are	are
due	due	due
on	on	on
Monday	monday	Monday
.	.	.

A	a	A
key	key	key
issue	issu	issue
before	befor	before
the	the	the
justices	justic	justice
in	in	in
whether	whether	whether
Trump	trump	Trump
s	s	s
comments	comment	comment
during	dure	during
the	the	the
2016	2016	2016
president	presid	president
campaign	campaign	campaign
,	,	,
including	includ	including
calling	call	calling
for	for	for
a	a	a
total	total	total
and	and	and
complete	complet	complete
shutdown	shutdown	shutdown
of	of	of
Muslims	muslim	Muslims
entering	enter	entering
the	the	the
United	unit	United
States	state	States
,	,	,
can	can	can
be	be	be
used	use	used
as	as	a
evidence	evid	evidence
that	that	that
his	his	his
order	order	order
was	was	wa
intended	intend	intended
to	to	to
discriminate	discrimin	discriminate
against	against	against
Muslims	muslim	Muslims
.	.	.

The	the	The
administration	administr	administration
filed	file	filed
emergency	emerg	emergency
applications	applic	application
with	with	with
the	the	the
justices	justic	justice
seeking	seek	seeking
to	to	to
block	block	block
lower	lower	lower
court	court	court
rulings	rule	ruling
that	that	that
went	went	went
against	against	against
Trump	trump	Trump
s	s	s
order	order	order
barring	bar	barring
entry	entri	entry
for	for	for
people	peopl	people
from	from	from
Iran	iran	Iran
,	,	,
Libya	libya	Libya
,	,	,
Somalia	somalia	Somalia
,	,	,
Sudan	sudan	Sudan
,	,	,
Syria	syria	Syria
and	and	and
Yemen	yemen	Yemen
for	for	for
90	90	90
days	day	day
while	while	while
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
implements	implement	implement
stricter	stricter	stricter
visa	visa	visa
screening	screen	screening
.	.	.

Trump	trump	Trump
s	s	s
order	order	order
also	also	also
called	call	called
for	for	for
suspending	suspend	suspending
all	all	all
refugee	refuge	refugee
admissions	admiss	admission
for	for	for
120	120	120
days	day	day
.	.	.

The	the	The
move	move	move
comes	come	come
after	after	after
the	the	the
Richmond	richmond	Richmond
,	,	,
Virginia	virginia	Virginia
-based	-base	-based
4th	4th	4th
U	u	U
.	.	.
S	s	S
.	.	.
Circuit	circuit	Circuit
Court	court	Court
of	of	of
Appeals	appeal	Appeals
on	on	on
May	may	May
25	25	25
upheld	upheld	upheld
a	a	a
Maryland	maryland	Maryland
judge	judg	judge
s	s	s
ruling	rule	ruling
blocking	block	blocking
the	the	the
order	order	order
.	.	.

nL1N1IR1FY	nl1n1ir1fi	nL1N1IR1FY
Potentially	potenti	Potentially
making	make	making
it	it	it
harder	harder	harder
for	for	for
his	his	his
lawyers	lawyer	lawyer
to	to	to
win	win	win
at	at	at
the	the	the
Supreme	suprem	Supreme
Court	court	Court
,	,	,
Trump	trump	Trump
again	again	again
commented	comment	commented
on	on	on
the	the	the
case	case	case
on	on	on
Monday	monday	Monday
,	,	,
tweeting	tweet	tweeting
complaints	complaint	complaint
that	that	that
his	his	his
own	own	own
administration	administr	administration
had	had	had
issued	issu	issued
a	a	a
watered	water	watered
down	down	down
,	,	,
politically	polit	politically
correct	correct	correct
version	version	version
of	of	of
an	an	an
earlier	earlier	earlier
order	order	order
he	he	he
signed	sign	signed
on	on	on
Jan	jan	Jan
.	.	.

27	27	27
that	that	that
also	also	also
was	was	wa
blocked	block	blocked
by	by	by
courts	court	court
.	.	.

nL1N1J209L	nl1n1j209l	nL1N1J209L

