CLEVELAND	cleveland	CLEVELAND
Reuters	reuter	Reuters
-	-	-
An	an	An
Ohio	ohio	Ohio
judge	judg	judge
ruled	rule	ruled
Friday	friday	Friday
teenagers	teenag	teenager
celebrating	celebr	celebrating
their	their	their
18th	18th	18th
birthday	birthday	birthday
before	befor	before
November	novemb	November
s	s	s
election	elect	election
are	are	are
entitled	entitl	entitled
to	to	to
have	have	have
their	their	their
votes	vote	vote
for	for	for
presidential	presidenti	presidential
nominees	nomine	nominee
counted	count	counted
in	in	in
next	next	next
week	week	week
s	s	s
state	state	state
primary	primari	primary
.	.	.

Plaintiffs	plaintiff	Plaintiffs
are	are	are
entitled	entitl	entitled
to	to	to
a	a	a
judgment	judgment	judgment
that	that	that
the	the	the
secretary	secretari	secretary
abused	abus	abused
his	his	his
discretion	discret	discretion
,	,	,
Franklin	franklin	Franklin
County	counti	County
Common	common	Common
Pleas	plea	Pleas
Judge	judg	Judge
Richard	richard	Richard
Frye	frye	Frye
said	said	said
in	in	in
his	his	his
ruling	rule	ruling
about	about	about
Ohio	ohio	Ohio
Secretary	secretari	Secretary
of	of	of
State	state	State
Jon	jon	Jon
Husted	hust	Husted
.	.	.

Husted	hust	Husted
reversed	revers	reversed
an	an	an
earlier	earlier	earlier
decision	decis	decision
to	to	to
appeal	appeal	appeal
,	,	,
saying	say	saying
he	he	he
would	would	would
not	not	not
after	after	after
hearing	hear	hearing
the	the	the
case	case	case
would	would	would
only	onli	only
be	be	be
heard	heard	heard
a	a	a
day	day	day
before	befor	before
the	the	the
election	elect	election
,	,	,
leaving	leav	leaving
the	the	the
state	state	state
little	littl	little
time	time	time
to	to	to
properly	proper	properly
carry	carri	carry
out	out	out
the	the	the
election	elect	election
.	.	.

Even	even	Even
if	if	if
we	we	we
were	were	were
to	to	to
prevail	prevail	prevail
,	,	,
there	there	there
is	is	is
no	no	no
effective	effect	effective
way	way	way
to	to	to
responsibly	respons	responsibly
make	make	make
the	the	the
changes	chang	change
necessary	necessari	necessary
to	to	to
implement	implement	implement
an	an	an
orderly	order	orderly
election	elect	election
,	,	,
he	he	he
said	said	said
.	.	.

Nine	nine	Nine
teenagers	teenag	teenager
from	from	from
across	across	across
the	the	the
state	state	state
claimed	claim	claimed
in	in	in
a	a	a
lawsuit	lawsuit	lawsuit
this	this	this
week	week	week
that	that	that
Hustle	hustl	Hustle
s	s	s
interpretation	interpret	interpretation
of	of	of
state	state	state
law	law	law
that	that	that
eliminated	elimin	eliminated
their	their	their
voting	vote	voting
rights	right	right
was	was	wa
incorrect	incorrect	incorrect
.	.	.

The	the	The
judge	judg	judge
said	said	said
his	his	his
decision	decis	decision
affected	affect	affected
potentially	potenti	potentially
thousands	thousand	thousand
of	of	of
other	other	other
17	17	17
-year-old	-year-old	-year-old
voters	voter	voter
still	still	still
eager	eager	eager
to	to	to
participate	particip	participate
at	at	at
next	next	next
week	week	week
s	s	s
primary	primari	primary
election	elect	election
.	.	.
He	he	He
said	said	said
no	no	no
secretary	secretari	secretary
of	of	of
state	state	state
between	between	between
1981	1981	1981
and	and	and
2012	2012	2012
had	had	had
ever	ever	ever
adopted	adopt	adopted
the	the	the
reading	read	reading
of	of	of
state	state	state
law	law	law
he	he	he
was	was	wa
now	now	now
overturning	overturn	overturning
.	.	.

Husted	hust	Husted
in	in	in
December	decemb	December
modified	modifi	modified
the	the	the
state	state	state
s	s	s
election	elect	election
manual	manual	manual
to	to	to
say	say	say
17	17	17
-year-olds	-year-old	-year-olds
are	are	are
allowed	allow	allowed
only	onli	only
to	to	to
nominate	nomin	nominate
candidates	candid	candidate
but	but	but
are	are	are
prohibited	prohibit	prohibited
from	from	from
voting	vote	voting
for	for	for
presidential	presidenti	presidential
delegates	deleg	delegate
because	becaus	because
they	they	they
are	are	are
elected	elect	elected
,	,	,
not	not	not
nominated	nomin	nominated
,	,	,
according	accord	according
to	to	to
the	the	the
lawsuit	lawsuit	lawsuit
.	.	.

The	the	The
teenagers	teenag	teenager
argued	argu	argued
Husted	hust	Husted
s	s	s
interpretation	interpret	interpretation
contradicts	contradict	contradicts
state	state	state
law	law	law
and	and	and
a	a	a
previous	previous	previous
ruling	rule	ruling
by	by	by
the	the	the
state	state	state
Supreme	suprem	Supreme
Court	court	Court
that	that	that
allows	allow	allows
17	17	17
-year-olds	-year-old	-year-olds
who	who	who
will	will	will
be	be	be
18	18	18
by	by	by
the	the	the
election	elect	election
to	to	to
vote	vote	vote
in	in	in
primaries	primari	primary
.	.	.

Alexis	alexi	Alexis
Brossart	brossart	Brossart
,	,	,
a	a	a
17	17	17
-year-old	-year-old	-year-old
student	student	student
at	at	at
Milford	milford	Milford
High	high	High
School	school	School
outside	outsid	outside
Cincinnati	cincinnati	Cincinnati
,	,	,
was	was	wa
excited	excit	excited
to	to	to
vote	vote	vote
until	until	until
she	she	she
got	got	got
a	a	a
letter	letter	letter
last	last	last
week	week	week
saying	say	saying
she	she	she
could	could	could
not	not	not
pick	pick	pick
a	a	a
presidential	presidenti	presidential
nominee	nomine	nominee
.	.	.

I	i	I
registered	regist	registered
in	in	in
February	februari	February
.	.	.

Ever	ever	Ever
since	sinc	since
February	februari	February
,	,	,
I	i	I
ve	ve	ve
been	been	been
excited	excit	excited
to	to	to
vote	vote	vote
,	,	,
Brossart	brossart	Brossart
told	told	told
Reuters	reuter	Reuters
.	.	.

The	the	The
attorney	attorney	attorney
for	for	for
the	the	the
nine	nine	nine
teenagers	teenag	teenager
said	said	said
they	they	they
were	were	were
galvanized	galvan	galvanized
when	when	when
they	they	they
heard	heard	heard
their	their	their
votes	vote	vote
would	would	would
not	not	not
count	count	count
.	.	.

It	it	It
has	has	ha
caused	caus	caused
them	them	them
to	to	to
think	think	think
about	about	about
their	their	their
voting	vote	voting
rights	right	right
and	and	and
get	get	get
more	more	more
engaged	engag	engaged
in	in	in
the	the	the
process	process	process
,	,	,
Rachel	rachel	Rachel
Bloomekatz	bloomekatz	Bloomekatz
said	said	said
.	.	.

A	a	A
similar	similar	similar
lawsuit	lawsuit	lawsuit
filed	file	filed
in	in	in
federal	feder	federal
court	court	court
by	by	by
the	the	the
campaign	campaign	campaign
of	of	of
Democrat	democrat	Democrat
presidential	presidenti	presidential
contender	contend	contender
Bernie	berni	Bernie
Sanders	sander	Sanders
was	was	wa
halted	halt	halted
on	on	on
Friday	friday	Friday
when	when	when
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Magistrate	magistr	Magistrate
Judge	judg	Judge
Elizabeth	elizabeth	Elizabeth
Preston	preston	Preston
Deavers	deaver	Deavers
stayed	stay	stayed
the	the	the
matter	matter	matter
until	until	until
the	the	the
state	state	state
court	court	court
finding	find	finding
.	.	.

In	in	In
the	the	the
Ohio	ohio	Ohio
primary	primari	primary
,	,	,
66	66	66
delegates	deleg	delegate
are	are	are
at	at	at
stake	stake	stake
for	for	for
the	the	the
Republicans	republican	Republicans
and	and	and
159	159	159
for	for	for
the	the	the
Democrats	democrat	Democrats
.	.	.

