ISTANBUL	istanbul	ISTANBUL
NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
A	a	A
trial	trial	trial
which	which	which
has	has	ha
strained	strain	strained
Turkish	turkish	Turkish
-U	-u	-U
.	.	.
S	s	S
.	.	.
ties	tie	tie
before	befor	before
it	it	it
even	even	even
started	start	started
opens	open	open
this	this	this
week	week	week
in	in	in
New	new	New
York	york	York
despite	despit	despite
the	the	the
possible	possibl	possible
absence	absenc	absence
of	of	of
a	a	a
defendant	defend	defendant
who	who	who
Turkey	turkey	Turkey
says	say	say
is	is	is
cooperating	cooper	cooperating
with	with	with
prosecutors	prosecutor	prosecutor
in	in	in
what	what	what
it	it	it
calls	call	call
a	a	a
clear	clear	clear
plot	plot	plot
against	against	against
Ankara	ankara	Ankara
.	.	.
Turkish	turkish	Turkish
-Iranian	-iranian	-Iranian
gold	gold	gold
trader	trader	trader
Reza	reza	Reza
Zarrab	zarrab	Zarrab
,	,	,
charged	charg	charged
with	with	with
conspiring	conspir	conspiring
to	to	to
evade	evad	evade
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
on	on	on
Iran	iran	Iran
,	,	,
has	has	ha
dropped	drop	dropped
out	out	out
of	of	of
sight	sight	sight
in	in	in
the	the	the
last	last	last
two	two	two
months	month	month
,	,	,
prompting	prompt	prompting
Turkey	turkey	Turkey
s	s	s
prime	prime	prime
minister	minist	minister
to	to	to
suggest	suggest	suggest
he	he	he
has	has	ha
reached	reach	reached
a	a	a
plea	plea	plea
deal	deal	deal
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
authorities	author	authority
.	.	.
James	jame	James
Margolin	margolin	Margolin
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
prosecutors	prosecutor	prosecutor
in	in	in
Manhattan	manhattan	Manhattan
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
whether	whether	whether
Zarrab	zarrab	Zarrab
was	was	wa
cooperating	cooper	cooperating
with	with	with
the	the	the
authorities	author	authority
.	.	.
A	a	A
lawyer	lawyer	lawyer
for	for	for
Zarrab	zarrab	Zarrab
,	,	,
Benjamin	benjamin	Benjamin
Brafman	brafman	Brafman
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
for	for	for
this	this	this
article	articl	article
.	.	.
Zarrab	zarrab	Zarrab
and	and	and
eight	eight	eight
other	other	other
people	peopl	people
,	,	,
including	includ	including
Turkey	turkey	Turkey
s	s	s
former	former	former
economy	economi	economy
minister	minist	minister
and	and	and
three	three	three
executives	execut	executive
of	of	of
Turkish	turkish	Turkish
state	state	state
-owned	-own	-owned
Halkbank	halkbank	Halkbank
,	,	,
have	have	have
been	been	been
charged	charg	charged
with	with	with
engaging	engag	engaging
in	in	in
transactions	transact	transaction
worth	worth	worth
hundreds	hundr	hundred
of	of	of
millions	million	million
of	of	of
dollars	dollar	dollar
for	for	for
Iran	iran	Iran
s	s	s
government	govern	government
and	and	and
Iranian	iranian	Iranian
entities	entiti	entity
from	from	from
2010	2010	2010
to	to	to
2015	2015	2015
in	in	in
a	a	a
scheme	scheme	scheme
to	to	to
evade	evad	evade
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
.	.	.
Only	onli	Only
Zarrab	zarrab	Zarrab
and	and	and
Mehmet	mehmet	Mehmet
Hakan	hakan	Hakan
Atilla	atilla	Atilla
,	,	,
one	one	one
of	of	of
the	the	the
Halkbank	halkbank	Halkbank
executives	execut	executive
,	,	,
have	have	have
been	been	been
arrested	arrest	arrested
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
authorities	author	authority
.	.	.
Ex	ex	Ex
-minister	-minist	-minister
Zafer	zafer	Zafer
Caglayan	caglayan	Caglayan
,	,	,
who	who	who
has	has	ha
not	not	not
been	been	been
arrested	arrest	arrested
by	by	by
the	the	the
United	unit	United
States	state	States
and	and	and
remains	remain	remains
in	in	in
Turkey	turkey	Turkey
,	,	,
is	is	is
also	also	also
accused	accus	accused
of	of	of
receiving	receiv	receiving
tens	ten	ten
of	of	of
millions	million	million
of	of	of
dollars	dollar	dollar
in	in	in
bribes	bribe	bribe
from	from	from
the	the	the
proceeds	proceed	proceeds
of	of	of
the	the	the
scheme	scheme	scheme
.	.	.
The	the	The
Turkish	turkish	Turkish
government	govern	government
has	has	ha
said	said	said
he	he	he
acted	act	acted
within	within	within
Turkish	turkish	Turkish
and	and	and
international	intern	international
law	law	law
.	.	.
Caglayan	caglayan	Caglayan
,	,	,
Zarrab	zarrab	Zarrab
and	and	and
Atilla	atilla	Atilla
have	have	have
denied	deni	denied
all	all	all
the	the	the
charges	charg	charge
against	against	against
them	them	them
.	.	.
Victor	victor	Victor
Rocco	rocco	Rocco
,	,	,
a	a	a
lawyer	lawyer	lawyer
for	for	for
Atilla	atilla	Atilla
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
the	the	the
case	case	case
.	.	.
Caglayan	caglayan	Caglayan
could	could	could
not	not	not
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
.	.	.
Halkbank	halkbank	Halkbank
says	say	say
all	all	all
its	it	it
transactions	transact	transaction
fully	fulli	fully
comply	compli	comply
with	with	with
Turkish	turkish	Turkish
and	and	and
international	intern	international
regulations	regul	regulation
.	.	.
Turkish	turkish	Turkish
President	presid	President
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
s	s	s
government	govern	government
has	has	ha
said	said	said
the	the	the
case	case	case
has	has	ha
been	been	been
fabricated	fabric	fabricated
for	for	for
political	polit	political
motives	motiv	motif
.	.	.
The	the	The
tensions	tension	tension
it	it	it
has	has	ha
exacerbated	exacerb	exacerbated
between	between	between
Ankara	ankara	Ankara
and	and	and
Washington	washington	Washington
-	-	-
NATO	nato	NATO
allies	alli	ally
-	-	-
have	have	have
hit	hit	hit
investor	investor	investor
sentiment	sentiment	sentiment
toward	toward	toward
Turkey	turkey	Turkey
,	,	,
and	and	and
traders	trader	trader
say	say	say
it	it	it
has	has	ha
also	also	also
contributed	contribut	contributed
to	to	to
the	the	the
lira	lira	lira
s	s	s
fall	fall	fall
to	to	to
record	record	record
lows	low	low
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
prosecutors	prosecutor	prosecutor
claim	claim	claim
that	that	that
the	the	the
defendants	defend	defendant
helped	help	helped
Zarrab	zarrab	Zarrab
use	use	use
his	his	his
network	network	network
of	of	of
companies	compani	company
to	to	to
supply	suppli	supply
currency	currenc	currency
and	and	and
gold	gold	gold
to	to	to
the	the	the
Iranian	iranian	Iranian
government	govern	government
and	and	and
Iranian	iranian	Iranian
entities	entiti	entity
,	,	,
violating	violat	violating
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
.	.	.
The	the	The
prosecutors	prosecutor	prosecutor
have	have	have
alleged	alleg	alleged
that	that	that
the	the	the
defendants	defend	defendant
used	use	used
front	front	front
companies	compani	company
and	and	and
fake	fake	fake
invoices	invoic	invoice
to	to	to
trick	trick	trick
U	u	U
.	.	.
S	s	S
.	.	.
banks	bank	bank
into	into	into
processing	process	processing
transactions	transact	transaction
disguised	disguis	disguised
to	to	to
appear	appear	appear
as	as	a
though	though	though
they	they	they
involved	involv	involved
food	food	food
,	,	,
which	which	which
is	is	is
exempt	exempt	exempt
from	from	from
the	the	the
sanctions	sanction	sanction
.	.	.
Turkish	turkish	Turkish
Prime	prime	Prime
Minister	minist	Minister
Binali	binali	Binali
Yildirim	yildirim	Yildirim
said	said	said
the	the	the
charges	charg	charge
were	were	were
baseless	baseless	baseless
,	,	,
and	and	and
that	that	that
Turkey	turkey	Turkey
had	had	had
not	not	not
violated	violat	violated
its	it	it
own	own	own
or	or	or
international	intern	international
laws	law	law
regarding	regard	regarding
exports	export	export
and	and	and
trade	trade	trade
.	.	.
The	the	The
Zarrab	zarrab	Zarrab
case	case	case
is	is	is
a	a	a
clear	clear	clear
plot	plot	plot
against	against	against
Turkey	turkey	Turkey
,	,	,
a	a	a
political	polit	political
case	case	case
and	and	and
lacking	lack	lacking
any	ani	any
legal	legal	legal
basis	basi	basis
,	,	,
government	govern	government
spokesman	spokesman	spokesman
Bekir	bekir	Bekir
Bozdag	bozdag	Bozdag
said	said	said
last	last	last
week	week	week
.	.	.
Zarrab	zarrab	Zarrab
has	has	ha
been	been	been
absent	absent	absent
from	from	from
recent	recent	recent
court	court	court
hearings	hear	hearing
.	.	.
Last	last	Last
month	month	month
Atilla	atilla	Atilla
s	s	s
lawyers	lawyer	lawyer
said	said	said
Zarrab	zarrab	Zarrab
,	,	,
who	who	who
was	was	wa
arrested	arrest	arrested
in	in	in
Miami	miami	Miami
in	in	in
March	march	March
2016	2016	2016
,	,	,
had	had	had
essentially	essenti	essentially
not	not	not
participated	particip	participated
in	in	in
the	the	the
case	case	case
and	and	and
that	that	that
Atilla	atilla	Atilla
might	might	might
be	be	be
the	the	the
only	onli	only
defendant	defend	defendant
appearing	appear	appearing
at	at	at
trial	trial	trial
.	.	.
The	the	The
defendants	defend	defendant
in	in	in
the	the	the
case	case	case
are	are	are
under	under	under
pressure	pressur	pressure
and	and	and
being	be	being
forced	forc	forced
to	to	to
make	make	make
statements	statement	statement
against	against	against
our	our	our
country	countri	country
,	,	,
Yildirim	yildirim	Yildirim
said	said	said
,	,	,
without	without	without
explanation	explan	explanation
.	.	.
The	the	The
case	case	case
is	is	is
acutely	acut	acutely
sensitive	sensit	sensitive
in	in	in
Turkey	turkey	Turkey
because	becaus	because
the	the	the
prosecutors	prosecutor	prosecutor
say	say	say
a	a	a
Turkish	turkish	Turkish
government	govern	government
minister	minist	minister
,	,	,
Caglayan	caglayan	Caglayan
,	,	,
was	was	wa
involved	involv	involved
in	in	in
the	the	the
alleged	alleg	alleged
conspiracy	conspiraci	conspiracy
to	to	to
evade	evad	evade
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
.	.	.
In	in	In
a	a	a
filing	file	filing
four	four	four
weeks	week	week
ago	ago	ago
,	,	,
prosecutors	prosecutor	prosecutor
also	also	also
included	includ	included
the	the	the
transcript	transcript	transcript
of	of	of
an	an	an
April	april	April
16	16	16
,	,	,
2013	2013	2013
recorded	record	recorded
phone	phone	phone
call	call	call
in	in	in
which	which	which
a	a	a
speaker	speaker	speaker
they	they	they
identified	identifi	identified
as	as	a
Zarrab	zarrab	Zarrab
discussed	discuss	discussed
with	with	with
another	anoth	another
co	co	co
-defendant	-defend	-defendant
his	his	his
efforts	effort	effort
to	to	to
buy	buy	buy
a	a	a
bank	bank	bank
to	to	to
establish	establish	establish
a	a	a
conduit	conduit	conduit
for	for	for
Iranian	iranian	Iranian
transactions	transact	transaction
.	.	.
Prosecutors	prosecutor	Prosecutors
said	said	said
Zarrab	zarrab	Zarrab
and	and	and
Erdogan	erdogan	Erdogan
,	,	,
then	then	then
Turkey	turkey	Turkey
s	s	s
prime	prime	prime
minister	minist	minister
,	,	,
had	had	had
spoken	spoken	spoken
four	four	four
days	day	day
earlier	earlier	earlier
at	at	at
a	a	a
wedding	wed	wedding
.	.	.
I	i	I
explained	explain	explained
it	it	it
that	that	that
day	day	day
at	at	at
the	the	the
wedding	wed	wedding
,	,	,
Zarrab	zarrab	Zarrab
told	told	told
the	the	the
co	co	co
-defendant	-defend	-defendant
,	,	,
according	accord	according
to	to	to
prosecutors	prosecutor	prosecutor
.	.	.
I	i	I
will	will	will
go	go	go
back	back	back
and	and	and
will	will	will
say	say	say
,	,	,
Mr	mr	Mr
.	.	.
Prime	prime	Prime
Minister	minist	Minister
,	,	,
if	if	if
you	you	you
approve	approv	approve
,	,	,
give	give	give
me	me	me
a	a	a
license	licens	license
.	.	.
Erdogan	erdogan	Erdogan
has	has	ha
not	not	not
been	been	been
accused	accus	accused
of	of	of
any	ani	any
wrongdoing	wrongdo	wrongdoing
,	,	,
but	but	but
has	has	ha
repeatedly	repeat	repeatedly
expressed	express	expressed
frustration	frustrat	frustration
with	with	with
the	the	the
case	case	case
.	.	.
You	you	You
arrest	arrest	arrest
the	the	the
general	general	general
manager	manag	manager
of	of	of
my	my	my
bank	bank	bank
when	when	when
there	there	there
are	are	are
no	no	no
crimes	crime	crime
,	,	,
try	tri	try
to	to	to
use	use	use
my	my	my
citizen	citizen	citizen
Zarrab	zarrab	Zarrab
as	as	a
an	an	an
informant	inform	informant
,	,	,
try	tri	try
him	him	him
without	without	without
having	have	having
anything	anyth	anything
against	against	against
him	him	him
,	,	,
Erdogan	erdogan	Erdogan
said	said	said
in	in	in
a	a	a
speech	speech	speech
to	to	to
provincial	provinci	provincial
governors	governor	governor
on	on	on
Oct	oct	Oct
.	.	.
12	12	12
,	,	,
in	in	in
an	an	an
apparent	appar	apparent
reference	refer	reference
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
prosecutors	prosecutor	prosecutor
.	.	.
Turkish	turkish	Turkish
Foreign	foreign	Foreign
Minister	minist	Minister
Mevlut	mevlut	Mevlut
Cavusoglu	cavusoglu	Cavusoglu
has	has	ha
said	said	said
he	he	he
sees	see	see
in	in	in
this	this	this
case	case	case
the	the	the
hand	hand	hand
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
-based	-base	-based
Muslim	muslim	Muslim
cleric	cleric	cleric
Fethullah	fethullah	Fethullah
Gulen	gulen	Gulen
.	.	.
Erdogan	erdogan	Erdogan
accuses	accus	accuses
Gulen	gulen	Gulen
of	of	of
masterminding	mastermind	masterminding
last	last	last
year	year	year
s	s	s
failed	fail	failed
military	militari	military
coup	coup	coup
in	in	in
Turkey	turkey	Turkey
and	and	and
also	also	also
of	of	of
driving	drive	driving
an	an	an
earlier	earlier	earlier
legal	legal	legal
case	case	case
involving	involv	involving
Zarrab	zarrab	Zarrab
.	.	.
In	in	In
that	that	that
earlier	earlier	earlier
case	case	case
,	,	,
Turkish	turkish	Turkish
prosecutors	prosecutor	prosecutor
accused	accus	accused
Zarrab	zarrab	Zarrab
and	and	and
high	high	high
-ranking	-rank	-ranking
Turkish	turkish	Turkish
officials	offici	official
of	of	of
involvement	involv	involvement
in	in	in
facilitating	facilit	facilitating
Iranian	iranian	Iranian
money	money	money
transfers	transfer	transfer
via	via	via
gold	gold	gold
smuggling	smuggl	smuggling
.	.	.
After	after	After
details	detail	detail
of	of	of
the	the	the
Turkish	turkish	Turkish
prosecution	prosecut	prosecution
were	were	were
leaked	leak	leaked
in	in	in
2013	2013	2013
,	,	,
several	sever	several
prosecutors	prosecutor	prosecutor
were	were	were
removed	remov	removed
from	from	from
the	the	the
case	case	case
and	and	and
police	polic	police
investigators	investig	investigator
were	were	were
reassigned	reassign	reassigned
.	.	.
Erdogan	erdogan	Erdogan
branded	brand	branded
the	the	the
case	case	case
an	an	an
attempt	attempt	attempt
by	by	by
Gulen	gulen	Gulen
s	s	s
supporters	support	supporter
to	to	to
undermine	undermin	undermine
his	his	his
government	govern	government
and	and	and
the	the	the
investigation	investig	investigation
was	was	wa
later	later	later
dropped	drop	dropped
.	.	.
Cavusoglu	cavusoglu	Cavusoglu
said	said	said
the	the	the
two	two	two
legal	legal	legal
cases	case	case
were	were	were
exactly	exact	exactly
the	the	the
same	same	same
,	,	,
and	and	and
showed	show	showed
the	the	the
extent	extent	extent
to	to	to
which	which	which
Gulen	gulen	Gulen
had	had	had
infiltrated	infiltr	infiltrated
American	american	American
state	state	state
institutions	institut	institution
,	,	,
including	includ	including
its	it	it
judiciary	judiciari	judiciary
.	.	.
Needless	needless	Needless
to	to	to
say	say	say
,	,	,
those	those	those
claims	claim	claim
are	are	are
ridiculous	ridicul	ridiculous
,	,	,
acting	act	acting
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
Joon	joon	Joon
Kim	kim	Kim
said	said	said
last	last	last
week	week	week
.	.	.
The	the	The
case	case	case
has	has	ha
been	been	been
handled	handl	handled
by	by	by
career	career	career
prosecutors	prosecutor	prosecutor
concerned	concern	concerned
only	onli	only
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
law	law	law
,	,	,
not	not	not
Turkish	turkish	Turkish
politics	polit	politics
,	,	,
Kim	kim	Kim
said	said	said
,	,	,
adding	ad	adding
They	they	They
re	re	re
not	not	not
Gulenists	gulenist	Gulenists
.	.	.
Gulen	gulen	Gulen
denies	deni	denies
involvement	involv	involvement
in	in	in
the	the	the
failed	fail	failed
2016	2016	2016
coup	coup	coup
or	or	or
any	ani	any
other	other	other
attempts	attempt	attempt
to	to	to
undermine	undermin	undermine
Erdogan	erdogan	Erdogan
