BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
German	german	German
Chancellor	chancellor	Chancellor
Angela	angela	Angela
Merkel	merkel	Merkel
said	said	said
she	she	she
was	was	wa
optimistic	optimist	optimistic
that	that	that
a	a	a
dispute	disput	dispute
over	over	over
how	how	how
to	to	to
distribute	distribut	distribute
asylum	asylum	asylum
seekers	seeker	seeker
in	in	in
the	the	the
EU	eu	EU
would	would	would
soon	soon	soon
be	be	be
resolved	resolv	resolved
after	after	after
a	a	a
court	court	court
ruled	rule	ruled
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
member	member	member
states	state	state
must	must	must
take	take	take
in	in	in
a	a	a
share	share	share
of	of	of
refugees	refuge	refugee
who	who	who
reach	reach	reach
Europe	europ	Europe
.	.	.

Speaking	speak	Speaking
to	to	to
the	the	the
Frankfurter	frankfurt	Frankfurter
Allgemeine	allgemein	Allgemeine
Sonntagszeitung	sonntagszeitung	Sonntagszeitung
F	f	F
.	.	.
A	a	A
.	.	.
S	s	S
.	.	.
newspaper	newspap	newspaper
two	two	two
weeks	week	week
before	befor	before
a	a	a
national	nation	national
election	elect	election
in	in	in
which	which	which
she	she	she
is	is	is
expected	expect	expected
to	to	to
win	win	win
a	a	a
fourth	fourth	fourth
term	term	term
,	,	,
Merkel	merkel	Merkel
said	said	said
she	she	she
welcomed	welcom	welcomed
the	the	the
court	court	court
s	s	s
decision	decis	decision
.	.	.

Separately	separ	Separately
,	,	,
the	the	the
newspaper	newspap	newspaper
also	also	also
reported	report	reported
that	that	that
in	in	in
negotiations	negoti	negotiation
between	between	between
member	member	member
states	state	state
about	about	about
redistribution	redistribut	redistribution
,	,	,
a	a	a
compromise	compromis	compromise
was	was	wa
starting	start	starting
to	to	to
emerge	emerg	emerge
which	which	which
would	would	would
link	link	link
accepting	accept	accepting
refugees	refuge	refugee
to	to	to
payments	payment	payment
that	that	that
would	would	would
come	come	come
from	from	from
the	the	the
EU	eu	EU
.	.	.

The	the	The
vast	vast	vast
majority	major	majority
of	of	of
EU	eu	EU
states	state	state
had	had	had
not	not	not
filed	file	filed
a	a	a
complaint	complaint	complaint
about	about	about
redistribution	redistribut	redistribution
and	and	and
do	do	do
not	not	not
take	take	take
the	the	the
view	view	view
that	that	that
they	they	they
never	never	never
want	want	want
to	to	to
take	take	take
in	in	in
a	a	a
refugee	refuge	refugee
so	so	so
I	i	I
think	think	think
there	there	there
s	s	s
an	an	an
opportunity	opportun	opportunity
to	to	to
achieve	achiev	achieve
a	a	a
distribution	distribut	distribution
of	of	of
refugees	refuge	refugee
that	that	that
shows	show	show
solidarity	solidar	solidarity
in	in	in
the	the	the
not	not	not
too	too	too
distant	distant	distant
future	futur	future
,	,	,
Merkel	merkel	Merkel
said	said	said
in	in	in
the	the	the
F	f	F
.	.	.
A	a	A
.	.	.
S	s	S
.	.	.
interview	interview	interview
.	.	.

In	in	In
its	it	it
ruling	rule	ruling
,	,	,
the	the	the
EU	eu	EU
s	s	s
highest	highest	highest
court	court	court
dismissed	dismiss	dismissed
complaints	complaint	complaint
by	by	by
Slovakia	slovakia	Slovakia
and	and	and
Hungary	hungari	Hungary
over	over	over
the	the	the
mandatory	mandatori	mandatory
quotas	quota	quota
introduced	introduc	introduced
in	in	in
2015	2015	2015
to	to	to
relocate	reloc	relocate
asylum	asylum	asylum
seekers	seeker	seeker
from	from	from
Greece	greec	Greece
and	and	and
Italy	itali	Italy
.	.	.

Immigration	immigr	Immigration
has	has	ha
been	been	been
a	a	a
key	key	key
issue	issu	issue
during	dure	during
campaigning	campaign	campaigning
for	for	for
Germany	germani	Germany
s	s	s
Sept	sept	Sept
.	.	.

24	24	24
election	elect	election
.	.	.

In	in	In
the	the	the
interview	interview	interview
,	,	,
Merkel	merkel	Merkel
said	said	said
it	it	it
was	was	wa
important	import	important
to	to	to
show	show	show
solidarity	solidar	solidarity
in	in	in
dealing	deal	dealing
with	with	with
the	the	the
migration	migrat	migration
crisis	crisi	crisis
because	becaus	because
otherwise	otherwis	otherwise
there	there	there
would	would	would
be	be	be
no	no	no
solidarity	solidar	solidarity
on	on	on
other	other	other
issues	issu	issue
in	in	in
the	the	the
EU	eu	EU
and	and	and
that	that	that
would	would	would
be	be	be
bitter	bitter	bitter
for	for	for
the	the	the
cohesion	cohes	cohesion
of	of	of
Europe	europ	Europe
.	.	.

The	the	The
newspaper	newspap	newspaper
reported	report	reported
that	that	that
in	in	in
negotiations	negoti	negotiation
between	between	between
member	member	member
states	state	state
about	about	about
redistribution	redistribut	redistribution
,	,	,
a	a	a
compromise	compromis	compromise
was	was	wa
starting	start	starting
to	to	to
emerge	emerg	emerge
which	which	which
would	would	would
link	link	link
accepting	accept	accepting
refugees	refuge	refugee
to	to	to
payments	payment	payment
that	that	that
would	would	would
come	come	come
from	from	from
the	the	the
EU	eu	EU
.	.	.

Citing	cite	Citing
sources	sourc	source
involved	involv	involved
in	in	in
the	the	the
negotiations	negoti	negotiation
,	,	,
F	f	F
.	.	.
A	a	A
.	.	.
S	s	S
.	.	.
said	said	said
EU	eu	EU
member	member	member
states	state	state
had	had	had
developed	develop	developed
ideas	idea	idea
such	such	such
as	as	a
solving	solv	solving
the	the	the
dispute	disput	dispute
by	by	by
creating	creat	creating
an	an	an
incentive	incent	incentive
system	system	system
in	in	in
which	which	which
the	the	the
EU	eu	EU
would	would	would
give	give	give
countries	countri	country
60	60	60
,	,	,
000	000	000
euros	euro	euro
for	for	for
each	each	each
refugee	refuge	refugee
they	they	they
take	take	take
in	in	in
.	.	.

If	if	If
an	an	an
EU	eu	EU
member	member	member
state	state	state
undercuts	undercut	undercut
its	it	it
quota	quota	quota
by	by	by
more	more	more
than	than	than
half	half	half
,	,	,
the	the	the
60	60	60
,	,	,
000	000	000
euros	euro	euro
per	per	per
person	person	person
should	should	should
be	be	be
withdrawn	withdrawn	withdrawn
,	,	,
it	it	it
said	said	said
.	.	.

As	as	As
the	the	the
distribution	distribut	distribution
mechanism	mechan	mechanism
would	would	would
be	be	be
for	for	for
a	a	a
maximum	maximum	maximum
of	of	of
200	200	200
,	,	,
000	000	000
refugees	refuge	refugee
per	per	per
year	year	year
,	,	,
it	it	it
would	would	would
cost	cost	cost
up	up	up
to	to	to
12	12	12
billion	billion	billion
euros	euro	euro
,	,	,
the	the	the
newspaper	newspap	newspaper
said	said	said
.	.	.

It	it	It
would	would	would
also	also	also
be	be	be
possible	possibl	possible
to	to	to
put	put	put
border	border	border
guards	guard	guard
or	or	or
national	nation	national
asylum	asylum	asylum
officers	offic	officer
in	in	in
overburdened	overburden	overburdened
states	state	state
so	so	so
they	they	they
take	take	take
in	in	in
fewer	fewer	fewer
migrants	migrant	migrant
,	,	,
the	the	the
newspaper	newspap	newspaper
said	said	said
.	.	.

Interior	interior	Interior
Minister	minist	Minister
Thomas	thoma	Thomas
de	de	de
Maiziere	maizier	Maiziere
had	had	had
told	told	told
a	a	a
Saturday	saturday	Saturday
newspaper	newspap	newspaper
that	that	that
social	social	social
benefits	benefit	benefit
for	for	for
asylum	asylum	asylum
seekers	seeker	seeker
in	in	in
Germany	germani	Germany
were	were	were
quite	quit	quite
high	high	high
and	and	and
needed	need	needed
be	be	be
harmonized	harmon	harmonized
across	across	across
Europe	europ	Europe
.	.	.

