OSLO	oslo	OSLO
GENEVA	geneva	GENEVA
Reuters	reuter	Reuters
-	-	-
A	a	A
campaign	campaign	campaign
group	group	group
seeking	seek	seeking
a	a	a
global	global	global
ban	ban	ban
on	on	on
nuclear	nuclear	nuclear
arms	arm	arm
won	won	won
the	the	the
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
on	on	on
Friday	friday	Friday
,	,	,
given	given	given
the	the	the
award	award	award
by	by	by
a	a	a
Nobel	nobel	Nobel
Committee	committe	Committee
that	that	that
cited	cite	cited
the	the	the
spread	spread	spread
of	of	of
weapons	weapon	weapon
to	to	to
North	north	North
Korea	korea	Korea
and	and	and
said	said	said
the	the	the
risk	risk	risk
was	was	wa
growing	grow	growing
of	of	of
nuclear	nuclear	nuclear
war	war	war
.	.	.

The	the	The
award	award	award
to	to	to
the	the	the
International	intern	International
Campaign	campaign	Campaign
to	to	to
Abolish	abolish	Abolish
Nuclear	nuclear	Nuclear
Weapons	weapon	Weapons
ICAN	ican	ICAN
was	was	wa
unexpected	unexpect	unexpected
,	,	,
particularly	particular	particularly
in	in	in
a	a	a
year	year	year
when	when	when
the	the	the
architects	architect	architect
of	of	of
the	the	the
2015	2015	2015
nuclear	nuclear	nuclear
deal	deal	deal
between	between	between
world	world	world
powers	power	power
and	and	and
Iran	iran	Iran
had	had	had
been	been	been
seen	seen	seen
as	as	a
favorites	favorit	favorite
for	for	for
achieving	achiev	achieving
the	the	the
sort	sort	sort
of	of	of
diplomatic	diplomat	diplomatic
breakthrough	breakthrough	breakthrough
that	that	that
has	has	ha
won	won	won
the	the	the
prize	prize	prize
in	in	in
the	the	the
past	past	past
.	.	.

Graphics	graphic	Graphics
on	on	on
'Nobel	nobel	'Nobel
Laureates'	laureat	Laureates'
-	-	-
here	here	here
Supporters	support	Supporters
described	describ	described
the	the	the
award	award	award
as	as	a
a	a	a
potential	potenti	potential
breakthrough	breakthrough	breakthrough
for	for	for
a	a	a
global	global	global
movement	movement	movement
that	that	that
has	has	ha
fought	fought	fought
to	to	to
ban	ban	ban
nuclear	nuclear	nuclear
arms	arm	arm
from	from	from
the	the	the
day	day	day
the	the	the
first	first	first
atomic	atom	atomic
bomb	bomb	bomb
was	was	wa
dropped	drop	dropped
on	on	on
the	the	the
Japanese	japanes	Japanese
city	citi	city
of	of	of
Hiroshima	hiroshima	Hiroshima
in	in	in
August	august	August
1945	1945	1945
.	.	.

ICAN	ican	ICAN
s	s	s
Executive	execut	Executive
Director	director	Director
Beatrice	beatric	Beatrice
Fihn	fihn	Fihn
told	told	told
Reuters	reuter	Reuters
the	the	the
group	group	group
was	was	wa
elated	elat	elated
.	.	.

This	this	This
.	.	.

Is	is	Is
.	.	.
Surreal	surreal	Surreal
.	.	.

she	she	she
later	later	later
tweeted	tweet	tweeted
.	.	.

Asked	ask	Asked
if	if	if
she	she	she
had	had	had
a	a	a
message	messag	message
for	for	for
North	north	North
Korea	korea	Korea
s	s	s
Kim	kim	Kim
Jong	jong	Jong
-Un	-un	-Un
,	,	,
who	who	who
has	has	ha
tested	test	tested
nuclear	nuclear	nuclear
arms	arm	arm
in	in	in
defiance	defianc	defiance
of	of	of
global	global	global
pressure	pressur	pressure
,	,	,
and	and	and
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
threatened	threaten	threatened
to	to	to
totally	total	totally
destroy	destroy	destroy
North	north	North
Korea	korea	Korea
to	to	to
protect	protect	protect
the	the	the
United	unit	United
States	state	States
and	and	and
its	it	it
allies	alli	ally
,	,	,
Fihn	fihn	Fihn
said	said	said
both	both	both
