SACRAMENTO	sacramento	SACRAMENTO
,	,	,
Calif	calif	Calif
.	.	.
Reuters	reuter	Reuters
-	-	-
A	a	A
plan	plan	plan
to	to	to
raise	rais	raise
California	california	California
s	s	s
minimum	minimum	minimum
wage	wage	wage
to	to	to
15	15	15
an	an	an
hour	hour	hour
by	by	by
2022	2022	2022
passed	pass	passed
both	both	both
houses	hous	house
of	of	of
the	the	the
state	state	state
legislature	legislatur	legislature
on	on	on
Thursday	thursday	Thursday
,	,	,
putting	put	putting
the	the	the
state	state	state
on	on	on
track	track	track
to	to	to
become	becom	become
the	the	the
first	first	first
in	in	in
the	the	the
nation	nation	nation
to	to	to
commit	commit	commit
to	to	to
such	such	such
a	a	a
large	larg	large
pay	pay	pay
hike	hike	hike
for	for	for
the	the	the
working	work	working
poor	poor	poor
.	.	.
The	the	The
measure	measur	measure
,	,	,
incorporating	incorpor	incorporating
a	a	a
deal	deal	deal
Governor	governor	Governor
Jerry	jerri	Jerry
Brown	brown	Brown
reached	reach	reached
with	with	with
labor	labor	labor
leaders	leader	leader
and	and	and
progressive	progress	progressive
Democrats	democrat	Democrats
in	in	in
the	the	the
Legislature	legislatur	Legislature
,	,	,
was	was	wa
approved	approv	approved
in	in	in
the	the	the
state	state	state
Senate	senat	Senate
Thursday	thursday	Thursday
afternoon	afternoon	afternoon
after	after	after
winning	win	winning
approval	approv	approval
earlier	earlier	earlier
in	in	in
the	the	the
day	day	day
in	in	in
the	the	the
Assembly	assembl	Assembly
,	,	,
and	and	and
now	now	now
goes	goe	go
to	to	to
Brown	brown	Brown
for	for	for
his	his	his
signature	signatur	signature
.	.	.
If	if	If
you	you	you
work	work	work
full	full	full
time	time	time
,	,	,
your	your	your
family	famili	family
shouldn	shouldn	shouldn
t	t	t
live	live	live
in	in	in
poverty	poverti	poverty
,	,	,
Assembly	assembl	Assembly
Speaker	speaker	Speaker
Anthony	anthoni	Anthony
Rendon	rendon	Rendon
,	,	,
a	a	a
Southern	southern	Southern
California	california	California
Democrat	democrat	Democrat
,	,	,
said	said	said
in	in	in
support	support	support
of	of	of
the	the	the
bill	bill	bill
to	to	to
raise	rais	raise
the	the	the
state	state	state
s	s	s
minimum	minimum	minimum
wage	wage	wage
from	from	from
its	it	it
current	current	current
level	level	level
of	of	of
10	10	10
per	per	per
hour	hour	hour
.	.	.
Lawmakers	lawmak	Lawmakers
from	from	from
the	the	the
state	state	state
s	s	s
poorer	poorer	poorer
regions	region	region
said	said	said
the	the	the
measure	measur	measure
could	could	could
harm	harm	harm
small	small	small
businesses	busi	business
that	that	that
are	are	are
barely	bare	barely
hanging	hang	hanging
on	on	on
amid	amid	amid
double	doubl	double
-digit	-digit	-digit
unemployment	unemploy	unemployment
,	,	,
ultimately	ultim	ultimately
leading	lead	leading
to	to	to
job	job	job
losses	loss	loss
.	.	.
If	if	If
enacted	enact	enacted
,	,	,
the	the	the
bill	bill	bill
would	would	would
put	put	put
California	california	California
,	,	,
home	home	home
to	to	to
one	one	one
of	of	of
the	the	the
world	world	world
s	s	s
biggest	biggest	biggest
economies	economi	economy
,	,	,
among	among	among
a	a	a
growing	grow	growing
number	number	number
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
states	state	state
and	and	and
cities	citi	city
that	that	that
have	have	have
moved	move	moved
in	in	in
recent	recent	recent
years	year	year
to	to	to
surpass	surpass	surpass
the	the	the
federal	feder	federal
minimum	minimum	minimum
wage	wage	wage
,	,	,
which	which	which
has	has	ha
remained	remain	remained
at	at	at
7	7	7
.	.	.
25	25	25
an	an	an
hour	hour	hour
since	sinc	since
2009	2009	2009
.	.	.
A	a	A
proposal	propos	proposal
to	to	to
raise	rais	raise
the	the	the
minimum	minimum	minimum
wage	wage	wage
in	in	in
parts	part	part
of	of	of
New	new	New
York	york	York
state	state	state
to	to	to
15	15	15
was	was	wa
announced	announc	announced
Thursday	thursday	Thursday
by	by	by
Governor	governor	Governor
Andrew	andrew	Andrew
Cuomo	cuomo	Cuomo
and	and	and
legislative	legisl	legislative
leaders	leader	leader
.	.	.
The	the	The
California	california	California
measure	measur	measure
would	would	would
gradually	gradual	gradually
raise	rais	raise
the	the	the
state	state	state
s	s	s
hourly	hour	hourly
minimum	minimum	minimum
wage	wage	wage
to	to	to
15	15	15
by	by	by
2022	2022	2022
for	for	for
large	larg	large
businesses	busi	business
and	and	and
by	by	by
2023	2023	2023
for	for	for
smaller	smaller	smaller
firms	firm	firm
.	.	.
The	the	The
measure	measur	measure
would	would	would
also	also	also
head	head	head
off	off	off
two	two	two
competing	compet	competing
ballot	ballot	ballot
initiatives	initi	initiative
lacking	lack	lacking
a	a	a
provision	provis	provision
to	to	to
allow	allow	allow
the	the	the
governor	governor	governor
to	to	to
suspend	suspend	suspend
increases	increas	increase
in	in	in
hard	hard	hard
economic	econom	economic
times	time	time
,	,	,
a	a	a
deal	deal	deal
breaker	breaker	breaker
for	for	for
Brown	brown	Brown
.	.	.
The	the	The
proposal	propos	proposal
sped	sped	sped
through	through	through
the	the	the
legislative	legisl	legislative
process	process	process
after	after	after
the	the	the
governor	governor	governor
s	s	s
office	offic	office
reached	reach	reached
a	a	a
deal	deal	deal
last	last	last
week	week	week
with	with	with
labor	labor	labor
unions	union	union
pushing	push	pushing
a	a	a
similar	similar	similar
minimum	minimum	minimum
wage	wage	wage
hike	hike	hike
in	in	in
the	the	the
form	form	form
of	of	of
two	two	two
ballot	ballot	ballot
initiatives	initi	initiative
.	.	.
With	with	With
polls	poll	poll
showing	show	showing
strong	strong	strong
support	support	support
for	for	for
those	those	those
measures	measur	measure
at	at	at
the	the	the
ballot	ballot	ballot
box	box	box
,	,	,
Brown	brown	Brown
emphasized	emphas	emphasized
that	that	that
a	a	a
version	version	version
passed	pass	passed
through	through	through
the	the	the
legislature	legislatur	legislature
would	would	would
allow	allow	allow
lawmakers	lawmak	lawmaker
to	to	to
amend	amend	amend
it	it	it
if	if	if
needed	need	needed
over	over	over
time	time	time
instead	instead	instead
of	of	of
going	go	going
back	back	back
to	to	to
voters	voter	voter
to	to	to
request	request	request
amendments	amend	amendment
in	in	in
expensive	expens	expensive
and	and	and
uncertain	uncertain	uncertain
campaigns	campaign	campaign
.	.	.
Moreover	moreov	Moreover
,	,	,
the	the	the
