ANKARA	ankara	ANKARA
Reuters	reuter	Reuters
-	-	-
Turkey	turkey	Turkey
regrets	regret	regret
the	the	the
vetoing	veto	vetoing
by	by	by
the	the	the
United	unit	United
States	state	States
on	on	on
Monday	monday	Monday
of	of	of
a	a	a
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
resolution	resolut	resolution
that	that	that
called	call	called
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
declaration	declar	declaration
of	of	of
Jerusalem	jerusalem	Jerusalem
as	as	a
Israel	israel	Israel
s	s	s
capital	capit	capital
to	to	to
be	be	be
withdrawn	withdrawn	withdrawn
,	,	,
the	the	the
Turkish	turkish	Turkish
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
.	.	.

The	the	The
United	unit	United
States	state	States
was	was	wa
further	further	further
isolated	isol	isolated
over	over	over
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
decision	decis	decision
when	when	when
it	it	it
blocked	block	blocked
a	a	a
United	unit	United
Nations	nation	Nations
Security	secur	Security
Council	council	Council
call	call	call
for	for	for
the	the	the
declaration	declar	declaration
to	to	to
be	be	be
withdrawn	withdrawn	withdrawn
despite	despit	despite
the	the	the
other	other	other
14	14	14
members	member	member
voting	vote	voting
in	in	in
favor	favor	favor
of	of	of
it	it	it
.	.	.

The	the	The
United	unit	United
States	state	States
being	be	being
left	left	left
alone	alon	alone
in	in	in
the	the	the
vote	vote	vote
is	is	is
a	a	a
concrete	concret	concrete
sign	sign	sign
of	of	of
the	the	the
illegality	illeg	illegality
of	of	of
its	it	it
decision	decis	decision
on	on	on
Jerusalem	jerusalem	Jerusalem
,	,	,
the	the	the
Turkish	turkish	Turkish
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

It	it	It
said	said	said
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
decision	decis	decision
to	to	to
veto	veto	veto
the	the	the
resolution	resolut	resolution
showed	show	showed
once	onc	once
again	again	again
that	that	that
Washington	washington	Washington
had	had	had
lost	lost	lost
objectivity	object	objectivity
and	and	and
that	that	that
it	it	it
was	was	wa
unacceptable	unaccept	unacceptable
for	for	for
the	the	the
Security	secur	Security
Council	council	Council
to	to	to
be	be	be
left	left	left
ineffective	ineffect	ineffective
with	with	with
such	such	such
a	a	a
move	move	move
.	.	.

Later	later	Later
on	on	on
Monday	monday	Monday
,	,	,
Turkish	turkish	Turkish
President	presid	President
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
and	and	and
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
discussed	discuss	discussed
the	the	the
blocking	block	blocking
of	of	of
the	the	the
resolution	resolut	resolution
in	in	in
a	a	a
phone	phone	phone
call	call	call
,	,	,
and	and	and
agreed	agre	agreed
that	that	that
new	new	new
tensions	tension	tension
that	that	that
could	could	could
endanger	endang	endanger
the	the	the
peace	peac	peace
process	process	process
in	in	in
the	the	the
region	region	region
should	should	should
be	be	be
avoided	avoid	avoided
,	,	,
sources	sourc	source
in	in	in
Erdogan	erdogan	Erdogan
s	s	s
office	offic	office
said	said	said
.	.	.

Erdogan	erdogan	Erdogan
has	has	ha
taken	taken	taken
a	a	a
leading	lead	leading
position	posit	position
in	in	in
opposing	oppos	opposing
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
move	move	move
to	to	to
recognize	recogn	recognize
Jerusalem	jerusalem	Jerusalem
as	as	a
Israel	israel	Israel
s	s	s
capital	capit	capital
,	,	,
hosting	host	hosting
representatives	repres	representative
from	from	from
more	more	more
than	than	than
50	50	50
Muslim	muslim	Muslim
countries	countri	country
,	,	,
including	includ	including
U	u	U
.	.	.
S	s	S
.	.	.
allies	alli	ally
,	,	,
in	in	in
Istanbul	istanbul	Istanbul
last	last	last
week	week	week
for	for	for
a	a	a
summit	summit	summit
in	in	in
response	respons	response
.	.	.

A	a	A
communique	communiqu	communique
issued	issu	issued
after	after	after
the	the	the
summit	summit	summit
said	said	said
the	the	the
participants	particip	participant
considered	consid	considered
the	the	the
move	move	move
to	to	to
be	be	be
a	a	a
declaration	declar	declaration
that	that	that
Washington	washington	Washington
was	was	wa
withdrawing	withdraw	withdrawing
from	from	from
its	it	it
role	role	role
as	as	a
sponsor	sponsor	sponsor
of	of	of
peace	peac	peace
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
.	.	.

Trump	trump	Trump
s	s	s
decision	decis	decision
broke	broke	broke
with	with	with
decades	decad	decade
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
policy	polici	policy
and	and	and
international	intern	international
consensus	consensus	consensus
that	that	that
Jerusalem	jerusalem	Jerusalem
s	s	s
status	status	status
must	must	must
be	be	be
left	left	left
to	to	to
Israeli	isra	Israeli
-Palestinian	-palestinian	-Palestinian
talks	talk	talk
,	,	,
leading	lead	leading
to	to	to
harsh	harsh	harsh
criticisms	critic	criticism
from	from	from
Muslim	muslim	Muslim
countries	countri	country
and	and	and
Israel	israel	Israel
s	s	s
closest	closest	closest
European	european	European
allies	alli	ally
,	,	,
who	who	who
have	have	have
also	also	also
rejected	reject	rejected
the	the	the
move	move	move
.	.	.

Jerusalem	jerusalem	Jerusalem
,	,	,
revered	rever	revered
by	by	by
Jews	jew	Jews
,	,	,
Christians	christian	Christians
and	and	and
Muslims	muslim	Muslims
alike	alik	alike
,	,	,
is	is	is
home	home	home
to	to	to
Islam	islam	Islam
s	s	s
third	third	third
-holiest	-holiest	-holiest
site	site	site
and	and	and
has	has	ha
been	been	been
at	at	at
the	the	the
heart	heart	heart
of	of	of
the	the	the
Israeli	isra	Israeli
-Palestinian	-palestinian	-Palestinian
conflict	conflict	conflict
for	for	for
decades	decad	decade
.	.	.

Israel	israel	Israel
captured	captur	captured
Arab	arab	Arab
East	east	East
Jerusalem	jerusalem	Jerusalem
in	in	in
1967	1967	1967
and	and	and
later	later	later
annexed	annex	annexed
it	it	it
in	in	in
an	an	an
action	action	action
not	not	not
recognized	recogn	recognized
internationally	intern	internationally
.	.	.

Following	follow	Following
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
block	block	block
on	on	on
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
resolution	resolut	resolution
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
Erdogan	erdogan	Erdogan
said	said	said
that	that	that
the	the	the
annulment	annul	annulment
of	of	of
Trump	trump	Trump
s	s	s
decision	decis	decision
would	would	would
be	be	be
sought	sought	sought
in	in	in
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
General	general	General
Assembly	assembl	Assembly
.	.	.

All	all	All
countries	countri	country
except	except	except
for	for	for
the	the	the
Trump	trump	Trump
administration	administr	administration
acted	act	acted
in	in	in
unison	unison	unison
in	in	in
this	this	this
vote	vote	vote
.	.	.

Now	now	Now
the	the	the
UN	un	UN
General	general	General
Assembly	assembl	Assembly
period	period	period
will	will	will
start	start	start
,	,	,
Ibrahim	ibrahim	Ibrahim
Kalin	kalin	Kalin
said	said	said
on	on	on
Twitter	twitter	Twitter
.	.	.

