WASHINGTON	washington	WASHINGTON
NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
The	the	The
special	special	special
counsel	counsel	counsel
investigating	investig	investigating
possible	possibl	possible
collusion	collus	collusion
between	between	between
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
2016	2016	2016
campaign	campaign	campaign
and	and	and
Russia	russia	Russia
has	has	ha
asked	ask	asked
White	white	White
House	hous	House
officials	offici	official
to	to	to
preserve	preserv	preserve
any	ani	any
records	record	record
of	of	of
a	a	a
meeting	meet	meeting
last	last	last
year	year	year
between	between	between
the	the	the
president	presid	president
s	s	s
eldest	eldest	eldest
son	son	son
and	and	and
a	a	a
Russian	russian	Russian
lawyer	lawyer	lawyer
,	,	,
according	accord	according
to	to	to
a	a	a
source	sourc	source
with	with	with
knowledge	knowledg	knowledge
of	of	of
the	the	the
request	request	request
.	.	.
Special	special	Special
counsel	counsel	counsel
Robert	robert	Robert
Mueller	mueller	Mueller
sent	sent	sent
a	a	a
document	document	document
preservation	preserv	preservation
request	request	request
to	to	to
the	the	the
White	white	White
House	hous	House
,	,	,
saying	say	saying
the	the	the
June	june	June
2016	2016	2016
meeting	meet	meeting
that	that	that
Donald	donald	Donald
Trump	trump	Trump
Jr	jr	Jr
.	.	.
had	had	had
at	at	at
Trump	trump	Trump
Tower	tower	Tower
in	in	in
New	new	New
York	york	York
is	is	is
relevant	relev	relevant
to	to	to
his	his	his
investigation	investig	investigation
,	,	,
the	the	the
source	sourc	source
said	said	said
on	on	on
Friday	friday	Friday
.	.	.
The	the	The
White	white	White
House	hous	House
counsel	counsel	counsel
s	s	s
office	offic	office
relayed	relay	relayed
the	the	the
request	request	request
,	,	,
a	a	a
routine	routin	routine
part	part	part
of	of	of
the	the	the
early	earli	early
phase	phase	phase
of	of	of
any	ani	any
investigation	investig	investigation
,	,	,
to	to	to
other	other	other
members	member	member
of	of	of
the	the	the
White	white	White
House	hous	House
staff	staff	staff
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
the	the	the
source	sourc	source
said	said	said
.	.	.
News	news	News
earlier	earlier	earlier
this	this	this
month	month	month
of	of	of
the	the	the
meeting	meet	meeting
between	between	between
Trump	trump	Trump
Jr	jr	Jr
.	.	.
and	and	and
a	a	a
Russian	russian	Russian
lawyer	lawyer	lawyer
whom	whom	whom
he	he	he
was	was	wa
told	told	told
had	had	had
damaging	damag	damaging
information	inform	information
about	about	about
his	his	his
father	father	father
s	s	s
presidential	presidenti	presidential
rival	rival	rival
,	,	,
Democrat	democrat	Democrat
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
fueled	fuel	fueled
questions	question	question
about	about	about
the	the	the
campaign	campaign	campaign
s	s	s
dealings	deal	dealing
with	with	with
Moscow	moscow	Moscow
.	.	.
The	the	The
Republican	republican	Republican
president	presid	president
has	has	ha
defended	defend	defended
his	his	his
son	son	son
s	s	s
meeting	meet	meeting
as	as	a
simple	simpl	simple
politics	polit	politics
.	.	.
Trump	trump	Trump
s	s	s
son	son	son
-in-law	-in-law	-in-law
and	and	and
White	white	White
House	hous	House
senior	senior	senior
adviser	advis	adviser
Jared	jare	Jared
Kushner	kushner	Kushner
and	and	and
former	former	former
Trump	trump	Trump
campaign	campaign	campaign
manager	manag	manager
Paul	paul	Paul
Manafort	manafort	Manafort
also	also	also
attended	attend	attended
the	the	the
meeting	meet	meeting
.	.	.
The	the	The
Senate	senat	Senate
Judiciary	judiciari	Judiciary
Committee	committe	Committee
has	has	ha
called	call	called
for	for	for
Trump	trump	Trump
Jr	jr	Jr
.	.	.
and	and	and
Manafort	manafort	Manafort
to	to	to
testify	testifi	testify
next	next	next
Wednesday	wednesday	Wednesday
at	at	at
a	a	a
public	public	public
hearing	hear	hearing
in	in	in
its	it	it
Russia	russia	Russia
probe	probe	probe
.	.	.
The	the	The
committee	committe	committee
said	said	said
in	in	in
a	a	a
statement	statement	statement
late	late	late
Friday	friday	Friday
that	that	that
Trump	trump	Trump
Jr	jr	Jr
.	.	.
and	and	and
Manafort	manafort	Manafort
had	had	had
agreed	agre	agreed
to	to	to
negotiate	negoti	negotiate
with	with	with
the	the	the
panel	panel	panel
over	over	over
whether	whether	whether
they	they	they
will	will	will
be	be	be
interviewed	interview	interviewed
by	by	by
committee	committe	committee
members	member	member
and	and	and
over	over	over
documents	document	document
it	it	it
is	is	is
seeking	seek	seeking
.	.	.
The	the	The
committee	committe	committee
said	said	said
it	it	it
had	had	had
not	not	not
issued	issu	issued
subpoenas	subpoena	subpoena
for	for	for
them	them	them
to	to	to
appear	appear	appear
at	at	at
Wednesday	wednesday	Wednesday
s	s	s
hearing	hear	hearing
but	but	but
reserved	reserv	reserved
the	the	the
right	right	right
to	to	to
do	do	do
so	so	so
.	.	.
The	the	The
House	hous	House
of	of	of
Representatives	repres	Representatives
Intelligence	intellig	Intelligence
Committee	committe	Committee
said	said	said
it	it	it
would	would	would
interview	interview	interview
Kushner	kushner	Kushner
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Mueller	mueller	Mueller
,	,	,
appointed	appoint	appointed
by	by	by
the	the	the
Justice	justic	Justice
Department	depart	Department
in	in	in
May	may	May
,	,	,
is	is	is
probing	probe	probing
allegations	alleg	allegation
of	of	of
Russian	russian	Russian
interference	interfer	interference
in	in	in
the	the	the
election	elect	election
and	and	and
potential	potenti	potential
collusion	collus	collusion
by	by	by
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
,	,	,
an	an	an
issue	issu	issue
that	that	that
has	has	ha
engulfed	engulf	engulfed
the	the	the
six	six	six
-month-old	-month-old	-month-old
administration	administr	administration
.	.	.
Trump	trump	Trump
has	has	ha
long	long	long
expressed	express	expressed
frustration	frustrat	frustration
with	with	with
a	a	a
probe	probe	probe
that	that	that
he	he	he
has	has	ha
called	call	called
a	a	a
political	polit	political
witch	witch	witch
hunt	hunt	hunt
,	,	,
and	and	and
he	he	he
has	has	ha
denied	deni	denied
any	ani	any
collusion	collus	collusion
.	.	.
Moscow	moscow	Moscow
has	has	ha
denied	deni	denied
it	it	it
interfered	interf	interfered
in	in	in
the	the	the
election	elect	election
campaign	campaign	campaign
to	to	to
try	tri	try
to	to	to
tilt	tilt	tilt
the	the	the
November	novemb	November
2016	2016	2016
vote	vote	vote
in	in	in
Trump	trump	Trump
s	s	s
favor	favor	favor
.	.	.
Document	document	Document
requests	request	request
of	of	of
the	the	the
type	type	type
sent	sent	sent
by	by	by
Mueller	mueller	Mueller
generally	general	generally
cover	cover	cover
emails	email	email
,	,	,
text	text	text
messages	messag	message
,	,	,
voicemails	voicemail	voicemail
,	,	,
notes	note	note
or	or	or
records	record	record
.	.	.
The	the	The
counsel	counsel	counsel
is	is	is
looking	look	looking
for	for	for
any	ani	any
indication	indic	indication
that	that	that
the	the	the
president	presid	president
knew	knew	knew
the	the	the
meeting	meet	meeting
his	his	his
son	son	son
had	had	had
was	was	wa
planned	plan	planned
and	and	and
might	might	might
have	have	have
suggested	suggest	suggested
topics	topic	topic
for	for	for
discussion	discuss	discussion
,	,	,
the	the	the
source	sourc	source
said	said	said
.	.	.
Mueller	mueller	Mueller
would	would	would
also	also	also
be	be	be
inquiring	inquir	inquiring
into	into	into
whether	whether	whether
Trump	trump	Trump
was	was	wa
briefed	brief	briefed
on	on	on
the	the	the
meeting	meet	meeting
afterward	afterward	afterward
,	,	,
as	as	a
well	well	well
as	as	a
what	what	what
was	was	wa
discussed	discuss	discussed
,	,	,
the	the	the
source	sourc	source
said	said	said
.	.	.
Mueller	mueller	Mueller
would	would	would
be	be	be
interested	interest	interested
,	,	,
the	the	the
source	sourc	source
said	said	said
,	,	,
in	in	in
topics	topic	topic
such	such	such
as	as	a
any	ani	any
discussion	discuss	discussion
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
economic	econom	economic
sanctions	sanction	sanction
on	on	on
Russia	russia	Russia
,	,	,
possible	possibl	possible
Russian	russian	Russian
investments	invest	investment
in	in	in
the	the	the
United	unit	United
States	state	States
or	or	or
elsewhere	elsewher	elsewhere
,	,	,
or	or	or
a	a	a
possible	possibl	possible
lifting	lift	lifting
of	of	of
a	a	a
Russian	russian	Russian
ban	ban	ban
on	on	on
Americans	american	Americans
adopting	adopt	adopting
Russian	russian	Russian
children	children	child
.	.	.
Russia	russia	Russia
imposed	impos	imposed
the	the	the
adoption	adopt	adoption
ban	ban	ban
to	to	to
retaliate	retali	retaliate
for	for	for
the	the	the
2012	2012	2012
Magnitsky	magnitski	Magnitsky
Act	act	Act
,	,	,
which	which	which
imposed	impos	imposed
sanctions	sanction	sanction
on	on	on
Russian	russian	Russian
individuals	individu	individual
to	to	to
punish	punish	punish
Russia	russia	Russia
for	for	for
human	human	human
rights	right	right
violations	violat	violation
.	.	.
Russia	russia	Russia
s	s	s
ambassador	ambassador	ambassador
to	to	to
Washington	washington	Washington
was	was	wa
overheard	overheard	overheard
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
spy	spi	spy
agencies	agenc	agency
telling	tell	telling
his	his	his
bosses	boss	boss
that	that	that
he	he	he
had	had	had
discussed	discuss	discussed
campaign	campaign	campaign
-related	-relat	-related
matters	matter	matter
with	with	with
Trump	trump	Trump
adviser	advis	adviser
Jeff	jeff	Jeff
Sessions	session	Sessions
last	last	last
year	year	year
,	,	,
the	the	the
Washington	washington	Washington
Post	post	Post
reported	report	reported
on	on	on
Friday	friday	Friday
,	,	,
citing	cite	citing
current	current	current
and	and	and
former	former	former
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
.	.	.
Sessions	session	Sessions
,	,	,
who	who	who
was	was	wa
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
senator	senat	senator
at	at	at
the	the	the
time	time	time
and	and	and
is	is	is
now	now	now
the	the	the
attorney	attorney	attorney
general	general	general
,	,	,
initially	initi	initially
failed	fail	failed
to	to	to
disclose	disclos	disclose
the	the	the
contacts	contact	contact
with	with	with
Ambassador	ambassador	Ambassador
Sergei	sergei	Sergei
Kislyak	kislyak	Kislyak
and	and	and
then	then	then
said	said	said
they	they	they
were	were	were
not	not	not
about	about	about
the	the	the
campaign	campaign	campaign
.	.	.
Under	under	Under
pressure	pressur	pressure
over	over	over
having	have	having
not	not	not
disclosed	disclos	disclosed
the	the	the
meetings	meet	meeting
with	with	with
Kislyak	kislyak	Kislyak
,	,	,
Sessions	session	Sessions
recused	recus	recused
himself	himself	himself
from	from	from
the	the	the
Russia	russia	Russia
probe	probe	probe
in	in	in
March	march	March
.	.	.
The	the	The
recusal	recus	recusal
angered	anger	angered
Trump	trump	Trump
,	,	,
who	who	who
said	said	said
in	in	in
a	a	a
New	new	New
York	york	York
Times	time	Times
interview	interview	interview
this	this	this
week	week	week
that	that	that
he	he	he
would	would	would
not	not	not
have	have	have
chosen	chosen	chosen
Sessions	session	Sessions
for	for	for
attorney	attorney	attorney
general	general	general
if	if	if
he	he	he
had	had	had
known	known	known
Sessions	session	Sessions
would	would	would
recuse	recus	recuse
himself	himself	himself
.	.	.
nL1N1KB0UN	nl1n1kb0un	nL1N1KB0UN
Newspaper	newspap	Newspaper
reports	report	report
said	said	said
Trump	trump	Trump
s	s	s
lawyers	lawyer	lawyer
are	are	are
reviewing	review	reviewing
ways	way	way
to	to	to
limit	limit	limit
or	or	or
undermine	undermin	undermine
the	the	the
special	special	special
counsel	counsel	counsel
.	.	.
The	the	The
Washington	washington	Washington
Post	post	Post
and	and	and
The	the	The
New	new	New
York	york	York
Times	time	Times
on	on	on
Thursday	thursday	Thursday
cited	cite	cited
unidentified	unidentifi	unidentified
people	peopl	people
familiar	familiar	familiar
with	with	with
the	the	the
strategy	strategi	strategy
.	.	.
A	a	A
Trump	trump	Trump
attorney	attorney	attorney
contacted	contact	contacted
by	by	by
Reuters	reuter	Reuters
,	,	,
John	john	John
Dowd	dowd	Dowd
,	,	,
denied	deni	denied
the	the	the
reports	report	report
and	and	and
praised	prais	praised
Mueller	mueller	Mueller
.	.	.
We	we	We
think	think	think
he	he	he
s	s	s
a	a	a
straight	straight	straight
,	,	,
honest	honest	honest
guy	guy	guy
,	,	,
Dowd	dowd	Dowd
said	said	said
.	.	.
Dowd	dowd	Dowd
said	said	said
communications	communic	communication
with	with	with
Mueller	mueller	Mueller
were	were	were
productive	product	productive
and	and	and
we	we	we
have	have	have
confidence	confid	confidence
he	he	he
s	s	s
going	go	going
to	to	to
do	do	do
the	the	the
right	right	right
thing	thing	thing
.	.	.
Another	anoth	Another
Trump	trump	Trump
lawyer	lawyer	lawyer
,	,	,
Jay	jay	Jay
Sekulow	sekulow	Sekulow
,	,	,
told	told	told
the	the	the
Times	time	Times
that	that	that
addressing	address	addressing
possible	possibl	possible
conflicts	conflict	conflict
of	of	of
interest	interest	interest
in	in	in
Mueller	mueller	Mueller
s	s	s
team	team	team
would	would	would
be	be	be
appropriate	appropri	appropriate
but	but	but
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
specifics	specif	specific
.	.	.
Senior	senior	Senior
White	white	White
House	hous	House
adviser	advis	adviser
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
referred	refer	referred
on	on	on
Friday	friday	Friday
to	to	to
reports	report	report
that	that	that
members	member	member
of	of	of
Mueller	mueller	Mueller
s	s	s
team	team	team
have	have	have
made	made	made
donations	donat	donation
to	to	to
the	the	the
Democratic	democrat	Democratic
Party	parti	Party
.	.	.
People	peopl	People
should	should	should
know	know	know
what	what	what
folks	folk	folk
paths	path	path
and	and	and
motivations	motiv	motivation
and	and	and
political	polit	political
motivations	motiv	motivation
are	are	are
,	,	,
she	she	she
said	said	said
in	in	in
a	a	a
Fox	fox	Fox
News	news	News
interview	interview	interview
.	.	.
According	accord	According
to	to	to
the	the	the
Post	post	Post
,	,	,
Trump	trump	Trump
has	has	ha
asked	ask	asked
his	his	his
advisers	advis	adviser
about	about	about
his	his	his
power	power	power
to	to	to
pardon	pardon	pardon
aides	aid	aide
,	,	,
family	famili	family
members	member	member
and	and	and
even	even	even
himself	himself	himself
in	in	in
connection	connect	connection
with	with	with
the	the	the
Russia	russia	Russia
probe	probe	probe
.	.	.
Trump	trump	Trump
s	s	s
lawyers	lawyer	lawyer
have	have	have
been	been	been
discussing	discuss	discussing
the	the	the
president	presid	president
s	s	s
pardoning	pardon	pardoning
powers	power	power
,	,	,
a	a	a
second	second	second
person	person	person
told	told	told
the	the	the
newspaper	newspap	newspaper
.	.	.
Dowd	dowd	Dowd
dismissed	dismiss	dismissed
the	the	the
pardon	pardon	pardon
report	report	report
as	as	a
nonsense	nonsens	nonsense
.	.	.
It	it	It
s	s	s
just	just	just
not	not	not
true	true	true
,	,	,
he	he	he
said	said	said
.	.	.
Separately	separ	Separately
,	,	,
the	the	the
spokesman	spokesman	spokesman
for	for	for
Trump	trump	Trump
s	s	s
legal	legal	legal
team	team	team
,	,	,
Mark	mark	Mark
Corallo	corallo	Corallo
,	,	,
confirmed	confirm	confirmed
his	his	his
resignation	resign	resignation
on	on	on
Friday	friday	Friday
.	.	.
And	and	And
lead	lead	lead
attorney	attorney	attorney
Marc	marc	Marc
Kasowitz	kasowitz	Kasowitz
will	will	will
take	take	take
on	on	on
a	a	a
reduced	reduc	reduced
role	role	role
on	on	on
the	the	the
outside	outsid	outside
legal	legal	legal
team	team	team
,	,	,
according	accord	according
to	to	to
media	media	medium
reports	report	report
.	.	.
Other	other	Other
recent	recent	recent
changes	chang	change
included	includ	included
the	the	the
hiring	hire	hiring
of	of	of
veteran	veteran	veteran
Washington	washington	Washington
lawyer	lawyer	lawyer
Ty	ty	Ty
Cobb	cobb	Cobb
to	to	to
a	a	a
White	white	White
House	hous	House
job	job	job
to	to	to
handle	handl	handle
responses	respons	response
to	to	to
the	the	the
Russia	russia	Russia
probe	probe	probe
.	.	.
nL1N1K60C4	nl1n1k60c4	nL1N1K60C4
