Reuters	reuter	Reuters
-	-	-
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Congress	congress	Congress
is	is	is
careening	careen	careening
toward	toward	toward
major	major	major
deadlines	deadlin	deadline
on	on	on
a	a	a
Republican	republican	Republican
tax	tax	tax
bill	bill	bill
,	,	,
the	the	the
budget	budget	budget
and	and	and
other	other	other
policies	polici	policy
.	.	.

Here	here	Here
is	is	is
the	the	the
outlook	outlook	outlook
for	for	for
what	what	what
promises	promis	promise
to	to	to
be	be	be
a	a	a
sprint	sprint	sprint
to	to	to
the	the	the
end	end	end
of	of	of
2017	2017	2017
.	.	.

TUESDAY	tuesday	TUESDAY
,	,	,
NOV	nov	NOV
28	28	28
The	the	The
Senate	senat	Senate
Budget	budget	Budget
Committee	committe	Committee
voted	vote	voted
on	on	on
Tuesday	tuesday	Tuesday
to	to	to
send	send	send
Republican	republican	Republican
tax	tax	tax
-cut	-cut	-cut
legislation	legisl	legislation
to	to	to
the	the	the
Senate	senat	Senate
floor	floor	floor
for	for	for
a	a	a
vote	vote	vote
,	,	,
possibly	possibl	possibly
as	as	a
soon	soon	soon
as	as	a
Thursday	thursday	Thursday
,	,	,
with	with	with
51	51	51
votes	vote	vote
needed	need	needed
for	for	for
passage	passag	passage
.	.	.

THURSDAY	thursday	THURSDAY
,	,	,
NOV	nov	NOV
.	.	.

30	30	30
,	,	,
or	or	or
FRIDAY	friday	FRIDAY
,	,	,
DEC	dec	DEC
.	.	.

1	1	1
Possible	possibl	Possible
final	final	final
Senate	senat	Senate
vote	vote	vote
on	on	on
tax	tax	tax
bill	bill	bill
,	,	,
although	although	although
delay	delay	delay
was	was	wa
possible	possibl	possible
.	.	.

Ahead	ahead	Ahead
of	of	of
a	a	a
floor	floor	floor
vote	vote	vote
,	,	,
several	sever	several
Republican	republican	Republican
senators	senat	senator
were	were	were
making	make	making
demands	demand	demand
for	for	for
possible	possibl	possible
changes	chang	change
to	to	to
the	the	the
legislation	legisl	legislation
.	.	.

If	if	If
the	the	the
Senate	senat	Senate
approves	approv	approves
the	the	the
bill	bill	bill
,	,	,
a	a	a
conference	confer	conference
would	would	would
begin	begin	begin
to	to	to
reconcile	reconcil	reconcile
differences	differ	difference
between	between	between
the	the	the
Senate	senat	Senate
and	and	and
House	hous	House
of	of	of
Representatives	repres	Representatives
tax	tax	tax
measures	measur	measure
.	.	.

A	a	A
compromise	compromis	compromise
bill	bill	bill
would	would	would
need	need	need
to	to	to
be	be	be
approved	approv	approved
before	befor	before
going	go	going
to	to	to
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
for	for	for
enactment	enact	enactment
.	.	.

FRIDAY	friday	FRIDAY
,	,	,
DEC	dec	DEC
.	.	.

8	8	8
Expiration	expir	Expiration
date	date	date
for	for	for
funding	fund	funding
needed	need	needed
to	to	to
keep	keep	keep
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
open	open	open
.	.	.

Congress	congress	Congress
has	has	ha
three	three	three
choices	choic	choice
approve	approv	approve
a	a	a
massive	massiv	massive
bill	bill	bill
for	for	for
more	more	more
than	than	than
1	1	1
trillion	trillion	trillion
to	to	to
keep	keep	keep
the	the	the
government	govern	government
operating	oper	operating
through	through	through
Sept	sept	Sept
.	.	.

30	30	30
,	,	,
2018	2018	2018
;	;	;
pass	pass	pas
a	a	a
shorter	shorter	shorter
extension	extens	extension
of	of	of
current	current	current
funding	fund	funding
to	to	to
buy	buy	buy
more	more	more
time	time	time
;	;	;
or	or	or
fail	fail	fail
to	to	to
pass	pass	pas
anything	anyth	anything
and	and	and
risk	risk	risk
a	a	a
partial	partial	partial
government	govern	government
shutdown	shutdown	shutdown
,	,	,
stalling	stall	stalling
the	the	the
tax	tax	tax
effort	effort	effort
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
Treasury	treasuri	Treasury
hits	hit	hit
its	it	it
limit	limit	limit
on	on	on
borrowing	borrow	borrowing
,	,	,
but	but	but
takes	take	take
steps	step	step
to	to	to
postpone	postpon	postpone
any	ani	any
need	need	need
for	for	for
action	action	action
by	by	by
Congress	congress	Congress
,	,	,
eliminating	elimin	eliminating
any	ani	any
need	need	need
for	for	for
a	a	a
debt	debt	debt
limit	limit	limit
increase	increas	increase
in	in	in
an	an	an
end	end	end
-of-year	-of-year	-of-year
catch	catch	catch
-all	-all	-all
bill	bill	bill
.	.	.

TUESDAY	tuesday	TUESDAY
,	,	,
DEC	dec	DEC
.	.	.

12	12	12
Special	special	Special
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
election	elect	election
in	in	in
Alabama	alabama	Alabama
pits	pit	pit
Republican	republican	Republican
Roy	roy	Roy
Moore	moor	Moore
,	,	,
a	a	a
conservative	conserv	conservative
firebrand	firebrand	firebrand
accused	accus	accused
of	of	of
sexual	sexual	sexual
misconduct	misconduct	misconduct
involving	involv	involving
teenage	teenag	teenage
girls	girl	girl
,	,	,
against	against	against
Democrat	democrat	Democrat
Doug	doug	Doug
Jones	jone	Jones
.	.	.

The	the	The
election	elect	election
could	could	could
mean	mean	mean
trouble	troubl	trouble
for	for	for
the	the	the
tax	tax	tax
overhaul	overhaul	overhaul
effort	effort	effort
.	.	.

Moore	moor	Moore
,	,	,
a	a	a
critic	critic	critic
of	of	of
Senate	senat	Senate
Republican	republican	Republican
leader	leader	leader
Mitch	mitch	Mitch
McConnell	mcconnel	McConnell
,	,	,
could	could	could
cause	caus	cause
turmoil	turmoil	turmoil
if	if	if
elected	elect	elected
.	.	.

A	a	A
win	win	win
by	by	by
Jones	jone	Jones
would	would	would
shrink	shrink	shrink
even	even	even
more	more	more
Republicans	republican	Republicans
narrow	narrow	narrow
margin	margin	margin
of	of	of
Senate	senat	Senate
control	control	control
.	.	.

THURSDAY	thursday	THURSDAY
,	,	,
DEC	dec	DEC
.	.	.

14	14	14
House	hous	House
s	s	s
last	last	last
scheduled	schedul	scheduled
session	session	session
of	of	of
2017	2017	2017
.	.	.

FRIDAY	friday	FRIDAY
,	,	,
DEC	dec	DEC
.	.	.

15	15	15
Senate	senat	Senate
s	s	s
last	last	last
scheduled	schedul	scheduled
session	session	session
of	of	of
2017	2017	2017
.	.	.

FRIDAY	friday	FRIDAY
,	,	,
DEC	dec	DEC
.	.	.

22	22	22
The	the	The
last	last	last
weekday	weekday	weekday
before	befor	before
Christmas	christma	Christmas
and	and	and
a	a	a
potential	potenti	potential
deadline	deadlin	deadline
for	for	for
sending	send	sending
tax	tax	tax
legislation	legisl	legislation
to	to	to
Trump	trump	Trump
.	.	.

DISASTER	disast	DISASTER
AID	aid	AID
On	on	On
Nov	nov	Nov
.	.	.

17	17	17
,	,	,
the	the	the
White	white	White
House	hous	House
asked	ask	asked
Congress	congress	Congress
to	to	to
approve	approv	approve
44	44	44
billion	billion	billion
in	in	in
more	more	more
aid	aid	aid
for	for	for
disaster	disast	disaster
-hit	-hit	-hit
Puerto	puerto	Puerto
Rico	rico	Rico
,	,	,
the	the	the
Virgin	virgin	Virgin
Islands	island	Islands
,	,	,
Texas	texa	Texas
,	,	,
Florida	florida	Florida
and	and	and
other	other	other
states	state	state
.	.	.

If	if	If
approved	approv	approved
,	,	,
as	as	a
expected	expect	expected
,	,	,
aid	aid	aid
would	would	would
total	total	total
nearly	near	nearly
96	96	96
billion	billion	billion
.	.	.

Additional	addit	Additional
requests	request	request
are	are	are
expected	expect	expected
.	.	.

DREAMERS	dreamer	DREAMERS
Trump	trump	Trump
has	has	ha
threatened	threaten	threatened
to	to	to
end	end	end
an	an	an
Obama	obama	Obama
-era	-era	-era
program	program	program
that	that	that
helped	help	helped
Dreamers	dreamer	Dreamers
,	,	,
people	peopl	people
brought	brought	brought
illegally	illeg	illegally
into	into	into
the	the	the
United	unit	United
States	state	States
when	when	when
they	they	they
were	were	were
children	children	child
.	.	.

Trump	trump	Trump
gave	gave	gave
Congress	congress	Congress
until	until	until
early	earli	early
March	march	March
to	to	to
come	come	come
up	up	up
with	with	with
a	a	a
replacement	replac	replacement
program	program	program
,	,	,
but	but	but
Democrats	democrat	Democrats
and	and	and
some	some	some
Republicans	republican	Republicans
want	want	want
to	to	to
do	do	do
this	this	this
in	in	in
December	decemb	December
.	.	.

CHIP	chip	CHIP
The	the	The
Children	children	Children
s	s	s
Health	health	Health
Insurance	insur	Insurance
Program	program	Program
,	,	,
which	which	which
helps	help	help
millions	million	million
of	of	of
lower	lower	lower
-income	-incom	-income
pregnant	pregnant	pregnant
women	women	woman
and	and	and
children	children	child
,	,	,
is	is	is
running	run	running
out	out	out
of	of	of
money	money	money
.	.	.

Congress	congress	Congress
has	has	ha
struggled	struggl	struggled
to	to	to
approve	approv	approve
a	a	a
five	five	five
-year	-year	-year
renewal	renew	renewal
for	for	for
the	the	the
program	program	program
that	that	that
normally	normal	normally
enjoys	enjoy	enjoys
bipartisan	bipartisan	bipartisan
support	support	support
.	.	.

