DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
The	the	The
United	unit	United
States	state	States
is	is	is
scaling	scale	scaling
back	back	back
its	it	it
involvement	involv	involvement
in	in	in
some	some	some
joint	joint	joint
military	militari	military
exercises	exercis	exercise
in	in	in
the	the	the
Gulf	gulf	Gulf
region	region	region
,	,	,
a	a	a
spokesman	spokesman	spokesman
said	said	said
on	on	on
Friday	friday	Friday
,	,	,
following	follow	following
a	a	a
rift	rift	rift
between	between	between
Qatar	qatar	Qatar
and	and	and
its	it	it
neighbors	neighbor	neighbor
.	.	.

Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
the	the	the
United	unit	United
Arab	arab	Arab
Emirates	emir	Emirates
and	and	and
Bahrain	bahrain	Bahrain
,	,	,
along	along	along
with	with	with
Egypt	egypt	Egypt
,	,	,
severed	sever	severed
ties	tie	tie
with	with	with
Qatar	qatar	Qatar
in	in	in
June	june	June
,	,	,
accusing	accus	accusing
it	it	it
of	of	of
supporting	support	supporting
terrorism	terror	terrorism
,	,	,
in	in	in
the	the	the
most	most	most
serious	serious	serious
rift	rift	rift
between	between	between
the	the	the
United	unit	United
States	state	States
Gulf	gulf	Gulf
Arab	arab	Arab
allies	alli	ally
.	.	.

Doha	doha	Doha
denies	deni	denies
it	it	it
supports	support	support
terrorism	terror	terrorism
and	and	and
says	say	say
the	the	the
sanctions	sanction	sanction
are	are	are
intended	intend	intended
to	to	to
force	forc	force
it	it	it
to	to	to
change	chang	change
its	it	it
foreign	foreign	foreign
policies	polici	policy
.	.	.

Asked	ask	Asked
whether	whether	whether
the	the	the
United	unit	United
States	state	States
had	had	had
scaled	scale	scaled
back	back	back
military	militari	military
operations	oper	operation
with	with	with
some	some	some
Gulf	gulf	Gulf
Cooperation	cooper	Cooperation
Council	council	Council
countries	countri	country
due	due	due
to	to	to
the	the	the
rift	rift	rift
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
Central	central	Central
Command	command	Command
CENTCOM	centcom	CENTCOM
spokesman	spokesman	spokesman
Colonel	colonel	Colonel
John	john	John
Thomas	thoma	Thomas
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
We	we	We
are	are	are
opting	opt	opting
out	out	out
of	of	of
some	some	some
military	militari	military
exercises	exercis	exercise
out	out	out
of	of	of
respect	respect	respect
for	for	for
the	the	the
concept	concept	concept
of	of	of
inclusiveness	inclus	inclusiveness
and	and	and
shared	share	shared
regional	region	regional
interests	interest	interest
.	.	.

We	we	We
will	will	will
continue	continu	continue
to	to	to
encourage	encourag	encourage
all	all	all
partners	partner	partner
to	to	to
work	work	work
together	togeth	together
toward	toward	toward
the	the	the
sort	sort	sort
of	of	of
common	common	common
solutions	solut	solution
that	that	that
enable	enabl	enable
security	secur	security
and	and	and
stability	stabil	stability
in	in	in
the	the	the
region	region	region
,	,	,
he	he	he
added	ad	added
,	,	,
without	without	without
elaborating	elabor	elaborating
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Central	central	Central
Command	command	Command
is	is	is
responsible	respons	responsible
for	for	for
20	20	20
countries	countri	country
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
and	and	and
South	south	South
and	and	and
Central	central	Central
Asia	asia	Asia
,	,	,
from	from	from
Egypt	egypt	Egypt
to	to	to
Kazakhstan	kazakhstan	Kazakhstan
.	.	.

The	the	The
United	unit	United
States	state	States
has	has	ha
sought	sought	sought
to	to	to
encourage	encourag	encourage
its	it	it
Arab	arab	Arab
allies	alli	ally
to	to	to
discuss	discuss	discus
their	their	their
differences	differ	difference
,	,	,
which	which	which
appear	appear	appear
to	to	to
revolve	revolv	revolve
around	around	around
Qatar	qatar	Qatar
s	s	s
support	support	support
for	for	for
the	the	the
Muslim	muslim	Muslim
Brotherhood	brotherhood	Brotherhood
,	,	,
an	an	an
Islamist	islamist	Islamist
group	group	group
designated	design	designated
by	by	by
Saudi	saudi	Saudi
Arabia	arabia	Arabia
and	and	and
its	it	it
allies	alli	ally
as	as	a
a	a	a
terrorist	terrorist	terrorist
organization	organ	organization
.	.	.

Gulf	gulf	Gulf
Arab	arab	Arab
states	state	state
also	also	also
accuse	accus	accuse
Qatar	qatar	Qatar
of	of	of
cozying	cozi	cozying
up	up	up
to	to	to
non	non	non
-Arab	-arab	-Arab
Iran	iran	Iran
,	,	,
which	which	which
they	they	they
accuse	accus	accuse
of	of	of
trying	tri	trying
to	to	to
expand	expand	expand
its	it	it
influence	influenc	influence
in	in	in
Arab	arab	Arab
countries	countri	country
by	by	by
supporting	support	supporting
Shi	shi	Shi
ite	ite	ite
Muslim	muslim	Muslim
minorities	minor	minority
,	,	,
something	someth	something
Tehran	tehran	Tehran
denies	deni	denies
.	.	.

The	the	The
United	unit	United
States	state	States
maintains	maintain	maintains
close	close	close
military	militari	military
ties	tie	tie
with	with	with
all	all	all
Gulf	gulf	Gulf
Arab	arab	Arab
states	state	state
and	and	and
regularly	regular	regularly
holds	hold	hold
joint	joint	joint
exercises	exercis	exercise
.	.	.

It	it	It
has	has	ha
military	militari	military
bases	base	base
in	in	in
several	sever	several
of	of	of
the	the	the
counties	counti	county
,	,	,
including	includ	including
Qatar	qatar	Qatar
which	which	which
hosts	host	host
the	the	the
largest	largest	largest
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
base	base	base
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
.	.	.

