LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
British	british	British
Brexit	brexit	Brexit
minister	minist	minister
David	david	David
Davis	davi	Davis
said	said	said
on	on	on
Monday	monday	Monday
the	the	the
government	govern	government
would	would	would
allow	allow	allow
parliament	parliament	parliament
the	the	the
opportunity	opportun	opportunity
to	to	to
debate	debat	debate
,	,	,
scrutinize	scrutin	scrutinize
and	and	and
vote	vote	vote
on	on	on
any	ani	any
final	final	final
Brexit	brexit	Brexit
agreement	agreement	agreement
,	,	,
offering	offer	offering
a	a	a
concession	concess	concession
to	to	to
Conservative	conserv	Conservative
Party	parti	Party
rebels	rebel	rebel
.	.	.
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
is	is	is
under	under	under
pressure	pressur	pressure
to	to	to
offer	offer	offer
a	a	a
meaningful	meaning	meaningful
vote	vote	vote
on	on	on
any	ani	any
deal	deal	deal
for	for	for
Britain	britain	Britain
s	s	s
departure	departur	departure
from	from	from
the	the	the
European	european	European
Union	union	Union
.	.	.
Members	member	Members
of	of	of
her	her	her
own	own	own
party	parti	party
are	are	are
willing	will	willing
to	to	to
vote	vote	vote
against	against	against
the	the	the
government	govern	government
to	to	to
stymie	stymi	stymie
a	a	a
bill	bill	bill
which	which	which
she	she	she
says	say	say
is	is	is
needed	need	needed
to	to	to
sever	sever	sever
ties	tie	tie
with	with	with
the	the	the
bloc	bloc	bloc
.	.	.
I	i	I
can	can	can
now	now	now
confirm	confirm	confirm
that	that	that
once	onc	once
we	we	we
ve	ve	ve
reached	reach	reached
an	an	an
agreement	agreement	agreement
we	we	we
will	will	will
bring	bring	bring
forward	forward	forward
a	a	a
specific	specif	specific
piece	piec	piece
of	of	of
primary	primari	primary
legislation	legisl	legislation
to	to	to
implement	implement	implement
that	that	that
agreement	agreement	agreement
,	,	,
Davis	davi	Davis
told	told	told
parliament	parliament	parliament
.	.	.
This	this	This
also	also	also
means	mean	mean
that	that	that
parliament	parliament	parliament
will	will	will
be	be	be
given	given	given
time	time	time
to	to	to
debate	debat	debate
,	,	,
scrutinize	scrutin	scrutinize
and	and	and
vote	vote	vote
on	on	on
the	the	the
final	final	final
agreement	agreement	agreement
we	we	we
strike	strike	strike
with	with	with
the	the	the
European	european	European
Union	union	Union
.	.	.
This	this	This
agreement	agreement	agreement
will	will	will
only	onli	only
hold	hold	hold
if	if	if
parliament	parliament	parliament
approves	approv	approves
it	it	it
.	.	.
May	may	May
s	s	s
blueprint	blueprint	blueprint
for	for	for
Britain	britain	Britain
s	s	s
exit	exit	exit
from	from	from
the	the	the
EU	eu	EU
faces	face	face
a	a	a
crucial	crucial	crucial
test	test	test
starting	start	starting
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
when	when	when
lawmakers	lawmak	lawmaker
will	will	will
debate	debat	debate
the	the	the
EU	eu	EU
withdrawal	withdraw	withdrawal
bill	bill	bill
that	that	that
she	she	she
says	say	say
is	is	is
crucial	crucial	crucial
to	to	to
give	give	give
companies	compani	company
confidence	confid	confidence
that	that	that
the	the	the
rules	rule	rule
will	will	will
not	not	not
change	chang	change
after	after	after
Brexit	brexit	Brexit
.	.	.
Lawmakers	lawmak	Lawmakers
have	have	have
proposed	propos	proposed
186	186	186
pages	page	page
of	of	of
amendments	amend	amendment
to	to	to
the	the	the
bill	bill	bill
,	,	,
which	which	which
largely	larg	largely
copy	copi	copy
and	and	and
paste	past	paste
EU	eu	EU
rules	rule	rule
and	and	and
regulations	regul	regulation
into	into	into
British	british	British
law	law	law
but	but	but
also	also	also
,	,	,
critics	critic	critic
say	say	say
,	,	,
hand	hand	hand
the	the	the
government	govern	government
wide	wide	wide
-ranging	-rang	-ranging
powers	power	power
and	and	and
cut	cut	cut
parliament	parliament	parliament
out	out	out
of	of	of
some	some	some
Brexit	brexit	Brexit
planning	plan	planning
.	.	.
Davis	davi	Davis
said	said	said
the	the	the
government	govern	government
would	would	would
allow	allow	allow
parliament	parliament	parliament
the	the	the
chance	chanc	chance
to	to	to
vote	vote	vote
on	on	on
a	a	a
withdrawal	withdraw	withdrawal
agreement	agreement	agreement
and	and	and
implementation	implement	implementation
bill	bill	bill
once	onc	once
it	it	it
has	has	ha
secured	secur	secured
a	a	a
Brexit	brexit	Brexit
deal	deal	deal
with	with	with
the	the	the
European	european	European
Union	union	Union
,	,	,
which	which	which
both	both	both
sides	side	side
aim	aim	aim
to	to	to
do	do	do
by	by	by
late	late	late
next	next	next
year	year	year
.	.	.
This	this	This
confirms	confirm	confirms
that	that	that
the	the	the
major	major	major
policies	polici	policy
set	set	set
out	out	out
in	in	in
the	the	the
withdrawal	withdraw	withdrawal
agreement	agreement	agreement
with	with	with
the	the	the
EU	eu	EU
will	will	will
be	be	be
directly	direct	directly
implemented	implement	implemented
into	into	into
UK	uk	UK
law	law	law
by	by	by
primary	primari	primary
legislation	legisl	legislation
,	,	,
he	he	he
said	said	said
.	.	.
Primary	primari	Primary
legislation	legisl	legislation
means	mean	mean
making	make	making
law	law	law
by	by	by
acts	act	act
of	of	of
parliament	parliament	parliament
or	or	or
statute	statut	statute
.	.	.
Some	some	Some
lawmakers	lawmak	lawmaker
welcomed	welcom	welcomed
the	the	the
move	move	move
,	,	,
but	but	but
others	other	others
said	said	said
the	the	the
change	chang	change
in	in	in
procedure	procedur	procedure
would	would	would
mean	mean	mean
that	that	that
if	if	if
Britain	britain	Britain
failed	fail	failed
to	to	to
negotiate	negoti	negotiate
a	a	a
deal	deal	deal
with	with	with
the	the	the
EU	eu	EU
,	,	,
parliament	parliament	parliament
would	would	would
have	have	have
no	no	no
say	say	say
,	,	,
and	and	and
that	that	that
there	there	there
would	would	would
not	not	not
be	be	be
time	time	time
for	for	for
a	a	a
proper	proper	proper
chance	chanc	chance
to	to	to
have	have	have
sway	sway	sway
over	over	over
a	a	a
deal	deal	deal
.	.	.
Hasn	hasn	Hasn
t	t	t
he	he	he
just	just	just
given	given	given
the	the	the
game	game	game
away	away	away
on	on	on
what	what	what
a	a	a
sham	sham	sham
offer	offer	offer
this	this	this
is	is	is
?	?	?
Totally	total	Totally
worthless	worthless	worthless
to	to	to
parliament	parliament	parliament
,	,	,
essentially	essenti	essentially
trying	tri	trying
to	to	to
buy	buy	buy
off	off	off
people	peopl	people
,	,	,
Chris	chris	Chris
Leslie	lesli	Leslie
,	,	,
a	a	a
member	member	member
of	of	of
the	the	the
opposition	opposit	opposition
Labour	labour	Labour
Party	parti	Party
and	and	and
a	a	a
pro	pro	pro
-EU	-eu	-EU
campaigner	campaign	campaigner
,	,	,
said	said	said
.	.	.
