MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
Politicians	politician	Politicians
from	from	from
North	north	North
and	and	and
South	south	South
Korea	korea	Korea
will	will	will
not	not	not
hold	hold	hold
direct	direct	direct
talks	talk	talk
in	in	in
Russia	russia	Russia
on	on	on
Monday	monday	Monday
about	about	about
Pyongyang	pyongyang	Pyongyang
s	s	s
nuclear	nuclear	nuclear
and	and	and
missile	missil	missile
program	program	program
despite	despit	despite
attending	attend	attending
the	the	the
same	same	same
event	event	event
and	and	and
being	be	being
urged	urg	urged
to	to	to
do	do	do
so	so	so
by	by	by
Moscow	moscow	Moscow
,	,	,
Russian	russian	Russian
news	news	news
agencies	agenc	agency
said	said	said
on	on	on
Sunday	sunday	Sunday
.	.	.

Valentina	valentina	Valentina
Matviyenko	matviyenko	Matviyenko
,	,	,
speaker	speaker	speaker
of	of	of
Russia	russia	Russia
s	s	s
upper	upper	upper
house	hous	house
of	of	of
parliament	parliament	parliament
,	,	,
is	is	is
due	due	due
to	to	to
discuss	discuss	discus
the	the	the
missile	missil	missile
crisis	crisi	crisis
in	in	in
separate	separ	separate
talks	talk	talk
with	with	with
a	a	a
deputy	deputi	deputy
head	head	head
of	of	of
North	north	North
Korea	korea	Korea
s	s	s
legislature	legislatur	legislature
and	and	and
the	the	the
head	head	head
of	of	of
South	south	South
Korea	korea	Korea
s	s	s
parliament	parliament	parliament
on	on	on
the	the	the
sidelines	sidelin	sideline
of	of	of
a	a	a
congress	congress	congress
of	of	of
parliamentarians	parliamentarian	parliamentarian
in	in	in
St	st	St
Petersburg	petersburg	Petersburg
on	on	on
Monday	monday	Monday
.	.	.

Moscow	moscow	Moscow
has	has	ha
called	call	called
on	on	on
the	the	the
two	two	two
countries	countri	country
to	to	to
use	use	use
the	the	the
opportunity	opportun	opportunity
to	to	to
have	have	have
their	their	their
own	own	own
direct	direct	direct
talks	talk	talk
to	to	to
try	tri	try
to	to	to
narrow	narrow	narrow
their	their	their
differences	differ	difference
.	.	.

But	but	But
the	the	the
RIA	ria	RIA
news	news	news
agency	agenc	agency
on	on	on
Sunday	sunday	Sunday
cited	cite	cited
Piotr	piotr	Piotr
Tolstoi	tolstoi	Tolstoi
,	,	,
the	the	the
deputy	deputi	deputy
speaker	speaker	speaker
of	of	of
the	the	the
Russian	russian	Russian
lower	lower	lower
house	hous	house
of	of	of
parliament	parliament	parliament
,	,	,
and	and	and
an	an	an
unnamed	unnam	unnamed
member	member	member
of	of	of
North	north	North
Korea	korea	Korea
s	s	s
delegation	deleg	delegation
as	as	a
saying	say	saying
there	there	there
would	would	would
not	not	not
be	be	be
any	ani	any
direct	direct	direct
talks	talk	talk
.	.	.

The	the	The
unnamed	unnam	unnamed
North	north	North
Korean	korean	Korean
delegate	deleg	delegate
was	was	wa
quoted	quot	quoted
as	as	a
saying	say	saying
that	that	that
U	u	U
.	.	.
S	s	S
.	.	.
pressure	pressur	pressure
on	on	on
Pyongyang	pyongyang	Pyongyang
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
and	and	and
South	south	South
Korean	korean	Korean
military	militari	military
exercises	exercis	exercise
meant	meant	meant
preconditions	precondit	precondition
for	for	for
such	such	such
talks	talk	talk
had	had	had
not	not	not
been	been	been
met	met	met
.	.	.

Konstantin	konstantin	Konstantin
Kosachyov	kosachyov	Kosachyov
,	,	,
head	head	head
of	of	of
the	the	the
upper	upper	upper
house	hous	house
of	of	of
parliament	parliament	parliament
s	s	s
foreign	foreign	foreign
affairs	affair	affair
committee	committe	committee
,	,	,
said	said	said
Moscow	moscow	Moscow
would	would	would
try	tri	try
again	again	again
on	on	on
Monday	monday	Monday
to	to	to
encourage	encourag	encourage
the	the	the
two	two	two
delegations	deleg	delegation
to	to	to
hold	hold	hold
face	face	face
-to-face	-to-fac	-to-face
talks	talk	talk
despite	despit	despite
the	the	the
lack	lack	lack
of	of	of
progress	progress	progress
.	.	.

Russian	russian	Russian
news	news	news
agencies	agenc	agency
quoted	quot	quoted
him	him	him
as	as	a
saying	say	saying
that	that	that
the	the	the
North	north	North
Korean	korean	Korean
delegation	deleg	delegation
had	had	had
so	so	so
far	far	far
declined	declin	declined
to	to	to
hold	hold	hold
such	such	such
talks	talk	talk
,	,	,
while	while	while
the	the	the
South	south	South
Korean	korean	Korean
delegation	deleg	delegation
had	had	had
said	said	said
it	it	it
was	was	wa
ready	readi	ready
for	for	for
such	such	such
a	a	a
meeting	meet	meeting
.	.	.

We	we	We
will	will	will
definitely	definit	definitely
not	not	not
try	tri	try
to	to	to
coerce	coerc	coerce
or	or	or
talk	talk	talk
somebody	somebodi	somebody
into	into	into
anything	anyth	anything
,	,	,
the	the	the
Interfax	interfax	Interfax
news	news	news
agency	agenc	agency
cited	cite	cited
Kosachyov	kosachyov	Kosachyov
as	as	a
saying	say	saying
.	.	.

But	but	But
it	it	it
will	will	will
be	be	be
pity	piti	pity
,	,	,
both	both	both
on	on	on
the	the	the
human	human	human
and	and	and
political	polit	political
level	level	level
,	,	,
if	if	if
another	anoth	another
opportunity	opportun	opportunity
to	to	to
de	de	de
-escalate	-escal	-escalate
tensions	tension	tension
in	in	in
relations	relat	relation
between	between	between
North	north	North
Korea	korea	Korea
and	and	and
South	south	South
Korea	korea	Korea
is	is	is
missed	miss	missed
.	.	.
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
tests	test	test
and	and	and
missile	missil	missile
launches	launch	launch
have	have	have
stirred	stir	stirred
global	global	global
tensions	tension	tension
and	and	and
prompted	prompt	prompted
several	sever	several
rounds	round	round
of	of	of
international	intern	international
sanctions	sanction	sanction
at	at	at
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
.	.	.

A	a	A
de	de	de
-escalation	-escal	-escalation
plan	plan	plan
,	,	,
backed	back	backed
by	by	by
Russia	russia	Russia
and	and	and
China	china	China
,	,	,
would	would	would
see	see	see
North	north	North
Korea	korea	Korea
suspend	suspend	suspend
its	it	it
ballistic	ballist	ballistic
missile	missil	missile
program	program	program
and	and	and
the	the	the
United	unit	United
States	state	States
and	and	and
South	south	South
Korea	korea	Korea
simultaneously	simultan	simultaneously
call	call	call
a	a	a
moratorium	moratorium	moratorium
on	on	on
large	larg	large
-scale	-scale	-scale
missile	missil	missile
exercises	exercis	exercise
,	,	,
both	both	both
moves	move	move
aimed	aim	aimed
at	at	at
paving	pave	paving
the	the	the
way	way	way
for	for	for
multilateral	multilater	multilateral
talks	talk	talk
.	.	.

