BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
An	an	An
Islamic	islam	Islamic
State	state	State
evacuation	evacu	evacuation
convoy	convoy	convoy
trying	tri	trying
to	to	to
reach	reach	reach
IS	is	IS
territory	territori	territory
in	in	in
east	east	east
Syria	syria	Syria
has	has	ha
split	split	split
in	in	in
two	two	two
,	,	,
with	with	with
some	some	some
buses	buse	bus
remaining	remain	remaining
in	in	in
the	the	the
open	open	open
desert	desert	desert
after	after	after
others	other	others
turned	turn	turned
back	back	back
into	into	into
government	govern	government
-held	-held	-held
areas	area	area
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
fighting	fight	fighting
the	the	the
group	group	group
said	said	said
on	on	on
Sunday	sunday	Sunday
.	.	.
The	the	The
Syrian	syrian	Syrian
government	govern	government
and	and	and
Lebanon	lebanon	Lebanon
s	s	s
Hezbollah	hezbollah	Hezbollah
group	group	group
offered	offer	offered
the	the	the
convoy	convoy	convoy
of	of	of
about	about	about
300	300	300
lightly	light	lightly
armed	arm	armed
fighters	fighter	fighter
and	and	and
about	about	about
300	300	300
family	famili	family
members	member	member
safe	safe	safe
passage	passag	passage
a	a	a
week	week	week
ago	ago	ago
in	in	in
return	return	return
for	for	for
Islamic	islam	Islamic
State	state	State
surrendering	surrend	surrendering
an	an	an
enclave	enclav	enclave
on	on	on
the	the	the
Syria	syria	Syria
-Lebanon	-lebanon	-Lebanon
border	border	border
.	.	.
However	howev	However
,	,	,
the	the	the
coalition	coalit	coalition
has	has	ha
blocked	block	blocked
the	the	the
convoy	convoy	convoy
from	from	from
entering	enter	entering
Islamic	islam	Islamic
State	state	State
territory	territori	territory
in	in	in
east	east	east
Syria	syria	Syria
,	,	,
near	near	near
the	the	the
border	border	border
with	with	with
Iraq	iraq	Iraq
,	,	,
by	by	by
cratering	crater	cratering
roads	road	road
and	and	and
destroying	destroy	destroying
bridges	bridg	bridge
,	,	,
saying	say	saying
it	it	it
opposes	oppos	opposes
the	the	the
evacuation	evacu	evacuation
deal	deal	deal
as	as	a
being	be	being
not	not	not
a	a	a
lasting	last	lasting
solution	solut	solution
.	.	.
One	one	One
group	group	group
remains	remain	remains
in	in	in
the	the	the
open	open	open
desert	desert	desert
to	to	to
the	the	the
north	north	north
west	west	west
of	of	of
Al	al	Al
-Bukamal	-bukam	-Bukamal
and	and	and
the	the	the
other	other	other
group	group	group
has	has	ha
headed	head	headed
west	west	west
towards	toward	towards
Palmyra	palmyra	Palmyra
,	,	,
the	the	the
coalition	coalit	coalition
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
.	.	.
On	on	On
Saturday	saturday	Saturday
Hezbollah	hezbollah	Hezbollah
said	said	said
all	all	all
but	but	but
six	six	six
of	of	of
the	the	the
buses	buse	bus
had	had	had
safely	safe	safely
crossed	cross	crossed
out	out	out
of	of	of
Syrian	syrian	Syrian
government	govern	government
territory	territori	territory
and	and	and
were	were	were
no	no	no
longer	longer	longer
the	the	the
responsibility	respons	responsibility
of	of	of
it	it	it
or	or	or
the	the	the
Syrian	syrian	Syrian
government	govern	government
.	.	.
It	it	It
warned	warn	warned
the	the	the
United	unit	United
States	state	States
that	that	that
the	the	the
buses	buse	bus
in	in	in
the	the	the
desert	desert	desert
included	includ	included
elderly	elder	elderly
people	peopl	people
,	,	,
pregnant	pregnant	pregnant
women	women	woman
and	and	and
casualties	casualti	casualty
,	,	,
and	and	and
accused	accus	accused
it	it	it
of	of	of
stopping	stop	stopping
humanitarian	humanitarian	humanitarian
aid	aid	aid
reaching	reach	reaching
the	the	the
convoy	convoy	convoy
.	.	.
The	the	The
coalition	coalit	coalition
said	said	said
it	it	it
had	had	had
contacted	contact	contacted
Russia	russia	Russia
to	to	to
deliver	deliv	deliver
a	a	a
message	messag	message
to	to	to
the	the	the
Syrian	syrian	Syrian
government	govern	government
that	that	that
it	it	it
would	would	would
still	still	still
not	not	not
let	let	let
the	the	the
convoy	convoy	convoy
pass	pass	pas
,	,	,
and	and	and
that	that	that
it	it	it
had	had	had
offered	offer	offered
suggestions	suggest	suggestion
on	on	on
how	how	how
to	to	to
save	save	save
the	the	the
civilians	civilian	civilian
in	in	in
it	it	it
from	from	from
suffering	suffer	suffering
.	.	.
Food	food	Food
and	and	and
water	water	water
have	have	have
been	been	been
provided	provid	provided
to	to	to
the	the	the
convoy	convoy	convoy
,	,	,
it	it	it
said	said	said
,	,	,
without	without	without
giving	give	giving
further	further	further
details	detail	detail
.	.	.
The	the	The
coalition	coalit	coalition
has	has	ha
said	said	said
it	it	it
will	will	will
not	not	not
target	target	target
the	the	the
convoy	convoy	convoy
directly	direct	directly
while	while	while
it	it	it
contains	contain	contains
civilians	civilian	civilian
,	,	,
but	but	but
said	said	said
in	in	in
its	it	it
statement	statement	statement
it	it	it
had	had	had
struck	struck	struck
about	about	about
85	85	85
IS	is	IS
fighters	fighter	fighter
near	near	near
the	the	the
convoy	convoy	convoy
.	.	.
It	it	It
had	had	had
also	also	also
struck	struck	struck
about	about	about
40	40	40
IS	is	IS
vehicles	vehicl	vehicle
near	near	near
the	the	the
convoy	convoy	convoy
including	includ	including
a	a	a
tank	tank	tank
,	,	,
an	an	an
artillery	artilleri	artillery
system	system	system
,	,	,
armed	arm	armed
vehicles	vehicl	vehicle
and	and	and
transport	transport	transport
vehicles	vehicl	vehicle
seeking	seek	seeking
to	to	to
help	help	help
move	move	move
the	the	the
fighters	fighter	fighter
in	in	in
the	the	the
convoy	convoy	convoy
into	into	into
its	it	it
territory	territori	territory
,	,	,
it	it	it
said	said	said
.	.	.
