Token	Stem	Lemma
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
A	a	A
bitterly	bitter	bitterly
divided	divid	divided
U	u	U
S	s	S
Senate	senat	Senate
confirmed	confirm	confirmed
Republican	republican	Republican
Senator	senat	Senator
Jeff	jeff	Jeff
Sessions	session	Sessions
on	on	on
Wednesday	wednesday	Wednesday
as	as	a
the	the	the
next	next	next
attorney	attorney	attorney
general	general	general
of	of	of
the	the	the
United	unit	United
States	state	States
after	after	after
strong	strong	strong
pushback	pushback	pushback
from	from	from
Democrats	democrat	Democrats
concerned	concern	concerned
about	about	about
his	his	his
record	record	record
on	on	on
civil	civil	civil
rights	right	right
Sessions	session	Sessions
70	70	70
who	who	who
has	has	ha
served	serv	served
two	two	two
decades	decad	decade
in	in	in
the	the	the
Senate	senat	Senate
from	from	from
Alabama	alabama	Alabama
was	was	wa
confirmed	confirm	confirmed
by	by	by
a	a	a
52	52	52
-47	-47	-47
vote	vote	vote
largely	larg	largely
along	along	along
party	parti	party
lines	line	line
after	after	after
Democrats	democrat	Democrats
raised	rais	raised
public	public	public
opposition	opposit	opposition
to	to	to
his	his	his
confirmation	confirm	confirmation
In	in	In
a	a	a
rare	rare	rare
move	move	move
for	for	for
a	a	a
senator	senat	senator
recently	recent	recently
confirmed	confirm	confirmed
to	to	to
a	a	a
Cabinet	cabinet	Cabinet
position	posit	position
Sessions	session	Sessions
took	took	took
to	to	to
the	the	the
floor	floor	floor
of	of	of
the	the	the
chamber	chamber	chamber
after	after	after
the	the	the
vote	vote	vote
and	and	and
called	call	called
for	for	for
members	member	member
of	of	of
Congress	congress	Congress
to	to	to
have	have	have
some	some	some
latitude	latitud	latitude
in	in	in
their	their	their
relationships	relationship	relationship
with	with	with
members	member	member
of	of	of
the	the	the
other	other	other
party	parti	party
I	i	I
want	want	want
to	to	to
thank	thank	thank
those	those	those
who	who	who
after	after	after
it	it	it
all	all	all
found	found	found
sufficient	suffici	sufficient
confidence	confid	confidence
to	to	to
confirm	confirm	confirm
me	me	me
as	as	a
the	the	the
next	next	next
attorney	attorney	attorney
general	general	general
Sessions	session	Sessions
said	said	said
Denigrating	denigr	Denigrating
people	peopl	people
who	who	who
disagree	disagre	disagree
with	with	with
us	us	u
I	i	I
think	think	think
is	is	is
not	not	not
a	a	a
healthy	healthi	healthy
trend	trend	trend
for	for	for
our	our	our
body	bodi	body
he	he	he
said	said	said
referring	refer	referring
to	to	to
the	the	the
Senate	senat	Senate
On	on	On
Tuesday	tuesday	Tuesday
Democratic	democrat	Democratic
Senator	senat	Senator
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
a	a	a
darling	darl	darling
of	of	of
the	the	the
political	polit	political
left	left	left
was	was	wa
silenced	silenc	silenced
in	in	in
the	the	the
Senate	senat	Senate
for	for	for
reading	read	reading
a	a	a
1986	1986	1986
letter	letter	letter
from	from	from
Coretta	coretta	Coretta
Scott	scott	Scott
King	king	King
the	the	the
widow	widow	widow
of	of	of
the	the	the
Rev	rev	Rev
Martin	martin	Martin
Luther	luther	Luther
King	king	King
Jr	jr	Jr
that	that	that
criticized	critic	criticized
Sessions	session	Sessions
for	for	for
his	his	his
civil	civil	civil
