NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
Former	former	Former
New	new	New
York	york	York
City	citi	City
Mayor	mayor	Mayor
Rudolph	rudolph	Rudolph
Giuliani	giuliani	Giuliani
went	went	went
to	to	to
Turkey	turkey	Turkey
to	to	to
meet	meet	meet
with	with	with
the	the	the
country	countri	country
s	s	s
president	presid	president
and	and	and
sought	sought	sought
meetings	meet	meeting
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
officials	offici	official
in	in	in
an	an	an
attempt	attempt	attempt
to	to	to
end	end	end
U	u	U
.	.	.
S	s	S
.	.	.
prosecution	prosecut	prosecution
of	of	of
a	a	a
wealthy	wealthi	wealthy
Turkish	turkish	Turkish
gold	gold	gold
trader	trader	trader
charged	charg	charged
with	with	with
conspiring	conspir	conspiring
to	to	to
violate	violat	violate
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
on	on	on
Iran	iran	Iran
,	,	,
Manhattan	manhattan	Manhattan
federal	feder	federal
prosecutors	prosecutor	prosecutor
said	said	said
.	.	.

The	the	The
moves	move	move
were	were	were
disclosed	disclos	disclosed
in	in	in
a	a	a
letter	letter	letter
on	on	on
Friday	friday	Friday
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Judge	judg	Judge
Richard	richard	Richard
Berman	berman	Berman
,	,	,
who	who	who
is	is	is
overseeing	overse	overseeing
the	the	the
case	case	case
in	in	in
which	which	which
the	the	the
trader	trader	trader
,	,	,
Reza	reza	Reza
Zarrab	zarrab	Zarrab
,	,	,
is	is	is
accused	accus	accused
of	of	of
conspiring	conspir	conspiring
with	with	with
others	other	others
to	to	to
conduct	conduct	conduct
illegal	illeg	illegal
transactions	transact	transaction
through	through	through
U	u	U
.	.	.
S	s	S
.	.	.
banks	bank	bank
on	on	on
behalf	behalf	behalf
of	of	of
Iran	iran	Iran
s	s	s
government	govern	government
and	and	and
other	other	other
Iranian	iranian	Iranian
entities	entiti	entity
.	.	.

The	the	The
new	new	new
disclosures	disclosur	disclosure
highlight	highlight	highlight
the	the	the
politically	polit	politically
charged	charg	charged
nature	natur	nature
of	of	of
a	a	a
case	case	case
that	that	that
expanded	expand	expanded
in	in	in
scope	scope	scope
earlier	earlier	earlier
this	this	this
week	week	week
with	with	with
the	the	the
arrest	arrest	arrest
in	in	in
New	new	New
York	york	York
of	of	of
an	an	an
executive	execut	executive
at	at	at
a	a	a
Turkish	turkish	Turkish
state	state	state
-owned	-own	-owned
bank	bank	bank
charged	charg	charged
with	with	with
conspiring	conspir	conspiring
with	with	with
Zarrab	zarrab	Zarrab
to	to	to
evade	evad	evade
sanctions	sanction	sanction
.	.	.

Zarrab	zarrab	Zarrab
,	,	,
a	a	a
dual	dual	dual
national	nation	national
of	of	of
Iran	iran	Iran
and	and	and
Turkey	turkey	Turkey
,	,	,
had	had	had
been	been	been
arrested	arrest	arrested
in	in	in
2013	2013	2013
in	in	in
a	a	a
corruption	corrupt	corruption
probe	probe	probe
of	of	of
people	peopl	people
with	with	with
close	close	close
ties	tie	tie
to	to	to
Recep	recep	Recep
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
,	,	,
who	who	who
was	was	wa
prime	prime	prime
minister	minist	minister
of	of	of
Turkey	turkey	Turkey
at	at	at
the	the	the
time	time	time
.	.	.

Erdogan	erdogan	Erdogan
is	is	is
currently	current	currently
president	presid	president
.	.	.

In	in	In
the	the	the
letter	letter	letter
prosecutors	prosecutor	prosecutor
said	said	said
Giuliani	giuliani	Giuliani
and	and	and
former	former	former
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
General	general	General
Michael	michael	Michael
Mukasey	mukasey	Mukasey
-	-	-
both	both	both
recently	recent	recently
added	ad	added
to	to	to
Zarrab	zarrab	Zarrab
s	s	s
legal	legal	legal
team	team	team
-	-	-
traveled	travel	traveled
to	to	to
Turkey	turkey	Turkey
shortly	short	shortly
after	after	after
February	februari	February
24	24	24
to	to	to
meet	meet	meet
with	with	with
Erdogan	erdogan	Erdogan
to	to	to
discuss	discuss	discus
ways	way	way
to	to	to
end	end	end
the	the	the
prosecution	prosecut	prosecution
.	.	.

Giuliani	giuliani	Giuliani
informed	inform	informed
the	the	the
office	offic	office
of	of	of
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
about	about	about
the	the	the
planned	plan	planned
trip	trip	trip
,	,	,
according	accord	according
to	to	to
the	the	the
letter	letter	letter
.	.	.

Acting	act	Acting
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
Joon	joon	Joon
Kim	kim	Kim
in	in	in
Manhattan	manhattan	Manhattan
said	said	said
that	that	that
Mukasey	mukasey	Mukasey
and	and	and
Giuliani	giuliani	Giuliani
,	,	,
who	who	who
is	is	is
a	a	a
close	close	close
ally	alli	ally
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
had	had	had
also	also	also
sought	sought	sought
to	to	to
meet	meet	meet
with	with	with
other	other	other
officials	offici	official
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
on	on	on
the	the	the
issue	issu	issue
.	.	.

Mr	mr	Mr
.	.	.
Giuliani	giuliani	Giuliani
and	and	and
Mr	mr	Mr
.	.	.
Mukasey	mukasey	Mukasey
s	s	s
efforts	effort	effort
are	are	are
aimed	aim	aimed
at	at	at
reaching	reach	reaching
a	a	a
disposition	disposit	disposition
in	in	in
the	the	the
case	case	case
,	,	,
Kim	kim	Kim
wrote	wrote	wrote
in	in	in
the	the	the
letter	letter	letter
.	.	.

Kim	kim	Kim
has	has	ha
sought	sought	sought
to	to	to
question	question	question
whether	whether	whether
Giuliani	giuliani	Giuliani
and	and	and
Mukasey	mukasey	Mukasey
should	should	should
be	be	be
allowed	allow	allowed
to	to	to
represent	repres	represent
Zarrab	zarrab	Zarrab
given	given	given
the	the	the
potential	potenti	potential
conflicts	conflict	conflict
of	of	of
interest	interest	interest
.	.	.

Zarrab	zarrab	Zarrab
allegedly	alleg	allegedly
victimized	victim	victimized
at	at	at
least	least	least
eight	eight	eight
large	larg	large
banks	bank	bank
which	which	which
are	are	are
current	current	current
or	or	or
former	former	former
clients	client	client
of	of	of
Giuliani	giuliani	Giuliani
and	and	and
Mukasey	mukasey	Mukasey
s	s	s
law	law	law
firms	firm	firm
.	.	.

Kim	kim	Kim
had	had	had
called	call	called
earlier	earlier	earlier
this	this	this
week	week	week
for	for	for
a	a	a
special	special	special
hearing	hear	hearing
to	to	to
make	make	make
sure	sure	sure
Zarrab	zarrab	Zarrab
understands	understand	understands
the	the	the
potential	potenti	potential
conflict	conflict	conflict
.	.	.

Benjamin	benjamin	Benjamin
Brafman	brafman	Brafman
,	,	,
an	an	an
attorney	attorney	attorney
for	for	for
Zarrab	zarrab	Zarrab
,	,	,
responded	respond	responded
in	in	in
a	a	a
letter	letter	letter
to	to	to
the	the	the
court	court	court
on	on	on
Friday	friday	Friday
,	,	,
saying	say	saying
he	he	he
would	would	would
consent	consent	consent
to	to	to
a	a	a
limited	limit	limited
hearing	hear	hearing
but	but	but
stressed	stress	stressed
that	that	that
he	he	he
believed	believ	believed
the	the	the
prosecution	prosecut	prosecution
had	had	had
no	no	no
right	right	right
to	to	to
question	question	question
the	the	the
actions	action	action
of	of	of
Giuliani	giuliani	Giuliani
and	and	and
Mukasey	mukasey	Mukasey
.	.	.

That	that	That
information	inform	information
quite	quit	quite
frankly	frank	frankly
is	is	is
none	none	none
of	of	of
the	the	the
Government	govern	Government
s	s	s
business	busi	business
,	,	,
Brafman	brafman	Brafman
wrote	wrote	wrote
.	.	.

