BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
China	china	China
s	s	s
ruling	rule	ruling
Communist	communist	Communist
Party	parti	Party
announced	announc	announced
a	a	a
new	new	new
Central	central	Central
Committee	committe	Committee
,	,	,
the	the	the
largest	largest	largest
of	of	of
its	it	it
elite	elit	elite
ruling	rule	ruling
bodies	bodi	body
,	,	,
at	at	at
the	the	the
closing	close	closing
session	session	session
of	of	of
the	the	the
19th	19th	19th
Communist	communist	Communist
Party	parti	Party
Congress	congress	Congress
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
a	a	a
course	cours	course
-setting	-set	-setting
leadership	leadership	leadership
reshuffle	reshuffl	reshuffle
held	held	held
every	everi	every
five	five	five
years	year	year
.	.	.
The	the	The
list	list	list
provides	provid	provides
clues	clue	clue
to	to	to
who	who	who
will	will	will
,	,	,
or	or	or
won	won	won
t	t	t
,	,	,
fill	fill	fill
top	top	top
party	parti	party
positions	posit	position
during	dure	during
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
s	s	s
second	second	second
term	term	term
.	.	.
The	the	The
party	parti	party
will	will	will
announce	announc	announce
its	it	it
new	new	new
Politburo	politburo	Politburo
Standing	stand	Standing
Committee	committe	Committee
around	around	around
midday	midday	midday
0400	0400	0400
GMT	gmt	GMT
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
The	the	The
Standing	stand	Standing
Committee	committe	Committee
,	,	,
which	which	which
now	now	now
includes	includ	includes
seven	seven	seven
members	member	member
headed	head	headed
by	by	by
Xi	xi	Xi
and	and	and
is	is	is
the	the	the
apex	apex	apex
of	of	of
power	power	power
in	in	in
China	china	China
,	,	,
is	is	is
selected	select	selected
by	by	by
the	the	the
new	new	new
Central	central	Central
Committee	committe	Committee
.	.	.
Here	here	Here
are	are	are
noteworthy	noteworthi	noteworthy
names	name	name
-	-	-
Wang	wang	Wang
Qishan	qishan	Qishan
,	,	,
69	69	69
,	,	,
the	the	the
anti	anti	anti
-corruption	-corrupt	-corruption
tsar	tsar	tsar
and	and	and
current	current	current
Standing	stand	Standing
Committee	committe	Committee
member	member	member
,	,	,
is	is	is
not	not	not
on	on	on
the	the	the
new	new	new
Central	central	Central
Committee	committe	Committee
,	,	,
ending	end	ending
months	month	month
of	of	of
speculation	specul	speculation
whether	whether	whether
he	he	he
would	would	would
remain	remain	remain
for	for	for
another	anoth	another
term	term	term
and	and	and
break	break	break
an	an	an
unofficial	unoffici	unofficial
retirement	retir	retirement
rule	rule	rule
of	of	of
not	not	not
taking	take	taking
a	a	a
new	new	new
position	posit	position
after	after	after
age	age	age
68	68	68
.	.	.
Wang	wang	Wang
may	may	may
still	still	still
get	get	get
a	a	a
leadership	leadership	leadership
role	role	role
outside	outsid	outside
the	the	the
Standing	stand	Standing
Committee	committe	Committee
,	,	,
sources	sourc	source
told	told	told
Reuters	reuter	Reuters
before	befor	before
the	the	the
congress	congress	congress
.	.	.
-	-	-
Zhao	zhao	Zhao
Leji	leji	Leji
,	,	,
60	60	60
,	,	,
head	head	head
of	of	of
the	the	the
party	parti	party
s	s	s
Organization	organ	Organization
Department	depart	Department
,	,	,
which	which	which
oversees	overse	oversees
personnel	personnel	personnel
decisions	decis	decision
,	,	,
made	made	made
both	both	both
the	the	the
Central	central	Central
Committee	committe	Committee
and	and	and
the	the	the
Central	central	Central
Commission	commiss	Commission
for	for	for
Discipline	disciplin	Discipline
Inspection	inspect	Inspection
Committee	committe	Committee
lists	list	list
,	,	,
suggesting	suggest	suggesting
he	he	he
may	may	may
take	take	take
over	over	over
Wang	wang	Wang
Qishan	qishan	Qishan
s	s	s
role	role	role
as	as	a
top	top	top
graft	graft	graft
-buster	-buster	-buster
.	.	.
-	-	-
Vice	vice	Vice
President	presid	President
Li	li	Li
Yuanchao	yuanchao	Yuanchao
,	,	,
who	who	who
is	is	is
on	on	on
the	the	the
cusp	cusp	cusp
of	of	of
retirement	retir	retirement
at	at	at
the	the	the
age	age	age
of	of	of
67	67	67
,	,	,
is	is	is
expected	expect	expected
to	to	to
retire	retir	retire
from	from	from
the	the	the
25	25	25
-member	-member	-member
Politburo	politburo	Politburo
after	after	after
he	he	he
was	was	wa
not	not	not
included	includ	included
on	on	on
the	the	the
204	204	204
-member	-member	-member
Central	central	Central
Committee	committe	Committee
.	.	.
-	-	-
China	china	China
s	s	s
top	top	top
diplomat	diplomat	diplomat
,	,	,
Yang	yang	Yang
Jiechi	jiechi	Jiechi
,	,	,
67	67	67
,	,	,
could	could	could
keep	keep	keep
his	his	his
state	state	state
councilor	councilor	councilor
job	job	job
or	or	or
be	be	be
further	further	further
promoted	promot	promoted
to	to	to
parliament	parliament	parliament
or	or	or
its	it	it
advisory	advisori	advisory
body	bodi	body
after	after	after
he	he	he
made	made	made
it	it	it
back	back	back
to	to	to
the	the	the
Central	central	Central
Committee	committe	Committee
.	.	.
If	if	If
Yang	yang	Yang
retires	retir	retires
,	,	,
Foreign	foreign	Foreign
Minister	minist	Minister
Wang	wang	Wang
Yi	yi	Yi
,	,	,
64	64	64
this	this	this
month	month	month
,	,	,
and	and	and
Song	song	Song
Tao	tao	Tao
,	,	,
62	62	62
,	,	,
minister	minist	minister
of	of	of
the	the	the
party	parti	party
s	s	s
International	intern	International
Liaison	liaison	Liaison
Department	depart	Department
,	,	,
are	are	are
the	the	the
top	top	top
contenders	contend	contender
for	for	for
Yang	yang	Yang
s	s	s
job	job	job
.	.	.
Both	both	Both
Wang	wang	Wang
and	and	and
Song	song	Song
are	are	are
Central	central	Central
Committee	committe	Committee
members	member	member
.	.	.
-	-	-
Veteran	veteran	Veteran
diplomat	diplomat	diplomat
Liu	liu	Liu
Jieyi	jieyi	Jieyi
,	,	,
59	59	59
,	,	,
China	china	China
s	s	s
permanent	perman	permanent
representative	repres	representative
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
was	was	wa
elected	elect	elected
to	to	to
the	the	the
Central	central	Central
Committee	committe	Committee
and	and	and
is	is	is
expected	expect	expected
to	to	to
take	take	take
over	over	over
as	as	a
minister	minist	minister
of	of	of
the	the	the
Taiwan	taiwan	Taiwan
Affairs	affair	Affairs
Office	offic	Office
,	,	,
replacing	replac	replacing
Zhang	zhang	Zhang
Zhijun	zhijun	Zhijun
,	,	,
who	who	who
is	is	is
retiring	retir	retiring
.	.	.
-	-	-
Transport	transport	Transport
Minister	minist	Minister
Li	li	Li
Xiaopeng	xiaopeng	Xiaopeng
,	,	,
58	58	58
,	,	,
the	the	the
oldest	oldest	oldest
son	son	son
of	of	of
former	former	former
premier	premier	premier
Li	li	Li
Peng	peng	Peng
,	,	,
became	becam	became
a	a	a
full	full	full
member	member	member
of	of	of
the	the	the
Central	central	Central
Committee	committe	Committee
.	.	.
He	he	He
was	was	wa
the	the	the
lowest	lowest	lowest
vote	vote	vote
-getter	-getter	-getter
among	among	among
alternate	altern	alternate
members	member	member
of	of	of
the	the	the
Central	central	Central
Committee	committe	Committee
five	five	five
years	year	year
ago	ago	ago
.	.	.
-	-	-
Ten	ten	Ten
women	women	woman
made	made	made
it	it	it
onto	onto	onto
the	the	the
committee	committe	committee
,	,	,
4	4	4
.	.	.
9	9	9
percent	percent	percent
of	of	of
the	the	the
total	total	total
,	,	,
basically	basic	basically
the	the	the
same	same	same
proportion	proport	proportion
as	as	a
the	the	the
previous	previous	previous
Central	central	Central
Committee	committe	Committee
.	.	.
There	there	There
were	were	were
also	also	also
16	16	16
delegates	deleg	delegate
from	from	from
ethnic	ethnic	ethnic
minorities	minor	minority
,	,	,
three	three	three
of	of	of
whom	whom	whom
are	are	are
women	women	woman
.	.	.
-	-	-
China	china	China
s	s	s
top	top	top
banking	bank	banking
regulator	regul	regulator
Guo	guo	Guo
Shuqing	shuqe	Shuqing
,	,	,
veteran	veteran	veteran
banker	banker	banker
Jiang	jiang	Jiang
Chaoliang	chaoliang	Chaoliang
and	and	and
securities	secur	security
regulator	regul	regulator
Liu	liu	Liu
Shiyu	shiyu	Shiyu
,	,	,
the	the	the
three	three	three
front	front	front
runners	runner	runner
to	to	to
succeed	succeed	succeed
Zhou	zhou	Zhou
Xiaochuan	xiaochuan	Xiaochuan
as	as	a
central	central	central
bank	bank	bank
governor	governor	governor
,	,	,
were	were	were
all	all	all
voted	vote	voted
onto	onto	onto
the	the	the
Central	central	Central
Committee	committe	Committee
.	.	.
This	this	This
version	version	version
of	of	of
the	the	the
story	stori	story
corrects	correct	corrects
the	the	the
number	number	number
of	of	of
ethnic	ethnic	ethnic
minority	minor	minority
members	member	member
to	to	to
16	16	16
from	from	from
15	15	15
in	in	in
paragraph	paragraph	paragraph
12	12	12
