NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
Nearly	near	Nearly
half	half	half
of	of	of
American	american	American
adults	adult	adult
are	are	are
very	veri	very
concerned	concern	concerned
about	about	about
two	two	two
issues	issu	issue
that	that	that
have	have	have
hounded	hound	hounded
Hillary	hillari	Hillary
Clinton	clinton	Clinton
s	s	s
presidential	presidenti	presidential
campaign	campaign	campaign
this	this	this
year	year	year
her	her	her
use	use	use
of	of	of
a	a	a
private	privat	private
email	email	email
server	server	server
to	to	to
conduct	conduct	conduct
government	govern	government
business	busi	business
and	and	and
donations	donat	donation
to	to	to
her	her	her
family	famili	family
s	s	s
charitable	charit	charitable
foundation	foundat	foundation
,	,	,
according	accord	according
to	to	to
a	a	a
Reuters	reuter	Reuters
Ipsos	ipso	Ipsos
opinion	opinion	opinion
poll	poll	poll
released	releas	released
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Both	both	Both
issues	issu	issue
stem	stem	stem
from	from	from
Clinton	clinton	Clinton
s	s	s
tenure	tenur	tenure
between	between	between
2009	2009	2009
and	and	and
2013	2013	2013
as	as	a
secretary	secretari	secretary
of	of	of
state	state	state
,	,	,
during	dure	during
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
s	s	s
first	first	first
term	term	term
.	.	.

During	dure	During
that	that	that
time	time	time
,	,	,
she	she	she
used	use	used
an	an	an
unauthorized	unauthor	unauthorized
private	privat	private
email	email	email
server	server	server
to	to	to
conduct	conduct	conduct
government	govern	government
business	busi	business
-	-	-
something	someth	something
that	that	that
the	the	the
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
earlier	earlier	earlier
this	this	this
summer	summer	summer
criticized	critic	criticized
as	as	a
extremely	extrem	extremely
careless	careless	careless
.	.	.
The	the	The
Clinton	clinton	Clinton
Foundation	foundat	Foundation
s	s	s
acceptance	accept	acceptance
of	of	of
donations	donat	donation
from	from	from
foreign	foreign	foreign
governments	govern	government
and	and	and
corporations	corpor	corporation
while	while	while
Clinton	clinton	Clinton
herself	herself	herself
was	was	wa
secretary	secretari	secretary
of	of	of
state	state	state
has	has	ha
drawn	drawn	drawn
criticism	critic	criticism
about	about	about
possible	possibl	possible
conflicts	conflict	conflict
of	of	of
interest	interest	interest
.	.	.

In	in	In
August	august	August
,	,	,
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
called	call	called
on	on	on
the	the	the
Justice	justic	Justice
Department	depart	Department
to	to	to
appoint	appoint	appoint
a	a	a
special	special	special
prosecutor	prosecutor	prosecutor
to	to	to
investigate	investig	investigate
whether	whether	whether
Clinton	clinton	Clinton
granted	grant	granted
any	ani	any
special	special	special
favors	favor	favor
in	in	in
exchange	exchang	exchange
for	for	for
those	those	those
donations	donat	donation
.	.	.

The	the	The
Sept	sept	Sept
.	.	.

2	2	2
-11	-11	-11
online	onlin	online
poll	poll	poll
found	found	found
that	that	that
46	46	46
percent	percent	percent
of	of	of
American	american	American
adults	adult	adult
said	said	said
they	they	they
were	were	were
very	veri	very
concerned	concern	concerned
about	about	about
Clinton	clinton	Clinton
s	s	s
use	use	use
of	of	of
a	a	a
personal	person	personal
email	email	email
account	account	account
,	,	,
while	while	while
47	47	47
percent	percent	percent
said	said	said
the	the	the
same	same	same
about	about	about
donations	donat	donation
from	from	from
foreign	foreign	foreign
governments	govern	government
or	or	or
corporations	corpor	corporation
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
.	.	.

The	the	The
public	public	public
appears	appear	appears
to	to	to
have	have	have
mostly	most	mostly
responded	respond	responded
to	to	to
these	these	these
issues	issu	issue
along	along	along
party	parti	party
lines	line	line
,	,	,
with	with	with
nearly	near	nearly
twice	twice	twice
as	as	a
many	mani	many
Republicans	republican	Republicans
expressing	express	expressing
concern	concern	concern
as	as	a
Democrats	democrat	Democrats
.	.	.

However	howev	However
,	,	,
a	a	a
considerable	consider	considerable
portion	portion	portion
of	of	of
Democrats	democrat	Democrats
appear	appear	appear
to	to	to
be	be	be
just	just	just
as	as	a
rattled	rattl	rattled
by	by	by
the	the	the
reports	report	report
.	.	.

Among	among	Among
Democrats	democrat	Democrats
,	,	,
21	21	21
percent	percent	percent
were	were	were
very	veri	very
concerned	concern	concerned
about	about	about
Clinton	clinton	Clinton
s	s	s
emails	email	email
,	,	,
and	and	and
22	22	22
percent	percent	percent
were	were	were
very	veri	very
concerned	concern	concerned
about	about	about
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
donations	donat	donation
.	.	.

Among	among	Among
Clinton	clinton	Clinton
supporters	support	supporter
,	,	,
14	14	14
percent	percent	percent
said	said	said
they	they	they
are	are	are
very	veri	very
concerned	concern	concerned
about	about	about
the	the	the
emails	email	email
,	,	,
and	and	and
the	the	the
same	same	same
proportion	proport	proportion
said	said	said
they	they	they
are	are	are
concerned	concern	concerned
about	about	about
donations	donat	donation
.	.	.

The	the	The
issues	issu	issue
,	,	,
which	which	which
have	have	have
drawn	drawn	drawn
wide	wide	wide
attention	attent	attention
by	by	by
the	the	the
media	media	medium
and	and	and
by	by	by
her	her	her
opponents	oppon	opponent
,	,	,
may	may	may
have	have	have
eroded	erod	eroded
Clinton	clinton	Clinton
s	s	s
popularity	popular	popularity
,	,	,
but	but	but
it	it	it
is	is	is
not	not	not
clear	clear	clear
whether	whether	whether
they	they	they
have	have	have
made	made	made
a	a	a
lasting	last	lasting
impact	impact	impact
on	on	on
her	her	her
level	level	level
of	of	of
support	support	support
in	in	in
the	the	the
presidential	presidenti	presidential
race	race	race
against	against	against
Trump	trump	Trump
,	,	,
where	where	where
she	she	she
holds	hold	hold
a	a	a
small	small	small
lead	lead	lead
.	.	.

Since	sinc	Since
the	the	the
beginning	begin	beginning
of	of	of
August	august	August
,	,	,
a	a	a
growing	grow	growing
portion	portion	portion
of	of	of
Americans	american	Americans
have	have	have
expressed	express	expressed
a	a	a
negative	negat	negative
view	view	view
of	of	of
Clinton	clinton	Clinton
.	.	.

Yet	yet	Yet
,	,	,
when	when	when
asked	ask	asked
to	to	to
pick	pick	pick
between	between	between
her	her	her
and	and	and
Trump	trump	Trump
for	for	for
president	presid	president
,	,	,
Americans	american	Americans
have	have	have
given	given	given
a	a	a
small	small	small
,	,	,
but	but	but
consistent	consist	consistent
advantage	advantag	advantage
to	to	to
Clinton	clinton	Clinton
.	.	.

According	accord	According
to	to	to
the	the	the
poll	poll	poll
,	,	,
among	among	among
the	the	the
respondents	respond	respondent
who	who	who
said	said	said
they	they	they
were	were	were
concerned	concern	concerned
about	about	about
the	the	the
emails	email	email
,	,	,
52	52	52
percent	percent	percent
said	said	said
the	the	the
main	main	main
reason	reason	reason
was	was	wa
because	becaus	because
the	the	the
emails	email	email
might	might	might
contain	contain	contain
classified	classifi	classified
information	inform	information
that	that	that
was	was	wa
vulnerable	vulner	vulnerable
to	to	to
hackers	hacker	hacker
.	.	.

Another	anoth	Another
40	40	40
percent	percent	percent
were	were	were
mostly	most	mostly
concerned	concern	concerned
that	that	that
Clinton	clinton	Clinton
had	had	had
violated	violat	violated
State	state	State
Department	depart	Department
policies	polici	policy
.	.	.

Among	among	Among
those	those	those
who	who	who
said	said	said
they	they	they
were	were	were
concerned	concern	concerned
about	about	about
donations	donat	donation
to	to	to
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
,	,	,
48	48	48
percent	percent	percent
said	said	said
they	they	they
were	were	were
generally	general	generally
concerned	concern	concerned
about	about	about
foreign	foreign	foreign
money	money	money
being	be	being
contributed	contribut	contributed
to	to	to
organizations	organ	organization
run	run	run
by	by	by
high	high	high
-ranking	-rank	-ranking
politicians	politician	politician
,	,	,
while	while	while
38	38	38
percent	percent	percent
said	said	said
they	they	they
were	were	were
specifically	specif	specifically
concerned	concern	concerned
that	that	that
donors	donor	donor
had	had	had
more	more	more
access	access	access
to	to	to
Clinton	clinton	Clinton
while	while	while
she	she	she
was	was	wa
serving	serv	serving
in	in	in
the	the	the
Obama	obama	Obama
administration	administr	administration
.	.	.

The	the	The
Reuters	reuter	Reuters
Ipsos	ipso	Ipsos
poll	poll	poll
was	was	wa
conducted	conduct	conducted
online	onlin	online
in	in	in
English	english	English
in	in	in
all	all	all
50	50	50
states	state	state
.	.	.

It	it	It
asked	ask	asked
questions	question	question
only	onli	only
to	to	to
those	those	those
respondents	respond	respondent
who	who	who
were	were	were
aware	awar	aware
of	of	of
the	the	the
email	email	email
and	and	and
the	the	the
Clinton	clinton	Clinton
Foundation	foundat	Foundation
issues	issu	issue
.	.	.

There	there	There
were	were	were
2	2	2
,	,	,
745	745	745
