NEW	new	NEW
DELHI	delhi	DELHI
Reuters	reuter	Reuters
-	-	-
India	india	India
has	has	ha
approved	approv	approved
a	a	a
three	three	three
-year	-year	-year
budget	budget	budget
for	for	for
its	it	it
flagship	flagship	flagship
public	public	public
health	health	health
program	program	program
almost	almost	almost
20	20	20
percent	percent	percent
lower	lower	lower
than	than	than
what	what	what
the	the	the
health	health	health
ministry	ministri	ministry
said	said	said
was	was	wa
needed	need	needed
,	,	,
according	accord	according
to	to	to
sources	sourc	source
and	and	and
previously	previous	previously
unreported	unreport	unreported
government	govern	government
documents	document	document
reviewed	review	reviewed
by	by	by
Reuters	reuter	Reuters
.	.	.
The	the	The
federal	feder	federal
finance	financ	finance
ministry	ministri	ministry
in	in	in
August	august	August
renewed	renew	renewed
the	the	the
National	nation	National
Health	health	Health
Mission	mission	Mission
with	with	with
20	20	20
billion	billion	billion
of	of	of
funding	fund	funding
between	between	between
2017	2017	2017
-20	-20	-20
,	,	,
against	against	against
the	the	the
health	health	health
ministry	ministri	ministry
s	s	s
estimated	estim	estimated
requirement	requir	requirement
of	of	of
25	25	25
billion	billion	billion
,	,	,
the	the	the
documents	document	document
showed	show	showed
.	.	.
Officials	offici	Officials
familiar	familiar	familiar
with	with	with
the	the	the
plan	plan	plan
said	said	said
the	the	the
finance	financ	finance
ministry	ministri	ministry
reduced	reduc	reduced
planned	plan	planned
funding	fund	funding
because	becaus	because
of	of	of
other	other	other
spending	spend	spending
priorities	prioriti	priority
and	and	and
because	becaus	because
of	of	of
state	state	state
governments	govern	government
poor	poor	poor
track	track	track
record	record	record
of	of	of
spending	spend	spending
the	the	the
health	health	health
budgets	budget	budget
they	they	they
ve	ve	ve
been	been	been
allotted	allot	allotted
in	in	in
the	the	the
past	past	past
.	.	.
The	the	The
finance	financ	finance
and	and	and
health	health	health
ministries	ministri	ministry
did	did	did
not	not	not
respond	respond	respond
to	to	to
several	sever	several
requests	request	request
for	for	for
comment	comment	comment
.	.	.
The	the	The
National	nation	National
Health	health	Health
Mission	mission	Mission
is	is	is
one	one	one
of	of	of
the	the	the
world	world	world
s	s	s
largest	largest	largest
health	health	health
programs	program	program
and	and	and
forms	form	form
the	the	the
backbone	backbon	backbone
of	of	of
public	public	public
services	servic	service
in	in	in
India	india	India
.	.	.
It	it	It
provides	provid	provides
everything	everyth	everything
from	from	from
free	free	free
drugs	drug	drug
to	to	to
immunization	immun	immunization
services	servic	service
to	to	to
millions	million	million
of	of	of
rural	rural	rural
poor	poor	poor
.	.	.
Prime	prime	Prime
Minister	minist	Minister
Narendra	narendra	Narendra
Modi	modi	Modi
s	s	s
government	govern	government
has	has	ha
hiked	hike	hiked
federal	feder	federal
funding	fund	funding
for	for	for
the	the	the
overall	overal	overall
health	health	health
budget	budget	budget
this	this	this
year	year	year
as	as	a
part	part	part
of	of	of
a	a	a
plan	plan	plan
to	to	to
improve	improv	improve
care	care	care
and	and	and
meet	meet	meet
a	a	a
2025	2025	2025
goal	goal	goal
of	of	of
raising	rais	raising
health	health	health
expenditure	expenditur	expenditure
to	to	to
2	2	2
.	.	.
5	5	5
percent	percent	percent
of	of	of
GDP	gdp	GDP
from	from	from
the	the	the
current	current	current
1	1	1
.	.	.
15	15	15
percent	percent	percent
.	.	.
The	the	The
National	nation	National
Health	health	Health
Mission	mission	Mission
typically	typic	typically
accounts	account	account
for	for	for
about	about	about
half	half	half
of	of	of
the	the	the
federal	feder	federal
health	health	health
budget	budget	budget
and	and	and
officials	offici	official
said	said	said
the	the	the
lower	lower	lower
spending	spend	spending
approval	approv	approval
would	would	would
make	make	make
achieving	achiev	achieving
the	the	the
government	govern	government
s	s	s
2025	2025	2025
target	target	target
more	more	more
difficult	difficult	difficult
.	.	.
NON	non	NON
-COMMUNICABLE	-communic	-COMMUNICABLE
DISEASES	diseas	DISEASES
After	after	After
focusing	focus	focusing
on	on	on
maternal	matern	maternal
and	and	and
child	child	child
health	health	health
for	for	for
years	year	year
,	,	,
the	the	the
program	program	program
had	had	had
planned	plan	planned
to	to	to
broaden	broaden	broaden
its	it	it
priorities	prioriti	priority
to	to	to
tackle	tackl	tackle
the	the	the
rising	rise	rising
threat	threat	threat
of	of	of
non	non	non
-communicable	-communic	-communicable
