BOSTON	boston	BOSTON
Reuters	reuter	Reuters
-	-	-
A	a	A
ruling	rule	ruling
by	by	by
Massachusetts	massachusett	Massachusetts
top	top	top
court	court	court
could	could	could
influence	influenc	influence
other	other	other
state	state	state
courts	court	court
to	to	to
rule	rule	rule
that	that	that
police	polic	police
cannot	cannot	cannot
detain	detain	detain
illegal	illeg	illegal
immigrants	immigr	immigrant
solely	sole	solely
to	to	to
give	give	give
federal	feder	federal
authorities	author	authority
time	time	time
to	to	to
take	take	take
them	them	them
into	into	into
custody	custodi	custody
,	,	,
state	state	state
Attorney	attorney	Attorney
General	general	General
Maura	maura	Maura
Healey	healey	Healey
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Healey	healey	Healey
,	,	,
a	a	a
Democrat	democrat	Democrat
who	who	who
has	has	ha
been	been	been
part	part	part
of	of	of
a	a	a
loose	loos	loose
coalition	coalit	coalition
of	of	of
state	state	state
officials	offici	official
mounting	mount	mounting
court	court	court
challenges	challeng	challenge
to	to	to
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
administration	administr	administration
,	,	,
said	said	said
the	the	the
Monday	monday	Monday
ruling	rule	ruling
on	on	on
civil	civil	civil
immigration	immigr	immigration
detainer	detain	detainer
requests	request	request
,	,	,
the	the	the
first	first	first
to	to	to
cover	cover	cover
a	a	a
full	full	full
state	state	state
,	,	,
showed	show	showed
the	the	the
power	power	power
of	of	of
state	state	state
-level	-level	-level
challenges	challeng	challenge
.	.	.
We	we	We
may	may	may
see	see	see
in	in	in
other	other	other
courts	court	court
efforts	effort	effort
to	to	to
draw	draw	draw
from	from	from
that	that	that
,	,	,
Healey	healey	Healey
said	said	said
in	in	in
a	a	a
interview	interview	interview
in	in	in
her	her	her
office	offic	office
.	.	.
In	in	In
this	this	this
age	age	age
of	of	of
some	some	some
really	realli	really
adverse	advers	adverse
actions	action	action
and	and	and
a	a	a
lot	lot	lot
of	of	of
fear	fear	fear
-mongering	-monger	-mongering
,	,	,
frankly	frank	frankly
,	,	,
by	by	by
Donald	donald	Donald
Trump	trump	Trump
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
Attorney	attorney	Attorney
General	general	General
Jeff	jeff	Jeff
Sessions	session	Sessions
and	and	and
others	other	others
,	,	,
it	it	it
is	is	is
important	import	important
to	to	to
make	make	make
clear	clear	clear
what	what	what
the	the	the
law	law	law
here	here	here
is	is	is
and	and	and
that	that	that
no	no	no
one	one	one
is	is	is
above	abov	above
the	the	the
law	law	law
.	.	.
The	the	The
Trump	trump	Trump
administration	administr	administration
has	has	ha
stepped	step	stepped
up	up	up
immigration	immigr	immigration
enforcement	enforc	enforcement
,	,	,
threatening	threaten	threatening
to	to	to
deport	deport	deport
the	the	the
estimated	estim	estimated
12	12	12
million	million	million
people	peopl	people
who	who	who
have	have	have
entered	enter	entered
the	the	the
country	countri	country
illegally	illeg	illegally
,	,	,
contending	contend	contending
they	they	they
raise	rais	raise
crime	crime	crime
rates	rate	rate
and	and	and
drain	drain	drain
government	govern	government
resources	resourc	resource
.	.	.
The	the	The
federal	feder	federal
Immigration	immigr	Immigration
and	and	and
Customs	custom	Customs
Enforcement	enforc	Enforcement
agency	agenc	agency
has	has	ha
asked	ask	asked
local	local	local
police	polic	police
and	and	and
courts	court	court
to	to	to
hold	hold	hold
illegal	illeg	illegal
immigrants	immigr	immigrant
who	who	who
enter	enter	enter
the	the	the
justice	justic	justice
system	system	system
for	for	for
up	up	up
to	to	to
48	48	48
hours	hour	hour
after	after	after
their	their	their
cases	case	case
conclude	conclud	conclude
to	to	to
allow	allow	allow
them	them	them
to	to	to
be	be	be
taken	taken	taken
into	into	into
custody	custodi	custody
.	.	.
Massachusetts	massachusett	Massachusetts
Supreme	suprem	Supreme
Judicial	judici	Judicial
Court	court	Court
ruled	rule	ruled
that	that	that
because	becaus	because
the	the	the
detainer	detain	detainer
requests	request	request
are	are	are
civil	civil	civil
,	,	,
rather	rather	rather
than	than	than
criminal	crimin	criminal
,	,	,
the	the	the
detentions	detent	detention
amount	amount	amount
to	to	to
unconstitutional	unconstitut	unconstitutional
arrests	arrest	arrest
.	.	.
ICE	ice	ICE
said	said	said
it	it	it
was	was	wa
determining	determin	determining
what	what	what
next	next	next
steps	step	step
it	it	it
might	might	might
take	take	take
after	after	after
the	the	the
ruling	rule	ruling
,	,	,
saying	say	saying
it	it	it
weakens	weaken	weakens
local	local	local
law	law	law
enforcement	enforc	enforcement
agencies	agenc	agency
ability	abil	ability
to	to	to
protect	protect	protect
their	their	their
communities	communiti	community
.	.	.
Healey	healey	Healey
said	said	said
her	her	her
office	offic	office
is	is	is
preparing	prepar	preparing
instructions	instruct	instruction
for	for	for
court	court	court
officials	offici	official
and	and	and
local	local	local
law	law	law
enforcement	enforc	enforcement
on	on	on
responding	respond	responding
to	to	to
the	the	the
detainer	detain	detainer
requests	request	request
.	.	.
She	she	She
dismissed	dismiss	dismissed
the	the	the
idea	idea	idea
that	that	that
the	the	the
decision	decis	decision
endangered	endang	endangered
public	public	public
safety	safeti	safety
,	,	,
saying	say	saying
the	the	the
state	state	state
continues	continu	continues
to	to	to
hold	hold	hold
illegal	illeg	illegal
immigrants	immigr	immigrant
who	who	who
are	are	are
wanted	want	wanted
for	for	for
criminal	crimin	criminal
proceedings	proceed	proceeding
.	.	.
Keeping	keep	Keeping
up	up	up
federal	feder	federal
focus	focus	focus
on	on	on
the	the	the
issue	issu	issue
,	,	,
Sessions	session	Sessions
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
the	the	the
Justice	justic	Justice
Department	depart	Department
would	would	would
block	block	block
federal	feder	federal
grants	grant	grant
to	to	to
sanctuary	sanctuari	sanctuary
cities	citi	city
that	that	that
do	do	do
not	not	not
cooperate	cooper	cooperate
with	with	with
immigration	immigr	immigration
agents	agent	agent
,	,	,
including	includ	including
detainer	detain	detainer
requests	request	request
.	.	.
Healey	healey	Healey
said	said	said
the	the	the
move	move	move
would	would	would
not	not	not
change	chang	change
state	state	state
policy	polici	policy
.	.	.
It	it	It
s	s	s
wrong	wrong	wrong
,	,	,
it	it	it
s	s	s
unlawful	unlaw	unlawful
and	and	and
we	we	we
ll	ll	ll
see	see	see
them	them	them
in	in	in
court	court	court
if	if	if
they	they	they
intend	intend	intend
to	to	to
proceed	proceed	proceed
on	on	on
this	this	this
front	front	front
,	,	,
she	she	she
said	said	said
.	.	.
This	this	This
reflects	reflect	reflects
a	a	a
callous	callous	callous
disregard	disregard	disregard
for	for	for
the	the	the
rule	rule	rule
of	of	of
law	law	law
and	and	and
for	for	for
governance	govern	governance
and	and	and
for	for	for
what	what	what
it	it	it
takes	take	take
to	to	to
run	run	run
our	our	our
cities	citi	city
our	our	our
states	state	state
and	and	and
indeed	inde	indeed
our	our	our
country	countri	country
.	.	.
