YOUNGSTOWN	youngstown	YOUNGSTOWN
,	,	,
OHIO	ohio	OHIO
Reuters	reuter	Reuters
-	-	-
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
previously	previous	previously
accused	accus	accused
the	the	the
Federal	feder	Federal
Reserve	reserv	Reserve
of	of	of
keeping	keep	keeping
interest	interest	interest
rates	rate	rate
low	low	low
to	to	to
help	help	help
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
,	,	,
said	said	said
on	on	on
Monday	monday	Monday
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
central	central	central
bank	bank	bank
has	has	ha
created	creat	created
a	a	a
false	fals	false
economy	economi	economy
and	and	and
that	that	that
interest	interest	interest
rates	rate	rate
should	should	should
change	chang	change
.	.	.
They	they	They
re	re	re
keeping	keep	keeping
the	the	the
rates	rate	rate
down	down	down
so	so	so
that	that	that
everything	everyth	everything
else	els	else
doesn	doesn	doesn
t	t	t
go	go	go
down	down	down
,	,	,
Trump	trump	Trump
said	said	said
in	in	in
response	respons	response
to	to	to
a	a	a
reporter	report	reporter
s	s	s
request	request	request
to	to	to
address	address	address
a	a	a
potential	potenti	potential
rate	rate	rate
hike	hike	hike
by	by	by
the	the	the
Federal	feder	Federal
Reserve	reserv	Reserve
in	in	in
September	septemb	September
.	.	.
We	we	We
have	have	have
a	a	a
very	veri	very
false	fals	false
economy	economi	economy
,	,	,
he	he	he
said	said	said
.	.	.
At	at	At
some	some	some
point	point	point
the	the	the
rates	rate	rate
are	are	are
going	go	going
to	to	to
have	have	have
to	to	to
change	chang	change
,	,	,
Trump	trump	Trump
,	,	,
who	who	who
was	was	wa
campaigning	campaign	campaigning
in	in	in
Ohio	ohio	Ohio
on	on	on
Monday	monday	Monday
,	,	,
added	ad	added
.	.	.
The	the	The
only	onli	only
thing	thing	thing
that	that	that
is	is	is
strong	strong	strong
is	is	is
the	the	the
artificial	artifici	artificial
stock	stock	stock
market	market	market
,	,	,
he	he	he
said	said	said
.	.	.
Fed	fed	Fed
Chair	chair	Chair
Janet	janet	Janet
Yellen	yellen	Yellen
said	said	said
last	last	last
month	month	month
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
central	central	central
bank	bank	bank
was	was	wa
getting	get	getting
closer	closer	closer
to	to	to
raising	rais	raising
interest	interest	interest
rates	rate	rate
,	,	,
possibly	possibl	possibly
as	as	a
early	earli	early
as	as	a
September	septemb	September
,	,	,
saying	say	saying
that	that	that
the	the	the
Fed	fed	Fed
sees	see	see
the	the	the
economy	economi	economy
as	as	a
close	close	close
to	to	to
meeting	meet	meeting
its	it	it
goals	goal	goal
of	of	of
maximum	maximum	maximum
employment	employ	employment
and	and	and
stable	stabl	stable
prices	price	price
.	.	.
The	the	The
Fed	fed	Fed
raised	rais	raised
interest	interest	interest
rates	rate	rate
last	last	last
December	decemb	December
for	for	for
the	the	the
first	first	first
time	time	time
in	in	in
nearly	near	nearly
a	a	a
decade	decad	decade
,	,	,
and	and	and
at	at	at
that	that	that
time	time	time
projected	project	projected
four	four	four
more	more	more
hikes	hike	hike
in	in	in
2016	2016	2016
.	.	.
The	the	The
Fed	fed	Fed
later	later	later
scaled	scale	scaled
back	back	back
that	that	that
projection	project	projection
to	to	to
two	two	two
rate	rate	rate
hikes	hike	hike
this	this	this
year	year	year
in	in	in
the	the	the
wake	wake	wake
of	of	of
a	a	a
slowdown	slowdown	slowdown
in	in	in
global	global	global
growth	growth	growth
and	and	and
continued	continu	continued
financial	financi	financial
market	market	market
volatility	volatil	volatility
.	.	.
Trump	trump	Trump
,	,	,
during	dure	during
the	the	the
primary	primari	primary
campaign	campaign	campaign
,	,	,
as	as	a
he	he	he
took	took	took
on	on	on
16	16	16
Republican	republican	Republican
rivals	rival	rival
,	,	,
had	had	had
called	call	called
Yellen	yellen	Yellen
s	s	s
tenure	tenur	tenure
highly	high	highly
political	polit	political
and	and	and
said	said	said
the	the	the
Fed	fed	Fed
should	should	should
raise	rais	raise
interest	interest	interest
rates	rate	rate
but	but	but
would	would	would
not	not	not
do	do	do
so	so	so
for	for	for
political	polit	political
reasons	reason	reason
.	.	.
The	the	The
Fed	fed	Fed
has	has	ha
been	been	been
a	a	a
target	target	target
of	of	of
some	some	some
conservative	conserv	conservative
critics	critic	critic
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Congress	congress	Congress
,	,	,
who	who	who
say	say	say
the	the	the
bank	bank	bank
risked	risk	risked
sparking	spark	sparking
inflation	inflat	inflation
with	with	with
its	it	it
easy	easi	easy
monetary	monetari	monetary
policies	polici	policy
in	in	in
response	respons	response
to	to	to
the	the	the
global	global	global
financial	financi	financial
crisis	crisi	crisis
.	.	.
Fed	fed	Fed
officials	offici	official
say	say	say
their	their	their
independence	independ	independence
is	is	is
critical	critic	critical
to	to	to
making	make	making
sound	sound	sound
policy	polici	policy
decisions	decis	decision
.	.	.
