WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Republican	republican	Republican
Donald	donald	Donald
Trump	trump	Trump
pulled	pull	pulled
ahead	ahead	ahead
of	of	of
Democratic	democrat	Democratic
presidential	presidenti	presidential
rival	rival	rival
Hillary	hillari	Hillary
Clinton	clinton	Clinton
in	in	in
Florida	florida	Florida
and	and	and
Pennsylvania	pennsylvania	Pennsylvania
in	in	in
a	a	a
Quinnipiac	quinnipiac	Quinnipiac
Poll	poll	Poll
released	releas	released
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
included	includ	included
responses	respons	response
after	after	after
the	the	the
FBI	fbi	FBI
released	releas	released
its	it	it
findings	find	finding
on	on	on
Clinton	clinton	Clinton
s	s	s
email	email	email
use	use	use
.	.	.
Clinton	clinton	Clinton
lost	lost	lost
ground	ground	ground
on	on	on
honesty	honesti	honesty
and	and	and
moral	moral	moral
standards	standard	standard
in	in	in
the	the	the
poll	poll	poll
that	that	that
showed	show	showed
tight	tight	tight
races	race	race
in	in	in
Florida	florida	Florida
,	,	,
Pennsylvania	pennsylvania	Pennsylvania
and	and	and
Ohio	ohio	Ohio
,	,	,
all	all	all
swing	swing	swing
states	state	state
that	that	that
could	could	could
go	go	go
to	to	to
either	either	either
party	parti	party
in	in	in
November	novemb	November
s	s	s
presidential	presidenti	presidential
election	elect	election
.	.	.
The	the	The
Quinnipiac	quinnipiac	Quinnipiac
Poll	poll	Poll
,	,	,
taken	taken	taken
from	from	from
June	june	June
30	30	30
to	to	to
July	juli	July
11	11	11
,	,	,
showed	show	showed
Trump	trump	Trump
competitive	competit	competitive
in	in	in
the	the	the
three	three	three
states	state	state
a	a	a
week	week	week
before	befor	before
the	the	the
start	start	start
of	of	of
the	the	the
Republican	republican	Republican
National	nation	National
Convention	convent	Convention
in	in	in
Cleveland	cleveland	Cleveland
that	that	that
will	will	will
formally	formal	formally
nominate	nomin	nominate
him	him	him
as	as	a
the	the	the
party	parti	party
s	s	s
presidential	presidenti	presidential
candidate	candid	candidate
for	for	for
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
election	elect	election
.	.	.
Peter	peter	Peter
A	a	A
.	.	.
Brown	brown	Brown
,	,	,
assistant	assist	assistant
director	director	director
of	of	of
the	the	the
poll	poll	poll
,	,	,
said	said	said
there	there	there
was	was	wa
no	no	no
definite	definit	definite
link	link	link
between	between	between
Clinton	clinton	Clinton
s	s	s
drop	drop	drop
in	in	in
Florida	florida	Florida
from	from	from
Quinnipiac	quinnipiac	Quinnipiac
s	s	s
June	june	June
21	21	21
survey	survey	survey
and	and	and
the	the	the
FBI	fbi	FBI
s	s	s
findings	find	finding
that	that	that
she	she	she
was	was	wa
careless	careless	careless
in	in	in
her	her	her
handling	handl	handling
of	of	of
government	govern	government
emails	email	email
while	while	while
U	u	U
.	.	.
S	s	S
.	.	.
secretary	secretari	secretary
of	of	of
state	state	state
.	.	.
But	but	But
he	he	he
said	said	said
Clinton	clinton	Clinton
lost	lost	lost
ground	ground	ground
to	to	to
Trump	trump	Trump
on	on	on
questions	question	question
that	that	that
measure	measur	measure
moral	moral	moral
standards	standard	standard
and	and	and
honesty	honesti	honesty
.	.	.
Clinton	clinton	Clinton
lost	lost	lost
an	an	an
8	8	8
-point	-point	-point
lead	lead	lead
in	in	in
Florida	florida	Florida
,	,	,
where	where	where
Trump	trump	Trump
won	won	won
42	42	42
percent	percent	percent
to	to	to
Clinton	clinton	Clinton
s	s	s
39	39	39
percent	percent	percent
,	,	,
according	accord	according
to	to	to
the	the	the
Quinnipiac	quinnipiac	Quinnipiac
Poll	poll	Poll
.	.	.
In	in	In
Ohio	ohio	Ohio
,	,	,
the	the	the
poll	poll	poll
showed	show	showed
the	the	the
candidates	candid	candidate
tied	tie	tied
at	at	at
41	41	41
percent	percent	percent
.	.	.
In	in	In
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
the	the	the
Quinnipiac	quinnipiac	Quinnipiac
poll	poll	poll
showed	show	showed
Trump	trump	Trump
with	with	with
43	43	43
percent	percent	percent
to	to	to
Clinton	clinton	Clinton
s	s	s
41	41	41
percent	percent	percent
.	.	.
A	a	A
NBC	nbc	NBC
News	news	News
Wall	wall	Wall
Street	street	Street
Journal	journal	Journal
Marist	marist	Marist
poll	poll	poll
released	releas	released
this	this	this
week	week	week
showed	show	showed
a	a	a
very	veri	very
different	differ	different
result	result	result
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
with	with	with
Clinton	clinton	Clinton
leading	lead	leading
Trump	trump	Trump
45	45	45
to	to	to
36	36	36
percent	percent	percent
.	.	.
The	the	The
July	juli	July
5	5	5
-10	-10	-10
poll	poll	poll
included	includ	included
829	829	829
registered	regist	registered
voters	voter	voter
and	and	and
has	has	ha
a	a	a
margin	margin	margin
of	of	of
error	error	error
of	of	of
3	3	3
percentage	percentag	percentage
points	point	point
.	.	.
Nationally	nation	Nationally
,	,	,
Clinton	clinton	Clinton
leads	lead	lead
Trump	trump	Trump
by	by	by
13	13	13
percentage	percentag	percentage
points	point	point
,	,	,
according	accord	according
to	to	to
a	a	a
Reuters	reuter	Reuters
Ipsos	ipso	Ipsos
opinion	opinion	opinion
poll	poll	poll
released	releas	released
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
The	the	The
online	onlin	online
poll	poll	poll
showed	show	showed
that	that	that
46	46	46
percent	percent	percent
of	of	of
likely	like	likely
voters	voter	voter
support	support	support
Clinton	clinton	Clinton
while	while	while
33	33	33
percent	percent	percent
support	support	support
Trump	trump	Trump
.	.	.
The	the	The
July	juli	July
8	8	8
-12	-12	-12
included	includ	included
1	1	1
,	,	,
146	146	146
likely	like	likely
voters	voter	voter
and	and	and
has	has	ha
a	a	a
credibility	credibl	credibility
interval	interv	interval
,	,	,
a	a	a
measure	measur	measure
of	of	of
accuracy	accuraci	accuracy
,	,	,
of	of	of
3	3	3
percentage	percentag	percentage
points	point	point
.	.	.
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
said	said	said
last	last	last
week	week	week
Clinton	clinton	Clinton
was	was	wa
extremely	extrem	extremely
careless	careless	careless
in	in	in
the	the	the
handling	handl	handling
of	of	of
classified	classifi	classified
information	inform	information
but	but	but
the	the	the
investigation	investig	investigation
found	found	found
no	no	no
evidence	evid	evidence
she	she	she
or	or	or
her	her	her
colleagues	colleagu	colleague
intended	intend	intended
to	to	to
violate	violat	violate
laws	law	law
.	.	.
Clinton	clinton	Clinton
,	,	,
a	a	a
former	former	former
U	u	U
.	.	.
S	s	S
.	.	.
senator	senat	senator
and	and	and
first	first	first
lady	ladi	lady
,	,	,
has	has	ha
faced	face	faced
heavy	heavi	heavy
criticism	critic	criticism
from	from	from
Republicans	republican	Republicans
for	for	for
her	her	her
use	use	use
of	of	of
private	privat	private
email	email	email
servers	server	server
for	for	for
government	govern	government
business	busi	business
while	while	while
she	she	she
led	led	led
the	the	the
State	state	State
Department	depart	Department
from	from	from
2009	2009	2009
to	to	to
2013	2013	2013
.	.	.
The	the	The
Quinnipiac	quinnipiac	Quinnipiac
poll	poll	poll
was	was	wa
conducted	conduct	conducted
by	by	by
telephone	telephon	telephone
with	with	with
people	peopl	people
who	who	who
identified	identifi	identified
as	as	a
registered	regist	registered
voters	voter	voter
.	.	.
It	it	It
included	includ	included
1	1	1
,	,	,
015	015	015
people	peopl	people
in	in	in
Florida	florida	Florida
,	,	,
955	955	955
people	peopl	people
in	in	in
Ohio	ohio	Ohio
and	and	and
982	982	982
people	peopl	people
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
.	.	.
The	the	The
margin	margin	margin
of	of	of
error	error	error
was	was	wa
around	around	around
three	three	three
percentage	percentag	percentage
points	point	point
in	in	in
all	all	all
three	three	three
states	state	state
.	.	.
