Reuters	reuter	Reuters
-	-	-
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
s	s	s
campaign	campaign	campaign
has	has	ha
settled	settl	settled
a	a	a
legal	legal	legal
dispute	disput	dispute
with	with	with
former	former	former
aide	aid	aide
Sam	sam	Sam
Nunberg	nunberg	Nunberg
,	,	,
according	accord	according
to	to	to
a	a	a
court	court	court
document	document	document
filed	file	filed
in	in	in
New	new	New
York	york	York
on	on	on
Thursday	thursday	Thursday
.	.	.
Trump	trump	Trump
had	had	had
sought	sought	sought
10	10	10
million	million	million
in	in	in
damages	damag	damage
from	from	from
Nunberg	nunberg	Nunberg
in	in	in
arbitration	arbitr	arbitration
proceedings	proceed	proceeding
.	.	.
Trump	trump	Trump
accused	accus	accused
Nunberg	nunberg	Nunberg
,	,	,
who	who	who
was	was	wa
fired	fire	fired
in	in	in
2015	2015	2015
,	,	,
of	of	of
violating	violat	violating
a	a	a
confidentiality	confidenti	confidentiality
agreement	agreement	agreement
.	.	.
The	the	The
one	one	one
-page	-page	-page
filing	file	filing
with	with	with
a	a	a
New	new	New
York	york	York
state	state	state
court	court	court
did	did	did
not	not	not
give	give	give
the	the	the
terms	term	term
of	of	of
the	the	the
settlement	settlement	settlement
.	.	.
Nunberg	nunberg	Nunberg
s	s	s
attorney	attorney	attorney
,	,	,
Andrew	andrew	Andrew
Miltenberg	miltenberg	Miltenberg
,	,	,
said	said	said
the	the	the
matter	matter	matter
was	was	wa
amicably	amic	amicably
resolved	resolv	resolved
but	but	but
he	he	he
declined	declin	declined
to	to	to
comment	comment	comment
further	further	further
.	.	.
The	the	The
Trump	trump	Trump
campaign	campaign	campaign
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
.	.	.
Nunberg	nunberg	Nunberg
said	said	said
in	in	in
court	court	court
filings	file	filing
in	in	in
July	juli	July
that	that	that
Trump	trump	Trump
accused	accus	accused
him	him	him
of	of	of
being	be	being
the	the	the
source	sourc	source
for	for	for
a	a	a
New	new	New
York	york	York
Post	post	Post
story	stori	story
in	in	in
May	may	May
that	that	that
recounted	recount	recounted
a	a	a
public	public	public
argument	argument	argument
between	between	between
Corey	corey	Corey
Lewandowski	lewandowski	Lewandowski
,	,	,
who	who	who
was	was	wa
then	then	then
the	the	the
campaign	campaign	campaign
manager	manag	manager
,	,	,
and	and	and
Hope	hope	Hope
Hicks	hick	Hicks
,	,	,
Trump	trump	Trump
s	s	s
spokeswoman	spokeswoman	spokeswoman
.	.	.
In	in	In
the	the	the
affidavit	affidavit	affidavit
,	,	,
Nunberg	nunberg	Nunberg
said	said	said
the	the	the
argument	argument	argument
was	was	wa
part	part	part
of	of	of
a	a	a
sordid	sordid	sordid
and	and	and
apparently	appar	apparently
illicit	illicit	illicit
affair	affair	affair
between	between	between
the	the	the
two	two	two
.	.	.
He	he	He
denied	deni	denied
being	be	being
the	the	the
source	sourc	source
for	for	for
the	the	the
New	new	New
York	york	York
Post	post	Post
story	stori	story
.	.	.
Lewandowski	lewandowski	Lewandowski
was	was	wa
fired	fire	fired
by	by	by
the	the	the
campaign	campaign	campaign
in	in	in
June	june	June
,	,	,
a	a	a
move	move	move
apparently	appar	apparently
unrelated	unrel	unrelated
to	to	to
the	the	the
Post	post	Post
story	stori	story
.	.	.
A	a	A
Trump	trump	Trump
Organization	organ	Organization
lawyer	lawyer	lawyer
,	,	,
Alan	alan	Alan
Garten	garten	Garten
,	,	,
last	last	last
month	month	month
called	call	called
Nunberg	nunberg	Nunberg
s	s	s
allegations	alleg	allegation
categorically	categor	categorically
untrue	untru	untrue
.	.	.
The	the	The
Trump	trump	Trump
campaign	campaign	campaign
fired	fire	fired
Nunberg	nunberg	Nunberg
in	in	in
August	august	August
2015	2015	2015
after	after	after
the	the	the
discovery	discoveri	discovery
of	of	of
Facebook	facebook	Facebook
posts	post	post
that	that	that
critics	critic	critic
deemed	deem	deemed
racist	racist	racist
.	.	.
Nunberg	nunberg	Nunberg
has	has	ha
denied	deni	denied
he	he	he
wrote	wrote	wrote
the	the	the
posts	post	post
.	.	.
