NEW	new	NEW
DELHI	delhi	DELHI
Reuters	reuter	Reuters
-	-	-
Indian	indian	Indian
police	polic	police
arrested	arrest	arrested
a	a	a
Christian	christian	Christian
priest	priest	priest
and	and	and
were	were	were
questioning	question	questioning
members	member	member
of	of	of
a	a	a
seminary	seminari	seminary
after	after	after
a	a	a
hardline	hardlin	hardline
Hindu	hindu	Hindu
group	group	group
accused	accus	accused
them	them	them
of	of	of
trying	tri	trying
to	to	to
convert	convert	convert
villagers	villag	villager
to	to	to
Christianity	christian	Christianity
by	by	by
distributing	distribut	distributing
Bibles	bibl	Bibles
and	and	and
singing	sing	singing
carols	carol	carol
,	,	,
police	polic	police
said	said	said
on	on	on
Saturday	saturday	Saturday
.	.	.

The	the	The
priest	priest	priest
was	was	wa
arrested	arrest	arrested
on	on	on
Friday	friday	Friday
after	after	after
a	a	a
member	member	member
of	of	of
the	the	the
Bajrang	bajrang	Bajrang
Dal	dal	Dal
,	,	,
a	a	a
powerful	power	powerful
Hindu	hindu	Hindu
group	group	group
associated	associ	associated
with	with	with
Prime	prime	Prime
Minister	minist	Minister
Narendra	narendra	Narendra
Modi	modi	Modi
s	s	s
ruling	rule	ruling
party	parti	party
,	,	,
accused	accus	accused
50	50	50
members	member	member
of	of	of
a	a	a
seminary	seminari	seminary
of	of	of
distributing	distribut	distributing
the	the	the
Bible	bibl	Bible
,	,	,
photos	photo	photo
of	of	of
Jesus	jesus	Jesus
Christ	christ	Christ
and	and	and
singing	sing	singing
carols	carol	carol
in	in	in
a	a	a
village	villag	village
in	in	in
the	the	the
central	central	central
Indian	indian	Indian
state	state	state
of	of	of
Madhya	madhya	Madhya
Pradesh	pradesh	Pradesh
.	.	.

Our	our	Our
members	member	member
have	have	have
registered	regist	registered
a	a	a
criminal	crimin	criminal
case	case	case
because	becaus	because
we	we	we
have	have	have
proof	proof	proof
to	to	to
show	show	show
how	how	how
Christian	christian	Christian
priests	priest	priest
were	were	were
forcibly	forcibl	forcibly
converting	convert	converting
poor	poor	poor
Hindus	hindus	Hindus
,	,	,
said	said	said
Abhay	abhay	Abhay
Kumar	kumar	Kumar
Dhar	dhar	Dhar
,	,	,
a	a	a
senior	senior	senior
member	member	member
of	of	of
the	the	the
Bajrang	bajrang	Bajrang
Dal	dal	Dal
in	in	in
Bhopal	bhopal	Bhopal
,	,	,
the	the	the
capital	capit	capital
of	of	of
Madhya	madhya	Madhya
Pradesh	pradesh	Pradesh
.	.	.

The	the	The
Bajrang	bajrang	Bajrang
Dal	dal	Dal
has	has	ha
direct	direct	direct
links	link	link
with	with	with
Modi	modi	Modi
s	s	s
ruling	rule	ruling
Hindu	hindu	Hindu
-nationalist	-nationalist	-nationalist
Bharatiya	bharatiya	Bharatiya
Janata	janata	Janata
Party	parti	Party
BJP	bjp	BJP
.	.	.

Madhya	madhya	Madhya
Pradesh	pradesh	Pradesh
,	,	,
governed	govern	governed
by	by	by
the	the	the
BJP	bjp	BJP
,	,	,
has	has	ha
strict	strict	strict
religious	religi	religious
conversion	convers	conversion
laws	law	law
.	.	.

People	peopl	People
must	must	must
give	give	give
formal	formal	formal
notice	notic	notice
to	to	to
local	local	local
administrators	administr	administrator
in	in	in
order	order	order
to	to	to
change	chang	change
religion	religion	religion
.	.	.

We	we	We
have	have	have
arrested	arrest	arrested
the	the	the
priest	priest	priest
but	but	but
have	have	have
not	not	not
booked	book	booked
him	him	him
under	under	under
the	the	the
anti	anti	anti
-conversion	-convers	-conversion
law	law	law
because	becaus	because
the	the	the
probe	probe	probe
into	into	into
the	the	the
allegations	alleg	allegation
is	is	is
still	still	still
on	on	on
,	,	,
said	said	said
Rajesh	rajesh	Rajesh
Hingankar	hingankar	Hingankar
,	,	,
the	the	the
investigating	investig	investigating
official	offici	official
in	in	in
Satna	satna	Satna
district	district	district
,	,	,
where	where	where
the	the	the
incident	incid	incident
occurred	occur	occurred
.	.	.

The	the	The
Catholic	cathol	Catholic
Bishops	bishop	Bishops
Conference	confer	Conference
of	of	of
India	india	India
said	said	said
they	they	they
were	were	were
shocked	shock	shocked
,	,	,
and	and	and
pained	pain	pained
at	at	at
the	the	the
unprovoked	unprovok	unprovoked
violence	violenc	violence
against	against	against
Catholic	cathol	Catholic
