ROME	rome	ROME
Reuters	reuter	Reuters
-	-	-
Italy	itali	Italy
s	s	s
traditional	tradit	traditional
political	polit	political
parties	parti	party
have	have	have
pledged	pledg	pledged
to	to	to
back	back	back
a	a	a
new	new	new
electoral	elector	electoral
law	law	law
this	this	this
week	week	week
that	that	that
is	is	is
seen	seen	seen
penalizing	penal	penalizing
the	the	the
anti	anti	anti
-establishment	-establish	-establishment
5	5	5
-Star	-star	-Star
Movement	movement	Movement
ahead	ahead	ahead
of	of	of
next	next	next
year	year	year
s	s	s
national	nation	national
election	elect	election
.	.	.

The	the	The
lower	lower	lower
house	hous	house
of	of	of
parliament	parliament	parliament
is	is	is
due	due	due
to	to	to
start	start	start
voting	vote	voting
on	on	on
Tuesday	tuesday	Tuesday
on	on	on
an	an	an
electoral	elector	electoral
law	law	law
supported	support	supported
by	by	by
the	the	the
country	countri	country
s	s	s
main	main	main
right	right	right
-	-	-
and	and	and
left	left	left
-wing	-wing	-wing
parties	parti	party
.	.	.

Unlike	unlik	Unlike
the	the	the
current	current	current
system	system	system
,	,	,
it	it	it
would	would	would
allow	allow	allow
the	the	the
formation	format	formation
of	of	of
broad	broad	broad
coalitions	coalit	coalition
before	befor	before
a	a	a
vote	vote	vote
,	,	,
a	a	a
factor	factor	factor
likely	like	likely
to	to	to
hurt	hurt	hurt
5	5	5
-Star	-star	-Star
,	,	,
which	which	which
refuses	refus	refuse
to	to	to
join	join	join
alliances	allianc	alliance
.	.	.

The	the	The
only	onli	only
aim	aim	aim
of	of	of
the	the	the
law	law	law
is	is	is
to	to	to
allow	allow	allow
others	other	others
to	to	to
gang	gang	gang
up	up	up
on	on	on
us	us	u
,	,	,
5	5	5
-Star	-star	-Star
lawmaker	lawmak	lawmaker
Danilo	danilo	Danilo
Toninelli	toninelli	Toninelli
said	said	said
on	on	on
Sunday	sunday	Sunday
,	,	,
a	a	a
day	day	day
after	after	after
a	a	a
parliamentary	parliamentari	parliamentary
committee	committe	committee
signed	sign	signed
off	off	off
on	on	on
the	the	the
new	new	new
proposal	propos	proposal
.	.	.

For	for	For
the	the	the
traditional	tradit	traditional
parties	parti	party
,	,	,
the	the	the
important	import	important
thing	thing	thing
is	is	is
to	to	to
stop	stop	stop
the	the	the
5	5	5
-Star	-star	-Star
,	,	,
he	he	he
said	said	said
.	.	.

A	a	A
national	nation	national
vote	vote	vote
is	is	is
due	due	due
to	to	to
be	be	be
held	held	held
during	dure	during
the	the	the
first	first	first
half	half	half
of	of	of
2018	2018	2018
,	,	,
between	between	between
March	march	March
and	and	and
May	may	May
.	.	.

Polls	poll	Polls
show	show	show
Matteo	matteo	Matteo
Renzi	renzi	Renzi
s	s	s
ruling	rule	ruling
center	center	center
-left	-left	-left
Democratic	democrat	Democratic
Party	parti	Party
PD	pd	PD
,	,	,
which	which	which
proposed	propos	proposed
the	the	the
new	new	new
law	law	law
,	,	,
is	is	is
neck	neck	neck
-in-neck	-in-neck	-in-neck
with	with	with
the	the	the
5	5	5
-Star	-star	-Star
.	.	.

But	but	But
if	if	if
the	the	the
PD	pd	PD
runs	run	run
in	in	in
alliance	allianc	alliance
with	with	with
smaller	smaller	smaller
centrist	centrist	centrist
and	and	and
left	left	left
-wing	-wing	-wing
parties	parti	party
,	,	,
together	togeth	together
they	they	they
would	would	would
likely	like	likely
surpass	surpass	surpass
the	the	the
5	5	5
-Star	-star	-Star
,	,	,
now	now	now
led	led	led
by	by	by
the	the	the
31	31	31
-year-old	-year-old	-year-old
Luigi	luigi	Luigi
Di	di	Di
Maio	maio	Maio
.	.	.

The	the	The
new	new	new
law	law	law
may	may	may
be	be	be
even	even	even
more	more	more
beneficial	benefici	beneficial
to	to	to
Silvio	silvio	Silvio
Berlusconi	berlusconi	Berlusconi
s	s	s
center	center	center
-right	-right	-right
Forza	forza	Forza
Italia	italia	Italia
Go	go	Go
Italy	itali	Italy
!	!	!
party	parti	party
and	and	and
the	the	the
far	far	far
-right	-right	-right
Northern	northern	Northern
League	leagu	League
,	,	,
which	which	which
also	also	also
back	back	back
the	the	the
bill	bill	bill
.	.	.

In	in	In
a	a	a
coalition	coalit	coalition
,	,	,
polls	poll	poll
show	show	show
they	they	they
could	could	could
win	win	win
the	the	the
most	most	most
votes	vote	vote
.	.	.

The	the	The
wind	wind	wind
is	is	is
blowing	blow	blowing
in	in	in
the	the	the
sails	sail	sail
of	of	of
the	the	the
center	center	center
-right	-right	-right
and	and	and
of	of	of
Forza	forza	Forza
Italia	italia	Italia
,	,	,
the	the	the
lower	lower	lower
-house	-hous	-house
speaker	speaker	speaker
of	of	of
Berlusconi	berlusconi	Berlusconi
s	s	s
party	parti	party
,	,	,
Renato	renato	Renato
Brunetta	brunetta	Brunetta
,	,	,
said	said	said
.	.	.

But	but	But
polls	poll	poll
give	give	give
neither	neither	neither
Renzi	renzi	Renzi
s	s	s
center	center	center
-left	-left	-left
or	or	or
Berlusconi	berlusconi	Berlusconi
s	s	s
center	center	center
-right	-right	-right
enough	enough	enough
votes	vote	vote
to	to	to
govern	govern	govern
alone	alon	alone
,	,	,
suggesting	suggest	suggesting
a	a	a
right	right	right
-left	-left	-left
alliance	allianc	alliance
may	may	may
be	be	be
the	the	the
only	onli	only
way	way	way
to	to	to
form	form	form
a	a	a
government	govern	government
after	after	after
the	the	the
election	elect	election
.	.	.

The	the	The
bill	bill	bill
could	could	could
pass	pass	pas
as	as	a
early	earli	early
as	as	a
this	this	this
week	week	week
in	in	in
the	the	the
Chamber	chamber	Chamber
,	,	,
after	after	after
which	which	which
it	it	it
would	would	would
go	go	go
to	to	to
the	the	the
Senate	senat	Senate
for	for	for
approval	approv	approval
.	.	.

The	the	The
risk	risk	risk
is	is	is
that	that	that
it	it	it
could	could	could
be	be	be
sunk	sunk	sunk
by	by	by
dozens	dozen	dozen
of	of	of
secret	secret	secret
votes	vote	vote
in	in	in
which	which	which
parliamentarians	parliamentarian	parliamentarian
can	can	can
break	break	break
with	with	with
the	the	the
official	offici	official
party	parti	party
line	line	line
.	.	.

Secret	secret	Secret
voting	vote	voting
is	is	is
what	what	what
killed	kill	killed
a	a	a
previous	previous	previous
election	elect	election
law	law	law
proposal	propos	proposal
in	in	in
June	june	June
that	that	that
initially	initi	initially
had	had	had
been	been	been
supported	support	supported
by	by	by
the	the	the
5	5	5
-Star	-star	-Star
Movement	movement	Movement
.	.	.

The	the	The
5	5	5
-Star	-star	-Star
catapulted	catapult	catapulted
into	into	into
parliament	parliament	parliament
in	in	in
2013	2013	2013
with	with	with
nearly	near	nearly
a	a	a
quarter	quarter	quarter
of	of	of
the	the	the
national	nation	national
vote	vote	vote
,	,	,
but	but	but
it	it	it
has	has	ha
struggled	struggl	struggled
to	to	to
further	further	further
expand	expand	expand
its	it	it
support	support	support
.	.	.

It	it	It
has	has	ha
vowed	vow	vowed
to	to	to
rescue	rescu	rescue
Italy	itali	Italy
from	from	from
the	the	the
clutches	clutch	clutch
of	of	of
what	what	what
it	it	it
says	say	say
is	is	is
a	a	a
corrupt	corrupt	corrupt
political	polit	political
system	system	system
.	.	.

Five	five	Five
-Star	-star	-Star
s	s	s
policies	polici	policy
include	includ	include
the	the	the
introduction	introduct	introduction
of	of	of
universal	univers	universal
income	incom	income
support	support	support
for	for	for
the	the	the
poor	poor	poor
,	,	,
rewriting	rewrit	rewriting
European	european	European
Union	union	Union
public	public	public
spending	spend	spending
limits	limit	limit
,	,	,
and	and	and
phasing	phase	phasing
out	out	out
fossil	fossil	fossil
fuels	fuel	fuel
.	.	.

It	it	It
now	now	now
says	say	say
holding	hold	holding
a	a	a
referendum	referendum	referendum
whether	whether	whether
to	to	to
dump	dump	dump
the	the	the
euro	euro	euro
,	,	,
which	which	which
had	had	had
been	been	been
a	a	a
pillar	pillar	pillar
of	of	of
its	it	it
platform	platform	platform
,	,	,
is	is	is
not	not	not
a	a	a
priority	prioriti	priority
.	.	.

The	the	The
proposed	propos	proposed
election	elect	election
law	law	law
would	would	would
distribute	distribut	distribute
almost	almost	almost
two	two	two
-thirds	-third	-thirds
of	of	of
the	the	the
seats	seat	seat
in	in	in
parliament	parliament	parliament
on	on	on
a	a	a
proportional	proport	proportional
basis	basi	basis
,	,	,
while	while	while
a	a	a
third	third	third
would	would	would
be	be	be
decided	decid	decided
in	in	in
a	a	a
first	first	first
-past-the-post	-past-the-post	-past-the-post
vote	vote	vote
on	on	on
specific	specif	specific
candidates	candid	candidate
.	.	.

Coalitions	coalit	Coalitions
would	would	would
need	need	need
to	to	to
get	get	get
10	10	10
percent	percent	percent
of	of	of
the	the	the
national	nation	national
vote	vote	vote
to	to	to
get	get	get
into	into	into
parliament	parliament	parliament
,	,	,
while	while	while
parties	parti	party
running	run	running
alone	alon	alone
would	would	would
need	need	need
only	onli	only
3	3	3
percent	percent	percent
.	.	.

Candidates	candid	Candidates
would	would	would
be	be	be
chosen	chosen	chosen
by	by	by
party	parti	party
chiefs	chief	chief
.	.	.

