KABUL	kabul	KABUL
Reuters	reuter	Reuters
-	-	-
Afghan	afghan	Afghan
soldiers	soldier	soldier
and	and	and
police	polic	police
brought	brought	brought
to	to	to
the	the	the
United	unit	United
States	state	States
for	for	for
training	train	training
go	go	go
absent	absent	absent
without	without	without
leave	leav	leave
at	at	at
far	far	far
higher	higher	higher
rates	rate	rate
than	than	than
those	those	those
of	of	of
any	ani	any
other	other	other
country	countri	country
,	,	,
potentially	potenti	potentially
imperilling	imperil	imperilling
efforts	effort	effort
to	to	to
assist	assist	assist
Afghan	afghan	Afghan
security	secur	security
forces	forc	force
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
watchdog	watchdog	watchdog
said	said	said
on	on	on
Friday	friday	Friday
.	.	.

Of	of	Of
the	the	the
320	320	320
foreign	foreign	foreign
military	militari	military
trainees	traine	trainee
who	who	who
left	left	left
while	while	while
on	on	on
courses	cours	course
in	in	in
the	the	the
United	unit	United
States	state	States
from	from	from
2005	2005	2005
to	to	to
2017	2017	2017
,	,	,
152	152	152
-	-	-
or	or	or
more	more	more
than	than	than
47	47	47
percent	percent	percent
-	-	-
were	were	were
Afghans	afghan	Afghans
,	,	,
said	said	said
a	a	a
report	report	report
by	by	by
the	the	the
Special	special	Special
Inspector	inspector	Inspector
General	general	General
for	for	for
Afghanistan	afghanistan	Afghanistan
Reconstruction	reconstruct	Reconstruction
SIGAR	sigar	SIGAR
.	.	.

The	the	The
State	state	State
Department	depart	Department
called	call	called
that	that	that
number	number	number
unacceptably	unaccept	unacceptably
high	high	high
.	.	.

SIGAR	sigar	SIGAR
found	found	found
that	that	that
the	the	the
rate	rate	rate
of	of	of
asylum	asylum	asylum
seekers	seeker	seeker
among	among	among
Afghan	afghan	Afghan
military	militari	military
trainees	traine	trainee
rose	rose	rose
in	in	in
recent	recent	recent
years	year	year
as	as	a
violence	violenc	violence
in	in	in
the	the	the
Islamist	islamist	Islamist
Taliban	taliban	Taliban
insurgency	insurg	insurgency
spread	spread	spread
across	across	across
Afghanistan	afghanistan	Afghanistan
and	and	and
security	secur	security
forces	forc	force
sustained	sustain	sustained
heavy	heavi	heavy
casualties	casualti	casualty
.	.	.

In	in	In
2016	2016	2016
,	,	,
for	for	for
example	exampl	example
,	,	,
the	the	the
percentage	percentag	percentage
of	of	of
Afghan	afghan	Afghan
trainees	traine	trainee
who	who	who
went	went	went
AWOL	awol	AWOL
absent	absent	absent
without	without	without
leave	leav	leave
jumped	jump	jumped
from	from	from
an	an	an
historical	histor	historical
average	averag	average
of	of	of
about	about	about
6	6	6
or	or	or
7	7	7
percent	percent	percent
to	to	to
13	13	13
percent	percent	percent
,	,	,
the	the	the
report	report	report
noted	note	noted
.	.	.

That	that	That
s	s	s
compared	compar	compared
to	to	to
an	an	an
average	averag	average
of	of	of
about	about	about
.	.	.
07	07	07
percent	percent	percent
of	of	of
trainees	traine	trainee
from	from	from
other	other	other
countries	countri	country
,	,	,
according	accord	according
to	to	to
SIGAR	sigar	SIGAR
.	.	.

The	the	The
tendency	tendenc	tendency
of	of	of
Afghan	afghan	Afghan
trainees	traine	trainee
in	in	in
the	the	the
United	unit	United
States	state	States
to	to	to
go	go	go
AWOL	awol	AWOL
may	may	may
hinder	hinder	hinder
the	the	the
operational	oper	operational
readiness	readi	readiness
of	of	of
their	their	their
home	home	home
units	unit	unit
,	,	,
negatively	negat	negatively
impact	impact	impact
the	the	the
morale	moral	morale
of	of	of
fellow	fellow	fellow
trainees	traine	trainee
and	and	and
home	home	home
units	unit	unit
,	,	,
and	and	and
pose	pose	pose
security	secur	security
risks	risk	risk
to	to	to
the	the	the
United	unit	United
States	state	States
,	,	,
it	it	it
concluded	conclud	concluded
.	.	.

Only	onli	Only
27	27	27
of	of	of
the	the	the
Afghans	afghan	Afghans
who	who	who
left	left	left
their	their	their
training	train	training
have	have	have
been	been	been
arrested	arrest	arrested
or	or	or
removed	remov	removed
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
police	polic	police
,	,	,
SIGAR	sigar	SIGAR
said	said	said
,	,	,
with	with	with
most	most	most
of	of	of
the	the	the
other	other	other
83	83	83
either	either	either
unaccounted	unaccount	unaccounted
for	for	for
or	or	or
having	have	having
fled	fled	fled
the	the	the
United	unit	United
States	state	States
.	.	.

Many	mani	Many
of	of	of
the	the	the
Afghans	afghan	Afghans
who	who	who
seek	seek	seek
asylum	asylum	asylum
in	in	in
the	the	the
United	unit	United
States	state	States
say	say	say
their	their	their
lives	live	life
would	would	would
be	be	be
in	in	in
danger	danger	danger
if	if	if
they	they	they
returned	return	returned
home	home	home
.	.	.

Although	although	Although
Afghan	afghan	Afghan
trainees	traine	trainee
are	are	are
considered	consid	considered
high	high	high
risk	risk	risk
because	becaus	because
of	of	of
their	their	their
military	militari	military
training	train	training
and	and	and
fighting	fight	fighting
age	age	age
,	,	,
SIGAR	sigar	SIGAR
said	said	said
it	it	it
was	was	wa
not	not	not
aware	awar	aware
of	of	of
any	ani	any
acts	act	act
of	of	of
terrorism	terror	terrorism
or	or	or
similarly	similar	similarly
serious	serious	serious
acts	act	act
involving	involv	involving
them	them	them
.	.	.

In	in	In
response	respons	response
to	to	to
the	the	the
high	high	high
number	number	number
of	of	of
Afghans	afghan	Afghans
who	who	who
go	go	go
AWOL	awol	AWOL
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
government	govern	government
has	has	ha
reduced	reduc	reduced
the	the	the
number	number	number
of	of	of
training	train	training
courses	cours	course
it	it	it
offers	offer	offer
,	,	,
and	and	and
Afghan	afghan	Afghan
commanders	command	commander
are	are	are
also	also	also
more	more	more
reluctant	reluct	reluctant
to	to	to
allow	allow	allow
their	their	their
troops	troop	troop
to	to	to
attend	attend	attend
.	.	.

That	that	That
has	has	ha
disappointed	disappoint	disappointed
some	some	some
members	member	member
of	of	of
the	the	the
Afghan	afghan	Afghan
security	secur	security
forces	forc	force
who	who	who
told	told	told
SIGAR	sigar	SIGAR
they	they	they
are	are	are
paying	pay	paying
a	a	a
price	price	price
because	becaus	because
of	of	of
their	their	their
colleagues	colleagu	colleague
who	who	who
run	run	run
away	away	away
.	.	.

If	if	If
a	a	a
student	student	student
absconds	abscond	absconds
,	,	,
it	it	it
affects	affect	affect
his	his	his
unit	unit	unit
,	,	,
one	one	one
Afghan	afghan	Afghan
officer	offic	officer
told	told	told
investigators	investig	investigator
.	.	.

Between	between	Between
2005	2005	2005
and	and	and
2017	2017	2017
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
brought	brought	brought
more	more	more
than	than	than
2	2	2
,	,	,
500	500	500
Afghan	afghan	Afghan
soldiers	soldier	soldier
and	and	and
police	polic	police
to	to	to
the	the	the
United	unit	United
States	state	States
for	for	for
training	train	training
,	,	,
including	includ	including
programs	program	program
that	that	that
trained	train	trained
pilots	pilot	pilot
for	for	for
the	the	the
nascent	nascent	nascent
Afghan	afghan	Afghan
Air	air	Air
Force	forc	Force
and	and	and
special	special	special
forces	forc	force
,	,	,
according	accord	according
to	to	to
SIGAR	sigar	SIGAR
.	.	.

