GENEVA	geneva	GENEVA
LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
The	the	The
World	world	World
Health	health	Health
Organization	organ	Organization
WHO	who	WHO
should	should	should
overturn	overturn	overturn
its	it	it
decision	decis	decision
to	to	to
appoint	appoint	appoint
Zimbabwean	zimbabwean	Zimbabwean
President	presid	President
Robert	robert	Robert
Mugabe	mugab	Mugabe
as	as	a
a	a	a
goodwill	goodwil	goodwill
ambassador	ambassador	ambassador
,	,	,
global	global	global
health	health	health
leaders	leader	leader
said	said	said
on	on	on
Saturday	saturday	Saturday
,	,	,
describing	describ	describing
the	the	the
move	move	move
as	as	a
unjustifiable	unjustifi	unjustifiable
and	and	and
wrong	wrong	wrong
.	.	.

Britain	britain	Britain
said	said	said
Mugabe	mugab	Mugabe
s	s	s
appointment	appoint	appointment
was	was	wa
surprising	surpris	surprising
and	and	and
disappointing	disappoint	disappointing
and	and	and
added	ad	added
that	that	that
it	it	it
risked	risk	risked
overshadowing	overshadow	overshadowing
the	the	the
WHO	who	WHO
s	s	s
global	global	global
work	work	work
.	.	.

The	the	The
United	unit	United
States	state	States
,	,	,
which	which	which
has	has	ha
imposed	impos	imposed
sanctions	sanction	sanction
on	on	on
Mugabe	mugab	Mugabe
for	for	for
alleged	alleg	alleged
human	human	human
rights	right	right
violations	violat	violation
,	,	,
said	said	said
it	it	it
was	was	wa
disappointed	disappoint	disappointed
.	.	.

This	this	This
appointment	appoint	appointment
clearly	clear	clearly
contradicts	contradict	contradicts
the	the	the
United	unit	United
Nations	nation	Nations
ideals	ideal	ideal
of	of	of
respect	respect	respect
for	for	for
human	human	human
rights	right	right
and	and	and
human	human	human
dignity	digniti	dignity
,	,	,
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
spokesperson	spokesperson	spokesperson
said	said	said
.	.	.

This	this	This
selection	select	selection
underscores	underscor	underscore
why	whi	why
the	the	the
United	unit	United
States	state	States
continues	continu	continues
to	to	to
push	push	push
for	for	for
U	u	U
.	.	.
N	n	N
.	.	.
reform	reform	reform
and	and	and
leadership	leadership	leadership
actions	action	action
that	that	that
uphold	uphold	uphold
our	our	our
shared	share	shared
U	u	U
.	.	.
N	n	N
.	.	.
ideals	ideal	ideal
.	.	.

WHO	who	WHO
Director	director	Director
-General	-gener	-General
Tedros	tedro	Tedros
Adhanom	adhanom	Adhanom
Ghebreyesus	ghebreyesus	Ghebreyesus
announced	announc	announced
the	the	the
appointment	appoint	appointment
at	at	at
a	a	a
high	high	high
-level	-level	-level
meeting	meet	meeting
on	on	on
non	non	non
-communicable	-communic	-communicable
diseases	diseas	disease
NCDs	ncds	NCDs
in	in	in
Uruguay	uruguay	Uruguay
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

The	the	The
meeting	meet	meeting
was	was	wa
attended	attend	attended
by	by	by
Mugabe	mugab	Mugabe
,	,	,
93	93	93
.	.	.

He	he	He
is	is	is
blamed	blame	blamed
in	in	in
the	the	the
West	west	West
for	for	for
