Token	Stem	Lemma
ISTANBUL	istanbul	ISTANBUL
Reuters	reuter	Reuters
Turkish	turkish	Turkish
police	polic	police
detained	detain	detained
143	143	143
people	peopl	people
over	over	over
suspected	suspect	suspected
links	link	link
to	to	to
Islamic	islam	Islamic
State	state	State
in	in	in
anti	anti	anti
-terror	-terror	-terror
operations	oper	operation
in	in	in
eight	eight	eight
cities	citi	city
over	over	over
the	the	the
weekend	weekend	weekend
the	the	the
state	state	state
-run	-run	-run
Anadolu	anadolu	Anadolu
Agency	agenc	Agency
said	said	said
on	on	on
Sunday	sunday	Sunday
Counter	counter	Counter
-terrorism	-terror	-terrorism
police	polic	police
detained	detain	detained
49	49	49
foreign	foreign	foreign
nationals	nation	national
on	on	on
Saturday	saturday	Saturday
during	dure	during
operations	oper	operation
in	in	in
the	the	the
capital	capit	capital
Ankara	ankara	Ankara
Anadolu	anadolu	Anadolu
said	said	said
Some	some	Some
of	of	of
the	the	the
detained	detain	detained
were	were	were
believed	believ	believed
to	to	to
be	be	be
preparing	prepar	preparing
for	for	for
an	an	an
attack	attack	attack
on	on	on
Oct	oct	Oct
29	29	29
Turkey	turkey	Turkey
s	s	s
Republic	republ	Republic
Day	day	Day
The	the	The
police	polic	police
raided	raid	raided
houses	hous	house
in	in	in
Bursa	bursa	Bursa
a	a	a
northwestern	northwestern	northwestern
province	provinc	province
of	of	of
Turkey	turkey	Turkey
and	and	and
detained	detain	detained
39	39	39
people	peopl	people
including	includ	including
28	28	28
Syrian	syrian	Syrian
nationals	nation	national
and	and	and
two	two	two
Azerbaijani	azerbaijani	Azerbaijani
nationals	nation	national
on	on	on
Sunday	sunday	Sunday
Anadolu	anadolu	Anadolu
said	said	said
Eight	eight	Eight
of	of	of
the	the	the
detained	detain	detained
suspects	suspect	suspect
were	were	were
minors	minor	minor
it	it	it
said	said	said
On	on	On
Sunday	sunday	Sunday
morning	morn	morning
police	polic	police
detained	detain	detained
22	22	22
people	peopl	people
in	in	in
the	the	the
northeastern	northeastern	northeastern
province	provinc	province
of	of	of
Erzurum	erzurum	Erzurum
as	as	a
part	part	part
of	of	of
an	an	an
investigation	investig	investigation
into	into	into
terrorist	terrorist	terrorist
organizations	organ	organization
The	the	The
detained	detain	detained
included	includ	included
suspected	suspect	suspected
senior	senior	senior
members	member	member
of	of	of
the	the	the
organizations	organ	organization
Anadolu	anadolu	Anadolu
said	said	said
Police	polic	Police
also	also	also
detained	detain	detained
33	33	33
suspects	suspect	suspect
in	in	in
five	five	five
other	other	other
cities	citi	city
including	includ	including
Istanbul	istanbul	Istanbul
and	and	and
Izmir	izmir	Izmir
as	as	a
part	part	part
of	of	of
anti	anti	anti
-terror	-terror	-terror
operations	oper	operation
over	over	over
the	the	the
weekend	weekend	weekend
Anadolu	anadolu	Anadolu
said	said	said
Police	polic	Police
confiscated	confisc	confiscated
several	sever	several
weapons	weapon	weapon
ammunition	ammunit	ammunition
digital	digit	digital
data	data	data
and	and	and
documents	document	document
during	dure	during
the	the	the
operations	oper	operation
it	it	it
said	said	said
