BANGKOK	bangkok	BANGKOK
Reuters	reuter	Reuters
-	-	-
The	the	The
European	european	European
Union	union	Union
will	will	will
resume	resum	resume
political	polit	political
contact	contact	contact
at	at	at
all	all	all
levels	level	level
with	with	with
Thailand	thailand	Thailand
,	,	,
its	it	it
foreign	foreign	foreign
affairs	affair	affair
council	council	council
said	said	said
on	on	on
Monday	monday	Monday
,	,	,
after	after	after
putting	put	putting
relations	relat	relation
on	on	on
hold	hold	hold
following	follow	following
a	a	a
2014	2014	2014
coup	coup	coup
by	by	by
the	the	the
Thai	thai	Thai
military	militari	military
.	.	.
The	the	The
move	move	move
comes	come	come
after	after	after
Thailand	thailand	Thailand
s	s	s
Prime	prime	Prime
Minister	minist	Minister
Prayuth	prayuth	Prayuth
Chan	chan	Chan
-ocha	-ocha	-ocha
announced	announc	announced
in	in	in
October	octob	October
that	that	that
a	a	a
general	general	general
election	elect	election
would	would	would
take	take	take
place	place	place
in	in	in
November	novemb	November
2018	2018	2018
-	-	-
the	the	the
most	most	most
precise	precis	precise
date	date	date
the	the	the
junta	junta	junta
has	has	ha
given	given	given
after	after	after
many	mani	many
delays	delay	delay
since	sinc	since
the	the	the
2014	2014	2014
coup	coup	coup
.	.	.
The	the	The
government	govern	government
,	,	,
however	howev	however
,	,	,
has	has	ha
yet	yet	yet
to	to	to
end	end	end
a	a	a
political	polit	political
ban	ban	ban
that	that	that
would	would	would
allow	allow	allow
political	polit	political
parties	parti	party
to	to	to
campaign	campaign	campaign
ahead	ahead	ahead
of	of	of
the	the	the
vote	vote	vote
.	.	.
The	the	The
EU	eu	EU
is	is	is
Thailand	thailand	Thailand
s	s	s
third	third	third
trade	trade	trade
partner	partner	partner
after	after	after
China	china	China
and	and	and
Japan	japan	Japan
.	.	.
Thailand	thailand	Thailand
is	is	is
the	the	the
EU	eu	EU
s	s	s
third	third	third
-largest	-largest	-largest
trading	trade	trading
partner	partner	partner
in	in	in
the	the	the
Association	associ	Association
of	of	of
Southeast	southeast	Southeast
Asian	asian	Asian
Nations	nation	Nations
ASEAN	asean	ASEAN
.	.	.
Thailand	thailand	Thailand
exported	export	exported
goods	good	good
worth	worth	worth
19	19	19
.	.	.
6	6	6
billion	billion	billion
23	23	23
.	.	.
11	11	11
billion	billion	billion
to	to	to
the	the	the
EU	eu	EU
in	in	in
2015	2015	2015
,	,	,
according	accord	according
to	to	to
the	the	the
European	european	European
Commission	commiss	Commission
.	.	.
The	the	The
Council	council	Council
decided	decid	decided
to	to	to
resume	resum	resume
political	polit	political
contacts	contact	contact
at	at	at
all	all	all
levels	level	level
with	with	with
Thailand	thailand	Thailand
in	in	in
order	order	order
to	to	to
facilitate	facilit	facilitate
meaningful	meaning	meaningful
dialogue	dialogu	dialogue
on	on	on
issues	issu	issue
of	of	of
mutual	mutual	mutual
importance	import	importance
,	,	,
including	includ	including
on	on	on
human	human	human
rights	right	right
and	and	and
fundamental	fundament	fundamental
freedoms	freedom	freedom
,	,	,
and	and	and
the	the	the
road	road	road
towards	toward	towards
democracy	democraci	democracy
,	,	,
the	the	the
EU	eu	EU
s	s	s
Foreign	foreign	Foreign
Affairs	affair	Affairs
Council	council	Council
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
In	in	In
June	june	June
2014	2014	2014
,	,	,
the	the	the
EU	eu	EU
said	said	said
it	it	it
would	would	would
keep	keep	keep
its	it	it
relations	relat	relation
with	with	with
Thailand	thailand	Thailand
under	under	under
review	review	review
and	and	and
put	put	put
on	on	on
hold	hold	hold
the	the	the
signing	sign	signing
of	of	of
a	a	a
Partnership	partnership	Partnership
and	and	and
Cooperation	cooper	Cooperation
Agreement	agreement	Agreement
PCA	pca	PCA
,	,	,
which	which	which
was	was	wa
aimed	aim	aimed
at	at	at
closer	closer	closer
economic	econom	economic
and	and	and
political	polit	political
ties	tie	tie
with	with	with
Thailand	thailand	Thailand
.	.	.
It	it	It
has	has	ha
expressed	express	expressed
concerns	concern	concern
over	over	over
freedom	freedom	freedom
of	of	of
expression	express	expression
in	in	in
the	the	the
country	countri	country
and	and	and
has	has	ha
called	call	called
for	for	for
a	a	a
swift	swift	swift
return	return	return
to	to	to
democracy	democraci	democracy
.	.	.
The	the	The
signing	sign	signing
of	of	of
PCA	pca	PCA
and	and	and
talks	talk	talk
on	on	on
EU	eu	EU
-Thailand	-thailand	-Thailand
Free	free	Free
Trade	trade	Trade
Agreement	agreement	Agreement
FTA	fta	FTA
could	could	could
resume	resum	resume
with	with	with
a	a	a
democratically	democrat	democratically
elected	elect	elected
civilian	civilian	civilian
government	govern	government
under	under	under
the	the	the
new	new	new
Constitution	constitut	Constitution
,	,	,
the	the	the
statement	statement	statement
said	said	said
.	.	.
The	the	The
United	unit	United
States	state	States
also	also	also
downgraded	downgrad	downgraded
ties	tie	tie
with	with	with
Thailand	thailand	Thailand
following	follow	following
the	the	the
coup	coup	coup
,	,	,
scaling	scale	scaling
back	back	back
joint	joint	joint
military	militari	military
exercises	exercis	exercise
,	,	,
among	among	among
other	other	other
things	thing	thing
.	.	.
According	accord	According
to	to	to
the	the	the
European	european	European
Commission	commiss	Commission
,	,	,
the	the	the
EU	eu	EU
exported	export	exported
goods	good	good
worth	worth	worth
13	13	13
.	.	.
4	4	4
billion	billion	billion
15	15	15
.	.	.
80	80	80
billion	billion	billion
to	to	to
Thailand	thailand	Thailand
in	in	in
2015	2015	2015
,	,	,
including	includ	including
machinery	machineri	machinery
and	and	and
transport	transport	transport
equipment	equip	equipment
.	.	.
1	1	1
0	0	0
.	.	.
8480	8480	8480
euros	euro	euro
