LOS	los	LOS
ANGELES	angel	ANGELES
Reuters	reuter	Reuters
-	-	-
Walt	walt	Walt
Disney	disney	Disney
Co	co	Co
DIS	dis	DIS
.	.	.
N	n	N
Chief	chief	Chief
Executive	execut	Executive
Bob	bob	Bob
Iger	iger	Iger
on	on	on
Wednesday	wednesday	Wednesday
defended	defend	defended
his	his	his
seat	seat	seat
on	on	on
President	presid	President
Trump	trump	Trump
s	s	s
business	busi	business
advisory	advisori	advisory
council	council	council
as	as	a
an	an	an
opportunity	opportun	opportunity
to	to	to
voice	voic	voice
opinions	opinion	opinion
that	that	that
will	will	will
benefit	benefit	benefit
the	the	the
company	compani	company
and	and	and
its	it	it
shareholders	sharehold	shareholder
.	.	.

Facing	face	Facing
questions	question	question
regarding	regard	regarding
his	his	his
inclusion	inclus	inclusion
on	on	on
the	the	the
council	council	council
at	at	at
the	the	the
Disney	disney	Disney
s	s	s
annual	annual	annual
shareholders	sharehold	shareholder
meeting	meet	meeting
,	,	,
the	the	the
chief	chief	chief
executive	execut	executive
said	said	said
he	he	he
had	had	had
no	no	no
plans	plan	plan
to	to	to
step	step	step
down	down	down
from	from	from
the	the	the
group	group	group
,	,	,
as	as	a
some	some	some
critics	critic	critic
have	have	have
urged	urg	urged
him	him	him
to	to	to
do	do	do
.	.	.

In	in	In
response	respons	response
to	to	to
one	one	one
question	question	question
,	,	,
Iger	iger	Iger
said	said	said
he	he	he
did	did	did
not	not	not
believe	believ	believe
his	his	his
membership	membership	membership
supports	support	support
or	or	or
endorses	endors	endorses
Trump	trump	Trump
s	s	s
policies	polici	policy
.	.	.

Another	anoth	Another
speaker	speaker	speaker
,	,	,
who	who	who
identified	identifi	identified
himself	himself	himself
as	as	a
a	a	a
member	member	member
of	of	of
the	the	the
Colorado	colorado	Colorado
People	peopl	People
s	s	s
Alliance	allianc	Alliance
,	,	,
said	said	said
Iger	iger	Iger
s	s	s
decision	decis	decision
to	to	to
remain	remain	remain
on	on	on
the	the	the
council	council	council
suggests	suggest	suggests
Disney	disney	Disney
is	is	is
tacitly	tacit	tacitly
endorsing	endors	endorsing
Trump	trump	Trump
s	s	s
agenda	agenda	agenda
.	.	.
Iger	iger	Iger
,	,	,
however	howev	however
,	,	,
referenced	referenc	referenced
a	a	a
song	song	song
from	from	from
the	the	the
Broadway	broadway	Broadway
musical	music	musical
Hamilton	hamilton	Hamilton
called	call	called
The	the	The
Room	room	Room
Where	where	Where
It	it	It
Happens	happen	Happens
,	,	,
saying	say	saying
it	it	it
was	was	wa
important	import	important
to	to	to
have	have	have
input	input	input
in	in	in
a	a	a
forum	forum	forum
where	where	where
policies	polici	policy
are	are	are
being	be	being
shaped	shape	shaped
.	.	.

I	i	I
think	think	think
there	there	there
is	is	is
an	an	an
opportunity	opportun	opportunity
,	,	,
when	when	when
you	you	you
are	are	are
in	in	in
the	the	the
room	room	room
where	where	where
it	it	it
happens	happen	happens
,	,	,
to	to	to
express	express	express
opinions	opinion	opinion
I	i	I
believe	believ	believe
would	would	would
be	be	be
in	in	in
the	the	the
best	best	best
interest	interest	interest
of	of	of
the	the	the
company	compani	company
and	and	and
its	it	it
shareholders	sharehold	shareholder
,	,	,
he	he	he
said	said	said
at	at	at
meeting	meet	meeting
held	held	held
in	in	in
Denver	denver	Denver
.	.	.

Iger	iger	Iger
said	said	said
he	he	he
would	would	would
at	at	at
times	time	time
express	express	express
views	view	view
