SHANGHAI	shanghai	SHANGHAI
Reuters	reuter	Reuters
-	-	-
It	it	It
is	is	is
strategically	strateg	strategically
important	import	important
for	for	for
China	china	China
s	s	s
economy	economi	economy
that	that	that
the	the	the
country	countri	country
enhances	enhanc	enhances
protection	protect	protection
of	of	of
intellectual	intellectu	intellectual
property	properti	property
rights	right	right
,	,	,
the	the	the
state	state	state
news	news	news
agency	agenc	agency
Xinhua	xinhua	Xinhua
quoted	quot	quoted
Premier	premier	Premier
Li	li	Li
Keqiang	keqiang	Keqiang
as	as	a
saying	say	saying
,	,	,
as	as	a
the	the	the
cabinet	cabinet	cabinet
promised	promis	promised
to	to	to
improve	improv	improve
regulations	regul	regulation
.	.	.
Inadequate	inadequ	Inadequate
protection	protect	protection
of	of	of
intellectual	intellectu	intellectual
property	properti	property
had	had	had
contributed	contribut	contributed
to	to	to
the	the	the
decline	declin	decline
in	in	in
private	privat	private
investment	invest	investment
,	,	,
he	he	he
added	ad	added
.	.	.
Companies	compani	Companies
and	and	and
foreign	foreign	foreign
business	busi	business
lobbies	lobbi	lobby
have	have	have
often	often	often
accused	accus	accused
China	china	China
of	of	of
doing	do	doing
too	too	too
little	littl	little
to	to	to
rein	rein	rein
in	in	in
risks	risk	risk
related	relat	related
to	to	to
intellectual	intellectu	intellectual
property	properti	property
rights	right	right
,	,	,
despite	despit	despite
having	have	having
anti	anti	anti
-piracy	-piraci	-piracy
laws	law	law
.	.	.
To	to	To
protect	protect	protect
these	these	these
rights	right	right
better	better	better
,	,	,
the	the	the
State	state	State
Council	council	Council
,	,	,
or	or	or
cabinet	cabinet	cabinet
,	,	,
said	said	said
the	the	the
government	govern	government
would	would	would
look	look	look
into	into	into
punitive	punit	punitive
fines	fine	fine
for	for	for
infringements	infring	infringement
.	.	.
The	the	The
cabinet	cabinet	cabinet
plans	plan	plan
to	to	to
increase	increas	increase
costs	cost	cost
for	for	for
those	those	those
caught	caught	caught
infringing	infring	infringing
on	on	on
intellectual	intellectu	intellectual
property	properti	property
rights	right	right
,	,	,
and	and	and
will	will	will
make	make	make
rights	right	right
protection	protect	protection
more	more	more
affordable	afford	affordable
,	,	,
Xinhua	xinhua	Xinhua
said	said	said
.	.	.
Private	privat	Private
businesses	busi	business
will	will	will
enjoy	enjoy	enjoy
equal	equal	equal
rights	right	right
similar	similar	similar
to	to	to
public	public	public
sector	sector	sector
companies	compani	company
,	,	,
it	it	it
quoted	quot	quoted
a	a	a
statement	statement	statement
following	follow	following
a	a	a
cabinet	cabinet	cabinet
meeting	meet	meeting
chaired	chair	chaired
by	by	by
Li	li	Li
as	as	a
saying	say	saying
.	.	.
Enhancing	enhanc	Enhancing
the	the	the
protection	protect	protection
of	of	of
intellectual	intellectu	intellectual
property	properti	property
rights	right	right
is	is	is
a	a	a
matter	matter	matter
of	of	of
overall	overal	overall
strategic	strateg	strategic
significance	signific	significance
,	,	,
and	and	and
it	it	it
is	is	is
vital	vital	vital
for	for	for
the	the	the
development	develop	development
of	of	of
the	the	the
socialist	socialist	socialist
market	market	market
economy	economi	economy
,	,	,
Li	li	Li
said	said	said
.	.	.
Deficiency	defici	Deficiency
in	in	in
property	properti	property
rights	right	right
protection	protect	protection
is	is	is
a	a	a
main	main	main
cause	caus	cause
for	for	for
the	the	the
slide	slide	slide
in	in	in
private	privat	private
investment	invest	investment
.	.	.
.	.	.
.	.	.
The	the	The
wider	wider	wider
opening	open	opening
up	up	up
of	of	of
the	the	the
country	countri	country
calls	call	call
for	for	for
enhancing	enhanc	enhancing
IPR	ipr	IPR
protection	protect	protection
.	.	.
The	the	The
cabinet	cabinet	cabinet
vowed	vow	vowed
to	to	to
clear	clear	clear
,	,	,
revise	revis	revise
or	or	or
abolish	abolish	abolish
regulations	regul	regulation
or	or	or
documents	document	document
that	that	that
were	were	were
contradictory	contradictori	contradictory
to	to	to
the	the	the
2007	2007	2007
Property	properti	Property
Rights	right	Rights
Law	law	Law
and	and	and
2016	2016	2016
guidelines	guidelin	guideline
on	on	on
improving	improv	improving
property	properti	property
rights	right	right
protection	protect	protection
.	.	.
Wayward	wayward	Wayward
and	and	and
arbitrary	arbitrari	arbitrary
law	law	law
enforcement	enforc	enforcement
would	would	would
be	be	be
strictly	strict	strictly
prevented	prevent	prevented
,	,	,
it	it	it
added	ad	added
.	.	.
IPR	ipr	IPR
law	law	law
enforcement	enforc	enforcement
will	will	will
be	be	be
channeled	channel	channeled
towards	toward	towards
cases	case	case
related	relat	related
to	to	to
the	the	the
internet	internet	internet
,	,	,
exports	export	export
and	and	and
imports	import	import
,	,	,
as	as	a
well	well	well
as	as	a
rural	rural	rural
and	and	and
urban	urban	urban
areas	area	area
,	,	,
where	where	where
counterfeiting	counterfeit	counterfeiting
is	is	is
rampant	rampant	rampant
.	.	.
