Reuters	reuter	Reuters
-	-	-
The	the	The
New	new	New
York	york	York
Power	power	Power
Authority	author	Authority
NYPA	nypa	NYPA
on	on	on
Friday	friday	Friday
sent	sent	sent
10	10	10
engineers	engin	engineer
,	,	,
planners	planner	planner
and	and	and
technical	technic	technical
supervisors	supervisor	supervisor
to	to	to
Puerto	puerto	Puerto
Rico	rico	Rico
to	to	to
help	help	help
with	with	with
the	the	the
assessment	assess	assessment
and	and	and
reconstruction	reconstruct	reconstruction
of	of	of
the	the	the
island	island	island
s	s	s
power	power	power
grid	grid	grid
,	,	,
which	which	which
was	was	wa
completely	complet	completely
shut	shut	shut
down	down	down
by	by	by
Hurricane	hurrican	Hurricane
Maria	maria	Maria
.	.	.

The	the	The
NYPA	nypa	NYPA
workers	worker	worker
were	were	were
part	part	part
of	of	of
a	a	a
group	group	group
that	that	that
traveled	travel	traveled
to	to	to
Puerto	puerto	Puerto
Rico	rico	Rico
with	with	with
New	new	New
York	york	York
Governor	governor	Governor
Andrew	andrew	Andrew
Cuomo	cuomo	Cuomo
on	on	on
the	the	the
first	first	first
flight	flight	flight
to	to	to
depart	depart	depart
for	for	for
Puerto	puerto	Puerto
Rico	rico	Rico
s	s	s
capital	capit	capital
San	san	San
Juan	juan	Juan
since	sinc	since
the	the	the
Category	categori	Category
4	4	4
hurricane	hurrican	hurricane
hit	hit	hit
the	the	the
island	island	island
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
according	accord	according
to	to	to
a	a	a
statement	statement	statement
from	from	from
the	the	the
governor	governor	governor
s	s	s
office	offic	office
.	.	.

We	we	We
have	have	have
assembled	assembl	assembled
top	top	top
emergency	emerg	emergency
response	respons	response
experts	expert	expert
to	to	to
support	support	support
Puerto	puerto	Puerto
Rico	rico	Rico
and	and	and
help	help	help
repair	repair	repair
its	it	it
devastated	devast	devastated
power	power	power
structure	structur	structure
,	,	,
and	and	and
we	we	we
are	are	are
providing	provid	providing
supplies	suppli	supply
and	and	and
any	ani	any
additional	addit	additional
assistance	assist	assistance
we	we	we
can	can	can
to	to	to
support	support	support
the	the	the
island	island	island
as	as	a
they	they	they
recover	recov	recover
from	from	from
this	this	this
unprecedented	unpreced	unprecedented
natural	natur	natural
disaster	disast	disaster
,	,	,
Cuomo	cuomo	Cuomo
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.

In	in	In
addition	addit	addition
to	to	to
the	the	the
10	10	10
NYPA	nypa	NYPA
specialists	specialist	specialist
and	and	and
translators	translat	translator
,	,	,
New	new	New
York	york	York
also	also	also
sent	sent	sent
drones	drone	drone
and	and	and
two	two	two
drone	drone	drone
pilots	pilot	pilot
from	from	from
the	the	the
Department	depart	Department
of	of	of
Environmental	environment	Environmental
Conservation	conserv	Conservation
to	to	to
assist	assist	assist
with	with	with
the	the	the
reconstruction	reconstruct	reconstruction
of	of	of
Puerto	puerto	Puerto
Rico	rico	Rico
s	s	s
power	power	power
grid	grid	grid
.	.	.

The	the	The
Puerto	puerto	Puerto
Rico	rico	Rico
Electric	electr	Electric
Power	power	Power
Authority	author	Authority
PREPA	prepa	PREPA
,	,	,
which	which	which
owns	own	owns
and	and	and
operates	oper	operates
the	the	the
power	power	power
system	system	system
serving	serv	serving
the	the	the
commonwealth	commonwealth	commonwealth
s	s	s
3	3	3
.	.	.
4	4	4
million	million	million
residents	resid	resident
,	,	,
filed	file	filed
for	for	for
bankruptcy	bankruptci	bankruptcy
in	in	in
July	juli	July
,	,	,
after	after	after
years	year	year
of	of	of
underinvestment	underinvest	underinvestment
that	that	that
yielded	yield	yielded
a	a	a
grid	grid	grid
it	it	it
called	call	called
degraded	degrad	degraded
and	and	and
unsafe	unsaf	unsafe
.	.	.

Puerto	puerto	Puerto
Rico	rico	Rico
Governor	governor	Governor
Ricardo	ricardo	Ricardo
Rossello	rossello	Rossello
has	has	ha
said	said	said
PREPA	prepa	PREPA
was	was	wa
so	so	so
severely	sever	severely
hit	hit	hit
that	that	that
it	it	it
could	could	could
be	be	be
months	month	month
before	befor	before
electricity	electr	electricity
is	is	is
restored	restor	restored
to	to	to
all	all	all
customers	custom	customer
.	.	.

The	the	The
NYPA	nypa	NYPA
workers	worker	worker
are	are	are
some	some	some
of	of	of
the	the	the
first	first	first
utility	util	utility
workers	worker	worker
to	to	to
go	go	go
to	to	to
Puerto	puerto	Puerto
Rico	rico	Rico
from	from	from
the	the	the
mainland	mainland	mainland
after	after	after
Maria	maria	Maria
.	.	.

The	the	The
American	american	American
Public	public	Public
Power	power	Power
Association	associ	Association
APPA	appa	APPA
,	,	,
which	which	which
is	is	is
helping	help	helping
coordinate	coordin	coordinate
the	the	the
utility	util	utility
response	respons	response
,	,	,
has	has	ha
said	said	said
it	it	it
was	was	wa
also	also	also
planning	plan	planning
to	to	to
bring	bring	bring
in	in	in
crews	crew	crew
from	from	from
other	other	other
parts	part	part
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
mainland	mainland	mainland
to	to	to
help	help	help
with	with	with
recovery	recoveri	recovery
efforts	effort	effort
on	on	on
both	both	both
Puerto	puerto	Puerto
Rico	rico	Rico
and	and	and
the	the	the
Virgin	virgin	Virgin
Islands	island	Islands
.	.	.

There	there	There
were	were	were
some	some	some
specialists	specialist	specialist
from	from	from
the	the	the
Western	western	Western
Area	area	Area
Power	power	Power
Authority	author	Authority
,	,	,
which	which	which
serves	serv	serf
much	much	much
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
West	west	West
from	from	from
Montana	montana	Montana
to	to	to
Texas	texa	Texas
and	and	and
California	california	California
,	,	,
already	alreadi	already
on	on	on
Puerto	puerto	Puerto
Rico	rico	Rico
when	when	when
Maria	maria	Maria
struck	struck	struck
the	the	the
island	island	island
.	.	.

The	the	The
Western	western	Western
Area	area	Area
workers	worker	worker
had	had	had
been	been	been
on	on	on
their	their	their
way	way	way
to	to	to
the	the	the
Virgin	virgin	Virgin
Islands	island	Islands
to	to	to
help	help	help
rebuild	rebuild	rebuild
and	and	and
restore	restor	restore
power	power	power
after	after	after
Hurricane	hurrican	Hurricane
Irma	irma	Irma
when	when	when
they	they	they
got	got	got
stuck	stuck	stuck
in	in	in
Puerto	puerto	Puerto
Rico	rico	Rico
.	.	.

Irma	irma	Irma
grazed	graze	grazed
Puerto	puerto	Puerto
Rico	rico	Rico
on	on	on
Sept	sept	Sept
.	.	.

6	6	6
,	,	,
knocking	knock	knocking
out	out	out
power	power	power
to	to	to
more	more	more
than	than	than
1	1	1
million	million	million
of	of	of
PREPA	prepa	PREPA
s	s	s
1	1	1
.	.	.
5	5	5
million	million	million
customers	custom	customer
.	.	.

PREPA	prepa	PREPA
said	said	said
it	it	it
restored	restor	restored
power	power	power
to	to	to
all	all	all
but	but	but
about	about	about
60	60	60
,	,	,
000	000	000
homes	home	home
and	and	and
businesses	busi	business
by	by	by
Tuesday	tuesday	Tuesday
before	befor	before
Maria	maria	Maria
hit	hit	hit
.	.	.

