BRASILIA	brasilia	BRASILIA
Reuters	reuter	Reuters
-	-	-
The	the	The
former	former	former
finance	financ	finance
minister	minist	minister
under	under	under
Brazil	brazil	Brazil
s	s	s
Luiz	luiz	Luiz
Inacio	inacio	Inacio
Lula	lula	Lula
da	da	da
Silva	silva	Silva
on	on	on
Wednesday	wednesday	Wednesday
accused	accus	accused
the	the	the
ex	ex	ex
-president	-presid	-president
of	of	of
receiving	receiv	receiving
bribes	bribe	bribe
from	from	from
contractor	contractor	contractor
Odebrecht	odebrecht	Odebrecht
ODBES	odb	ODBES
.	.	.
UL	ul	UL
,	,	,
adding	ad	adding
to	to	to
a	a	a
list	list	list
of	of	of
corruption	corrupt	corruption
accusations	accus	accusation
that	that	that
threaten	threaten	threaten
Lula	lula	Lula
s	s	s
ability	abil	ability
to	to	to
run	run	run
for	for	for
president	presid	president
in	in	in
2018	2018	2018
.	.	.
Lawyers	lawyer	Lawyers
for	for	for
the	the	the
former	former	former
finance	financ	finance
minister	minist	minister
,	,	,
Antonio	antonio	Antonio
Palocci	palocci	Palocci
,	,	,
said	said	said
he	he	he
told	told	told
prosecutors	prosecutor	prosecutor
that	that	that
Lula	lula	Lula
accepted	accept	accepted
Odebrecht	odebrecht	Odebrecht
s	s	s
purchase	purchas	purchase
of	of	of
land	land	land
for	for	for
an	an	an
institute	institut	institute
in	in	in
his	his	his
name	name	name
,	,	,
a	a	a
country	countri	country
house	hous	house
in	in	in
Sao	sao	Sao
Paulo	paulo	Paulo
state	state	state
and	and	and
300	300	300
million	million	million
reais	reai	reais
97	97	97
million	million	million
to	to	to
be	be	be
used	use	used
after	after	after
he	he	he
left	left	left
office	offic	office
.	.	.
A	a	A
representative	repres	representative
for	for	for
Lula	lula	Lula
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
Palocci	palocci	Palocci
,	,	,
who	who	who
was	was	wa
arrested	arrest	arrested
a	a	a
year	year	year
ago	ago	ago
in	in	in
a	a	a
corruption	corrupt	corruption
investigation	investig	investigation
,	,	,
was	was	wa
lying	lie	lying
and	and	and
making	make	making
accusations	accus	accusation
without	without	without
evidence	evid	evidence
to	to	to
secure	secur	secure
a	a	a
favorable	favor	favorable
deal	deal	deal
with	with	with
prosecutors	prosecutor	prosecutor
to	to	to
reduce	reduc	reduce
his	his	his
sentence	sentenc	sentence
.	.	.
Such	such	Such
testimony	testimoni	testimony
from	from	from
a	a	a
close	close	close
confidant	confid	confidant
could	could	could
be	be	be
damning	damn	damning
for	for	for
Lula	lula	Lula
,	,	,
who	who	who
intends	intend	intends
to	to	to
run	run	run
for	for	for
president	presid	president
again	again	again
next	next	next
year	year	year
if	if	if
he	he	he
can	can	can
successfully	success	successfully
appeal	appeal	appeal
a	a	a
conviction	convict	conviction
that	that	that
would	would	would
bar	bar	bar
him	him	him
from	from	from
standing	stand	standing
.	.	.
Lula	lula	Lula
faces	face	face
four	four	four
additional	addit	additional
trials	trial	trial
.	.	.
Separately	separ	Separately
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
Brazil	brazil	Brazil
s	s	s
top	top	top
prosecutor	prosecutor	prosecutor
,	,	,
Rodrigo	rodrigo	Rodrigo
Janot	janot	Janot
,	,	,
charged	charg	charged
Lula	lula	Lula
,	,	,
ex	ex	ex
-President	-presid	-President
Dilma	dilma	Dilma
Rousseff	rousseff	Rousseff
and	and	and
a	a	a
former	former	former
minister	minist	minister
with	with	with
obstruction	obstruct	obstruction
of	of	of
justice	justic	justice
related	relat	related
to	to	to
Lula	lula	Lula
s	s	s
nomination	nomin	nomination
as	as	a
Rousseff	rousseff	Rousseff
s	s	s
chief	chief	chief
of	of	of
staff	staff	staff
in	in	in
2016	2016	2016
.	.	.
The	the	The
nomination	nomin	nomination
,	,	,
later	later	later
struck	struck	struck
down	down	down
by	by	by
the	the	the
Supreme	suprem	Supreme
Court	court	Court
,	,	,
would	would	would
have	have	have
shielded	shield	shielded
Lula	lula	Lula
from	from	from
prosecution	prosecut	prosecution
by	by	by
lower	lower	lower
courts	court	court
.	.	.
It	it	It
was	was	wa
the	the	the
second	second	second
charge	charg	charge
from	from	from
Janot	janot	Janot
in	in	in
two	two	two
days	day	day
.	.	.
On	on	On
Tuesday	tuesday	Tuesday
he	he	he
accused	accus	accused
Lula	lula	Lula
,	,	,
Rousseff	rousseff	Rousseff
and	and	and
six	six	six
other	other	other
members	member	member
of	of	of
their	their	their
Workers	worker	Workers
Party	parti	Party
for	for	for
allegedly	alleg	allegedly
forming	form	forming
a	a	a
criminal	crimin	criminal
organization	organ	organization
to	to	to
carry	carri	carry
out	out	out
corruption	corrupt	corruption
and	and	and
other	other	other
crimes	crime	crime
involving	involv	involving
state	state	state
-controlled	-control	-controlled
oil	oil	oil
company	compani	company
Petrobras	petrobra	Petrobras
.	.	.
Lula	lula	Lula
and	and	and
Rousseff	rousseff	Rousseff
deny	deni	deny
the	the	the
charges	charg	charge
.	.	.
Palocci	palocci	Palocci
leveled	level	leveled
his	his	his
accusations	accus	accusation
in	in	in
two	two	two
hours	hour	hour
of	of	of
testimony	testimoni	testimony
on	on	on
Wednesday	wednesday	Wednesday
as	as	a
part	part	part
of	of	of
a	a	a
probe	probe	probe
into	into	into
allegations	alleg	allegation
that	that	that
Lula	lula	Lula
accepted	accept	accepted
the	the	the
land	land	land
for	for	for
the	the	the
institute	institut	institute
.	.	.
It	it	It
was	was	wa
a	a	a
blood	blood	blood
pact	pact	pact
and	and	and
a	a	a
package	packag	package
of	of	of
bribes	bribe	bribe
that	that	that
included	includ	included
payment	payment	payment
for	for	for
a	a	a
property	properti	property
,	,	,
an	an	an
estate	estat	estate
ranch	ranch	ranch
and	and	and
300	300	300
million	million	million
reais	reai	reais
that	that	that
gradually	gradual	gradually
were	were	were
made	made	made
available	avail	available
according	accord	according
to	to	to
a	a	a
spreadsheet	spreadsheet	spreadsheet
delivered	deliv	delivered
by	by	by
the	the	the
contractor	contractor	contractor
,	,	,
said	said	said
Adriano	adriano	Adriano
Bretas	breta	Bretas
,	,	,
one	one	one
of	of	of
Palocci	palocci	Palocci
s	s	s
lawyers	lawyer	lawyer
.	.	.
Tracy	traci	Tracy
Reinaldet	reinaldet	Reinaldet
,	,	,
another	anoth	another
of	of	of
Palocci	palocci	Palocci
s	s	s
lawyers	lawyer	lawyer
,	,	,
said	said	said
the	the	the
agreement	agreement	agreement
was	was	wa
made	made	made
during	dure	during
the	the	the
transition	transit	transition
from	from	from
Lula	lula	Lula
into	into	into
Rousseff	rousseff	Rousseff
s	s	s
first	first	first
term	term	term
.	.	.
Palocci	palocci	Palocci
also	also	also
served	serv	served
as	as	a
Rousseff	rousseff	Rousseff
s	s	s
chief	chief	chief
of	of	of
staff	staff	staff
initially	initi	initially
but	but	but
was	was	wa
forced	forc	forced
to	to	to
resign	resign	resign
due	due	due
to	to	to
corruption	corrupt	corruption
allegations	alleg	allegation
.	.	.
