PARIS	pari	PARIS
Reuters	reuter	Reuters
-	-	-
Lebanese	lebanes	Lebanese
Prime	prime	Prime
Minister	minist	Minister
Saad	saad	Saad
al	al	al
-Hariri	-hariri	-Hariri
said	said	said
on	on	on
Monday	monday	Monday
that	that	that
the	the	the
political	polit	political
and	and	and
militant	milit	militant
group	group	group
Hezbollah	hezbollah	Hezbollah
must	must	must
stop	stop	stop
interfering	interf	interfering
in	in	in
regional	region	regional
conflicts	conflict	conflict
and	and	and
accept	accept	accept
a	a	a
neutral	neutral	neutral
policy	polici	policy
to	to	to
bring	bring	bring
an	an	an
end	end	end
to	to	to
Lebanon	lebanon	Lebanon
s	s	s
political	polit	political
crisis	crisi	crisis
.	.	.

The	the	The
Iranian	iranian	Iranian
-backed	-back	-backed
Hezbollah	hezbollah	Hezbollah
,	,	,
which	which	which
forms	form	form
part	part	part
of	of	of
the	the	the
Lebanese	lebanes	Lebanese
government	govern	government
,	,	,
is	is	is
fighting	fight	fighting
alongside	alongsid	alongside
Syrian	syrian	Syrian
President	presid	President
Bashar	bashar	Bashar
al	al	al
-Assad	-assad	-Assad
in	in	in
Syria	syria	Syria
and	and	and
in	in	in
Iraq	iraq	Iraq
against	against	against
Islamic	islam	Islamic
State	state	State
militants	milit	militant
.	.	.

Gulf	gulf	Gulf
monarchies	monarchi	monarchy
have	have	have
accused	accus	accused
the	the	the
Shi	shi	Shi
ite	ite	ite
group	group	group
of	of	of
also	also	also
supporting	support	supporting
the	the	the
Houthi	houthi	Houthi
group	group	group
in	in	in
Yemen	yemen	Yemen
and	and	and
of	of	of
backing	back	backing
militants	milit	militant
in	in	in
Bahrain	bahrain	Bahrain
.	.	.

Hezbollah	hezbollah	Hezbollah
denies	deni	denies
any	ani	any
activity	activ	activity
in	in	in
Yemen	yemen	Yemen
or	or	or
Bahrain	bahrain	Bahrain
.	.	.

Hariri	hariri	Hariri
s	s	s
main	main	main
patron	patron	patron
is	is	is
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
Iran	iran	Iran
s	s	s
main	main	main
regional	region	regional
rival	rival	rival
,	,	,
which	which	which
has	has	ha
also	also	also
intervened	interven	intervened
in	in	in
regional	region	regional
conflicts	conflict	conflict
.	.	.

I	i	I
don	don	don
t	t	t
want	want	want
a	a	a
political	polit	political
party	parti	party
in	in	in
my	my	my
government	govern	government
that	that	that
interferes	interfer	interferes
in	in	in
Arab	arab	Arab
countries	countri	country
against	against	against
other	other	other
Arab	arab	Arab
countries	countri	country
,	,	,
Hariri	hariri	Hariri
said	said	said
in	in	in
an	an	an
interview	interview	interview
recorded	record	recorded
on	on	on
Monday	monday	Monday
with	with	with
French	french	French
broadcaster	broadcast	broadcaster
CNews	cnew	CNews
.	.	.

I	i	I
am	am	am
waiting	wait	waiting
for	for	for
the	the	the
neutrality	neutral	neutrality
which	which	which
we	we	we
agreed	agre	agreed
on	on	on
in	in	in
the	the	the
government	govern	government
,	,	,
he	he	he
said	said	said
.	.	.

One	one	One
can	can	can
t	t	t
say	say	say
one	one	one
thing	thing	thing
and	and	and
do	do	do
something	someth	something
else	els	else
.	.	.

Hariri	hariri	Hariri
shocked	shock	shocked
Lebanon	lebanon	Lebanon
on	on	on
Nov	nov	Nov
4	4	4
by	by	by
resigning	resign	resigning
from	from	from
his	his	his
post	post	post
in	in	in
a	a	a
statement	statement	statement
from	from	from
Saudi	saudi	Saudi
Arabia	arabia	Arabia
.	.	.

His	his	His
resignation	resign	resignation
,	,	,
however	howev	however
,	,	,
has	has	ha
not	not	not
yet	yet	yet
been	been	been
accepted	accept	accepted
.	.	.

President	presid	President
Michel	michel	Michel
Aoun	aoun	Aoun
held	held	held
talks	talk	talk
on	on	on
Monday	monday	Monday
with	with	with
other	other	other
Lebanese	lebanes	Lebanese
political	polit	political
leaders	leader	leader
over	over	over
the	the	the
future	futur	future
of	of	of
Hariri	hariri	Hariri
s	s	s
government	govern	government
but	but	but
gave	gave	gave
no	no	no
sign	sign	sign
whether	whether	whether
they	they	they
discussed	discuss	discussed
Hariri	hariri	Hariri
s	s	s
demand	demand	demand
that	that	that
the	the	the
country	countri	country
steer	steer	steer
clear	clear	clear
of	of	of
regional	region	regional
turmoil	turmoil	turmoil
.	.	.

Lebanon	lebanon	Lebanon
cannot	cannot	cannot
resolve	resolv	resolve
a	a	a
question	question	question
like	like	like
Hezbollah	hezbollah	Hezbollah
which	which	which
is	is	is
in	in	in
Syria	syria	Syria
,	,	,
Iraq	iraq	Iraq
,	,	,
everywhere	everywher	everywhere
because	becaus	because
of	of	of
Iran	iran	Iran
.	.	.

It	it	It
is	is	is
a	a	a
regional	region	regional
political	polit	political
solution	solut	solution
that	that	that
needs	need	need
to	to	to
be	be	be
done	done	done
,	,	,
Hariri	hariri	Hariri
said	said	said
.	.	.

The	the	The
interference	interfer	interference
of	of	of
Iran	iran	Iran
affects	affect	affect
us	us	u
all	all	all
.	.	.

If	if	If
we	we	we
want	want	want
a	a	a
policy	polici	policy
that	that	that
is	is	is
good	good	good
for	for	for
the	the	the
region	region	region
we	we	we
shouldn	shouldn	shouldn
t	t	t
be	be	be
interfering	interf	interfering
.	.	.

He	he	He
said	said	said
he	he	he
was	was	wa
ready	readi	ready
to	to	to
stay	stay	stay
on	on	on
as	as	a
prime	prime	prime
minister	minist	minister
if	if	if
Hezbollah	hezbollah	Hezbollah
accepted	accept	accepted
to	to	to
stick	stick	stick
by	by	by
the	the	the
state	state	state
policy	polici	policy
of	of	of
staying	stay	staying
out	out	out
of	of	of
regional	region	regional
conflicts	conflict	conflict
.	.	.

However	howev	However
,	,	,
he	he	he
said	said	said
he	he	he
would	would	would
resign	resign	resign
if	if	if
Hezbollah	hezbollah	Hezbollah
did	did	did
not	not	not
keep	keep	keep
to	to	to
that	that	that
,	,	,
although	although	although
consultations	consult	consultation
so	so	so
far	far	far
had	had	had
been	been	been
positive	posit	positive
.	.	.

I	i	I
think	think	think
in	in	in
the	the	the
interest	interest	interest
of	of	of
Lebanon	lebanon	Lebanon
,	,	,
Hezbollah	hezbollah	Hezbollah
is	is	is
carrying	carri	carrying
out	out	out
a	a	a
positive	posit	positive
dialogue	dialogu	dialogue
.	.	.

They	they	They
know	know	know
we	we	we
have	have	have
to	to	to
remain	remain	remain
neutral	neutral	neutral
in	in	in
the	the	the
region	region	region
.	.	.

He	he	He
said	said	said
that	that	that
if	if	if
this	this	this
week	week	week
s	s	s
consultations	consult	consultation
ended	end	ended
positively	posit	positively
he	he	he
would	would	would
possibly	possibl	possibly
modify	modifi	modify
the	the	the
make	make	make
-up	-up	-up
of	of	of
the	the	the
government	govern	government
and	and	and
added	ad	added
that	that	that
he	he	he
was	was	wa
open	open	open
to	to	to
elections	elect	election
before	befor	before
next	next	next
year	year	year
.	.	.

