BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
Six	six	Six
crew	crew	crew
from	from	from
a	a	a
German	german	German
container	contain	container
vessel	vessel	vessel
have	have	have
been	been	been
kidnapped	kidnap	kidnapped
in	in	in
Nigerian	nigerian	Nigerian
waters	water	water
,	,	,
a	a	a
shipping	ship	shipping
company	compani	company
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
Four	four	Four
of	of	of
those	those	those
taken	taken	taken
are	are	are
Filipino	filipino	Filipino
,	,	,
and	and	and
one	one	one
is	is	is
a	a	a
Ukrainian	ukrainian	Ukrainian
national	nation	national
,	,	,
according	accord	according
to	to	to
the	the	the
Philippines	philippin	Philippines
department	depart	department
of	of	of
labor	labor	labor
and	and	and
Ukrainian	ukrainian	Ukrainian
foreign	foreign	foreign
ministry	ministri	ministry
.	.	.
Kidnapping	kidnap	Kidnapping
for	for	for
ransom	ransom	ransom
is	is	is
a	a	a
common	common	common
problem	problem	problem
in	in	in
parts	part	part
of	of	of
Nigeria	nigeria	Nigeria
.	.	.
A	a	A
number	number	number
of	of	of
foreigners	foreign	foreigner
have	have	have
,	,	,
in	in	in
the	the	the
last	last	last
few	few	few
years	year	year
,	,	,
been	been	been
kidnapped	kidnap	kidnapped
in	in	in
the	the	the
Niger	niger	Niger
Delta	delta	Delta
,	,	,
source	sourc	source
of	of	of
most	most	most
of	of	of
the	the	the
crude	crude	crude
oil	oil	oil
which	which	which
is	is	is
Nigeria	nigeria	Nigeria
s	s	s
economic	econom	economic
mainstay	mainstay	mainstay
.	.	.
The	the	The
vessel	vessel	vessel
was	was	wa
attacked	attack	attacked
by	by	by
pirates	pirat	pirate
on	on	on
early	earli	early
Saturday	saturday	Saturday
morning	morn	morning
when	when	when
it	it	it
was	was	wa
approaching	approach	approaching
one	one	one
of	of	of
the	the	the
ports	port	port
of	of	of
Nigeria	nigeria	Nigeria
,	,	,
said	said	said
a	a	a
spokesman	spokesman	spokesman
for	for	for
Peter	peter	Peter
Doehle	doehl	Doehle
Schiffahrts	schiffahrt	Schiffahrts
KG	kg	KG
.	.	.
Six	six	Six
of	of	of
the	the	the
crew	crew	crew
were	were	were
taken	taken	taken
off	off	off
the	the	the
ship	ship	ship
and	and	and
they	they	they
are	are	are
now	now	now
held	held	held
by	by	by
kidnappers	kidnapp	kidnapper
in	in	in
Nigeria	nigeria	Nigeria
,	,	,
he	he	he
said	said	said
.	.	.
There	there	There
were	were	were
no	no	no
German	german	German
nationals	nation	national
among	among	among
the	the	the
kidnapped	kidnap	kidnapped
but	but	but
the	the	the
spokesman	spokesman	spokesman
declined	declin	declined
to	to	to
say	say	say
where	where	where
those	those	those
abducted	abduct	abducted
were	were	were
from	from	from
.	.	.
Those	those	Those
kidnapped	kidnap	kidnapped
comprise	compris	comprise
four	four	four
Filipinos	filipino	Filipinos
,	,	,
one	one	one
Ukrainian	ukrainian	Ukrainian
and	and	and
one	one	one
Hungarian	hungarian	Hungarian
,	,	,
officials	offici	official
from	from	from
the	the	the
countries	countri	country
involved	involv	involved
told	told	told
Reuters	reuter	Reuters
.	.	.
At	at	At
the	the	the
time	time	time
of	of	of
the	the	the
statement	statement	statement
there	there	there
was	was	wa
no	no	no
official	offici	official
contact	contact	contact
with	with	with
the	the	the
kidnappers	kidnapp	kidnapper
and	and	and
the	the	the
vessel	vessel	vessel
had	had	had
moved	move	moved
away	away	away
from	from	from
Nigerian	nigerian	Nigerian
waters	water	water
with	with	with
the	the	the
12	12	12
remaining	remain	remaining
crew	crew	crew
safe	safe	safe
,	,	,
the	the	the
spokesman	spokesman	spokesman
said	said	said
.	.	.
The	the	The
top	top	top
priority	prioriti	priority
is	is	is
to	to	to
try	tri	try
and	and	and
establish	establish	establish
contact	contact	contact
with	with	with
the	the	the
kidnappers	kidnapp	kidnapper
and	and	and
try	tri	try
to	to	to
have	have	have
a	a	a
quick	quick	quick
and	and	and
safe	safe	safe
release	releas	release
of	of	of
our	our	our
seafarers	seafar	seafarer
,	,	,
he	he	he
said	said	said
.	.	.
Germany	germani	Germany
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
an	an	an
email	email	email
seeking	seek	seeking
comment	comment	comment
.	.	.
Four	four	Four
of	of	of
the	the	the
six	six	six
abducted	abduct	abducted
crew	crew	crew
members	member	member
are	are	are
Filipinos	filipino	Filipinos
,	,	,
the	the	the
Philippines	philippin	Philippines
labor	labor	labor
secretary	secretari	secretary
told	told	told
Reuters	reuter	Reuters
.	.	.
An	an	An
official	offici	official
at	at	at
Ukraine	ukrain	Ukraine
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
preliminary	preliminari	preliminary
information	inform	information
indicated	indic	indicated
a	a	a
Ukrainian	ukrainian	Ukrainian
citizen	citizen	citizen
was	was	wa
among	among	among
those	those	those
kidnapped	kidnap	kidnapped
.	.	.
He	he	He
gave	gave	gave
no	no	no
further	further	further
details	detail	detail
.	.	.
One	one	One
Hungarian	hungarian	Hungarian
national	nation	national
was	was	wa
also	also	also
taken	taken	taken
,	,	,
a	a	a
person	person	person
familiar	familiar	familiar
with	with	with
the	the	the
matter	matter	matter
told	told	told
Reuters	reuter	Reuters
,	,	,
speaking	speak	speaking
on	on	on
condition	condit	condition
of	of	of
anonymity	anonym	anonymity
because	becaus	because
of	of	of
the	the	the
sensitivity	sensit	sensitivity
of	of	of
the	the	the
rescue	rescu	rescue
operations	oper	operation
.	.	.
The	the	The
Hungarian	hungarian	Hungarian
foreign	foreign	foreign
ministry	ministri	ministry
did	did	did
not	not	not
immediately	immedi	immediately
respond	respond	respond
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
.	.	.
