SAN	san	SAN
JUAN	juan	JUAN
Reuters	reuter	Reuters
-	-	-
Puerto	puerto	Puerto
Rico	rico	Rico
s	s	s
semi	semi	semi
-public	-public	-public
power	power	power
utility	util	utility
,	,	,
known	known	known
as	as	a
PREPA	prepa	PREPA
,	,	,
on	on	on
Thursday	thursday	Thursday
said	said	said
it	it	it
would	would	would
make	make	make
all	all	all
of	of	of
a	a	a
415	415	415
million	million	million
debt	debt	debt
payment	payment	payment
due	due	due
on	on	on
Friday	friday	Friday
,	,	,
a	a	a
relief	relief	relief
for	for	for
bond	bond	bond
insurers	insur	insurer
who	who	who
might	might	might
have	have	have
been	been	been
on	on	on
the	the	the
hook	hook	hook
in	in	in
the	the	the
event	event	event
of	of	of
default	default	default
.	.	.
PREPA	prepa	PREPA
,	,	,
which	which	which
had	had	had
been	been	been
on	on	on
the	the	the
brink	brink	brink
of	of	of
collapse	collaps	collapse
under	under	under
8	8	8
.	.	.
3	3	3
billion	billion	billion
in	in	in
debt	debt	debt
,	,	,
last	last	last
year	year	year
reached	reach	reached
an	an	an
exchange	exchang	exchange
deal	deal	deal
with	with	with
most	most	most
of	of	of
its	it	it
creditors	creditor	creditor
,	,	,
which	which	which
is	is	is
being	be	being
finalized	final	finalized
.	.	.
On	on	On
Thursday	thursday	Thursday
,	,	,
the	the	the
utility	util	utility
said	said	said
it	it	it
would	would	would
make	make	make
its	it	it
415	415	415
million	million	million
payment	payment	payment
using	use	using
operational	oper	operational
funds	fund	fund
and	and	and
proceeds	proceed	proceeds
from	from	from
the	the	the
new	new	new
bond	bond	bond
sales	sale	sale
.	.	.
Today	today	Today
s	s	s
outcome	outcom	outcome
is	is	is
another	anoth	another
step	step	step
toward	toward	toward
PREPA	prepa	PREPA
s	s	s
transformation	transform	transformation
,	,	,
Lisa	lisa	Lisa
Donahue	donahu	Donahue
,	,	,
the	the	the
utility	util	utility
s	s	s
chief	chief	chief
restructuring	restructur	restructuring
officer	offic	officer
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
The	the	The
payment	payment	payment
is	is	is
not	not	not
a	a	a
shock	shock	shock
because	becaus	because
PREPA	prepa	PREPA
and	and	and
its	it	it
creditors	creditor	creditor
have	have	have
had	had	had
the	the	the
framework	framework	framework
of	of	of
a	a	a
restructuring	restructur	restructuring
deal	deal	deal
in	in	in
place	place	place
since	sinc	since
December	decemb	December
.	.	.
But	but	But
debt	debt	debt
payments	payment	payment
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
territory	territori	territory
are	are	are
being	be	being
watched	watch	watched
closely	close	closely
as	as	a
the	the	the
island	island	island
is	is	is
expected	expect	expected
to	to	to
default	default	default
on	on	on
pieces	piec	piece
of	of	of
1	1	1
.	.	.
9	9	9
billion	billion	billion
owed	owe	owed
on	on	on
Friday	friday	Friday
,	,	,
and	and	and
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
prepares	prepar	prepares
to	to	to
sign	sign	sign
a	a	a
bill	bill	bill
putting	put	putting
the	the	the
island	island	island
s	s	s
finances	financ	finance
under	under	under
federal	feder	federal
oversight	oversight	oversight
.	.	.
Puerto	puerto	Puerto
Rico	rico	Rico
faces	face	face
70	70	70
billion	billion	billion
in	in	in
total	total	total
debt	debt	debt
,	,	,
a	a	a
stalled	stall	stalled
economy	economi	economy
,	,	,
and	and	and
high	high	high
poverty	poverti	poverty
and	and	and
unemployment	unemploy	unemployment
.	.	.
The	the	The
1	1	1
.	.	.
9	9	9
billion	billion	billion
due	due	due
on	on	on
Friday	friday	Friday
-	-	-
of	of	of
which	which	which
PREPA	prepa	PREPA
s	s	s
payment	payment	payment
was	was	wa
a	a	a
portion	portion	portion
-	-	-
includes	includ	includes
nearly	near	nearly
800	800	800
million	million	million
in	in	in
general	general	general
obligation	oblig	obligation
GO	go	GO
debt	debt	debt
,	,	,
the	the	the
island	island	island
s	s	s
highest	highest	highest
-ranking	-rank	-ranking
debt	debt	debt
protected	protect	protected
by	by	by
a	a	a
constitutional	constitut	constitutional
pledge	pledg	pledge
.	.	.
It	it	It
was	was	wa
unclear	unclear	unclear
on	on	on
Thursday	thursday	Thursday
whether	whether	whether
Puerto	puerto	Puerto
Rico	rico	Rico
would	would	would
make	make	make
that	that	that
payment	payment	payment
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
night	night	night
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
passed	pass	passed
