This	this	This
version	version	version
of	of	of
the	the	the
Dec	dec	Dec
6	6	6
story	stori	story
corrects	correct	corrects
paragraph	paragraph	paragraph
3	3	3
and	and	and
adds	add	add
new	new	new
paragraph	paragraph	paragraph
4	4	4
to	to	to
clarify	clarifi	clarify
the	the	the
nature	natur	nature
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
By	by	By
Patricia	patricia	Patricia
Zengerle	zengerl	Zengerle
WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Erik	erik	Erik
Prince	princ	Prince
,	,	,
founder	founder	founder
of	of	of
military	militari	military
contractor	contractor	contractor
Blackwater	blackwat	Blackwater
and	and	and
a	a	a
supporter	support	supporter
of	of	of
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
,	,	,
told	told	told
U	u	U
.	.	.
S	s	S
.	.	.
lawmakers	lawmak	lawmaker
he	he	he
had	had	had
discussed	discuss	discussed
U	u	U
.	.	.
S	s	S
.	.	.
-Russia	-russia	-Russia
relations	relat	relation
during	dure	during
a	a	a
meeting	meet	meeting
in	in	in
the	the	the
Seychelles	seychell	Seychelles
with	with	with
a	a	a
Russian	russian	Russian
business	busi	business
executive	execut	executive
with	with	with
ties	tie	tie
to	to	to
the	the	the
Kremlin	kremlin	Kremlin
,	,	,
but	but	but
insisted	insist	insisted
they	they	they
did	did	did
not	not	not
discuss	discuss	discus
sanctions	sanction	sanction
.	.	.
In	in	In
a	a	a
transcript	transcript	transcript
released	releas	released
on	on	on
Wednesday	wednesday	Wednesday
of	of	of
Prince	princ	Prince
s	s	s
testimony	testimoni	testimony
last	last	last
week	week	week
to	to	to
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
Intelligence	intellig	Intelligence
Committee	committe	Committee
,	,	,
Prince	princ	Prince
said	said	said
he	he	he
and	and	and
Kirill	kiril	Kirill
Dmitriev	dmitriev	Dmitriev
,	,	,
chief	chief	chief
executive	execut	executive
of	of	of
the	the	the
Russian	russian	Russian
Direct	direct	Direct
Investment	invest	Investment
Fund	fund	Fund
,	,	,
or	or	or
RDIF	rdif	RDIF
,	,	,
met	met	met
for	for	for
about	about	about
half	half	half
an	an	an
hour	hour	hour
in	in	in
a	a	a
bar	bar	bar
at	at	at
the	the	the
suggestion	suggest	suggestion
of	of	of
officials	offici	official
from	from	from
the	the	the
United	unit	United
Arab	arab	Arab
Emirates	emir	Emirates
.	.	.
The	the	The
RDIF	rdif	RDIF
was	was	wa
put	put	put
on	on	on
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
sanctions	sanction	sanction
list	list	list
in	in	in
2015	2015	2015
because	becaus	because
at	at	at
the	the	the
time	time	time
it	it	it
was	was	wa
a	a	a
subsidiary	subsidiari	subsidiary
of	of	of
VEB	veb	VEB
,	,	,
the	the	the
Russian	russian	Russian
state	state	state
development	develop	development
bank	bank	bank
.	.	.
While	while	While
it	it	it
no	no	no
is	is	is
longer	longer	longer
owned	own	owned
by	by	by
the	the	the
bank	bank	bank
,	,	,
it	it	it
remains	remain	remains
subject	subject	subject
to	to	to
limited	limit	limited
sanctions	sanction	sanction
.	.	.
Americans	american	Americans
are	are	are
prohibited	prohibit	prohibited
from	from	from
providing	provid	providing
extended	extend	extended
debt	debt	debt
and	and	and
equity	equiti	equity
financing	financ	financing
to	to	to
sanctioned	sanction	sanctioned
entities	entiti	entity
and	and	and
their	their	their
subsidiaries	subsidiari	subsidiary
,	,	,
such	such	such
as	as	a
RDIF	rdif	RDIF
.	.	.
However	howev	However
,	,	,
the	the	the
fund	fund	fund
does	doe	doe
not	not	not
raise	rais	raise
debt	debt	debt
or	or	or
equity	equiti	equity
financing	financ	financing
from	from	from
third	third	third
parties	parti	party
,	,	,
according	accord	according
