MANILA	manila	MANILA
Reuters	reuter	Reuters
-	-	-
Philippine	philippin	Philippine
President	presid	President
Rodrigo	rodrigo	Rodrigo
Duterte	dutert	Duterte
has	has	ha
not	not	not
lifted	lift	lifted
a	a	a
ban	ban	ban
on	on	on
open	open	open
pit	pit	pit
mining	mine	mining
,	,	,
his	his	his
spokesman	spokesman	spokesman
said	said	said
on	on	on
Monday	monday	Monday
,	,	,
going	go	going
against	against	against
the	the	the
stance	stanc	stance
of	of	of
a	a	a
government	govern	government
panel	panel	panel
and	and	and
the	the	the
environment	environ	environment
minister	minist	minister
who	who	who
are	are	are
seeking	seek	seeking
to	to	to
reverse	revers	reverse
the	the	the
policy	polici	policy
.	.	.
Open	open	Open
pit	pit	pit
mining	mine	mining
is	is	is
allowed	allow	allowed
under	under	under
the	the	the
laws	law	law
of	of	of
the	the	the
Southeast	southeast	Southeast
Asian	asian	Asian
country	countri	country
,	,	,
the	the	the
world	world	world
s	s	s
top	top	top
nickel	nickel	nickel
ore	ore	ore
exporter	export	exporter
.	.	.
But	but	But
,	,	,
the	the	the
former	former	former
environment	environ	environment
minister	minist	minister
Regina	regina	Regina
Lopez	lopez	Lopez
banned	ban	banned
it	it	it
during	dure	during
her	her	her
10	10	10
months	month	month
in	in	in
office	offic	office
,	,	,
saying	say	saying
the	the	the
environmental	environment	environmental
degradation	degrad	degradation
ruined	ruin	ruined
the	the	the
economic	econom	economic
potential	potenti	potential
of	of	of
places	place	place
where	where	where
it	it	it
was	was	wa
done	done	done
.	.	.
The	the	The
Mining	mine	Mining
Industry	industri	Industry
Coordinating	coordin	Coordinating
Council	council	Council
MICC	micc	MICC
,	,	,
an	an	an
inter	inter	inter
-agency	-agenc	-agency
panel	panel	panel
that	that	that
makes	make	make
recommendations	recommend	recommendation
on	on	on
mining	mine	mining
policy	polici	policy
,	,	,
last	last	last
month	month	month
asked	ask	asked
the	the	the
Department	depart	Department
of	of	of
Environment	environ	Environment
and	and	and
Natural	natur	Natural
Resources	resourc	Resources
to	to	to
lift	lift	lift
the	the	the
ban	ban	ban
.	.	.
Roy	roy	Roy
Cimatu	cimatu	Cimatu
,	,	,
the	the	the
new	new	new
Environment	environ	Environment
and	and	and
Natural	natur	Natural
Resources	resourc	Resources
Secretary	secretari	Secretary
,	,	,
supports	support	support
removing	remov	removing
the	the	the
ban	ban	ban
.	.	.
Cimatu	cimatu	Cimatu
replaced	replac	replaced
Lopez	lopez	Lopez
when	when	when
she	she	she
stepped	step	stepped
down	down	down
in	in	in
May	may	May
after	after	after
the	the	the
Philippine	philippin	Philippine
Congress	congress	Congress
voted	vote	voted
not	not	not
to	to	to
confirm	confirm	confirm
her	her	her
.	.	.
I	i	I
assure	assur	assure
you	you	you
that	that	that
this	this	this
is	is	is
one	one	one
of	of	of
the	the	the
instances	instanc	instance
when	when	when
I	i	I
personally	person	personally
asked	ask	asked
the	the	the
President	presid	President
if	if	if
there	there	there
s	s	s
been	been	been
a	a	a
change	chang	change
in	in	in
policy	polici	policy
.	.	.
And	and	And
he	he	he
says	say	say
that	that	that
s	s	s
there	there	there
s	s	s
still	still	still
no	no	no
new	new	new
policy	polici	policy
on	on	on
this	this	this
,	,	,
there	there	there
s	s	s
still	still	still
a	a	a
ban	ban	ban
on	on	on
new	new	new
open	open	open
pit	pit	pit
mining	mine	mining
,	,	,
Harry	harri	Harry
Roque	roqu	Roque
,	,	,
Duterte	dutert	Duterte
s	s	s
spokesman	spokesman	spokesman
,	,	,
told	told	told
a	a	a
media	media	medium
briefing	brief	briefing
.	.	.
Roque	roqu	Roque
said	said	said
he	he	he
was	was	wa
unsure	unsur	unsure
whether	whether	whether
the	the	the
MICC	micc	MICC
recommendation	recommend	recommendation
has	has	ha
reached	reach	reached
Duterte	dutert	Duterte
.	.	.
The	the	The
MICC	micc	MICC
is	is	is
co	co	co
-chaired	-chair	-chaired
by	by	by
Cimatu	cimatu	Cimatu
and	and	and
Finance	financ	Finance
Secretary	secretari	Secretary
Carlos	carlo	Carlos
Dominguez	dominguez	Dominguez
.	.	.
Calls	call	Calls
and	and	and
messages	messag	message
to	to	to
Cimatu	cimatu	Cimatu
seeking	seek	seeking
comment	comment	comment
were	were	were
not	not	not
immediately	immedi	immediately
returned	return	returned
.	.	.
But	but	But
Finance	financ	Finance
Undersecretary	undersecretari	Undersecretary
Bayani	bayani	Bayani
Agabin	agabin	Agabin
,	,	,
who	who	who
is	is	is
an	an	an
alternate	altern	alternate
for	for	for
Dominguez	dominguez	Dominguez
on	on	on
the	the	the
MICC	micc	MICC
,	,	,
said	said	said
the	the	the
policy	polici	policy
on	on	on
open	open	open
pit	pit	pit
mining	mine	mining
is	is	is
under	under	under
Duterte	dutert	Duterte
s	s	s
authority	author	authority
.	.	.
The	the	The
President	presid	President
has	has	ha
the	the	the
final	final	final
say	say	say
on	on	on
the	the	the
matter	matter	matter
,	,	,
Agabin	agabin	Agabin
told	told	told
Reuters	reuter	Reuters
in	in	in
a	a	a
text	text	text
message	messag	message
.	.	.
The	the	The
ban	ban	ban
would	would	would
only	onli	only
affect	affect	affect
new	new	new
projects	project	project
.	.	.
Lifting	lift	Lifting
the	the	the
ban	ban	ban
could	could	could
open	open	open
the	the	the
door	door	door
for	for	for
some	some	some
big	big	big
-ticket	-ticket	-ticket
ventures	ventur	venture
including	includ	including
the	the	the
5	5	5
.	.	.
9	9	9
billion	billion	billion
Tampakan	tampakan	Tampakan
copper	copper	copper
and	and	and
gold	gold	gold
mine	mine	mine
.	.	.
The	the	The
Tampakan	tampakan	Tampakan
project	project	project
in	in	in
South	south	South
Cotabato	cotabato	Cotabato
province	provinc	province
on	on	on
the	the	the
island	island	island
of	of	of
Mindanao	mindanao	Mindanao
is	is	is
the	the	the
nation	nation	nation
s	s	s
biggest	biggest	biggest
stalled	stall	stalled
mining	mine	mining
venture	ventur	venture
.	.	.
Operator	oper	Operator
Glencore	glencor	Glencore
Plc	plc	Plc
to	to	to
quit	quit	quit
the	the	the
project	project	project
in	in	in
2015	2015	2015
but	but	but
development	develop	development
was	was	wa
first	first	first
halted	halt	halted
after	after	after
South	south	South
Cotabato	cotabato	Cotabato
banned	ban	banned
open	open	open
-pit	-pit	-pit
mining	mine	mining
in	in	in
2010	2010	2010
.	.	.
Lopez	lopez	Lopez
has	has	ha
said	said	said
the	the	the
project	project	project
would	would	would
cover	cover	cover
an	an	an
area	area	area
the	the	the
size	size	size
of	of	of
700	700	700
soccer	soccer	soccer
fields	field	field
in	in	in
what	what	what
otherwise	otherwis	otherwise
would	would	would
be	be	be
agricultural	agricultur	agricultural
land	land	land
.	.	.
Duterte	dutert	Duterte
said	said	said
in	in	in
September	septemb	September
he	he	he
agreed	agre	agreed
with	with	with
the	the	the
open	open	open
-pit	-pit	-pit
mining	mine	mining
ban	ban	ban
given	given	given
the	the	the
environmental	environment	environmental
damage	damag	damage
it	it	it
causes	caus	cause
,	,	,
but	but	but
would	would	would
give	give	give
mining	mine	mining
firms	firm	firm
time	time	time
to	to	to
find	find	find
other	other	other
ways	way	way
to	to	to
extract	extract	extract
minerals	miner	mineral
.	.	.
