BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
China	china	China
s	s	s
air	air	air
force	forc	force
carried	carri	carried
out	out	out
another	anoth	another
round	round	round
of	of	of
long	long	long
-range	-rang	-range
drills	drill	drill
on	on	on
Monday	monday	Monday
,	,	,
flying	fli	flying
into	into	into
the	the	the
Sea	sea	Sea
of	of	of
Japan	japan	Japan
and	and	and
prompting	prompt	prompting
South	south	South
Korean	korean	Korean
and	and	and
Japanese	japanes	Japanese
jets	jet	jet
to	to	to
scramble	scrambl	scramble
,	,	,
and	and	and
again	again	again
around	around	around
self	self	self
-ruled	-rule	-ruled
Taiwan	taiwan	Taiwan
amid	amid	amid
growing	grow	growing
tension	tension	tension
over	over	over
China	china	China
s	s	s
assertiveness	assert	assertiveness
.	.	.

China	china	China
has	has	ha
in	in	in
recent	recent	recent
months	month	month
ramped	ramp	ramped
up	up	up
its	it	it
long	long	long
-range	-rang	-range
air	air	air
force	forc	force
drills	drill	drill
,	,	,
particularly	particular	particularly
around	around	around
Taiwan	taiwan	Taiwan
,	,	,
claimed	claim	claimed
by	by	by
China	china	China
as	as	a
its	it	it
own	own	own
.	.	.

The	the	The
air	air	air
force	forc	force
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
fighter	fighter	fighter
and	and	and
bomber	bomber	bomber
aircraft	aircraft	aircraft
flew	flew	flew
through	through	through
the	the	the
Tsushima	tsushima	Tsushima
Strait	strait	Strait
that	that	that
separates	separ	separate
South	south	South
Korea	korea	Korea
from	from	from
Japan	japan	Japan
and	and	and
into	into	into
international	intern	international
waters	water	water
in	in	in
the	the	the
Sea	sea	Sea
of	of	of
Japan	japan	Japan
.	.	.

The	the	The
Sea	sea	Sea
of	of	of
Japan	japan	Japan
is	is	is
not	not	not
Japan	japan	Japan
s	s	s
,	,	,
and	and	and
the	the	the
drills	drill	drill
were	were	were
lawful	law	lawful
and	and	and
reasonable	reason	reasonable
,	,	,
air	air	air
force	forc	force
spokesman	spokesman	spokesman
Shen	shen	Shen
Jinke	jink	Jinke
said	said	said
in	in	in
the	the	the
statement	statement	statement
,	,	,
describing	describ	describing
the	the	the
exercises	exercis	exercise
as	as	a
routine	routin	routine
and	and	and
pre	pre	pre
-planned	-plan	-planned
.	.	.

The	the	The
Japanese	japanes	Japanese
Defence	defenc	Defence
Ministry	ministri	Ministry
said	said	said
in	in	in
a	a	a
statement	statement	statement
that	that	that
the	the	the
aircraft	aircraft	aircraft
-	-	-
two	two	two
SU	su	SU
-30	-30	-30
fighters	fighter	fighter
,	,	,
two	two	two
H	h	H
-6	-6	-6
bombers	bomber	bomber
and	and	and
one	one	one
TU	tu	TU
-154	-154	-154
reconnaissance	reconnaiss	reconnaissance
plane	plane	plane
-	-	-
had	had	had
not	not	not
violated	violat	violated
Japan	japan	Japan
s	s	s
airspace	airspac	airspace
.	.	.

In	in	In
Seoul	seoul	Seoul
,	,	,
South	south	South
Korea	korea	Korea
s	s	s
Joint	joint	Joint
Chiefs	chief	Chiefs
of	of	of
Staff	staff	Staff
said	said	said
five	five	five
Chinese	chines	Chinese
military	militari	military
planes	plane	plane
were	were	were
spotted	spot	spotted
entering	enter	entering
the	the	the
Korean	korean	Korean
Air	air	Air
Defence	defenc	Defence
Identification	identif	Identification
Zone	zone	Zone
,	,	,
and	and	and
fighter	fighter	fighter
jets	jet	jet
scrambled	scrambl	scrambled
in	in	in
response	respons	response
.	.	.

The	the	The
Chinese	chines	Chinese
aircraft	aircraft	aircraft
also	also	also
flew	flew	flew
through	through	through
Japan	japan	Japan
s	s	s
Air	air	Air
Defence	defenc	Defence
Identification	identif	Identification
Zone	zone	Zone
,	,	,
they	they	they
said	said	said
.	.	.

Our	our	Our
fighter	fighter	fighter
planes	plane	plane
took	took	took
normal	normal	normal
tactical	tactic	tactical
measures	measur	measure
,	,	,
identifying	identifi	identifying
the	the	the
models	model	model
of	of	of
the	the	the
Chinese	chines	Chinese
planes	plane	plane
and	and	and
flying	fli	flying
aerial	aerial	aerial
surveillance	surveil	surveillance
until	until	until
they	they	they
left	left	left
,	,	,
the	the	the
South	south	South
Korean	korean	Korean
statement	statement	statement
said	said	said
.	.	.

Chinese	chines	Chinese
air	air	air
force	forc	force
spokesman	spokesman	spokesman
Shen	shen	Shen
alluded	allud	alluded
to	to	to
the	the	the
scrambled	scrambl	scrambled
aircraft	aircraft	aircraft
,	,	,
saying	say	saying
they	they	they
responded	respond	responded
to	to	to
interference	interfer	interference
from	from	from
foreign	foreign	foreign
military	militari	military
aircraft	aircraft	aircraft
but	but	but
were	were	were
able	abl	able
to	to	to
achieve	achiev	achieve
the	the	the
aim	aim	aim
of	of	of
their	their	their
drill	drill	drill
.	.	.

Taiwan	taiwan	Taiwan
s	s	s
military	militari	military
said	said	said
that	that	that
China	china	China
had	had	had
staged	stage	staged
a	a	a
separate	separ	separate
drill	drill	drill
at	at	at
the	the	the
same	same	same
time	time	time
,	,	,
flying	fli	flying
a	a	a
plane	plane	plane
through	through	through
the	the	the
Bashi	bashi	Bashi
Channel	channel	Channel
between	between	between
Taiwan	taiwan	Taiwan
and	and	and
the	the	the
Philippines	philippin	Philippines
and	and	and
then	then	then
returning	return	returning
to	to	to
base	base	base
through	through	through
the	the	the
Strait	strait	Strait
of	of	of
Miyako	miyako	Miyako
,	,	,
to	to	to
Taiwan	taiwan	Taiwan
s	s	s
north	north	north
and	and	and
near	near	near
Japan	japan	Japan
s	s	s
southern	southern	southern
islands	island	island
.	.	.

Taiwan	taiwan	Taiwan
monitored	monitor	monitored
Japan	japan	Japan
sending	send	sending
F	f	F
-15	-15	-15
fighters	fighter	fighter
to	to	to
intercept	intercept	intercept
,	,	,
Taiwan	taiwan	Taiwan
s	s	s
defence	defenc	defence
ministry	ministri	ministry
added	ad	added
in	in	in
its	it	it
statement	statement	statement
.	.	.

The	the	The
Japanese	japanes	Japanese
Defence	defenc	Defence
Ministry	ministri	Ministry
identified	identifi	identified
the	the	the
plane	plane	plane
as	as	a
Y	y	Y
-8	-8	-8
electronic	electron	electronic
warfare	warfar	warfare
aircraft	aircraft	aircraft
.	.	.

There	there	There
was	was	wa
no	no	no
violation	violat	violation
of	of	of
Japan	japan	Japan
s	s	s
airspace	airspac	airspace
in	in	in
this	this	this
instance	instanc	instance
either	either	either
,	,	,
the	the	the
ministry	ministri	ministry
said	said	said
.	.	.

China	china	China
s	s	s
air	air	air
force	forc	force
last	last	last
week	week	week
conducted	conduct	conducted
island	island	island
encirclement	encircl	encirclement
patrols	patrol	patrol
near	near	near
Taiwan	taiwan	Taiwan
,	,	,
after	after	after
a	a	a
senior	senior	senior
Chinese	chines	Chinese
diplomat	diplomat	diplomat
threatened	threaten	threatened
that	that	that
China	china	China
would	would	would
invade	invad	invade
the	the	the
self	self	self
-ruled	-rule	-ruled
island	island	island
if	if	if
any	ani	any
U	u	U
.	.	.
S	s	S
.	.	.
warships	warship	warship
made	made	made
port	port	port
visits	visit	visit
there	there	there
.	.	.

China	china	China
suspects	suspect	suspect
Taiwan	taiwan	Taiwan
President	presid	President
Tsai	tsai	Tsai
Ing	ing	Ing
-wen	-wen	-wen
,	,	,
who	who	who
leads	lead	lead
the	the	the
independence	independ	independence
-leaning	-lean	-leaning
Democratic	democrat	Democratic
Progressive	progress	Progressive
Party	parti	Party
,	,	,
wants	want	want
to	to	to
declare	declar	declare
the	the	the
island	island	island
s	s	s
formal	formal	formal
independence	independ	independence
.	.	.

Tsai	tsai	Tsai
says	say	say
she	she	she
wants	want	want
to	to	to
maintain	maintain	maintain
peace	peac	peace
with	with	with
China	china	China
but	but	but
will	will	will
defend	defend	defend
Taiwan	taiwan	Taiwan
s	s	s
security	secur	security
.	.	.

China	china	China
s	s	s
air	air	air
force	forc	force
exercises	exercis	exercise
also	also	also
come	come	come
amid	amid	amid
regional	region	regional
tensions	tension	tension
over	over	over
North	north	North
Korea	korea	Korea
s	s	s
nuclear	nuclear	nuclear
and	and	and
missile	missil	missile
programmes	programm	programme
,	,	,
with	with	with
bellicose	bellicos	bellicose
rhetoric	rhetor	rhetoric
from	from	from
both	both	both
North	north	North
Korea	korea	Korea
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
.	.	.

