WELLINGTON	wellington	WELLINGTON
Reuters	reuter	Reuters
-	-	-
The	the	The
New	new	New
Zealand	zealand	Zealand
First	first	First
Party	parti	Party
,	,	,
which	which	which
emerged	emerg	emerged
as	as	a
a	a	a
kingmaker	kingmak	kingmaker
after	after	after
New	new	New
Zealand	zealand	Zealand
s	s	s
election	elect	election
in	in	in
September	septemb	September
,	,	,
will	will	will
begin	begin	begin
preliminary	preliminari	preliminary
talks	talk	talk
with	with	with
both	both	both
the	the	the
ruling	rule	ruling
National	nation	National
Party	parti	Party
and	and	and
separately	separ	separately
with	with	with
the	the	the
Labour	labour	Labour
Party	parti	Party
this	this	this
week	week	week
,	,	,
according	accord	according
to	to	to
a	a	a
media	media	medium
release	releas	release
.	.	.
The	the	The
statement	statement	statement
comes	come	come
after	after	after
Prime	prime	Prime
Minister	minist	Minister
Bill	bill	Bill
English	english	English
told	told	told
media	media	medium
on	on	on
Monday	monday	Monday
that	that	that
he	he	he
had	had	had
called	call	called
New	new	New
Zealand	zealand	Zealand
First	first	First
leader	leader	leader
Winston	winston	Winston
Peters	peter	Peters
but	but	but
he	he	he
had	had	had
not	not	not
picked	pick	picked
up	up	up
.	.	.
Both	both	Both
parties	parti	party
have	have	have
since	sinc	since
said	said	said
the	the	the
two	two	two
leaders	leader	leader
had	had	had
spoken	spoken	spoken
by	by	by
telephone	telephon	telephone
.	.	.
While	while	While
English	english	English
s	s	s
National	nation	National
Party	parti	Party
won	won	won
a	a	a
10	10	10
-point	-point	-point
lead	lead	lead
over	over	over
the	the	the
opposition	opposit	opposition
Labour	labour	Labour
Party	parti	Party
in	in	in
the	the	the
Sept	sept	Sept
.	.	.
23	23	23
election	elect	election
,	,	,
neither	neither	neither
won	won	won
enough	enough	enough
seats	seat	seat
to	to	to
govern	govern	govern
alone	alon	alone
and	and	and
both	both	both
have	have	have
been	been	been
left	left	left
courting	court	courting
the	the	the
outspoken	outspoken	outspoken
Peters	peter	Peters
to	to	to
form	form	form
a	a	a
government	govern	government
.	.	.
English	english	English
s	s	s
National	nation	National
Party	parti	Party
secured	secur	secured
58	58	58
seats	seat	seat
,	,	,
only	onli	only
just	just	just
short	short	short
of	of	of
the	the	the
61	61	61
seats	seat	seat
needed	need	needed
to	to	to
form	form	form
a	a	a
government	govern	government
in	in	in
New	new	New
Zealand	zealand	Zealand
s	s	s
proportional	proport	proportional
representation	represent	representation
system	system	system
.	.	.
Labour	labour	Labour
won	won	won
45	45	45
seats	seat	seat
,	,	,
New	new	New
Zealand	zealand	Zealand
First	first	First
won	won	won
nine	nine	nine
and	and	and
the	the	the
Green	green	Green
Party	parti	Party
seven	seven	seven
.	.	.
Preliminary	preliminari	Preliminary
talks	talk	talk
will	will	will
proceed	proceed	proceed
this	this	this
week	week	week
when	when	when
arrangements	arrang	arrangement
suitable	suitabl	suitable
to	to	to
both	both	both
parties	parti	party
are	are	are
concluded	conclud	concluded
,	,	,
the	the	the
New	new	New
Zealand	zealand	Zealand
First	first	First
Party	parti	Party
said	said	said
on	on	on
its	it	it
website	websit	website
.	.	.
It	it	It
is	is	is
a	a	a
familiar	familiar	familiar
situation	situat	situation
for	for	for
Peters	peter	Peters
.	.	.
The	the	The
veteran	veteran	veteran
politician	politician	politician
is	is	is
holding	hold	holding
the	the	the
balance	balanc	balance
of	of	of
power	power	power
for	for	for
a	a	a
third	third	third
time	time	time
,	,	,
having	have	having
previously	previous	previously
joined	join	joined
coalitions	coalit	coalition
led	led	led
by	by	by
both	both	both
National	nation	National
and	and	and
Labour	labour	Labour
.	.	.
While	while	While
his	his	his
policies	polici	policy
are	are	are
thought	thought	thought
to	to	to
have	have	have
more	more	more
in	in	in
common	common	common
with	with	with
those	those	those
of	of	of
Labour	labour	Labour
-	-	-
both	both	both
want	want	want
to	to	to
curb	curb	curb
immigration	immigr	immigration
-	-	-
some	some	some
analysts	analyst	analyst
say	say	say
he	he	he
could	could	could
opt	opt	opt
for	for	for
National	nation	National
as	as	a
it	it	it
would	would	would
be	be	be
a	a	a
simpler	simpler	simpler
coalition	coalit	coalition
of	of	of
just	just	just
two	two	two
parties	parti	party
.	.	.
Labour	labour	Labour
,	,	,
however	howev	however
,	,	,
would	would	would
have	have	have
to	to	to
form	form	form
a	a	a
three	three	three
-way	-way	-way
coalition	coalit	coalition
which	which	which
would	would	would
include	includ	include
the	the	the
Green	green	Green
Party	parti	Party
,	,	,
with	with	with
which	which	which
it	it	it
already	alreadi	already
has	has	ha
a	a	a
working	work	working
agreement	agreement	agreement
.	.	.
There	there	There
was	was	wa
speculation	specul	speculation
over	over	over
the	the	the
weekend	weekend	weekend
that	that	that
the	the	the
National	nation	National
Party	parti	Party
could	could	could
sound	sound	sound
out	out	out
the	the	the
Greens	green	Greens
,	,	,
but	but	but
English	english	English
said	said	said
he	he	he
was	was	wa
undecided	undecid	undecided
.	.	.
I	i	I
think	think	think
the	the	the
Greens	green	Greens
would	would	would
need	need	need
to	to	to
show	show	show
that	that	that
there	there	there
is	is	is
a	a	a
serious	serious	serious
possibility	possibl	possibility
of	of	of
negotiation	negoti	negotiation
,	,	,
English	english	English
told	told	told
local	local	local
media	media	medium
.	.	.
So	so	So
far	far	far
Mr	mr	Mr
.	.	.
Peters	peter	Peters
has	has	ha
indicated	indic	indicated
that	that	that
he	he	he
is	is	is
willing	will	willing
and	and	and
able	abl	able
to	to	to
negotiate	negoti	negotiate
,	,	,
including	includ	including
with	with	with
National	nation	National
,	,	,
the	the	the
Greens	green	Greens
haven	haven	haven
t	t	t
indicated	indic	indicated
that	that	that
so	so	so
far	far	far
.	.	.
.	.	.
.	.	.
the	the	the
Greens	green	Greens
are	are	are
pretty	pretti	pretty
committed	commit	committed
to	to	to
working	work	working
with	with	with
Labour	labour	Labour
alone	alon	alone
.	.	.
James	jame	James
Shaw	shaw	Shaw
,	,	,
the	the	the
leader	leader	leader
of	of	of
the	the	the
Green	green	Green
Party	parti	Party
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
when	when	when
contacted	contact	contacted
by	by	by
Reuters	reuter	Reuters
.	.	.
Labour	labour	Labour
leader	leader	leader
Jacinda	jacinda	Jacinda
Ardern	ardern	Ardern
,	,	,
who	who	who
boosted	boost	boosted
her	her	her
party	parti	party
s	s	s
chances	chanc	chance
after	after	after
taking	take	taking
over	over	over
as	as	a
leader	leader	leader
in	in	in
August	august	August
,	,	,
said	said	said
she	she	she
had	had	had
spoken	spoken	spoken
to	to	to
Peters	peter	Peters
earlier	earlier	earlier
and	and	and
confirmed	confirm	confirmed
that	that	that
their	their	their
teams	team	team
were	were	were
looking	look	looking
to	to	to
meet	meet	meet
this	this	this
week	week	week
.	.	.
We	we	We
will	will	will
look	look	look
to	to	to
hold	hold	hold
a	a	a
meeting	meet	meeting
between	between	between
our	our	our
respective	respect	respective
teams	team	team
later	later	later
this	this	this
week	week	week
,	,	,
while	while	while
we	we	we
wait	wait	wait
for	for	for
special	special	special
votes	vote	vote
to	to	to
be	be	be
counted	count	counted
,	,	,
Ardern	ardern	Ardern
said	said	said
in	in	in
an	an	an
emailed	email	emailed
statement	statement	statement
.	.	.
A	a	A
final	final	final
tally	talli	tally
of	of	of
the	the	the
results	result	result
is	is	is
due	due	due
on	on	on
Oct	oct	Oct
.	.	.
7	7	7
,	,	,
when	when	when
special	special	special
votes	vote	vote
,	,	,
which	which	which
make	make	make
up	up	up
15	15	15
percent	percent	percent
of	of	of
the	the	the
total	total	total
and	and	and
include	includ	include
overseas	oversea	overseas
votes	vote	vote
,	,	,
are	are	are
released	releas	released
.	.	.
