ANKARA	ankara	ANKARA
Reuters	reuter	Reuters
-	-	-
Turkish	turkish	Turkish
authorities	author	authority
have	have	have
issued	issu	issued
an	an	an
arrest	arrest	arrest
warrant	warrant	warrant
for	for	for
a	a	a
former	former	former
officer	offic	officer
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Central	central	Central
Intelligence	intellig	Intelligence
Agency	agenc	Agency
CIA	cia	CIA
over	over	over
suspected	suspect	suspected
links	link	link
to	to	to
last	last	last
year	year	year
s	s	s
failed	fail	failed
coup	coup	coup
,	,	,
the	the	the
Hurriyet	hurriyet	Hurriyet
daily	daili	daily
said	said	said
on	on	on
Friday	friday	Friday
,	,	,
in	in	in
a	a	a
further	further	further
blow	blow	blow
to	to	to
troubled	troubl	troubled
U	u	U
.	.	.
S	s	S
.	.	.
-Turkey	-turkey	-Turkey
ties	tie	tie
.	.	.

The	the	The
Istanbul	istanbul	Istanbul
prosecutor	prosecutor	prosecutor
s	s	s
office	offic	office
is	is	is
seeking	seek	seeking
the	the	the
detention	detent	detention
of	of	of
Graham	graham	Graham
Fuller	fuller	Fuller
,	,	,
former	former	former
vice	vice	vice
chairman	chairman	chairman
of	of	of
the	the	the
National	nation	National
Intelligence	intellig	Intelligence
Council	council	Council
and	and	and
CIA	cia	CIA
officer	offic	officer
in	in	in
Turkey	turkey	Turkey
,	,	,
on	on	on
suspicion	suspicion	suspicion
that	that	that
he	he	he
helped	help	helped
to	to	to
plan	plan	plan
the	the	the
July	juli	July
2016	2016	2016
coup	coup	coup
attempt	attempt	attempt
,	,	,
Hurriyet	hurriyet	Hurriyet
said	said	said
.	.	.

It	it	It
said	said	said
prosecutors	prosecutor	prosecutor
had	had	had
also	also	also
issued	issu	issued
an	an	an
arrest	arrest	arrest
warrant	warrant	warrant
for	for	for
Henri	henri	Henri
Barkey	barkey	Barkey
,	,	,
a	a	a
prominent	promin	prominent
Turkey	turkey	Turkey
scholar	scholar	scholar
based	base	based
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
on	on	on
suspicion	suspicion	suspicion
of	of	of
involvement	involv	involvement
in	in	in
planning	plan	planning
the	the	the
coup	coup	coup
.	.	.

The	the	The
Istanbul	istanbul	Istanbul
prosecutor	prosecutor	prosecutor
s	s	s
office	offic	office
declined	declin	declined
to	to	to
comment	comment	comment
on	on	on
the	the	the
matter	matter	matter
.	.	.

Neither	neither	Neither
Fuller	fuller	Fuller
nor	nor	nor
Barkey	barkey	Barkey
could	could	could
immediately	immedi	immediately
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
.	.	.

The	the	The
arrest	arrest	arrest
warrants	warrant	warrant
,	,	,
if	if	if
confirmed	confirm	confirmed
,	,	,
will	will	will
put	put	put
further	further	further
strain	strain	strain
on	on	on
relations	relat	relation
between	between	between
NATO	nato	NATO
allies	alli	ally
Turkey	turkey	Turkey
and	and	and
the	the	the
United	unit	United
States	state	States
,	,	,
already	alreadi	already
at	at	at
loggerheads	loggerhead	loggerhead
over	over	over
a	a	a
wide	wide	wide
range	rang	range
of	of	of
issues	issu	issue
.	.	.

Hurriyet	hurriyet	Hurriyet
said	said	said
Turkish	turkish	Turkish
authorities	author	authority
believed	believ	believed
Fuller	fuller	Fuller
had	had	had
left	left	left
Turkey	turkey	Turkey
after	after	after
the	the	the
abortive	abort	abortive
coup	coup	coup
,	,	,
in	in	in
which	which	which
rogue	rogu	rogue
soldiers	soldier	soldier
commandeered	command	commandeered
tanks	tank	tank
and	and	and
helicopters	helicopt	helicopter
in	in	in
an	an	an
attempt	attempt	attempt
to	to	to
oust	oust	oust
President	presid	President
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
and	and	and
his	his	his
government	govern	government
.	.	.

It	it	It
said	said	said
the	the	the
warrant	warrant	warrant
marked	mark	marked
the	the	the
first	first	first
time	time	time
that	that	that
Turkish	turkish	Turkish
authorities	author	authority
have	have	have
been	been	been
able	abl	able
to	to	to
confirm	confirm	confirm
Fuller	fuller	Fuller
s	s	s
whereabouts	whereabout	whereabouts
before	befor	before
and	and	and
after	after	after
the	the	the
putsch	putsch	putsch
.	.	.

Erdogan	erdogan	Erdogan
accuses	accus	accuses
U	u	U
.	.	.
S	s	S
.	.	.
-based	-base	-based
Muslim	muslim	Muslim
cleric	cleric	cleric
Fethullah	fethullah	Fethullah
Gulen	gulen	Gulen
and	and	and
his	his	his
supporters	support	supporter
of	of	of
organizing	organ	organizing
the	the	the
coup	coup	coup
,	,	,
in	in	in
which	which	which
more	more	more
than	than	than
250	250	250
people	peopl	people
were	were	were
killed	kill	killed
.	.	.

Gulen	gulen	Gulen
,	,	,
a	a	a
former	former	former
ally	alli	ally
of	of	of
Erdogan	erdogan	Erdogan
,	,	,
has	has	ha
condemned	condemn	condemned
the	the	the
coup	coup	coup
and	and	and
denies	deni	denies
any	ani	any
involvement	involv	involvement
.	.	.

Turkey	turkey	Turkey
has	has	ha
asked	ask	asked
the	the	the
United	unit	United
States	state	States
to	to	to
extradite	extradit	extradite
Gulen	gulen	Gulen
for	for	for
trial	trial	trial
but	but	but
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
say	say	say
it	it	it
has	has	ha
failed	fail	failed
to	to	to
provide	provid	provide
sufficient	suffici	sufficient
evidence	evid	evidence
to	to	to
justify	justifi	justify
such	such	such
a	a	a
move	move	move
,	,	,
infuriating	infuri	infuriating
Erdogan	erdogan	Erdogan
.	.	.

Turkish	turkish	Turkish
authorities	author	authority
have	have	have
shut	shut	shut
down	down	down
businesses	busi	business
,	,	,
media	media	medium
outlets	outlet	outlet
and	and	and
schools	school	school
belonging	belong	belonging
to	to	to
Gulen	gulen	Gulen
and	and	and
have	have	have
sacked	sack	sacked
or	or	or
suspended	suspend	suspended
some	some	some
150	150	150
,	,	,
000	000	000
people	peopl	people
including	includ	including
soldiers	soldier	soldier
,	,	,
journalists	journalist	journalist
,	,	,
academics	academ	academic
and	and	and
judges	judg	judge
over	over	over
their	their	their
possible	possibl	possible
links	link	link
to	to	to
his	his	his
network	network	network
.	.	.

Nearly	near	Nearly
50	50	50
,	,	,
000	000	000
people	peopl	people
suspected	suspect	suspected
of	of	of
involvement	involv	involvement
in	in	in
the	the	the
coup	coup	coup
have	have	have
been	been	been
jailed	jail	jailed
.	.	.

Human	human	Human
rights	right	right
groups	group	group
and	and	and
some	some	some
Western	western	Western
politicians	politician	politician
have	have	have
accused	accus	accused
Erdogan	erdogan	Erdogan
of	of	of
using	use	using
the	the	the
crackdown	crackdown	crackdown
to	to	to
muzzle	muzzl	muzzle
dissent	dissent	dissent
in	in	in
Turkey	turkey	Turkey
,	,	,
but	but	but
the	the	the
government	govern	government
says	say	say
the	the	the
purges	purg	purge
are	are	are
necessary	necessari	necessary
due	due	due
to	to	to
the	the	the
gravity	graviti	gravity
of	of	of
the	the	the
security	secur	security
threats	threat	threat
it	it	it
faces	face	face
.	.	.

