JOHANNESBURG	johannesburg	JOHANNESBURG
Reuters	reuter	Reuters
-	-	-
South	south	South
Africa	africa	Africa
s	s	s
ruling	rule	ruling
African	african	African
National	nation	National
Congress	congress	Congress
ANC	anc	ANC
is	is	is
doing	do	doing
everything	everyth	everything
possible	possibl	possible
to	to	to
avoid	avoid	avoid
a	a	a
split	split	split
in	in	in
the	the	the
party	parti	party
after	after	after
elections	elect	election
for	for	for
a	a	a
new	new	new
leader	leader	leader
this	this	this
month	month	month
,	,	,
a	a	a
senior	senior	senior
official	offici	official
running	run	running
for	for	for
the	the	the
top	top	top
job	job	job
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

The	the	The
ANC	anc	ANC
has	has	ha
been	been	been
beset	beset	beset
by	by	by
infighting	infight	infighting
as	as	a
factions	faction	faction
supporting	support	supporting
different	differ	different
candidates	candid	candidate
to	to	to
succeed	succeed	succeed
President	presid	President
Jacob	jacob	Jacob
Zuma	zuma	Zuma
as	as	a
party	parti	party
leader	leader	leader
have	have	have
jostled	jostl	jostled
for	for	for
influence	influenc	influence
.	.	.

Splits	split	Splits
are	are	are
never	never	never
planned	plan	planned
,	,	,
but	but	but
we	we	we
are	are	are
doing	do	doing
everything	everyth	everything
to	to	to
ensure	ensur	ensure
that	that	that
there	there	there
is	is	is
no	no	no
need	need	need
for	for	for
members	member	member
of	of	of
the	the	the
ANC	anc	ANC
to	to	to
split	split	split
,	,	,
Zweli	zweli	Zweli
Mkhize	mkhize	Mkhize
,	,	,
the	the	the
ANC	anc	ANC
s	s	s
treasurer	treasur	treasurer
general	general	general
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.

The	the	The
party	parti	party
-	-	-
one	one	one
of	of	of
Africa	africa	Africa
s	s	s
oldest	oldest	oldest
liberation	liber	liberation
movements	movement	movement
-	-	-
splintered	splinter	splintered
in	in	in
2008	2008	2008
when	when	when
members	member	member
,	,	,
angered	anger	angered
by	by	by
the	the	the
ousting	oust	ousting
of	of	of
former	former	former
president	presid	president
Thabo	thabo	Thabo
Mbeki	mbeki	Mbeki
from	from	from
the	the	the
leadership	leadership	leadership
,	,	,
split	split	split
away	away	away
to	to	to
form	form	form
the	the	the
Congress	congress	Congress
of	of	of
the	the	the
People	peopl	People
COPE	cope	COPE
.	.	.

Some	some	Some
analysts	analyst	analyst
have	have	have
predicted	predict	predicted
an	an	an
even	even	even
bigger	bigger	bigger
rupture	ruptur	rupture
could	could	could
happen	happen	happen
after	after	after
the	the	the
vote	vote	vote
at	at	at
the	the	the
party	parti	party
s	s	s
Dec	dec	Dec
.	.	.

16	16	16
-20	-20	-20
conference	confer	conference
,	,	,
particularly	particular	particularly
if	if	if
Zuma	zuma	Zuma
s	s	s
preferred	prefer	preferred
candidate	candid	candidate
,	,	,
his	his	his
former	former	former
wife	wife	wife
Nkosazana	nkosazana	Nkosazana
Dlamini	dlamini	Dlamini
-Zuma	-zuma	-Zuma
,	,	,
gets	get	get
elected	elect	elected
.	.	.

The	the	The
leadership	leadership	leadership
contest	contest	contest
is	is	is
still	still	still
too	too	too
close	close	close
to	to	to
call	call	call
,	,	,
with	with	with
most	most	most
grassroots	grassroot	grassroots
ANC	anc	ANC
members	member	member
backing	back	backing
Deputy	deputi	Deputy
President	presid	President
Cyril	cyril	Cyril
Ramaphosa	ramaphosa	Ramaphosa
or	or	or
Dlamini	dlamini	Dlamini
-Zuma	-zuma	-Zuma
for	for	for
ANC	anc	ANC
leader	leader	leader
.	.	.

Members	member	Members
are	are	are
also	also	also
divided	divid	divided
on	on	on
who	who	who
should	should	should
occupy	occupi	occupy
the	the	the
other	other	other
senior	senior	senior
party	parti	party
positions	posit	position
which	which	which
are	are	are
up	up	up
for	for	for
grabs	grab	grab
.	.	.

Mkhize	mkhize	Mkhize
said	said	said
the	the	the
best	best	best
way	way	way
to	to	to
ensure	ensur	ensure
the	the	the
December	decemb	December
vote	vote	vote
did	did	did
not	not	not
weaken	weaken	weaken
the	the	the
ANC	anc	ANC
was	was	wa
for	for	for
it	it	it
to	to	to
elect	elect	elect
new	new	new
leaders	leader	leader
who	who	who
appealed	appeal	appealed
to	to	to
a	a	a
broad	broad	broad
cross	cross	cross
section	section	section
of	of	of
the	the	the
party	parti	party
s	s	s
membership	membership	membership
.	.	.

The	the	The
party	parti	party
should	should	should
avoid	avoid	avoid
having	have	having
a	a	a
leadership	leadership	leadership
where	where	where
people	peopl	people
say	say	say
it	it	it
represents	repres	represents
one	one	one
faction	faction	faction
,	,	,
he	he	he
said	said	said
.	.	.

Mkhize	mkhize	Mkhize
did	did	did
not	not	not
comment	comment	comment
on	on	on
his	his	his
own	own	own
chance	chanc	chance
of	of	of
winning	win	winning
-	-	-
the	the	the
ANC	anc	ANC
,	,	,
which	which	which
presents	present	present
itself	itself	itself
as	as	a
a	a	a
collective	collect	collective
that	that	that
discourages	discourag	discourages
personal	person	personal
ambition	ambit	ambition
,	,	,
frowns	frown	frown
upon	upon	upon
its	it	it
members	member	member
openly	open	openly
campaigning	campaign	campaigning
for	for	for
posts	post	post
well	well	well
ahead	ahead	ahead
of	of	of
an	an	an
election	elect	election
.	.	.

But	but	But
analysts	analyst	analyst
say	say	say
Mkhize	mkhize	Mkhize
-	-	-
one	one	one
of	of	of
the	the	the
ANC	anc	ANC
s	s	s
top	top	top
six	six	six
most	most	most
powerful	power	powerful
officials	offici	official
-	-	-
is	is	is
someone	someon	someone
who	who	who
could	could	could
reconcile	reconcil	reconcile
the	the	the
opposing	oppos	opposing
factions	faction	faction
supporting	support	supporting
Dlamini	dlamini	Dlamini
-Zuma	-zuma	-Zuma
and	and	and
Ramaphosa	ramaphosa	Ramaphosa
,	,	,
or	or	or
be	be	be
nominated	nomin	nominated
at	at	at
the	the	the
conference	confer	conference
as	as	a
a	a	a
compromise	compromis	compromise
candidate	candid	candidate
.	.	.

Although	although	Although
Ramaphosa	ramaphosa	Ramaphosa
and	and	and
Dlamini	dlamini	Dlamini
-Zuma	-zuma	-Zuma
have	have	have
been	been	been
nominated	nomin	nominated
for	for	for
party	parti	party
leader	leader	leader
by	by	by
far	far	far
more	more	more
ANC	anc	ANC
branches	branch	branch
,	,	,
Mkhize	mkhize	Mkhize
could	could	could
still	still	still
mount	mount	mount
a	a	a
serious	serious	serious
challenge	challeng	challenge
if	if	if
he	he	he
is	is	is
nominated	nomin	nominated
by	by	by
a	a	a
large	larg	large
number	number	number
of	of	of
party	parti	party
members	member	member
at	at	at
the	the	the
conference	confer	conference
itself	itself	itself
.	.	.

Whoever	whoever	Whoever
the	the	the
ANC	anc	ANC
elects	elect	elect
as	as	a
leader	leader	leader
will	will	will
probably	probabl	probably
become	becom	become
the	the	the
next	next	next
president	presid	president
of	of	of
South	south	South
Africa	africa	Africa
because	becaus	because
of	of	of
the	the	the
party	parti	party
s	s	s
electoral	elector	electoral
dominance	domin	dominance
.	.	.

All	all	All
seven	seven	seven
ANC	anc	ANC
leadership	leadership	leadership
hopefuls	hope	hopeful
pledged	pledg	pledged
to	to	to
Zuma	zuma	Zuma
at	at	at
a	a	a
meeting	meet	meeting
last	last	last
month	month	month
that	that	that
they	they	they
would	would	would
accept	accept	accept
the	the	the
outcome	outcom	outcome
of	of	of
the	the	the
leadership	leadership	leadership
vote	vote	vote
in	in	in
the	the	the
interests	interest	interest
of	of	of
keeping	keep	keeping
the	the	the
105	105	105
-year-old	-year-old	-year-old
organization	organ	organization
intact	intact	intact
.	.	.

Mkhize	mkhize	Mkhize
,	,	,
a	a	a
medical	medic	medical
doctor	doctor	doctor
by	by	by
training	train	training
and	and	and
former	former	former
party	parti	party
boss	boss	bos
in	in	in
Zuma	zuma	Zuma
s	s	s
home	home	home
province	provinc	province
of	of	of
KwaZulu	kwazulu	KwaZulu
-Natal	-natal	-Natal
,	,	,
said	said	said
that	that	that
after	after	after
the	the	the
conference	confer	conference
,	,	,
the	the	the
ANC	anc	ANC
should	should	should
focus	focus	focus
on	on	on
tackling	tackl	tackling
corruption	corrupt	corruption
,	,	,
raising	rais	raising
economic	econom	economic
growth	growth	growth
from	from	from
a	a	a
near	near	near
standstill	standstil	standstill
and	and	and
addressing	address	addressing
crime	crime	crime
so	so	so
it	it	it
can	can	can
win	win	win
a	a	a
2019	2019	2019
national	nation	national
election	elect	election
.	.	.

The	the	The
ANC	anc	ANC
must	must	must
be	be	be
seen	seen	seen
to	to	to
be	be	be
championing	champion	championing
those	those	those
issues	issu	issue
,	,	,
he	he	he
said	said	said
.	.	.

