BRUSSELS	brussel	BRUSSELS
Reuters	reuter	Reuters
-	-	-
European	european	European
Union	union	Union
nations	nation	nation
except	except	except
Britain	britain	Britain
began	began	began
preparing	prepar	preparing
on	on	on
Wednesday	wednesday	Wednesday
for	for	for
a	a	a
transition	transit	transition
period	period	period
in	in	in
relations	relat	relation
with	with	with
London	london	London
and	and	and
for	for	for
their	their	their
future	futur	future
ties	tie	tie
after	after	after
Brexit	brexit	Brexit
,	,	,
with	with	with
meetings	meet	meeting
over	over	over
the	the	the
next	next	next
month	month	month
aimed	aim	aimed
at	at	at
drawing	draw	drawing
up	up	up
guidelines	guidelin	guideline
for	for	for
EU	eu	EU
leaders	leader	leader
in	in	in
December	decemb	December
.	.	.
Brussels	brussel	Brussels
envoys	envoy	envoy
from	from	from
the	the	the
27	27	27
EU	eu	EU
states	state	state
that	that	that
will	will	will
remain	remain	remain
in	in	in
the	the	the
bloc	bloc	bloc
after	after	after
Britain	britain	Britain
exits	exit	exit
on	on	on
March	march	March
29	29	29
,	,	,
2019	2019	2019
,	,	,
met	met	met
for	for	for
the	the	the
first	first	first
time	time	time
since	sinc	since
EU	eu	EU
leaders	leader	leader
last	last	last
week	week	week
decided	decid	decided
not	not	not
enough	enough	enough
progress	progress	progress
had	had	had
been	been	been
made	made	made
in	in	in
talks	talk	talk
on	on	on
the	the	the
terms	term	term
of	of	of
the	the	the
divorce	divorc	divorce
with	with	with
Britain	britain	Britain
to	to	to
start	start	start
discussions	discuss	discussion
about	about	about
future	futur	future
relations	relat	relation
yet	yet	yet
.	.	.
To	to	To
encourage	encourag	encourage
stronger	stronger	stronger
efforts	effort	effort
,	,	,
EU	eu	EU
leaders	leader	leader
said	said	said
they	they	they
would	would	would
start	start	start
preparing	prepar	preparing
now	now	now
for	for	for
talks	talk	talk
on	on	on
a	a	a
transition	transit	transition
period	period	period
so	so	so
they	they	they
are	are	are
ready	readi	ready
if	if	if
enough	enough	enough
progress	progress	progress
is	is	is
made	made	made
by	by	by
the	the	the
next	next	next
summit	summit	summit
in	in	in
December	decemb	December
.	.	.
The	the	The
process	process	process
will	will	will
start	start	start
now	now	now
,	,	,
in	in	in
the	the	the
sense	sens	sense
that	that	that
we	we	we
will	will	will
meet	meet	meet
successively	success	successively
.	.	.
.	.	.
.	.	.
over	over	over
the	the	the
coming	come	coming
month	month	month
,	,	,
one	one	one
EU	eu	EU
official	offici	official
involved	involv	involved
in	in	in
the	the	the
talks	talk	talk
said	said	said
,	,	,
adding	ad	adding
there	there	there
was	was	wa
likely	like	likely
to	to	to
be	be	be
discussion	discuss	discussion
on	on	on
the	the	the
subject	subject	subject
also	also	also
during	dure	during
a	a	a
ministerial	ministeri	ministerial
meeting	meet	meeting
on	on	on
Nov	nov	Nov
20	20	20
.	.	.
We	we	We
will	will	will
prepare	prepar	prepare
our	our	our
thinking	think	thinking
on	on	on
the	the	the
transition	transit	transition
,	,	,
the	the	the
future	futur	future
relationship	relationship	relationship
,	,	,
and	and	and
the	the	the
possible	possibl	possible
additional	addit	additional
guidelines	guidelin	guideline
for	for	for
the	the	the
December	decemb	December
European	european	European
Council	council	Council
,	,	,
the	the	the
official	offici	official
said	said	said
.	.	.
The	the	The
outcome	outcom	outcome
of	of	of
the	the	the
work	work	work
would	would	would
likely	like	likely
be	be	be
presented	present	presented
in	in	in
the	the	the
December	decemb	December
summit	summit	summit
conclusions	conclus	conclusion
if	if	if
leaders	leader	leader
decide	decid	decide
that	that	that
enough	enough	enough
progress	progress	progress
was	was	wa
made	made	made
on	on	on
the	the	the
divorce	divorc	divorce
terms	term	term
,	,	,
officials	offici	official
said	said	said
.	.	.
Britain	britain	Britain
wants	want	want
an	an	an
outline	outlin	outline
agreement	agreement	agreement
with	with	with
the	the	the
European	european	European
Union	union	Union
in	in	in
place	place	place
by	by	by
the	the	the
end	end	end
of	of	of
March	march	March
2018	2018	2018
on	on	on
the	the	the
transitional	transit	transitional
arrangements	arrang	arrangement
that	that	that
will	will	will
apply	appli	apply
temporarily	temporarili	temporarily
after	after	after
it	it	it
leaves	leav	leaf
the	the	the
bloc	bloc	bloc
,	,	,
Brexit	brexit	Brexit
minister	minist	minister
David	david	David
Davis	davi	Davis
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
EU	eu	EU
officials	offici	official
said	said	said
that	that	that
was	was	wa
a	a	a
very	veri	very
tough	tough	tough
goal	goal	goal
,	,	,
but	but	but
one	one	one
that	that	that
could	could	could
be	be	be
achieved	achiev	achieved
if	if	if
London	london	London
showed	show	showed
enough	enough	enough
willingness	willing	willingness
.	.	.
It	it	It
s	s	s
not	not	not
so	so	so
much	much	much
if	if	if
we	we	we
can	can	can
do	do	do
it	it	it
by	by	by
the	the	the
first	first	first
quarter	quarter	quarter
,	,	,
but	but	but
if	if	if
we	we	we
can	can	can
get	get	get
the	the	the
UK	uk	UK
to	to	to
engage	engag	engage
in	in	in
a	a	a
way	way	way
that	that	that
makes	make	make
that	that	that
possible	possibl	possible
,	,	,
the	the	the
official	offici	official
said	said	said
.	.	.
Both	both	Both
sides	side	side
expect	expect	expect
a	a	a
transition	transit	transition
period	period	period
of	of	of
around	around	around
two	two	two
years	year	year
.	.	.
The	the	The
EU	eu	EU
s	s	s
chief	chief	chief
negotiator	negoti	negotiator
,	,	,
Michel	michel	Michel
Barnier	barnier	Barnier
,	,	,
on	on	on
Tuesday	tuesday	Tuesday
said	said	said
that	that	that
would	would	would
mean	mean	mean
preserving	preserv	preserving
the	the	the
status	status	status
quo	quo	quo
as	as	a
Britain	britain	Britain
would	would	would
stay	stay	stay
subject	subject	subject
to	to	to
EU	eu	EU
laws	law	law
and	and	and
courts	court	court
during	dure	during
that	that	that
time	time	time
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
Belgium	belgium	Belgium
s	s	s
L	l	L
Echo	echo	Echo
newspaper	newspap	newspaper
,	,	,
Barnier	barnier	Barnier
said	said	said
the	the	the
only	onli	only
difference	differ	difference
between	between	between
full	full	full
EU	eu	EU
membership	membership	membership
now	now	now
and	and	and
the	the	the
transition	transit	transition
period	period	period
would	would	would
be	be	be
that	that	that
the	the	the
British	british	British
would	would	would
no	no	no
longer	longer	longer
take	take	take
part	part	part
in	in	in
decisions	decis	decision
on	on	on
European	european	European
legislation	legisl	legislation
.	.	.
EU	eu	EU
officials	offici	official
said	said	said
the	the	the
extra	extra	extra
two	two	two
years	year	year
of	of	of
transition	transit	transition
would	would	would
buy	buy	buy
time	time	time
for	for	for
talks	talk	talk
about	about	about
a	a	a
future	futur	future
free	free	free
trade	trade	trade
agreement	agreement	agreement
,	,	,
but	but	but
poured	pour	poured
cold	cold	cold
water	water	water
on	on	on
the	the	the
idea	idea	idea
of	of	of
extending	extend	extending
the	the	the
exit	exit	exit
negotiations	negoti	negotiation
beyond	beyond	beyond
that	that	that
period	period	period
with	with	with
a	a	a
view	view	view
to	to	to
keeping	keep	keeping
Britain	britain	Britain
within	within	within
the	the	the
EU	eu	EU
.	.	.
I	i	I
don	don	don
t	t	t
think	think	think
anyone	anyon	anyone
foresees	forese	foresees
an	an	an
extension	extens	extension
of	of	of
the	the	the
existing	exist	existing
negotiation	negoti	negotiation
period	period	period
,	,	,
the	the	the
EU	eu	EU
official	offici	official
said	said	said
.	.	.
We	we	We
ve	ve	ve
already	alreadi	already
danced	danc	danced
around	around	around
with	with	with
the	the	the
UK	uk	UK
for	for	for
so	so	so
long	long	long
.	.	.
First	first	First
with	with	with
Cameron	cameron	Cameron
.	.	.
Then	then	Then
their	their	their
referendum	referendum	referendum
.	.	.
Now	now	Now
this	this	this
.	.	.
It	it	It
needs	need	need
to	to	to
end	end	end
at	at	at
some	some	some
point	point	point
,	,	,
the	the	the
official	offici	official
said	said	said
.	.	.
Businesses	busi	Businesses
in	in	in
Britain	britain	Britain
and	and	and
in	in	in
Europe	europ	Europe
are	are	are
very	veri	very
concerned	concern	concerned
by	by	by
the	the	the
slow	slow	slow
progress	progress	progress
in	in	in
Brexit	brexit	Brexit
talks	talk	talk
.	.	.
Not	not	Not
knowing	know	knowing
what	what	what
the	the	the
future	futur	future
trade	trade	trade
agreement	agreement	agreement
between	between	between
Britain	britain	Britain
and	and	and
its	it	it
biggest	biggest	biggest
trading	trade	trading
partner	partner	partner
,	,	,
the	the	the
EU	eu	EU
,	,	,
will	will	will
be	be	be
,	,	,
some	some	some
have	have	have
already	alreadi	already
started	start	started
moving	move	moving
staff	staff	staff
and	and	and
operations	oper	operation
out	out	out
of	of	of
Britain	britain	Britain
to	to	to
hedge	hedg	hedge
their	their	their
bets	bet	bet
.	.	.
More	more	More
could	could	could
follow	follow	follow
should	should	should
no	no	no
more	more	more
clarity	clariti	clarity
be	be	be
given	given	given
by	by	by
the	the	the
two	two	two
negotiating	negoti	negotiating
sides	side	side
by	by	by
the	the	the
end	end	end
of	of	of
the	the	the
year	year	year
.	.	.
Barnier	barnier	Barnier
said	said	said
that	that	that
Britain	britain	Britain
could	could	could
not	not	not
count	count	count
on	on	on
a	a	a
bespoke	bespok	bespoke
trade	trade	trade
deal	deal	deal
after	after	after
Brexit	brexit	Brexit
and	and	and
that	that	that
since	sinc	since
it	it	it
has	has	ha
ruled	rule	ruled
out	out	out
following	follow	following
the	the	the
example	exampl	example
of	of	of
Norway	norway	Norway
s	s	s
relations	relat	relation
with	with	with
the	the	the
EU	eu	EU
it	it	it
would	would	would
probably	probabl	probably
have	have	have
to	to	to
model	model	model
its	it	it
ties	tie	tie
on	on	on
an	an	an
arrangement	arrang	arrangement
the	the	the
EU	eu	EU
has	has	ha
with	with	with
Canada	canada	Canada
.	.	.
Non	non	Non
-EU	-eu	-EU
Norway	norway	Norway
currently	current	currently
pays	pay	pay
for	for	for
access	access	access
to	to	to
the	the	the
bloc	bloc	bloc
s	s	s
single	singl	single
market	market	market
of	of	of
500	500	500
million	million	million
people	peopl	people
,	,	,
though	though	though
it	it	it
is	is	is
not	not	not
part	part	part
of	of	of
the	the	the
same	same	same
customs	custom	custom
union	union	union
.	.	.
In	in	In
exchange	exchang	exchange
,	,	,
it	it	it
is	is	is
also	also	also
obliged	oblig	obliged
to	to	to
allow	allow	allow
the	the	the
free	free	free
movement	movement	movement
of	of	of
people	peopl	people
in	in	in
and	and	and
out	out	out
of	of	of
the	the	the
EU	eu	EU
.	.	.
Britain	britain	Britain
wants	want	want
to	to	to
leave	leav	leave
both	both	both
the	the	the
EU	eu	EU
s	s	s
internal	intern	internal
market	market	market
and	and	and
the	the	the
customs	custom	custom
union	union	union
,	,	,
meaning	mean	meaning
a	a	a
Canada	canada	Canada
scenario	scenario	scenario
is	is	is
more	more	more
likely	like	likely
.	.	.
The	the	The
European	european	European
bloc	bloc	bloc
s	s	s
trade	trade	trade
deal	deal	deal
with	with	with
Canada	canada	Canada
,	,	,
its	it	it
most	most	most
ambitious	ambiti	ambitious
arrangement	arrang	arrangement
yet	yet	yet
,	,	,
has	has	ha
just	just	just
taken	taken	taken
effect	effect	effect
.	.	.
Under	under	Under
the	the	the
deal	deal	deal
Canada	canada	Canada
can	can	can
still	still	still
pursue	pursu	pursue
its	it	it
own	own	own
bilateral	bilater	bilateral
trade	trade	trade
agreements	agreement	agreement
elsewhere	elsewher	elsewhere
in	in	in
the	the	the
world	world	world
.	.	.
