BEIRUT	beirut	BEIRUT
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
-backed	-back	-backed
militias	militia	militia
in	in	in
Syria	syria	Syria
said	said	said
they	they	they
have	have	have
formed	form	formed
a	a	a
joint	joint	joint
military	militari	military
center	center	center
with	with	with
the	the	the
Iraqi	iraqi	Iraqi
army	armi	army
to	to	to
protect	protect	protect
their	their	their
common	common	common
border	border	border
region	region	region
after	after	after
ousting	oust	ousting
Islamic	islam	Islamic
State	state	State
militants	milit	militant
.	.	.
Commanders	command	Commanders
of	of	of
the	the	the
Syrian	syrian	Syrian
Democratic	democrat	Democratic
Forces	forc	Forces
SDF	sdf	SDF
,	,	,
an	an	an
alliance	allianc	alliance
of	of	of
Kurdish	kurdish	Kurdish
and	and	and
Arab	arab	Arab
militias	militia	militia
,	,	,
met	met	met
with	with	with
Iraqi	iraqi	Iraqi
military	militari	military
leaders	leader	leader
on	on	on
Sunday	sunday	Sunday
.	.	.
They	they	They
discussed	discuss	discussed
protecting	protect	protecting
the	the	the
Syrian	syrian	Syrian
-Iraqi	-iraqi	-Iraqi
border	border	border
in	in	in
the	the	the
region	region	region
adjacent	adjac	adjacent
to	to	to
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
,	,	,
and	and	and
how	how	how
to	to	to
finally	final	finally
eradicate	erad	eradicate
Daesh	daesh	Daesh
mercenaries	mercenari	mercenary
there	there	there
,	,	,
the	the	the
SDF	sdf	SDF
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Daesh	daesh	Daesh
is	is	is
an	an	an
Arabic	arab	Arabic
acronym	acronym	acronym
for	for	for
Islamic	islam	Islamic
State	state	State
.	.	.
The	the	The
two	two	two
sides	side	side
decided	decid	decided
to	to	to
form	form	form
a	a	a
joint	joint	joint
coordination	coordin	coordination
center	center	center
to	to	to
guarantee	guarante	guarantee
the	the	the
security	secur	security
of	of	of
the	the	the
border	border	border
,	,	,
it	it	it
said	said	said
.	.	.
Last	last	Last
week	week	week
,	,	,
the	the	the
SDF	sdf	SDF
declared	declar	declared
victory	victori	victory
in	in	in
its	it	it
assault	assault	assault
in	in	in
Syria	syria	Syria
s	s	s
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
,	,	,
which	which	which
borders	border	border
Iraq	iraq	Iraq
.	.	.
The	the	The
offensive	offens	offensive
focused	focus	focused
on	on	on
seizing	seiz	seizing
territory	territori	territory
east	east	east
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
river	river	river
that	that	that
bisects	bisect	bisects
the	the	the
oil	oil	oil
-rich	-rich	-rich
province	provinc	province
.	.	.
The	the	The
Kurdish	kurdish	Kurdish
-led	-led	-led
SDF	sdf	SDF
has	has	ha
been	been	been
battling	battl	battling
for	for	for
months	month	month
with	with	with
the	the	the
help	help	help
of	of	of
jets	jet	jet
and	and	and
special	special	special
forces	forc	force
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
coalition	coalit	coalition
against	against	against
Islamic	islam	Islamic
State	state	State
IS	is	IS
.	.	.
On	on	On
the	the	the
other	other	other
side	side	side
,	,	,
Iraqi	iraqi	Iraqi
forces	forc	force
recaptured	recaptur	recaptured
the	the	the
last	last	last
swathes	swath	swathe
of	of	of
territory	territori	territory
still	still	still
under	under	under
Islamic	islam	Islamic
State	state	State
control	control	control
along	along	along
the	the	the
frontier	frontier	frontier
with	with	with
Syria	syria	Syria
on	on	on
Saturday	saturday	Saturday
and	and	and
secured	secur	secured
the	the	the
western	western	western
desert	desert	desert
.	.	.
It	it	It
marked	mark	marked
the	the	the
end	end	end
of	of	of
the	the	the
war	war	war
against	against	against
IS	is	IS
,	,	,
three	three	three
years	year	year
after	after	after
they	they	they
overran	overran	overran
about	about	about
a	a	a
third	third	third
of	of	of
Iraq	iraq	Iraq
s	s	s
territory	territori	territory
.	.	.
Iraqi	iraqi	Iraqi
forces	forc	force
who	who	who
fought	fought	fought
IS	is	IS
came	came	came
from	from	from
the	the	the
army	armi	army
,	,	,
air	air	air
force	forc	force
,	,	,
police	polic	police
,	,	,
elite	elit	elite
counter	counter	counter
-terrorism	-terror	-terrorism
forces	forc	force
as	as	a
well	well	well
as	as	a
Shi	shi	Shi
ite	ite	ite
and	and	and
Sunni	sunni	Sunni
paramilitaries	paramilitari	paramilitary
and	and	and
Kurdish	kurdish	Kurdish
Peshmerga	peshmerga	Peshmerga
fighters	fighter	fighter
.	.	.
They	they	They
received	receiv	received
key	key	key
air	air	air
support	support	support
from	from	from
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
-led	-led	-led
global	global	global
coalition	coalit	coalition
.	.	.
Syrian	syrian	Syrian
government	govern	government
forces	forc	force
and	and	and
their	their	their
allies	alli	ally
,	,	,
backed	back	backed
by	by	by
Russian	russian	Russian
air	air	air
power	power	power
,	,	,
have	have	have
taken	taken	taken
most	most	most
of	of	of
the	the	the
remaining	remain	remaining
areas	area	area
of	of	of
Deir	deir	Deir
al	al	al
-Zor	-zor	-Zor
province	provinc	province
.	.	.
They	they	They
are	are	are
mostly	most	mostly
on	on	on
the	the	the
western	western	western
side	side	side
of	of	of
the	the	the
Euphrates	euphrat	Euphrates
,	,	,
while	while	while
the	the	the
SDF	sdf	SDF
is	is	is
on	on	on
the	the	the
eastern	eastern	eastern
bank	bank	bank
.	.	.
Russia	russia	Russia
and	and	and
the	the	the
United	unit	United
States	state	States
set	set	set
up	up	up
a	a	a
communications	communic	communication
channel	channel	channel
to	to	to
reduce	reduc	reduce
the	the	the
chance	chanc	chance
of	of	of
fighting	fight	fighting
between	between	between
the	the	the
two	two	two
rival	rival	rival
campaigns	campaign	campaign
against	against	against
Islamic	islam	Islamic
State	state	State
.	.	.
Forces	forc	Forces
arrayed	array	arrayed
against	against	against
Islamic	islam	Islamic
State	state	State
in	in	in
Iraq	iraq	Iraq
and	and	and
Syria	syria	Syria
now	now	now
anticipate	anticip	anticipate
a	a	a
new	new	new
phase	phase	phase
of	of	of
guerrilla	guerrilla	guerrilla
warfare	warfar	warfare
.	.	.
Colonel	colonel	Colonel
Ryan	ryan	Ryan
Dillon	dillon	Dillon
,	,	,
spokesman	spokesman	spokesman
for	for	for
the	the	the
coalition	coalit	coalition
,	,	,
said	said	said
Iraqi	iraqi	Iraqi
security	secur	security
forces	forc	force
and	and	and
the	the	the
SDF	sdf	SDF
had	had	had
linked	link	linked
up	up	up
at	at	at
their	their	their
shared	share	shared
stretch	stretch	stretch
of	of	of
the	the	the
frontier	frontier	frontier
on	on	on
Sunday	sunday	Sunday
.	.	.
Secure	secur	Secure
international	intern	international
border	border	border
protects	protect	protects
Iraqis	iraqi	Iraqis
and	and	and
Syrians	syrian	Syrians
from	from	from
remnant	remnant	remnant
Daesh	daesh	Daesh
movement	movement	movement
into	into	into
and	and	and
across	across	across
the	the	the
region	region	region
as	as	a
terrorist	terrorist	terrorist
fighters	fighter	fighter
leaders	leader	leader
attempt	attempt	attempt
to	to	to
flee	flee	flee
the	the	the
battlefield	battlefield	battlefield
,	,	,
he	he	he
wrote	wrote	wrote
on	on	on
Twitter	twitter	Twitter
.	.	.
