BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
China	china	China
is	is	is
focused	focus	focused
on	on	on
solving	solv	solving
the	the	the
Korean	korean	Korean
Peninsula	peninsula	Peninsula
nuclear	nuclear	nuclear
issue	issu	issue
through	through	through
talks	talk	talk
and	and	and
peaceful	peac	peaceful
means	mean	mean
,	,	,
Chinese	chines	Chinese
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
told	told	told
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
in	in	in
a	a	a
telephone	telephon	telephone
call	call	call
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

The	the	The
United	unit	United
States	state	States
and	and	and
South	south	South
Korea	korea	Korea
have	have	have
asked	ask	asked
the	the	the
United	unit	United
Nations	nation	Nations
to	to	to
consider	consid	consider
tough	tough	tough
new	new	new
sanctions	sanction	sanction
on	on	on
North	north	North
Korea	korea	Korea
after	after	after
its	it	it
nuclear	nuclear	nuclear
test	test	test
on	on	on
Sunday	sunday	Sunday
that	that	that
Pyongyang	pyongyang	Pyongyang
said	said	said
was	was	wa
an	an	an
advanced	advanc	advanced
hydrogen	hydrogen	hydrogen
bomb	bomb	bomb
.	.	.

Washington	washington	Washington
and	and	and
its	it	it
allies	alli	ally
have	have	have
said	said	said
there	there	there
is	is	is
a	a	a
growing	grow	growing
urgency	urgenc	urgency
for	for	for
China	china	China
,	,	,
North	north	North
Korea	korea	Korea
s	s	s
top	top	top
ally	alli	ally
and	and	and
trading	trade	trading
partner	partner	partner
,	,	,
to	to	to
apply	appli	apply
more	more	more
pressure	pressur	pressure
on	on	on
its	it	it
already	alreadi	already
isolated	isol	isolated
neighbor	neighbor	neighbor
to	to	to
get	get	get
it	it	it
to	to	to
back	back	back
down	down	down
on	on	on
its	it	it
nuclear	nuclear	nuclear
weapons	weapon	weapon
and	and	and
missiles	missil	missile
programs	program	program
.	.	.

China	china	China
s	s	s
focus	focus	focus
on	on	on
negotiations	negoti	negotiation
contrasts	contrast	contrast
with	with	with
Trump	trump	Trump
s	s	s
assertions	assert	assertion
over	over	over
the	the	the
last	last	last
few	few	few
days	day	day
that	that	that
now	now	now
was	was	wa
not	not	not
the	the	the
time	time	time
to	to	to
focus	focus	focus
on	on	on
talks	talk	talk
with	with	with
North	north	North
Korea	korea	Korea
.	.	.

In	in	In
a	a	a
telephone	telephon	telephone
call	call	call
with	with	with
U	u	U
.	.	.
K	k	K
.	.	.
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
President	presid	President
Trump	trump	Trump
reiterated	reiter	reiterated
that	that	that
now	now	now
is	is	is
not	not	not
the	the	the
time	time	time
to	to	to
talk	talk	talk
to	to	to
North	north	North
Korea	korea	Korea
,	,	,
and	and	and
made	made	made
clear	clear	clear
that	that	that
all	all	all
options	option	option
remain	remain	remain
open	open	open
to	to	to
defend	defend	defend
the	the	the
United	unit	United
States	state	States
and	and	and
its	it	it
allies	alli	ally
against	against	against
North	north	North
Korean	korean	Korean
aggression	aggress	aggression
,	,	,
the	the	the
White	white	White
House	hous	House
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

However	howev	However
,	,	,
the	the	the
issue	issu	issue
was	was	wa
not	not	not
mentioned	mention	mentioned
in	in	in
a	a	a
separate	separ	separate
White	white	White
House	hous	House
statement	statement	statement
on	on	on
the	the	the
Trump	trump	Trump
-Xi	-xi	-Xi
call	call	call
,	,	,
which	which	which
said	said	said
only	onli	only
that	that	that
the	the	the
two	two	two
leaders	leader	leader
recognized	recogn	recognized
the	the	the
danger	danger	danger
posed	pose	posed
by	by	by
North	north	North
Korea	korea	Korea
and	and	and
committed	commit	committed
to	to	to
working	work	working
together	togeth	together
with	with	with
the	the	the
goal	goal	goal
of	of	of
denuclearizing	denuclear	denuclearizing
the	the	the
Korean	korean	Korean
Peninsula	peninsula	Peninsula
.	.	.

Earlier	earlier	Earlier
,	,	,
a	a	a
statement	statement	statement
from	from	from
China	china	China
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
China	china	China
unswervingly	unswerv	unswervingly
works	work	work
to	to	to
realize	realiz	realize
denuclearization	denuclear	denuclearization
on	on	on
the	the	the
Korean	korean	Korean
Peninsula	peninsula	Peninsula
and	and	and
to	to	to
safeguard	safeguard	safeguard
the	the	the
international	intern	international
nuclear	nuclear	nuclear
non	non	non
-proliferation	-prolifer	-proliferation
system	system	system
,	,	,
Xi	xi	Xi
told	told	told
Trump	trump	Trump
.	.	.

At	at	At
the	the	the
same	same	same
time	time	time
,	,	,
we	we	we
always	alway	always
persist	persist	persist
in	in	in
safeguarding	safeguard	safeguarding
peace	peac	peace
and	and	and
stability	stabil	stability
on	on	on
the	the	the
Korean	korean	Korean
Peninsula	peninsula	Peninsula
and	and	and
resolving	resolv	resolving
the	the	the
issue	issu	issue
through	through	through
dialogue	dialogu	dialogue
and	and	and
consultation	consult	consultation
,	,	,
Xi	xi	Xi
said	said	said
.	.	.

It	it	It
is	is	is
necessary	necessari	necessary
to	to	to
stay	stay	stay
on	on	on
the	the	the
path	path	path
of	of	of
a	a	a
peaceful	peac	peaceful
solution	solut	solution
.	.	.

Xi	xi	Xi
also	also	also
said	said	said
that	that	that
China	china	China
attaches	attach	attache
importance	import	importance
to	to	to
Trump	trump	Trump
s	s	s
visit	visit	visit
to	to	to
China	china	China
later	later	later
this	this	this
year	year	year
.	.	.

The	the	The
statement	statement	statement
cited	cite	cited
Trump	trump	Trump
as	as	a
saying	say	saying
that	that	that
the	the	the
United	unit	United
States	state	States
was	was	wa
deeply	deepli	deeply
concerned	concern	concerned
about	about	about
the	the	the
Korean	korean	Korean
nuclear	nuclear	nuclear
issue	issu	issue
and	and	and
that	that	that
it	it	it
valued	valu	valued
China	china	China
s	s	s
important	import	important
role	role	role
in	in	in
resolving	resolv	resolving
the	the	the
problem	problem	problem
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
Ambassador	ambassador	Ambassador
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
Nikki	nikki	Nikki
Haley	haley	Haley
accused	accus	accused
North	north	North
Korean	korean	Korean
leader	leader	leader
Kim	kim	Kim
Jong	jong	Jong
Un	un	Un
on	on	on
Monday	monday	Monday
of	of	of
begging	beg	begging
for	for	for
war	war	war
and	and	and
urged	urg	urged
the	the	the
Security	secur	Security
Council	council	Council
to	to	to
impose	impos	impose
the	the	the
strongest	strongest	strongest
possible	possibl	possible
sanctions	sanction	sanction
.	.	.

Beijing	beij	Beijing
has	has	ha
said	said	said
reining	rein	reining
in	in	in
North	north	North
Korea	korea	Korea
is	is	is
not	not	not
chiefly	chiefli	chiefly
its	it	it
responsibility	respons	responsibility
,	,	,
and	and	and
has	has	ha
expressed	express	expressed
doubts	doubt	doubt
that	that	that
U	u	U
.	.	.
N	n	N
.	.	.
economic	econom	economic
sanctions	sanction	sanction
,	,	,
which	which	which
it	it	it
has	has	ha
backed	back	backed
,	,	,
will	will	will
resolve	resolv	resolve
the	the	the
situation	situat	situation
.	.	.

Sanctions	sanction	Sanctions
so	so	so
far	far	far
appear	appear	appear
to	to	to
have	have	have
done	done	done
little	littl	little
to	to	to
stop	stop	stop
North	north	North
Korea	korea	Korea
from	from	from
boosting	boost	boosting
its	it	it
nuclear	nuclear	nuclear
and	and	and
missile	missil	missile
capacity	capac	capacity
as	as	a
it	it	it
faces	face	face
off	off	off
with	with	with
Trump	trump	Trump
,	,	,
who	who	who
has	has	ha
vowed	vow	vowed
to	to	to
stop	stop	stop
Pyongyang	pyongyang	Pyongyang
from	from	from
being	be	being
able	abl	able
to	to	to
hit	hit	hit
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
mainland	mainland	mainland
with	with	with
a	a	a
nuclear	nuclear	nuclear
weapon	weapon	weapon
.	.	.

It	it	It
is	is	is
unclear	unclear	unclear
if	if	if
China	china	China
will	will	will
back	back	back
further	further	further
sanctions	sanction	sanction
.	.	.

Beijing	beij	Beijing
fears	fear	fear
that	that	that
completely	complet	completely
cutting	cut	cutting
off	off	off
North	north	North
Korea	korea	Korea
could	could	could
lead	lead	lead
to	to	to
its	it	it
collapse	collaps	collapse
,	,	,
unleashing	unleash	unleashing
a	a	a
wave	wave	wave
of	of	of
refugees	refuge	refugee
into	into	into
China	china	China
s	s	s
northeast	northeast	northeast
.	.	.

China	china	China
accounted	account	accounted
for	for	for
92	92	92
percent	percent	percent
of	of	of
North	north	North
Korea	korea	Korea
s	s	s
trade	trade	trade
in	in	in
2016	2016	2016
,	,	,
according	accord	according
to	to	to
South	south	South
Korea	korea	Korea
.	.	.

China	china	China
s	s	s
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
it	it	it
would	would	would
take	take	take
part	part	part
in	in	in
Security	secur	Security
Council	council	Council
discussions	discuss	discussion
in	in	in
a	a	a
responsible	respons	responsible
and	and	and
constructive	construct	constructive
manner	manner	manner
.	.	.

China	china	China
and	and	and
Russia	russia	Russia
have	have	have
advocated	advoc	advocated
a	a	a
plan	plan	plan
in	in	in
which	which	which
the	the	the
United	unit	United
States	state	States
and	and	and
Seoul	seoul	Seoul
stop	stop	stop
major	major	major
military	militari	military
drills	drill	drill
in	in	in
exchange	exchang	exchange
for	for	for
North	north	North
Korea	korea	Korea
halting	halt	halting
its	it	it
weapons	weapon	weapon
programs	program	program
,	,	,
but	but	but
neither	neither	neither
side	side	side
is	is	is
willing	will	willing
to	to	to
budge	budg	budge
.	.	.

Trump	trump	Trump
and	and	and
Xi	xi	Xi
last	last	last
spoke	spoke	spoke
by	by	by
telephone	telephon	telephone
on	on	on
Aug	aug	Aug
.	.	.

12	12	12
.	.	.

The	the	The
White	white	White
House	hous	House
said	said	said
at	at	at
the	the	the
time	time	time
that	that	that
their	their	their
relationship	relationship	relationship
was	was	wa
extremely	extrem	extremely
close	close	close
and	and	and
will	will	will
hopefully	hope	hopefully
lead	lead	lead
to	to	to
a	a	a
peaceful	peac	peaceful
resolution	resolut	resolution
of	of	of
the	the	the
North	north	North
Korea	korea	Korea
problem	problem	problem
.	.	.

But	but	But
tensions	tension	tension
in	in	in
China	china	China
-U	-u	-U
.	.	.
S	s	S
.	.	.
ties	tie	tie
have	have	have
increased	increas	increased
since	sinc	since
Trump	trump	Trump
took	took	took
office	offic	office
,	,	,
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
having	have	having
authorized	author	authorized
an	an	an
investigation	investig	investigation
into	into	into
China	china	China
s	s	s
alleged	alleg	alleged
theft	theft	theft
of	of	of
intellectual	intellectu	intellectual
property	properti	property
,	,	,
and	and	and
suggesting	suggest	suggesting
trade	trade	trade
relations	relat	relation
would	would	would
be	be	be
linked	link	linked
to	to	to
Beijing	beij	Beijing
s	s	s
help	help	help
on	on	on
North	north	North
Korea	korea	Korea
.	.	.

