TBILISI	tbilisi	TBILISI
Reuters	reuter	Reuters
-	-	-
Georgian	georgian	Georgian
President	presid	President
Giorgi	giorgi	Giorgi
Margvelashvili	margvelashvili	Margvelashvili
on	on	on
Monday	monday	Monday
vetoed	veto	vetoed
a	a	a
draft	draft	draft
new	new	new
constitution	constitut	constitution
and	and	and
sent	sent	sent
it	it	it
back	back	back
to	to	to
parliament	parliament	parliament
with	with	with
his	his	his
objections	object	objection
which	which	which
included	includ	included
opposing	oppos	opposing
its	it	it
call	call	call
for	for	for
an	an	an
end	end	end
to	to	to
direct	direct	direct
elections	elect	election
for	for	for
president	presid	president
.	.	.

Parliament	parliament	Parliament
,	,	,
which	which	which
is	is	is
dominated	domin	dominated
by	by	by
the	the	the
Georgian	georgian	Georgian
Dream	dream	Dream
Party	parti	Party
,	,	,
adopted	adopt	adopted
the	the	the
new	new	new
draft	draft	draft
last	last	last
week	week	week
over	over	over
objections	object	objection
from	from	from
Margvelashvili	margvelashvili	Margvelashvili
and	and	and
the	the	the
opposition	opposit	opposition
.	.	.

Under	under	Under
this	this	this
new	new	new
proposed	propos	proposed
new	new	new
constitution	constitut	constitution
,	,	,
direct	direct	direct
elections	elect	election
for	for	for
president	presid	president
would	would	would
be	be	be
abolished	abolish	abolished
from	from	from
2024	2024	2024
,	,	,
the	the	the
country	countri	country
would	would	would
transfer	transfer	transfer
to	to	to
full	full	full
proportional	proport	proportional
parliamentary	parliamentari	parliamentary
representation	represent	representation
and	and	and
the	the	the
system	system	system
of	of	of
electoral	elector	electoral
blocs	bloc	bloc
would	would	would
be	be	be
scrapped	scrap	scrapped
.	.	.

In	in	In
a	a	a
televised	televis	televised
statement	statement	statement
,	,	,
Margvelashvili	margvelashvili	Margvelashvili
,	,	,
who	who	who
was	was	wa
elected	elect	elected
in	in	in
2013	2013	2013
for	for	for
a	a	a
five	five	five
-year	-year	-year
term	term	term
,	,	,
said	said	said
he	he	he
remained	remain	remained
in	in	in
favor	favor	favor
of	of	of
direct	direct	direct
presidential	presidenti	presidential
elections	elect	election
rather	rather	rather
than	than	than
a	a	a
system	system	system
in	in	in
which	which	which
the	the	the
president	presid	president
would	would	would
be	be	be
appointed	appoint	appointed
by	by	by
parliament	parliament	parliament
.	.	.

He	he	He
said	said	said
he	he	he
had	had	had
proposed	propos	proposed
to	to	to
the	the	the
parliamentary	parliamentari	parliamentary
majority	major	majority
to	to	to
allow	allow	allow
parties	parti	party
to	to	to
form	form	form
electoral	elector	electoral
blocs	bloc	bloc
for	for	for
the	the	the
next	next	next
parliamentary	parliamentari	parliamentary
elections	elect	election
in	in	in
2020	2020	2020
.	.	.

He	he	He
said	said	said
he	he	he
also	also	also
supported	support	supported
scrapping	scrap	scrapping
the	the	the
voting	vote	voting
bonus	bonus	bonus
system	system	system
under	under	under
which	which	which
votes	vote	vote
of	of	of
parties	parti	party
that	that	that
failed	fail	failed
to	to	to
muster	muster	muster
enough	enough	enough
support	support	support
to	to	to
enter	enter	enter
parliament	parliament	parliament
would	would	would
be	be	be
transferred	transfer	transferred
to	to	to
the	the	the
winner	winner	winner
of	of	of
the	the	the
election	elect	election
.	.	.

He	he	He
also	also	also
supported	support	supported
a	a	a
switch	switch	switch
to	to	to
a	a	a
proportional	proport	proportional
electoral	elector	electoral
system	system	system
in	in	in
2020	2020	2020
.	.	.

I	i	I
will	will	will
send	send	send
my	my	my
justified	justifi	justified
objection	object	objection
to	to	to
the	the	the
parliament	parliament	parliament
today	today	today
,	,	,
Margvelashvili	margvelashvili	Margvelashvili
said	said	said
.	.	.

The	the	The
next	next	next
presidential	presidenti	presidential
election	elect	election
in	in	in
Georgia	georgia	Georgia
is	is	is
to	to	to
be	be	be
held	held	held
in	in	in
2018	2018	2018
and	and	and
it	it	it
is	is	is
not	not	not
clear	clear	clear
whether	whether	whether
Margvelashvili	margvelashvili	Margvelashvili
,	,	,
who	who	who
is	is	is
at	at	at
odds	odd	odds
with	with	with
the	the	the
ruling	rule	ruling
party	parti	party
on	on	on
several	sever	several
issues	issu	issue
,	,	,
will	will	will
stand	stand	stand
again	again	again
.	.	.

MPs	mps	MPs
from	from	from
the	the	the
Georgian	georgian	Georgian
Dream	dream	Dream
said	said	said
after	after	after
adopting	adopt	adopting
the	the	the
new	new	new
constitution	constitut	constitution
that	that	that
they	they	they
would	would	would
give	give	give
ground	ground	ground
on	on	on
only	onli	only
two	two	two
of	of	of
the	the	the
president	presid	president
s	s	s
objections	object	objection
allowing	allow	allowing
the	the	the
parties	parti	party
to	to	to
form	form	form
electoral	elector	electoral
blocs	bloc	bloc
and	and	and
scrapping	scrap	scrapping
the	the	the
voting	vote	voting
bonus	bonus	bonus
system	system	system
.	.	.

The	the	The
ruling	rule	ruling
party	parti	party
has	has	ha
a	a	a
constitutional	constitut	constitutional
majority	major	majority
at	at	at
the	the	the
parliament	parliament	parliament
,	,	,
allowing	allow	allowing
it	it	it
to	to	to
overcome	overcom	overcome
the	the	the
president	presid	president
s	s	s
veto	veto	veto
.	.	.

