MELBOURNE	melbourn	MELBOURNE
Reuters	reuter	Reuters
-	-	-
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Pacific	pacif	Pacific
Fleet	fleet	Fleet
commander	command	commander
,	,	,
addressing	address	addressing
a	a	a
security	secur	security
conference	confer	conference
in	in	in
Australia	australia	Australia
,	,	,
said	said	said
in	in	in
answer	answer	answer
to	to	to
a	a	a
question	question	question
on	on	on
Thursday	thursday	Thursday
that	that	that
he	he	he
would	would	would
be	be	be
prepared	prepar	prepared
to	to	to
launch	launch	launch
a	a	a
nuclear	nuclear	nuclear
strike	strike	strike
on	on	on
China	china	China
if	if	if
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
so	so	so
ordered	order	ordered
.	.	.

The	the	The
fleet	fleet	fleet
spokesman	spokesman	spokesman
later	later	later
said	said	said
the	the	the
question	question	question
was	was	wa
asked	ask	asked
as	as	a
an	an	an
outrageous	outrag	outrageous
hypothetical	hypothet	hypothetical
.	.	.

Admiral	admir	Admiral
Scott	scott	Scott
Swift	swift	Swift
was	was	wa
speaking	speak	speaking
at	at	at
the	the	the
Australian	australian	Australian
National	nation	National
University	univers	University
in	in	in
Canberra	canberra	Canberra
when	when	when
he	he	he
was	was	wa
asked	ask	asked
whether	whether	whether
he	he	he
would	would	would
be	be	be
prepared	prepar	prepared
to	to	to
launch	launch	launch
a	a	a
nuclear	nuclear	nuclear
attack	attack	attack
on	on	on
China	china	China
if	if	if
ordered	order	ordered
to	to	to
do	do	do
so	so	so
by	by	by
Trump	trump	Trump
.	.	.

The	the	The
answer	answer	answer
would	would	would
be	be	be
yes	yes	yes
,	,	,
he	he	he
said	said	said
.	.	.

Swift	swift	Swift
said	said	said
that	that	that
all	all	all
members	member	member
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
had	had	had
sworn	sworn	sworn
an	an	an
oath	oath	oath
to	to	to
obey	obey	obey
officers	offic	officer
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
as	as	a
commander	command	commander
in	in	in
chief	chief	chief
to	to	to
defend	defend	defend
the	the	the
constitution	constitut	constitution
.	.	.

This	this	This
is	is	is
core	core	core
to	to	to
the	the	the
American	american	American
democracy	democraci	democracy
,	,	,
he	he	he
said	said	said
,	,	,
in	in	in
a	a	a
recording	record	recording
of	of	of
the	the	the
event	event	event
obtained	obtain	obtained
by	by	by
Reuters	reuter	Reuters
.	.	.

Any	ani	Any
time	time	time
you	you	you
have	have	have
a	a	a
military	militari	military
that	that	that
is	is	is
moving	move	moving
away	away	away
from	from	from
a	a	a
focus	focus	focus
,	,	,
and	and	and
an	an	an
allegiance	allegi	allegiance
,	,	,
to	to	to
civilian	civilian	civilian
control	control	control
,	,	,
then	then	then
we	we	we
really	realli	really
have	have	have
significant	signific	significant
problems	problem	problem
.	.	.
Swift	swift	Swift
s	s	s
answer	answer	answer
reaffirmed	reaffirm	reaffirmed
the	the	the
principle	principl	principle
of	of	of
civilian	civilian	civilian
control	control	control
over	over	over
the	the	the
military	militari	military
and	and	and
was	was	wa
based	base	based
on	on	on
an	an	an
outrageous	outrag	outrageous
hypothetical	hypothet	hypothetical
in	in	in
the	the	the
question	question	question
,	,	,
Pacific	pacif	Pacific
Fleet	fleet	Fleet
spokesman	spokesman	spokesman
Captain	captain	Captain
Charlie	charli	Charlie
Brown	brown	Brown
told	told	told
Reuters	reuter	Reuters
.	.	.

Frankly	frank	Frankly
,	,	,
the	the	the
premise	premis	premise
of	of	of
the	the	the
question	question	question
was	was	wa
ridiculous	ridicul	ridiculous
,	,	,
he	he	he
said	said	said
.	.	.

It	it	It
was	was	wa
posed	pose	posed
as	as	a
an	an	an
outrageous	outrag	outrageous
hypothetical	hypothet	hypothetical
,	,	,
but	but	but
the	the	the
admiral	admir	admiral
simply	simpli	simply
took	took	took
it	it	it
as	as	a
an	an	an
opportunity	opportun	opportunity
to	to	to
say	say	say
the	the	the
fact	fact	fact
is	is	is
that	that	that
we	we	we
have	have	have
civilian	civilian	civilian
control	control	control
of	of	of
the	the	the
military	militari	military
and	and	and
we	we	we
abide	abid	abide
by	by	by
that	that	that
principle	principl	principle
.	.	.
Speaking	speak	Speaking
in	in	in
Beijing	beij	Beijing
on	on	on
Friday	friday	Friday
,	,	,
a	a	a
spokesman	spokesman	spokesman
of	of	of
China	china	China
s	s	s
Foreign	foreign	Foreign
Ministry	ministri	Ministry
also	also	also
downplayed	downplay	downplayed
the	the	the
remark	remark	remark
.	.	.

Many	mani	Many
people	peopl	people
have	have	have
paid	paid	paid
attention	attent	attention
to	to	to
this	this	this
but	but	but
the	the	the
spokesman	spokesman	spokesman
for	for	for
the	the	the
Pacific	pacif	Pacific
Fleet	fleet	Fleet
has	has	ha
pointed	point	pointed
out	out	out
the	the	the
ridiculousness	ridicul	ridiculousness
of	of	of
this	this	this
report	report	report
,	,	,
Lu	lu	Lu
Kang	kang	Kang
told	told	told
a	a	a
daily	daili	daily
news	news	news
briefing	brief	briefing
.	.	.

The	the	The
United	unit	United
States	state	States
and	and	and
China	china	China
enjoy	enjoy	enjoy
a	a	a
generally	general	generally
friendly	friend	friendly
relationship	relationship	relationship
,	,	,
with	with	with
strong	strong	strong
economic	econom	economic
ties	tie	tie
,	,	,
albeit	albeit	albeit
with	with	with
frequent	frequent	frequent
barbs	barb	barb
about	about	about
trade	trade	trade
,	,	,
jobs	job	job
,	,	,
currencies	currenc	currency
,	,	,
human	human	human
rights	right	right
,	,	,
Tibet	tibet	Tibet
,	,	,
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
and	and	and
North	north	North
Korea	korea	Korea
.	.	.

Trump	trump	Trump
has	has	ha
held	held	held
high	high	high
hopes	hope	hope
for	for	for
greater	greater	greater
cooperation	cooper	cooperation
from	from	from
China	china	China
to	to	to
exert	exert	exert
influence	influenc	influence
over	over	over
North	north	North
Korea	korea	Korea
,	,	,
leaning	lean	leaning
heavily	heavili	heavily
on	on	on
Chinese	chines	Chinese
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
for	for	for
his	his	his
assistance	assist	assistance
.	.	.

The	the	The
two	two	two
leaders	leader	leader
had	had	had
a	a	a
high	high	high
-profile	-profil	-profile
summit	summit	summit
in	in	in
Florida	florida	Florida
in	in	in
April	april	April
and	and	and
Trump	trump	Trump
has	has	ha
frequently	frequent	frequently
praised	prais	praised
Xi	xi	Xi
.	.	.

