BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
The	the	The
number	number	number
of	of	of
asylum	asylum	asylum
seekers	seeker	seeker
registered	regist	registered
in	in	in
Germany	germani	Germany
fell	fell	fell
in	in	in
September	septemb	September
and	and	and
the	the	the
annual	annual	annual
total	total	total
of	of	of
new	new	new
arrivals	arriv	arrival
is	is	is
unlikely	unlik	unlikely
to	to	to
soar	soar	soar
above	abov	above
the	the	the
cap	cap	cap
agreed	agre	agreed
by	by	by
Chancellor	chancellor	Chancellor
Angela	angela	Angela
Merkel	merkel	Merkel
and	and	and
her	her	her
Bavarian	bavarian	Bavarian
allies	alli	ally
last	last	last
weekend	weekend	weekend
,	,	,
data	data	data
showed	show	showed
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

Reaching	reach	Reaching
a	a	a
broader	broader	broader
agreement	agreement	agreement
on	on	on
a	a	a
migrant	migrant	migrant
limit	limit	limit
with	with	with
other	other	other
junior	junior	junior
partners	partner	partner
,	,	,
mainly	main	mainly
the	the	the
left	left	left
-leaning	-lean	-leaning
Greens	green	Greens
and	and	and
the	the	the
pro	pro	pro
-business	-busi	-business
Free	free	Free
Democrats	democrat	Democrats
FDP	fdp	FDP
,	,	,
is	is	is
a	a	a
key	key	key
theme	theme	theme
in	in	in
efforts	effort	effort
to	to	to
forge	forg	forge
a	a	a
new	new	new
German	german	German
coalition	coalit	coalition
.	.	.

Merkel	merkel	Merkel
s	s	s
Christian	christian	Christian
Democrats	democrat	Democrats
CDU	cdu	CDU
reached	reach	reached
a	a	a
deal	deal	deal
on	on	on
migrant	migrant	migrant
policy	polici	policy
with	with	with
their	their	their
Bavarian	bavarian	Bavarian
CSU	csu	CSU
allies	alli	ally
on	on	on
Sunday	sunday	Sunday
to	to	to
put	put	put
a	a	a
net	net	net
total	total	total
of	of	of
around	around	around
200	200	200
,	,	,
000	000	000
individuals	individu	individual
who	who	who
Germany	germani	Germany
would	would	would
accept	accept	accept
per	per	per
year	year	year
on	on	on
humanitarian	humanitarian	humanitarian
grounds	ground	ground
.	.	.

Since	sinc	Since
the	the	the
beginning	begin	beginning
of	of	of
the	the	the
year	year	year
,	,	,
a	a	a
total	total	total
of	of	of
139	139	139
,	,	,
635	635	635
people	peopl	people
applied	appli	applied
for	for	for
asylum	asylum	asylum
in	in	in
Germany	germani	Germany
and	and	and
the	the	the
number	number	number
of	of	of
applicants	applic	applicant
in	in	in
September	septemb	September
fell	fell	fell
by	by	by
10	10	10
percent	percent	percent
on	on	on
the	the	the
month	month	month
,	,	,
data	data	data
from	from	from
the	the	the
Federal	feder	Federal
Interior	interior	Interior
Ministry	ministri	Ministry
showed	show	showed
.	.	.

Germany	germani	Germany
saw	saw	saw
an	an	an
influx	influx	influx
of	of	of
890	890	890
,	,	,
000	000	000
asylum	asylum	asylum
seekers	seeker	seeker
in	in	in
2015	2015	2015
and	and	and
280	280	280
,	,	,
000	000	000
in	in	in
2016	2016	2016
.	.	.

Most	most	Most
asylum	asylum	asylum
applicants	applic	applicant
that	that	that
Germany	germani	Germany
has	has	ha
received	receiv	received
this	this	this
year	year	year
so	so	so
far	far	far
come	come	come
from	from	from
Syria	syria	Syria
,	,	,
Iraq	iraq	Iraq
and	and	and
Afghanistan	afghanistan	Afghanistan
,	,	,
the	the	the
data	data	data
showed	show	showed
.	.	.

However	howev	However
,	,	,
there	there	there
was	was	wa
a	a	a
surge	surg	surge
of	of	of
Turkish	turkish	Turkish
asylum	asylum	asylum
seekers	seeker	seeker
last	last	last
month	month	month
,	,	,
making	make	making
them	them	them
the	the	the
third	third	third
-biggest	-biggest	-biggest
group	group	group
of	of	of
applicants	applic	applicant
after	after	after
Syrians	syrian	Syrians
and	and	and
Iraqis	iraqi	Iraqis
that	that	that
month	month	month
.	.	.

Interior	interior	Interior
ministry	ministri	ministry
spokesman	spokesman	spokesman
Johannes	johann	Johannes
Dimroth	dimroth	Dimroth
said	said	said
the	the	the
number	number	number
of	of	of
new	new	new
asylum	asylum	asylum
seekers	seeker	seeker
had	had	had
flattened	flatten	flattened
out	out	out
a	a	a
bit	bit	bit
but	but	but
he	he	he
could	could	could
not	not	not
make	make	make
any	ani	any
forecasts	forecast	forecast
for	for	for
the	the	the
coming	come	coming
months	month	month
.	.	.

Friedrich	friedrich	Friedrich
Heckmann	heckmann	Heckmann
,	,	,
an	an	an
expert	expert	expert
of	of	of
immigration	immigr	immigration
studies	studi	study
at	at	at
the	the	the
University	univers	University
of	of	of
Bamberg	bamberg	Bamberg
,	,	,
said	said	said
the	the	the
number	number	number
of	of	of
asylum	asylum	asylum
seekers	seeker	seeker
arriving	arriv	arriving
in	in	in
Germany	germani	Germany
would	would	would
probably	probabl	probably
be	be	be
around	around	around
the	the	the
number	number	number
Merkel	merkel	Merkel
and	and	and
her	her	her
conservative	conserv	conservative
Bavarian	bavarian	Bavarian
allies	alli	ally
agreed	agre	agreed
on	on	on
last	last	last
Sunday	sunday	Sunday
.	.	.

This	this	This
is	is	is
some	some	some
kind	kind	kind
of	of	of
back	back	back
to	to	to
normality	normal	normality
because	becaus	because
we	we	we
had	had	had
about	about	about
10	10	10
,	,	,
000	000	000
to	to	to
15	15	15
,	,	,
000	000	000
asylum	asylum	asylum
applications	applic	application
per	per	per
month	month	month
on	on	on
average	averag	average
in	in	in
the	the	the
last	last	last
10	10	10
years	year	year
before	befor	before
the	the	the
crisis	crisi	crisis
,	,	,
Heckmann	heckmann	Heckmann
said	said	said
.	.	.

In	in	In
a	a	a
sign	sign	sign
that	that	that
authorities	author	authority
are	are	are
reducing	reduc	reducing
the	the	the
backlog	backlog	backlog
of	of	of
still	still	still
open	open	open
asylum	asylum	asylum
cases	case	case
,	,	,
the	the	the
figure	figur	figure
of	of	of
undecided	undecid	undecided
cases	case	case
at	at	at
the	the	the
Federal	feder	Federal
Office	offic	Office
for	for	for
Migration	migrat	Migration
and	and	and
Refugees	refuge	Refugees
Bamf	bamf	Bamf
fell	fell	fell
82	82	82
percent	percent	percent
in	in	in
September	septemb	September
compared	compar	compared
to	to	to
the	the	the
same	same	same
month	month	month
last	last	last
year	year	year
to	to	to
now	now	now
99	99	99
,	,	,
334	334	334
.	.	.

Sixty	sixti	Sixty
thousand	thousand	thousand
refugee	refuge	refugee
family	famili	family
-reunion	-reunion	-reunion
requests	request	request
were	were	were
approved	approv	approved
in	in	in
the	the	the
first	first	first
half	half	half
of	of	of
the	the	the
year	year	year
and	and	and
the	the	the
cases	case	case
of	of	of
70	70	70
,	,	,
000	000	000
Syrian	syrian	Syrian
and	and	and
Iraqi	iraqi	Iraqi
family	famili	family
members	member	member
are	are	are
waiting	wait	waiting
to	to	to
be	be	be
processed	process	processed
in	in	in
German	german	German
embassies	embassi	embassy
,	,	,
the	the	the
Federal	feder	Federal
Foreign	foreign	Foreign
Office	offic	Office
said	said	said
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

