LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
Planned	plan	Planned
changes	chang	change
that	that	that
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
says	say	say
are	are	are
aimed	aim	aimed
at	at	at
ensuring	ensur	ensuring
American	american	American
companies	compani	company
do	do	do
not	not	not
avoid	avoid	avoid
tax	tax	tax
by	by	by
shifting	shift	shifting
their	their	their
headquarters	headquart	headquarters
overseas	oversea	overseas
could	could	could
also	also	also
force	forc	force
foreign	foreign	foreign
companies	compani	company
to	to	to
adopt	adopt	adopt
more	more	more
conservative	conserv	conservative
U	u	U
.	.	.
S	s	S
.	.	.
tax	tax	tax
-planning	-plan	-planning
strategies	strategi	strategy
.	.	.
One	one	One
of	of	of
the	the	the
measures	measur	measure
restricts	restrict	restricts
the	the	the
ability	abil	ability
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
subsidiaries	subsidiari	subsidiary
of	of	of
foreign	foreign	foreign
companies	compani	company
to	to	to
deduct	deduct	deduct
the	the	the
interest	interest	interest
they	they	they
pay	pay	pay
on	on	on
loans	loan	loan
from	from	from
their	their	their
parent	parent	parent
firms	firm	firm
from	from	from
their	their	their
taxable	taxabl	taxable
income	incom	income
.	.	.
It	it	It
aims	aim	aim
to	to	to
stop	stop	stop
a	a	a
redomiciled	redomicil	redomiciled
American	american	American
firm	firm	firm
from	from	from
reducing	reduc	reducing
its	it	it
U	u	U
.	.	.
S	s	S
.	.	.
tax	tax	tax
bill	bill	bill
by	by	by
piling	pile	piling
inter	inter	inter
-group	-group	-group
debt	debt	debt
on	on	on
its	it	it
U	u	U
.	.	.
S	s	S
.	.	.
operations	oper	operation
,	,	,
and	and	and
effectively	effect	effectively
shifting	shift	shifting
profits	profit	profit
overseas	oversea	overseas
.	.	.
But	but	But
it	it	it
could	could	could
also	also	also
affect	affect	affect
European	european	European
companies	compani	company
that	that	that
use	use	use
similar	similar	similar
strategies	strategi	strategy
to	to	to
reduce	reduc	reduce
their	their	their
tax	tax	tax
bills	bill	bill
in	in	in
the	the	the
United	unit	United
States	state	States
after	after	after
buying	buy	buying
U	u	U
.	.	.
S	s	S
.	.	.
firms	firm	firm
.	.	.
The	the	The
new	new	new
rules	rule	rule
announced	announc	announced
by	by	by
the	the	the
Treasury	treasuri	Treasury
department	depart	department
this	this	this
week	week	week
aim	aim	aim
to	to	to
curb	curb	curb
so	so	so
-called	-call	-called
inversions	invers	inversion
-	-	-
where	where	where
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
group	group	group
acquires	acquir	acquires
a	a	a
smaller	smaller	smaller
overseas	oversea	overseas
company	compani	company
and	and	and
shifts	shift	shift
its	it	it
domicile	domicil	domicile
to	to	to
a	a	a
lower	lower	lower
-tax	-tax	-tax
jurisdiction	jurisdict	jurisdiction
.	.	.
Drugmaker	drugmak	Drugmaker
Pfizer	pfizer	Pfizer
s	s	s
plan	plan	plan
to	to	to
buy	buy	buy
rival	rival	rival
Allergan	allergan	Allergan
and	and	and
move	move	move
to	to	to
Ireland	ireland	Ireland
was	was	wa
one	one	one
of	of	of
the	the	the
planned	plan	planned
inversions	invers	inversion
that	that	that
prompted	prompt	prompted
the	the	the
Obama	obama	Obama
administration	administr	administration
to	to	to
act	act	act
.	.	.
The	the	The
160	160	160
billion	billion	billion
deal	deal	deal
fell	fell	fell
apart	apart	apart
last	last	last
week	week	week
as	as	a
a	a	a
result	result	result
of	of	of
other	other	other
aspects	aspect	aspect
of	of	of
the	the	the
Treasury	treasuri	Treasury
reforms	reform	reform
.	.	.
Under	under	Under
the	the	the
new	new	new
rule	rule	rule
regarding	regard	regarding
debt	debt	debt
,	,	,
if	if	if
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
subsidiary	subsidiari	subsidiary
transfers	transfer	transfer
money	money	money
to	to	to
its	it	it
overseas	oversea	overseas
parent	parent	parent
within	within	within
three	three	three
years	year	year
before	befor	before
or	or	or
after	after	after
borrowing	borrow	borrowing
money	money	money
from	from	from
it	it	it
,	,	,
by	by	by
paying	pay	paying
a	a	a
dividend	dividend	dividend
or	or	or
buying	buy	buying
shares	share	share
in	in	in
the	the	the
parent	parent	parent
,	,	,
then	then	then
U	u	U
.	.	.
S	s	S
.	.	.
tax	tax	tax
authorities	author	authority
could	could	could
potentially	potenti	potentially
treat	treat	treat
the	the	the
loan	loan	loan
as	as	a
if	if	if
it	it	it
was	was	wa
equity	equiti	equity
.	.	.
This	this	This
means	mean	mean
the	the	the
interest	interest	interest
on	on	on
the	the	the
debt	debt	debt
would	would	would
not	not	not
be	be	be
deductible	deduct	deductible
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
income	incom	income
tax	tax	tax
purposes	purpos	purpose
.	.	.
Experts	expert	Experts
said	said	said
that	that	that
European	european	European
companies	compani	company
would	would	would
still	still	still
be	be	be
able	abl	able
to	to	to
shift	shift	shift
profits	profit	profit
via	via	via
inter	inter	inter
-group	-group	-group
debt	debt	debt
,	,	,
but	but	but
may	may	may
have	have	have
to	to	to
do	do	do
so	so	so
gradually	gradual	gradually
over	over	over
a	a	a
longer	longer	longer
period	period	period
of	of	of
time	time	time
.	.	.
It	it	It
,	,	,
without	without	without
doubt	doubt	doubt
,	,	,
significantly	signific	significantly
changes	chang	change
the	the	the
rules	rule	rule
of	of	of
the	the	the
game	game	game
,	,	,
said	said	said
Stephen	stephen	Stephen
Shay	shay	Shay
,	,	,
professor	professor	professor
of	of	of
law	law	law
at	at	at
Harvard	harvard	Harvard
University	univers	University
.	.	.
In	in	In
the	the	the
old	old	old
days	day	day
you	you	you
bought	bought	bought
and	and	and
then	then	then
you	you	you
levered	lever	levered
up	up	up
as	as	a
much	much	much
as	as	a
you	you	you
can	can	can
and	and	and
that	that	that
is	is	is
not	not	not
going	go	going
to	to	to
happen	happen	happen
in	in	in
the	the	the
same	same	same
way	way	way
,	,	,
but	but	but
how	how	how
much	much	much
of	of	of
a	a	a
constraint	constraint	constraint
that	that	that
becomes	becom	becomes
is	is	is
unclear	unclear	unclear
,	,	,
he	he	he
added	ad	added
.	.	.
Nancy	nanci	Nancy
McLernon	mclernon	McLernon
,	,	,
president	presid	president
of	of	of
the	the	the
Organization	organ	Organization
for	for	for
International	intern	International
Investment	invest	Investment
,	,	,
a	a	a
trade	trade	trade
group	group	group
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
subsidiaries	subsidiari	subsidiary
of	of	of
foreign	foreign	foreign
companies	compani	company
,	,	,
denied	deni	denied
non	non	non
-U	-u	-U
.	.	.
S	s	S
.	.	.
groups	group	group
were	were	were
routinely	routin	routinely
shifting	shift	shifting
profit	profit	profit
overseas	oversea	overseas
through	through	through
debt	debt	debt
.	.	.
Where	where	Where
s	s	s
the	the	the
problem	problem	problem
they	they	they
U	u	U
.	.	.
S	s	S
.	.	.
authorities	author	authority
are	are	are
trying	tri	trying
to	to	to
fix	fix	fix
?	?	?
It	it	It
feels	feel	feel
more	more	more
like	like	like
a	a	a
tax	tax	tax
grab	grab	grab
,	,	,
she	she	she
said	said	said
.	.	.
She	she	She
said	said	said
the	the	the
complexity	complex	complexity
of	of	of
the	the	the
issue	issu	issue
and	and	and
uncertainty	uncertainti	uncertainty
over	over	over
how	how	how
the	the	the
Internal	intern	Internal
Revenue	revenu	Revenue
Service	servic	Service
IRS	ir	IRS
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
tax	tax	tax
authority	author	authority
,	,	,
would	would	would
seek	seek	seek
to	to	to
use	use	use
their	their	their
new	new	new
powers	power	power
would	would	would
make	make	make
investing	invest	investing
in	in	in
new	new	new
U	u	U
.	.	.
S	s	S
.	.	.
projects	project	project
less	less	le
attractive	attract	attractive
.	.	.
It	it	It
will	will	will
have	have	have
a	a	a
chilling	chill	chilling
effect	effect	effect
on	on	on
foreign	foreign	foreign
direct	direct	direct
investment	invest	investment
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
McLernon	mclernon	McLernon
added	ad	added
.	.	.
The	the	The
Treasury	treasuri	Treasury
says	say	say
it	it	it
is	is	is
targeting	target	targeting
situations	situat	situation
where	where	where
large	larg	large
debts	debt	debt
are	are	are
incurred	incur	incurred
to	to	to
fund	fund	fund
dividends	dividend	dividend
shortly	short	shortly
after	after	after
an	an	an
inversion	invers	inversion
or	or	or
foreign	foreign	foreign
acquisition	acquisit	acquisition
,	,	,
rather	rather	rather
than	than	than
the	the	the
most	most	most
common	common	common
way	way	way
U	u	U
.	.	.
S	s	S
.	.	.
subsidiaries	subsidiari	subsidiary
accumulate	accumul	accumulate
inter	inter	inter
-group	-group	-group
debt	debt	debt
.	.	.
That	that	That
is	is	is
by	by	by
having	have	having
the	the	the
subsidiary	subsidiari	subsidiary
gradually	gradual	gradually
pay	pay	pay
all	all	all
its	it	it
profit	profit	profit
to	to	to
its	it	it
parent	parent	parent
as	as	a
dividends	dividend	dividend
and	and	and
then	then	then
borrow	borrow	borrow
money	money	money
from	from	from
its	it	it
parent	parent	parent
for	for	for
new	new	new
investment	invest	investment
.	.	.
The	the	The
proposed	propos	proposed
regulations	regul	regulation
generally	general	generally
do	do	do
not	not	not
apply	appli	apply
to	to	to
related	relat	related
-party	-parti	-party
debt	debt	debt
that	that	that
is	is	is
incurred	incur	incurred
to	to	to
fund	fund	fund
actual	actual	actual
business	busi	business
investment	invest	investment
,	,	,
such	such	such
as	as	a
building	build	building
or	or	or
equipping	equip	equipping
a	a	a
factory	factori	factory
,	,	,
a	a	a
Treasury	treasuri	Treasury
factsheet	factsheet	factsheet
released	releas	released
last	last	last
week	week	week
said	said	said
.	.	.
Providing	provid	Providing
the	the	the
money	money	money
a	a	a
foreign	foreign	foreign
company	compani	company
takes	take	take
out	out	out
of	of	of
its	it	it
U	u	U
.	.	.
S	s	S
.	.	.
subsidiary	subsidiari	subsidiary
is	is	is
in	in	in
line	line	line
with	with	with
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
company	compani	company
s	s	s
profits	profit	profit
,	,	,
the	the	the
transactions	transact	transaction
should	should	should
escape	escap	escape
IRS	ir	IRS
scrutiny	scrutini	scrutiny
,	,	,
Shay	shay	Shay
said	said	said
.	.	.
Companies	compani	Companies
don	don	don
t	t	t
usually	usual	usually
publish	publish	publish
details	detail	detail
of	of	of
their	their	their
inter	inter	inter
-group	-group	-group
financing	financ	financing
so	so	so
it	it	it
s	s	s
impossible	imposs	impossible
to	to	to
put	put	put
a	a	a
figure	figur	figure
on	on	on
how	how	how
much	much	much
profit	profit	profit
foreign	foreign	foreign
companies	compani	company
shelter	shelter	shelter
from	from	from
U	u	U
.	.	.
S	s	S
.	.	.
tax	tax	tax
through	through	through
inter	inter	inter
-group	-group	-group
loans	loan	loan
.	.	.
Richard	richard	Richard
Murphy	murphi	Murphy
,	,	,
professor	professor	professor
of	of	of
practice	practic	practice
in	in	in
international	intern	international
political	polit	political
economy	economi	economy
at	at	at
City	citi	City
University	univers	University
London	london	London
,	,	,
estimates	estim	estimate
the	the	the
IRS	ir	IRS
could	could	could
lose	lose	lose
tens	ten	ten
of	of	of
billions	billion	billion
of	of	of
dollars	dollar	dollar
in	in	in
taxes	tax	tax
each	each	each
year	year	year
in	in	in
this	this	this
way	way	way
.	.	.
Companies	compani	Companies
that	that	that
have	have	have
reduced	reduc	reduced
their	their	their
U	u	U
.	.	.
S	s	S
.	.	.
tax	tax	tax
bills	bill	bill
via	via	via
inter	inter	inter
-group	-group	-group
lending	lend	lending
include	includ	include
drugmaker	drugmak	drugmaker
GlaxoSmithKline	glaxosmithklin	GlaxoSmithKline
,	,	,
education	educ	education
group	group	group
Pearson	pearson	Pearson
,	,	,
utility	util	utility
Scottish	scottish	Scottish
Power	power	Power
and	and	and
telecoms	telecom	telecom
group	group	group
Vodafone	vodafon	Vodafone
.	.	.
All	all	All
said	said	said
their	their	their
lending	lend	lending
to	to	to
U	u	U
.	.	.
S	s	S
.	.	.
subsidiaries	subsidiari	subsidiary
had	had	had
been	been	been
unwound	unwound	unwound
and	and	and
that	that	that
they	they	they
complied	compli	complied
with	with	with
all	all	all
tax	tax	tax
rules	rule	rule
.	.	.
Details	detail	Details
of	of	of
their	their	their
lending	lend	lending
arrangements	arrang	arrangement
came	came	came
to	to	to
public	public	public
attention	attent	attention
following	follow	following
data	data	data
leaks	leak	leak
or	or	or
legal	legal	legal
action	action	action
with	with	with
tax	tax	tax
authorities	author	authority
.	.	.
A	a	A
2013	2013	2013
Reuters	reuter	Reuters
examination	examin	examination
of	of	of
tax	tax	tax
planning	plan	planning
by	by	by
Europe	europ	Europe
s	s	s
largest	largest	largest
software	softwar	software
group	group	group
,	,	,
SAP	sap	SAP
AG	ag	AG
,	,	,
showed	show	showed
how	how	how
the	the	the
German	german	German
company	compani	company
shifted	shift	shifted
profits	profit	profit
from	from	from
the	the	the
United	unit	United
States	state	States
,	,	,
which	which	which
has	has	ha
a	a	a
corporate	corpor	corporate
tax	tax	tax
rate	rate	rate
of	of	of
at	at	at
least	least	least
35	35	35
percent	percent	percent
,	,	,
to	to	to
Ireland	ireland	Ireland
whose	whose	whose
headline	headlin	headline
rate	rate	rate
is	is	is
12	12	12
.	.	.
5	5	5
percent	percent	percent
.	.	.
here	here	here
HIGH	high	HIGH
-INTEREST	-interest	-INTEREST
LOANS	loan	LOANS
According	accord	According
to	to	to
Reuters	reuter	Reuters
calculations	calcul	calculation
based	base	based
on	on	on
2015	2015	2015
corporate	corpor	corporate
filings	file	filing
,	,	,
SAP	sap	SAP
America	america	America
Inc	inc	Inc
reduces	reduc	reduces
its	it	it
U	u	U
.	.	.
S	s	S
.	.	.
tax	tax	tax
bill	bill	bill
by	by	by
around	around	around
200	200	200
million	million	million
a	a	a
year	year	year
by	by	by
borrowing	borrow	borrowing
7	7	7
.	.	.
4	4	4
billion	billion	billion
from	from	from
SAP	sap	SAP
Ireland	ireland	Ireland
US	us	US
Financial	financi	Financial
Services	servic	Services
Ltd	ltd	Ltd
at	at	at
an	an	an
interest	interest	interest
rate	rate	rate
