GENEVA	geneva	GENEVA
Reuters	reuter	Reuters
-	-	-
The	the	The
U	u	U
.	.	.
N	n	N
.	.	.
Human	human	Human
Rights	right	Rights
Council	council	Council
voted	vote	voted
on	on	on
Friday	friday	Friday
to	to	to
extend	extend	extend
its	it	it
investigation	investig	investigation
into	into	into
suspected	suspect	suspected
crimes	crime	crime
against	against	against
humanity	human	humanity
in	in	in
Burundi	burundi	Burundi
,	,	,
dealing	deal	dealing
a	a	a
blow	blow	blow
to	to	to
an	an	an
attempt	attempt	attempt
by	by	by
a	a	a
group	group	group
of	of	of
African	african	African
countries	countri	country
to	to	to
dial	dial	dial
down	down	down
the	the	the
level	level	level
of	of	of
scrutiny	scrutini	scrutiny
.	.	.

Burundi	burundi	Burundi
had	had	had
hoped	hope	hoped
that	that	that
by	by	by
promising	promis	promising
to	to	to
cooperate	cooper	cooperate
fully	fulli	fully
with	with	with
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
human	human	human
rights	right	right
office	offic	office
and	and	and
inviting	invit	inviting
three	three	three
experts	expert	expert
to	to	to
the	the	the
country	countri	country
,	,	,
the	the	the
Council	council	Council
would	would	would
drop	drop	drop
its	it	it
Commission	commiss	Commission
of	of	of
Inquiry	inquiri	Inquiry
.	.	.

It	it	It
appeared	appear	appeared
to	to	to
have	have	have
succeeded	succeed	succeeded
on	on	on
Thursday	thursday	Thursday
when	when	when
the	the	the
Council	council	Council
agreed	agre	agreed
to	to	to
send	send	send
the	the	the
three	three	three
experts	expert	expert
,	,	,
backing	back	backing
a	a	a
resolution	resolut	resolution
that	that	that
also	also	also
welcomed	welcom	welcomed
Burundi	burundi	Burundi
s	s	s
decision	decis	decision
to	to	to
restore	restor	restore
full	full	full
cooperation	cooper	cooperation
with	with	with
the	the	the
High	high	High
Commissioner	commission	Commissioner
for	for	for
Human	human	Human
Rights	right	Rights
.	.	.

Burundi	burundi	Burundi
s	s	s
ambassador	ambassador	ambassador
,	,	,
Renovat	renovat	Renovat
Tabu	tabu	Tabu
,	,	,
told	told	told
the	the	the
Council	council	Council
that	that	that
after	after	after
that	that	that
decision	decis	decision
,	,	,
there	there	there
was	was	wa
no	no	no
longer	longer	longer
any	ani	any
need	need	need
to	to	to
continue	continu	continue
the	the	the
Commission	commiss	Commission
of	of	of
Inquiry	inquiri	Inquiry
,	,	,
as	as	a
demanded	demand	demanded
by	by	by
the	the	the
European	european	European
Union	union	Union
.	.	.

There	there	There
is	is	is
a	a	a
clear	clear	clear
will	will	will
of	of	of
the	the	the
EU	eu	EU
to	to	to
instrumentalize	instrument	instrumentalize
the	the	the
Council	council	Council
to	to	to
politicize	politic	politicize
human	human	human
rights	right	right
,	,	,
he	he	he
said	said	said
.	.	.

But	but	But
the	the	the
EU	eu	EU
,	,	,
with	with	with
strong	strong	strong
backing	back	backing
from	from	from
the	the	the
United	unit	United
States	state	States
,	,	,
pressed	press	pressed
the	the	the
case	case	case
for	for	for
the	the	the
Commission	commiss	Commission
of	of	of
Inquiry	inquiri	Inquiry
.	.	.

Just	just	Just
days	day	day
ago	ago	ago
,	,	,
when	when	when
Burundi	burundi	Burundi
finally	final	finally
agreed	agre	agreed
to	to	to
engage	engag	engage
members	member	member
of	of	of
this	this	this
council	council	council
in	in	in
discussions	discuss	discussion
for	for	for
the	the	the
first	first	first
time	time	time
,	,	,
the	the	the
Burundian	burundian	Burundian
ambassador	ambassador	ambassador
portrayed	portray	portrayed
a	a	a
rosy	rosi	rosy
picture	pictur	picture
of	of	of
his	his	his
country	countri	country
,	,	,
with	with	with
the	the	the
clear	clear	clear
goal	goal	goal
of	of	of
ending	end	ending
the	the	the
Commission	commiss	Commission
of	of	of
Inquiry	inquiri	Inquiry
,	,	,
which	which	which
he	he	he
repeated	repeat	repeated
again	again	again
today	today	today
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
diplomat	diplomat	diplomat
Jason	jason	Jason
Mack	mack	Mack
said	said	said
.	.	.

Don	don	Don
t	t	t
be	be	be
confused	confus	confused
by	by	by
Burundi	burundi	Burundi
s	s	s
last	last	last
-minute	-minut	-minute
engagement	engag	engagement
,	,	,
which	which	which
is	is	is
solely	sole	solely
to	to	to
put	put	put
an	an	an
end	end	end
to	to	to
ongoing	ongo	ongoing
investigations	investig	investigation
,	,	,
he	he	he
said	said	said
.	.	.

The	the	The
commission	commiss	commission
has	has	ha
said	said	said
there	there	there
are	are	are
reasonable	reason	reasonable
grounds	ground	ground
to	to	to
believe	believ	believe
crimes	crime	crime
against	against	against
humanity	human	humanity
have	have	have
been	been	been
committed	commit	committed
since	sinc	since
April	april	April
2015	2015	2015
when	when	when
President	presid	President
Pierre	pierr	Pierre
Nkurunziza	nkurunziza	Nkurunziza
said	said	said
he	he	he
would	would	would
seek	seek	seek
a	a	a
third	third	third
term	term	term
in	in	in
office	offic	office
.	.	.

The	the	The
opposition	opposit	opposition
has	has	ha
said	said	said
he	he	he
acted	act	acted
unconstitutionally	unconstitut	unconstitutionally
by	by	by
doing	do	doing
so	so	so
.	.	.

Burundian	burundian	Burundian
officials	offici	official
at	at	at
the	the	the
highest	highest	highest
level	level	level
should	should	should
be	be	be
held	held	held
accountable	account	accountable
for	for	for
crimes	crime	crime
against	against	against
humanity	human	humanity
and	and	and
a	a	a
list	list	list
of	of	of
suspects	suspect	suspect
has	has	ha
been	been	been
drawn	drawn	drawn
up	up	up
,	,	,
the	the	the
commission	commiss	commission
said	said	said
earlier	earlier	earlier
this	this	this
month	month	month
.	.	.

In	in	In
a	a	a
statement	statement	statement
following	follow	following
the	the	the
vote	vote	vote
,	,	,
the	the	the
commission	commiss	commission
said	said	said
it	it	it
would	would	would
like	like	like
to	to	to
believe	believ	believe
that	that	that
the	the	the
Burundian	burundian	Burundian
authorities	author	authority
will	will	will
now	now	now
respond	respond	respond
to	to	to
a	a	a
renewed	renew	renewed
request	request	request
for	for	for
dialogue	dialogu	dialogue
.	.	.

Among	among	Among
the	the	the
22	22	22
countries	countri	country
voting	vote	voting
to	to	to
maintain	maintain	maintain
maximum	maximum	maximum
scrutiny	scrutini	scrutiny
were	were	were
Botswana	botswana	Botswana
and	and	and
Burundi	burundi	Burundi
s	s	s
neighbor	neighbor	neighbor
Rwanda	rwanda	Rwanda
,	,	,
alongside	alongsid	alongside
European	european	European
countries	countri	country
and	and	and
the	the	the
United	unit	United
States	state	States
.	.	.

Other	other	Other
African	african	African
nations	nation	nation
were	were	were
among	among	among
the	the	the
11	11	11
no	no	no
votes	vote	vote
and	and	and
14	14	14
abstentions	abstent	abstention
.	.	.

