ERBIL	erbil	ERBIL
BAGHDAD	baghdad	BAGHDAD
Reuters	reuter	Reuters
-	-	-
Iraqi	iraqi	Iraqi
authorities	author	authority
have	have	have
moved	move	moved
hundreds	hundr	hundred
of	of	of
foreign	foreign	foreign
wives	wive	wife
and	and	and
children	children	child
of	of	of
suspected	suspect	suspected
Islamic	islam	Islamic
State	state	State
militants	milit	militant
from	from	from
a	a	a
detention	detent	detention
center	center	center
in	in	in
northern	northern	northern
Iraq	iraq	Iraq
to	to	to
Baghdad	baghdad	Baghdad
,	,	,
citing	cite	citing
security	secur	security
concerns	concern	concern
and	and	and
the	the	the
difficulties	difficulti	difficulty
of	of	of
keeping	keep	keeping
them	them	them
in	in	in
a	a	a
remote	remot	remote
location	locat	location
.	.	.

Local	local	Local
officials	offici	official
,	,	,
security	secur	security
and	and	and
aid	aid	aid
agency	agenc	agency
sources	sourc	source
said	said	said
more	more	more
than	than	than
800	800	800
women	women	woman
and	and	and
children	children	child
mostly	most	mostly
from	from	from
Turkey	turkey	Turkey
,	,	,
Europe	europ	Europe
and	and	and
former	former	former
Soviet	soviet	Soviet
states	state	state
had	had	had
been	been	been
moved	move	moved
to	to	to
a	a	a
secure	secur	secure
detention	detent	detention
facility	facil	facility
in	in	in
Baghdad	baghdad	Baghdad
.	.	.

Around	around	Around
700	700	700
more	more	more
are	are	are
still	still	still
being	be	being
held	held	held
at	at	at
the	the	the
facility	facil	facility
in	in	in
the	the	the
northern	northern	northern
town	town	town
of	of	of
Tal	tal	Tal
Keif	keif	Keif
,	,	,
said	said	said
Mohammed	moham	Mohammed
al	al	al
-Bayati	-bayati	-Bayati
,	,	,
the	the	the
head	head	head
of	of	of
Mosul	mosul	Mosul
s	s	s
provincial	provinci	provincial
council	council	council
security	secur	security
and	and	and
defense	defens	defense
committee	committe	committee
.	.	.

Most	most	Most
of	of	of
the	the	the
women	women	woman
and	and	and
children	children	child
have	have	have
been	been	been
in	in	in
detention	detent	detention
since	sinc	since
Aug	aug	Aug
.	.	.

30	30	30
,	,	,
when	when	when
more	more	more
than	than	than
1	1	1
,	,	,
300	300	300
surrendered	surrend	surrendered
to	to	to
Kurdish	kurdish	Kurdish
Peshmerga	peshmerga	Peshmerga
after	after	after
government	govern	government
forces	forc	force
expelled	expel	expelled
the	the	the
jihadist	jihadist	jihadist
group	group	group
from	from	from
Tal	tal	Tal
Afar	afar	Afar
,	,	,
one	one	one
of	of	of
its	it	it
last	last	last
remaining	remain	remaining
strongholds	stronghold	stronghold
in	in	in
Iraq	iraq	Iraq
.	.	.

Their	their	Their
numbers	number	number
have	have	have
swelled	swell	swelled
as	as	a
more	more	more
foreign	foreign	foreign
nationals	nation	national
have	have	have
surrendered	surrend	surrendered
or	or	or
been	been	been
captured	captur	captured
,	,	,
said	said	said
Sara	sara	Sara
al	al	al
-Zawqari	-zawqari	-Zawqari
,	,	,
the	the	the
spokesperson	spokesperson	spokesperson
for	for	for
the	the	the
International	intern	International
Committee	committe	Committee
of	of	of
the	the	the
Red	red	Red
Cross	cross	Cross
ICRC	icrc	ICRC
in	in	in
Iraq	iraq	Iraq
.	.	.

Security	secur	Security
forces	forc	force
have	have	have
continued	continu	continued
operations	oper	operation
to	to	to
rout	rout	rout
the	the	the
militants	milit	militant
from	from	from
their	their	their
last	last	last
remaining	remain	remaining
pockets	pocket	pocket
of	of	of
control	control	control
in	in	in
Western	western	Western
Anbar	anbar	Anbar
.	.	.

Iraqi	iraqi	Iraqi
authorities	author	authority
began	began	began
moving	move	moving
the	the	the
families	famili	family
several	sever	several
days	day	day
ago	ago	ago
,	,	,
Bayati	bayati	Bayati
said	said	said
,	,	,
adding	ad	adding
that	that	that
the	the	the
government	govern	government
intends	intend	intends
to	to	to
move	move	move
all	all	all
the	the	the
foreign	foreign	foreign
detainees	detaine	detainee
to	to	to
Baghdad	baghdad	Baghdad
within	within	within
the	the	the
next	next	next
few	few	few
days	day	day
.	.	.

The	the	The
move	move	move
to	to	to
the	the	the
capital	capit	capital
coincides	coincid	coincides
with	with	with
a	a	a
push	push	push
by	by	by
Iraqi	iraqi	Iraqi
officials	offici	official
to	to	to
begin	begin	begin
legal	legal	legal
proceedings	proceed	proceeding
to	to	to
determine	determin	determine
the	the	the
fate	fate	fate
of	of	of
these	these	these
women	women	woman
and	and	and
children	children	child
and	and	and
end	end	end
their	their	their
prolonged	prolong	prolonged
detention	detent	detention
,	,	,
local	local	local
officials	offici	official
and	and	and
aid	aid	aid
agency	agenc	agency
sources	sourc	source
said	said	said
.	.	.

The	the	The
government	govern	government
should	should	should
find	find	find
a	a	a
way	way	way
of	of	of
deciding	decid	deciding
their	their	their
future	futur	future
and	and	and
what	what	what
to	to	to
do	do	do
with	with	with
them	them	them
,	,	,
said	said	said
Abdul	abdul	Abdul
Rahman	rahman	Rahman
al	al	al
-Wagga	-wagga	-Wagga
,	,	,
a	a	a
local	local	local
councillor	councillor	councillor
in	in	in
Mosul	mosul	Mosul
where	where	where
many	mani	many
of	of	of
the	the	the
women	women	woman
and	and	and
children	children	child
lived	live	lived
under	under	under
the	the	the
Islamic	islam	Islamic
State	state	State
s	s	s
self	self	self
-proclaimed	-proclaim	-proclaimed
caliphate	caliph	caliphate
.	.	.

These	these	These
foreign	foreign	foreign
women	women	woman
and	and	and
children	children	child
have	have	have
the	the	the
right	right	right
to	to	to
a	a	a
fair	fair	fair
trial	trial	trial
,	,	,
said	said	said
Zawqari	zawqari	Zawqari
,	,	,
whose	whose	whose
ICRC	icrc	ICRC
was	was	wa
the	the	the
only	onli	only
aid	aid	aid
group	group	group
granted	grant	granted
consistent	consist	consistent
access	access	access
to	to	to
the	the	the
families	famili	family
in	in	in
Tal	tal	Tal
Keif	keif	Keif
and	and	and
has	has	ha
provided	provid	provided
them	them	them
with	with	with
