NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
Federal	feder	Federal
investigators	investig	investigator
probing	probe	probing
the	the	the
lobbying	lobbi	lobbying
work	work	work
of	of	of
ousted	oust	ousted
national	nation	national
security	secur	security
adviser	advis	adviser
Michael	michael	Michael
Flynn	flynn	Flynn
are	are	are
focused	focus	focused
in	in	in
part	part	part
on	on	on
the	the	the
role	role	role
of	of	of
Bijan	bijan	Bijan
Kian	kian	Kian
,	,	,
Flynn	flynn	Flynn
s	s	s
former	former	former
business	busi	business
partner	partner	partner
,	,	,
according	accord	according
to	to	to
a	a	a
person	person	person
interviewed	interview	interviewed
by	by	by
the	the	the
FBI	fbi	FBI
.	.	.

Investigators	investig	Investigators
are	are	are
also	also	also
looking	look	looking
at	at	at
whether	whether	whether
payments	payment	payment
from	from	from
foreign	foreign	foreign
clients	client	client
to	to	to
Flynn	flynn	Flynn
and	and	and
his	his	his
company	compani	company
,	,	,
the	the	the
now	now	now
-inactive	-inact	-inactive
Flynn	flynn	Flynn
Intel	intel	Intel
Group	group	Group
,	,	,
were	were	were
lawful	law	lawful
,	,	,
according	accord	according
to	to	to
two	two	two
separate	separ	separate
sources	sourc	source
with	with	with
knowledge	knowledg	knowledge
of	of	of
the	the	the
broad	broad	broad
inquiry	inquiri	inquiry
into	into	into
Flynn	flynn	Flynn
s	s	s
business	busi	business
activities	activ	activity
.	.	.

That	that	That
includes	includ	includes
payments	payment	payment
by	by	by
three	three	three
Russian	russian	Russian
companies	compani	company
and	and	and
a	a	a
Netherlands	netherland	Netherlands
-based	-base	-based
company	compani	company
,	,	,
Inovo	inovo	Inovo
,	,	,
controlled	control	controlled
by	by	by
Turkish	turkish	Turkish
businessman	businessman	businessman
Ekim	ekim	Ekim
Alptekin	alptekin	Alptekin
,	,	,
they	they	they
said	said	said
.	.	.

The	the	The
FBI	fbi	FBI
s	s	s
interest	interest	interest
in	in	in
Kian	kian	Kian
has	has	ha
not	not	not
been	been	been
previously	previous	previously
reported	report	reported
.	.	.

Kian	kian	Kian
played	play	played
a	a	a
central	central	central
role	role	role
in	in	in
securing	secur	securing
and	and	and
overseeing	overse	overseeing
the	the	the
Inovo	inovo	Inovo
contract	contract	contract
,	,	,
two	two	two
people	peopl	people
with	with	with
knowledge	knowledg	knowledge
of	of	of
that	that	that
project	project	project
said	said	said
.	.	.

It	it	It
is	is	is
not	not	not
clear	clear	clear
whether	whether	whether
Kian	kian	Kian
is	is	is
a	a	a
target	target	target
of	of	of
the	the	the
criminal	crimin	criminal
investigation	investig	investigation
or	or	or
whether	whether	whether
investigators	investig	investigator
are	are	are
trying	tri	trying
to	to	to
build	build	build
a	a	a
fuller	fuller	fuller
understanding	understand	understanding
of	of	of
how	how	how
Flynn	flynn	Flynn
s	s	s
company	compani	company
operated	oper	operated
.	.	.

A	a	A
person	person	person
recently	recent	recently
interviewed	interview	interviewed
by	by	by
the	the	the
FBI	fbi	FBI
in	in	in
connection	connect	connection
with	with	with
the	the	the
Flynn	flynn	Flynn
investigation	investig	investigation
said	said	said
agents	agent	agent
from	from	from
the	the	the
bureau	bureau	bureau
s	s	s
criminal	crimin	criminal
division	divis	division
had	had	had
asked	ask	asked
as	as	a
much	much	much
about	about	about
Kian	kian	Kian
and	and	and
his	his	his
work	work	work
on	on	on
the	the	the
project	project	project
with	with	with
Alptekin	alptekin	Alptekin
as	as	a
they	they	they
had	had	had
about	about	about
Flynn	flynn	Flynn
.	.	.

Kian	kian	Kian
did	did	did
not	not	not
respond	respond	respond
to	to	to
repeated	repeat	repeated
requests	request	request
for	for	for
comment	comment	comment
,	,	,
nor	nor	nor
did	did	did
the	the	the
lawyer	lawyer	lawyer
he	he	he
recently	recent	recently
hired	hire	hired
,	,	,
Robert	robert	Robert
Trout	trout	Trout
.	.	.

The	the	The
FBI	fbi	FBI
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.

Flynn	flynn	Flynn
s	s	s
lawyer	lawyer	lawyer
,	,	,
Robert	robert	Robert
Kelner	kelner	Kelner
,	,	,
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
.	.	.

Alptekin	alptekin	Alptekin
declined	declin	declined
to	to	to
comment	comment	comment
for	for	for
this	this	this
story	stori	story
but	but	but
last	last	last
month	month	month
told	told	told
Reuters	reuter	Reuters
that	that	that
he	he	he
was	was	wa
satisfied	satisfi	satisfied
with	with	with
the	the	the
work	work	work
done	done	done
by	by	by
Flynn	flynn	Flynn
Intel	intel	Intel
Group	group	Group
and	and	and
denied	deni	denied
any	ani	any
wrongdoing	wrongdo	wrongdoing
.	.	.

The	the	The
FBI	fbi	FBI
has	has	ha
been	been	been
investigating	investig	investigating
whether	whether	whether
Flynn	flynn	Flynn
s	s	s
consulting	consult	consulting
firm	firm	firm
lobbied	lobbi	lobbied
on	on	on
behalf	behalf	behalf
of	of	of
Turkey	turkey	Turkey
-	-	-
after	after	after
being	be	being
paid	paid	paid
530	530	530
,	,	,
000	000	000
by	by	by
Inovo	inovo	Inovo
-	-	-
without	without	without
making	make	making
the	the	the
proper	proper	proper
disclosure	disclosur	disclosure
,	,	,
Reuters	reuter	Reuters
reported	report	reported
earlier	earlier	earlier
this	this	this
month	month	month
.	.	.

The	the	The
federal	feder	federal
investigation	investig	investigation
is	is	is
being	be	being
run	run	run
by	by	by
special	special	special
counsel	counsel	counsel
Robert	robert	Robert
Mueller	mueller	Mueller
.	.	.

Mueller	mueller	Mueller
has	has	ha
a	a	a
mandate	mandat	mandate
to	to	to
investigate	investig	investigate
contacts	contact	contact
between	between	between
Russia	russia	Russia
and	and	and
Trump	trump	Trump
s	s	s
2016	2016	2016
election	elect	election
campaign	campaign	campaign
team	team	team
and	and	and
any	ani	any
related	relat	related
matters	matter	matter
.	.	.

Flynn	flynn	Flynn
was	was	wa
fired	fire	fired
by	by	by
the	the	the
Trump	trump	Trump
administration	administr	administration
in	in	in
February	februari	February
after	after	after
officials	offici	official
said	said	said
he	he	he
mischaracterized	mischaracter	mischaracterized
a	a	a
series	seri	series
of	of	of
phone	phone	phone
calls	call	call
with	with	with
Russia	russia	Russia
s	s	s
ambassador	ambassador	ambassador
last	last	last
December	decemb	December
.	.	.

The	the	The
top	top	top
Democrat	democrat	Democrat
on	on	on
the	the	the
House	hous	House
Committee	committe	Committee
on	on	on
Oversight	oversight	Oversight
and	and	and
Government	govern	Government
Reform	reform	Reform
,	,	,
which	which	which
has	has	ha
separately	separ	separately
been	been	been
looking	look	looking
into	into	into
whether	whether	whether
Flynn	flynn	Flynn
made	made	made
false	fals	false
statements	statement	statement
in	in	in
applying	appli	applying
for	for	for
security	secur	security
clearance	clearanc	clearance
,	,	,
said	said	said
he	he	he
was	was	wa
also	also	also
scrutinizing	scrutin	scrutinizing
Kian	kian	Kian
.	.	.

I	i	I
have	have	have
an	an	an
interest	interest	interest
in	in	in
Bijan	bijan	Bijan
Kian	kian	Kian
and	and	and
his	his	his
interactions	interact	interaction
with	with	with
General	general	General
Flynn	flynn	Flynn
based	base	based
on	on	on
specific	specif	specific
documents	document	document
already	alreadi	already
obtained	obtain	obtained
by	by	by
the	the	the
Committee	committe	Committee
,	,	,
Elijah	elijah	Elijah
Cummings	cum	Cummings
told	told	told
Reuters	reuter	Reuters
in	in	in
an	an	an
email	email	email
.	.	.

Kelner	kelner	Kelner
has	has	ha
sought	sought	sought
immunity	immun	immunity
for	for	for
Flynn	flynn	Flynn
in	in	in
exchange	exchang	exchange
for	for	for
his	his	his
testimony	testimoni	testimony
,	,	,
saying	say	saying
his	his	his
client	client	client
certainly	certain	certainly
has	has	ha
a	a	a
story	stori	story
to	to	to
tell	tell	tell
.	.	.
In	in	In
private	privat	private
conversations	convers	conversation
with	with	with
potential	potenti	potential
clients	client	client
,	,	,
Kian	kian	Kian
portrayed	portray	portrayed
himself	himself	himself
as	as	a
a	a	a
rainmaker	rainmak	rainmaker
for	for	for
Flynn	flynn	Flynn
,	,	,
tapping	tap	tapping
into	into	into
connections	connect	connection
cultivated	cultiv	cultivated
during	dure	during
a	a	a
five	five	five
-year	-year	-year
tenure	tenur	tenure
as	as	a
a	a	a
director	director	director
at	at	at
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Export	export	Export
-Import	-import	-Import
Bank	bank	Bank
,	,	,
according	accord	according
to	to	to
one	one	one
person	person	person
who	who	who
worked	work	worked
with	with	with
the	the	the
firm	firm	firm
.	.	.

Alptekin	alptekin	Alptekin
told	told	told
Reuters	reuter	Reuters
in	in	in
May	may	May
that	that	that
his	his	his
firm	firm	firm
hired	hire	hired
Flynn	flynn	Flynn
Intel	intel	Intel
