Reuters	reuter	Reuters
-	-	-
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
undercut	undercut	undercut
some	some	some
of	of	of
the	the	the
main	main	main
arguments	argument	argument
Hillary	hillari	Hillary
Clinton	clinton	Clinton
has	has	ha
made	made	made
in	in	in
defense	defens	defense
of	of	of
her	her	her
use	use	use
of	of	of
an	an	an
unauthorized	unauthor	unauthorized
private	privat	private
email	email	email
system	system	system
while	while	while
she	she	she
was	was	wa
U	u	U
.	.	.
S	s	S
.	.	.
secretary	secretari	secretary
of	of	of
state	state	state
.	.	.

The	the	The
Federal	feder	Federal
Bureau	bureau	Bureau
of	of	of
Investigation	investig	Investigation
began	began	began
investigating	investig	investigating
Clinton	clinton	Clinton
s	s	s
email	email	email
system	system	system
after	after	after
government	govern	government
watchdogs	watchdog	watchdog
found	found	found
that	that	that
some	some	some
of	of	of
her	her	her
messages	messag	message
contained	contain	contained
classified	classifi	classified
government	govern	government
secrets	secret	secret
last	last	last
year	year	year
.	.	.

Comey	comey	Comey
is	is	is
recommending	recommend	recommending
that	that	that
Clinton	clinton	Clinton
not	not	not
face	face	face
criminal	crimin	criminal
charges	charg	charge
.	.	.

But	but	But
in	in	in
an	an	an
unusual	unusu	unusual
step	step	step
,	,	,
he	he	he
used	use	used
a	a	a
news	news	news
conference	confer	conference
to	to	to
give	give	give
a	a	a
public	public	public
rebuttal	rebutt	rebuttal
on	on	on
Tuesday	tuesday	Tuesday
of	of	of
the	the	the
defenses	defens	defense
offered	offer	offered
by	by	by
Clinton	clinton	Clinton
over	over	over
the	the	the
last	last	last
year	year	year
.	.	.

Here	here	Here
are	are	are
seven	seven	seven
times	time	time
that	that	that
Comey	comey	Comey
contradicts	contradict	contradicts
Clinton	clinton	Clinton
Clinton	clinton	Clinton
said	said	said
Clinton	clinton	Clinton
said	said	said
in	in	in
March	march	March
2015	2015	2015
that	that	that
she	she	she
returned	return	returned
anything	anyth	anything
that	that	that
could	could	could
be	be	be
possibly	possibl	possibly
viewed	view	viewed
as	as	a
work	work	work
related	relat	related
.	.	.
She	she	She
later	later	later
swore	swore	swore
under	under	under
oath	oath	oath
that	that	that
she	she	she
returned	return	returned
all	all	all
her	her	her
work	work	work
