LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
told	told	told
parliament	parliament	parliament
her	her	her
plan	plan	plan
on	on	on
Monday	monday	Monday
for	for	for
a	a	a
Brexit	brexit	Brexit
transition	transit	transition
period	period	period
with	with	with
broadly	broad	broadly
the	the	the
same	same	same
access	access	access
to	to	to
European	european	European
Union	union	Union
markets	market	market
but	but	but
was	was	wa
met	met	met
with	with	with
scepticism	sceptic	scepticism
from	from	from
pro	pro	pro
-Brexit	-brexit	-Brexit
lawmakers	lawmak	lawmaker
fearful	fear	fearful
of	of	of
a	a	a
watered	water	watered
-down	-down	-down
EU	eu	EU
exit	exit	exit
.	.	.
May	may	May
secured	secur	secured
an	an	an
agreement	agreement	agreement
with	with	with
EU	eu	EU
leaders	leader	leader
last	last	last
week	week	week
to	to	to
move	move	move
previously	previous	previously
-deadlocked	-deadlock	-deadlocked
talks	talk	talk
forward	forward	forward
onto	onto	onto
the	the	the
topic	topic	topic
of	of	of
interim	interim	interim
and	and	and
long	long	long
-term	-term	-term
trading	trade	trading
arrangements	arrang	arrangement
.	.	.
On	on	On
Monday	monday	Monday
,	,	,
she	she	she
reported	report	reported
back	back	back
to	to	to
parliament	parliament	parliament
on	on	on
those	those	those
talks	talk	talk
,	,	,
setting	set	setting
out	out	out
the	the	the
framework	framework	framework
of	of	of
a	a	a
roughly	rough	roughly
two	two	two
-year	-year	-year
implementation	implement	implementation
period	period	period
designed	design	designed
to	to	to
smooth	smooth	smooth
Britain	britain	Britain
s	s	s
EU	eu	EU
exit	exit	exit
and	and	and
provide	provid	provide
clarity	clariti	clarity
for	for	for
businesses	busi	business
and	and	and
citizens	citizen	citizen
.	.	.
This	this	This
will	will	will
help	help	help
give	give	give
certainty	certainti	certainty
to	to	to
employers	employ	employer
and	and	and
families	famili	family
that	that	that
we	we	we
are	are	are
going	go	going
to	to	to
deliver	deliv	deliver
a	a	a
smooth	smooth	smooth
Brexit	brexit	Brexit
,	,	,
May	may	May
said	said	said
.	.	.
She	she	She
added	ad	added
that	that	that
negotiating	negoti	negotiating
guidelines	guidelin	guideline
agreed	agre	agreed
last	last	last
week	week	week
point	point	point
to	to	to
a	a	a
shared	share	shared
desire	desir	desire
with	with	with
the	the	the
EU	eu	EU
to	to	to
make	make	make
rapid	rapid	rapid
progress	progress	progress
on	on	on
a	a	a
deal	deal	deal
.	.	.
The	the	The
outline	outlin	outline
of	of	of
the	the	the
transition	transit	transition
period	period	period
that	that	that
May	may	May
presented	present	presented
is	is	is
consistent	consist	consistent
with	with	with
plans	plan	plan
she	she	she
has	has	ha
previously	previous	previously
set	set	set
out	out	out
and	and	and
largely	larg	largely
in	in	in
line	line	line
with	with	with
what	what	what
Brussels	brussel	Brussels
wants	want	want
,	,	,
but	but	but
remains	remain	remains
subject	subject	subject
to	to	to
negotiation	negoti	negotiation
.	.	.
During	dure	During
this	this	this
strictly	strict	strictly
time	time	time
-limited	-limit	-limited
implementation	implement	implementation
period	period	period
which	which	which
we	we	we
will	will	will
now	now	now
begin	begin	begin
to	to	to
negotiate	negoti	negotiate
,	,	,
we	we	we
would	would	would
not	not	not
be	be	be
in	in	in
the	the	the
single	singl	single
market	market	market
or	or	or
the	the	the
customs	custom	custom
union	union	union
,	,	,
as	as	a
we	we	we
will	will	will
have	have	have
left	left	left
the	the	the
European	european	European
Union	union	Union
,	,	,
May	may	May
said	said	said
.	.	.
But	but	But
we	we	we
would	would	would
propose	propos	propose
that	that	that
our	our	our
access	access	access
to	to	to
one	one	one
another	anoth	another
s	s	s
markets	market	market
would	would	would
continue	continu	continue
as	as	a
now	now	now
,	,	,
while	while	while
we	we	we
prepare	prepar	prepare
and	and	and
implement	implement	implement
the	the	the
new	new	new
processes	process	process
and	and	and
new	new	new
systems	system	system
that	that	that
will	will	will
underpin	underpin	underpin
our	our	our
future	futur	future
partnership	partnership	partnership
.	.	.
May	may	May
said	said	said
during	dure	during
the	the	the
interim	interim	interim
period	period	period
,	,	,
Britain	britain	Britain
wants	want	want
to	to	to
begin	begin	begin
registering	regist	registering
the	the	the
arrival	arriv	arrival
of	of	of
EU	eu	EU
citizens	citizen	citizen
in	in	in
the	the	the
country	countri	country
in	in	in
preparation	prepar	preparation
for	for	for
a	a	a
new	new	new
immigration	immigr	immigration
system	system	system
,	,	,
and	and	and
would	would	would
hope	hope	hope
to	to	to
agree	agre	agree
,	,	,
and	and	and
even	even	even
sign	sign	sign
,	,	,
trade	trade	trade
deals	deal	deal
with	with	with
non	non	non
-EU	-eu	-EU
states	state	state
.	.	.
But	but	But
the	the	the
plan	plan	plan
was	was	wa
not	not	not
universally	univers	universally
accepted	accept	accepted
by	by	by
lawmakers	lawmak	lawmaker
in	in	in
May	may	May
s	s	s
Conservative	conserv	Conservative
Party	parti	Party
,	,	,
which	which	which
is	is	is
deeply	deepli	deeply
divided	divid	divided
over	over	over
the	the	the
best	best	best
route	rout	route
out	out	out
of	of	of
the	the	the
bloc	bloc	bloc
.	.	.
Jacob	jacob	Jacob
Rees	ree	Rees
-Mogg	-mogg	-Mogg
,	,	,
one	one	one
of	of	of
several	sever	several
pro	pro	pro
-Brexit	-brexit	-Brexit
Conservatives	conserv	Conservatives
to	to	to
express	express	express
concern	concern	concern
,	,	,
called	call	called
on	on	on
May	may	May
to	to	to
reject	reject	reject
the	the	the
EU	eu	EU
s	s	s
negotiating	negoti	negotiating
guidelines	guidelin	guideline
because	becaus	because
they	they	they
would	would	would
make	make	make
Britain	britain	Britain
no	no	no
more	more	more
than	than	than
a	a	a
vassal	vassal	vassal
state	state	state
,	,	,
a	a	a
colony	coloni	colony
,	,	,
a	a	a
serf	serf	serf
of	of	of
the	the	the
European	european	European
Union	union	Union
.	.	.
May	may	May
is	is	is
reliant	reliant	reliant
on	on	on
the	the	the
backing	back	backing
of	of	of
all	all	all
members	member	member
of	of	of
her	her	her
party	parti	party
to	to	to
put	put	put
her	her	her
Brexit	brexit	Brexit
plans	plan	plan
into	into	into
action	action	action
,	,	,
having	have	having
lost	lost	lost
her	her	her
parliamentary	parliamentari	parliamentary
majority	major	majority
in	in	in
an	an	an
ill	ill	ill
-judged	-judg	-judged
snap	snap	snap
election	elect	election
earlier	earlier	earlier
this	this	this
year	year	year
which	which	which
left	left	left
her	her	her
needing	need	needing
the	the	the
support	support	support
of	of	of
a	a	a
small	small	small
Northern	northern	Northern
Irish	irish	Irish
party	parti	party
.	.	.
Last	last	Last
week	week	week
May	may	May
s	s	s
fragility	fragil	fragility
was	was	wa
exposed	expos	exposed
by	by	by
the	the	the
rebellion	rebellion	rebellion
of	of	of
11	11	11
largely	larg	largely
pro	pro	pro
-European	-european	-European
Conservative	conserv	Conservative
lawmakers	lawmak	lawmaker
in	in	in
a	a	a
parliamentary	parliamentari	parliamentary
vote	vote	vote
on	on	on
Brexit	brexit	Brexit
legislation	legisl	legislation
that	that	that
led	led	led
to	to	to
an	an	an
embarrassing	embarrass	embarrassing
defeat	defeat	defeat
.	.	.
The	the	The
rebels	rebel	rebel
have	have	have
since	sinc	since
drawn	drawn	drawn
harsh	harsh	harsh
criticism	critic	criticism
from	from	from
some	some	some
party	parti	party
members	member	member
,	,	,
and	and	and
received	receiv	received
threats	threat	threat
of	of	of
violence	violenc	violence
online	onlin	online
.	.	.
We	we	We
are	are	are
dealing	deal	dealing
with	with	with
questions	question	question
of	of	of
great	great	great
significance	signific	significance
to	to	to
our	our	our
country	countri	country
s	s	s
future	futur	future
,	,	,
so	so	so
it	it	it
is	is	is
natural	natur	natural
that	that	that
there	there	there
are	are	are
many	mani	many
strongly	strong	strongly
held	held	held
views	view	view
on	on	on
all	all	all
sides	side	side
of	of	of
this	this	this
chamber	chamber	chamber
,	,	,
May	may	May
said	said	said
.	.	.
But	but	But
there	there	there
can	can	can
never	never	never
be	be	be
a	a	a
place	place	place
for	for	for
the	the	the
threats	threat	threat
of	of	of
violence	violenc	violence
and	and	and
intimidation	intimid	intimidation
against	against	against
some	some	some
members	member	member
that	that	that
we	we	we
have	have	have
seen	seen	seen
in	in	in
recent	recent	recent
days	day	day
.	.	.
Earlier	earlier	Earlier
on	on	on
Monday	monday	Monday
,	,	,
May	may	May
met	met	met
key	key	key
ministers	minist	minister
to	to	to
discuss	discuss	discus
the	the	the
even	even	even
thornier	thornier	thornier
issue	issu	issue
of	of	of
what	what	what
the	the	the
country	countri	country
s	s	s
long	long	long
-term	-term	-term
relationship	relationship	relationship
with	with	with
the	the	the
EU	eu	EU
should	should	should
be	be	be
-	-	-
the	the	the
first	first	first
time	time	time
since	sinc	since
the	the	the
June	june	June
2016	2016	2016
vote	vote	vote
to	to	to
leave	leav	leave
that	that	that
she	she	she
has	has	ha
broached	broach	broached
the	the	the
topic	topic	topic
with	with	with
cabinet	cabinet	cabinet
members	member	member
.	.	.
A	a	A
full	full	full
cabinet	cabinet	cabinet
discussion	discuss	discussion
on	on	on
the	the	the
so	so	so
-called	-call	-called
end	end	end
state	state	state
of	of	of
the	the	the
Brexit	brexit	Brexit
talks	talk	talk
is	is	is
then	then	then
due	due	due
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
