ABUJA	abuja	ABUJA
Reuters	reuter	Reuters
-	-	-
More	more	More
than	than	than
half	half	half
the	the	the
schools	school	school
in	in	in
the	the	the
state	state	state
at	at	at
the	the	the
epicentre	epicentr	epicentre
of	of	of
Nigeria	nigeria	Nigeria
s	s	s
conflict	conflict	conflict
with	with	with
Islamist	islamist	Islamist
militant	milit	militant
group	group	group
Boko	boko	Boko
Haram	haram	Haram
are	are	are
still	still	still
closed	close	closed
,	,	,
the	the	the
United	unit	United
Nations	nation	Nations
children	children	child
agency	agenc	agency
said	said	said
on	on	on
Friday	friday	Friday
,	,	,
as	as	a
the	the	the
insurgency	insurg	insurgency
drags	drag	drag
into	into	into
its	it	it
ninth	ninth	ninth
year	year	year
.	.	.
The	the	The
lack	lack	lack
of	of	of
schools	school	school
could	could	could
continue	continu	continue
to	to	to
fuel	fuel	fuel
Boko	boko	Boko
Haram	haram	Haram
or	or	or
similar	similar	similar
movements	movement	movement
in	in	in
the	the	the
future	futur	future
as	as	a
it	it	it
means	mean	mean
young	young	young
people	peopl	people
in	in	in
the	the	the
restive	restiv	restive
northeast	northeast	northeast
region	region	region
have	have	have
few	few	few
prospects	prospect	prospect
,	,	,
experts	expert	expert
say	say	say
.	.	.
The	the	The
conflict	conflict	conflict
with	with	with
Boko	boko	Boko
Haram	haram	Haram
,	,	,
whose	whose	whose
name	name	name
roughly	rough	roughly
translates	translat	translates
as	as	a
Western	western	Western
education	educ	education
is	is	is
forbidden	forbidden	forbidden
in	in	in
the	the	the
Hausa	hausa	Hausa
language	languag	language
that	that	that
is	is	is
widely	wide	widely
spoken	spoken	spoken
in	in	in
northern	northern	northern
Nigeria	nigeria	Nigeria
,	,	,
has	has	ha
killed	kill	killed
more	more	more
than	than	than
20	20	20
,	,	,
000	000	000
people	peopl	people
since	sinc	since
2009	2009	2009
.	.	.
It	it	It
has	has	ha
embroiled	embroil	embroiled
the	the	the
region	region	region
in	in	in
one	one	one
of	of	of
the	the	the
world	world	world
s	s	s
worst	worst	worst
humanitarian	humanitarian	humanitarian
crises	crise	crisis
,	,	,
with	with	with
at	at	at
least	least	least
10	10	10
.	.	.
7	7	7
million	million	million
people	peopl	people
in	in	in
need	need	need
of	of	of
assistance	assist	assistance
,	,	,
according	accord	according
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
.	.	.
In	in	In
addition	addit	addition
to	to	to
devastating	devast	devastating
malnutrition	malnutrit	malnutrition
,	,	,
violence	violenc	violence
and	and	and
an	an	an
outbreak	outbreak	outbreak
of	of	of
cholera	cholera	cholera
,	,	,
the	the	the
attacks	attack	attack
on	on	on
schools	school	school
are	are	are
in	in	in
danger	danger	danger
of	of	of
creating	creat	creating
a	a	a
lost	lost	lost
generation	generat	generation
of	of	of
children	children	child
,	,	,
threatening	threaten	threatening
their	their	their
and	and	and
the	the	the
countries	countri	country
future	futur	future
,	,	,
Justin	justin	Justin
Forsyth	forsyth	Forsyth
,	,	,
a	a	a
deputy	deputi	deputy
director	director	director
for	for	for
the	the	the
United	unit	United
Nations	nation	Nations
Children	children	Children
s	s	s
Fund	fund	Fund
UNICEF	unicef	UNICEF
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
More	more	More
than	than	than
57	57	57
percent	percent	percent
of	of	of
schools	school	school
are	are	are
shut	shut	shut
in	in	in
Borno	borno	Borno
state	state	state
,	,	,
where	where	where
most	most	most
of	of	of
the	the	the
conflict	conflict	conflict
and	and	and
resulting	result	resulting
crisis	crisi	crisis
have	have	have
taken	taken	taken
place	place	place
,	,	,
as	as	a
the	the	the
new	new	new
academic	academ	academic
year	year	year
begins	begin	begin
,	,	,
the	the	the
statement	statement	statement
said	said	said
.	.	.
More	more	More
than	than	than
2	2	2
,	,	,
295	295	295
teachers	teacher	teacher
have	have	have
been	been	been
killed	kill	killed
,	,	,
at	at	at
least	least	least
19	19	19
,	,	,
000	000	000
displaced	displac	displaced
and	and	and
almost	almost	almost
1	1	1
,	,	,
400	400	400
schools	school	school
destroyed	destroy	destroyed
,	,	,
UNICEF	unicef	UNICEF
said	said	said
.	.	.
Forsyth	forsyth	Forsyth
later	later	later
said	said	said
in	in	in
an	an	an
interview	interview	interview
that	that	that
three	three	three
million	million	million
children	children	child
in	in	in
the	the	the
northeast	northeast	northeast
required	requir	required
some	some	some
form	form	form
of	of	of
education	educ	education
,	,	,
adding	ad	adding
that	that	that
some	some	some
attended	attend	attended
rudimentary	rudimentari	rudimentary
schools	school	school
.	.	.
He	he	He
said	said	said
Borno	borno	Borno
state	state	state
government	govern	government
had	had	had
returned	return	returned
about	about	about
750	750	750
,	,	,
000	000	000
children	children	child
to	to	to
school	school	school
,	,	,
but	but	but
gave	gave	gave
no	no	no
details	detail	detail
about	about	about
the	the	the
period	period	period
of	of	of
time	time	time
over	over	over
which	which	which
they	they	they
returned	return	returned
.	.	.
On	on	On
the	the	the
issue	issu	issue
of	of	of
educating	educ	educating
children	children	child
who	who	who
had	had	had
been	been	been
recruited	recruit	recruited
to	to	to
fight	fight	fight
in	in	in
the	the	the
conflict	conflict	conflict
,	,	,
Forsyth	forsyth	Forsyth
said	said	said
military	militari	military
and	and	and
state	state	state
government	govern	government
officials	offici	official
had	had	had
agreed	agre	agreed
to	to	to
the	the	the
release	releas	release
of	of	of
600	600	600
children	children	child
and	and	and
mothers	mother	mother
next	next	next
week	week	week
.	.	.
This	this	This
is	is	is
also	also	also
a	a	a
process	process	process
of	of	of
rehabilitation	rehabilit	rehabilitation
because	becaus	because
these	these	these
children	children	child
have	have	have
been	been	been
traumatised	traumatis	traumatised
,	,	,
he	he	he
said	said	said
.	.	.
Despite	despit	Despite
aid	aid	aid
agencies	agenc	agency
efforts	effort	effort
to	to	to
set	set	set
up	up	up
schools	school	school
for	for	for
children	children	child
in	in	in
the	the	the
northeast	northeast	northeast
,	,	,
particularly	particular	particularly
those	those	those
displaced	displac	displaced
by	by	by
the	the	the
insurgency	insurg	insurgency
,	,	,
UNICEF	unicef	UNICEF
said	said	said
it	it	it
has	has	ha
only	onli	only
received	receiv	received
three	three	three
-fifths	-fifth	-fifths
of	of	of
the	the	the
total	total	total
funding	fund	funding
it	it	it
needs	need	need
for	for	for
2017	2017	2017
.	.	.
Combined	combin	Combined
with	with	with
climate	climat	climate
change	chang	change
taking	take	taking
its	it	it
toll	toll	toll
in	in	in
recent	recent	recent
years	year	year
on	on	on
farming	farm	farming
,	,	,
a	a	a
mainstay	mainstay	mainstay
of	of	of
the	the	the
region	region	region
,	,	,
the	the	the
lack	lack	lack
of	of	of
schooling	school	schooling
has	has	ha
left	left	left
many	mani	many
without	without	without
job	job	job
opportunities	opportun	opportunity
.	.	.
